name,ticker,date,time,size,price
adidas Yeezy QNTM Teal Blue,ADI-ADYQOOP,"Tuesday, July 6, 2021",9:39 PM EST,13,$200
adidas Yeezy QNTM Teal Blue,ADI-ADYQOOP,"Tuesday, July 6, 2021",3:37 PM EST,9.5,$170
adidas Yeezy QNTM Teal Blue,ADI-ADYQOOP,"Tuesday, July 6, 2021",12:55 PM EST,7.5,$101
adidas Yeezy QNTM Teal Blue,ADI-ADYQOOP,"Monday, July 5, 2021",11:26 AM EST,9,$145
adidas Yeezy QNTM Teal Blue,ADI-ADYQOOP,"Monday, July 5, 2021",11:14 AM EST,9,$139
adidas Yeezy QNTM Teal Blue,ADI-ADYQOOP,"Sunday, July 4, 2021",10:04 PM EST,11,$150
adidas Yeezy QNTM Teal Blue,ADI-ADYQOOP,"Sunday, July 4, 2021",8:16 PM EST,11.5,$189
adidas Yeezy QNTM Teal Blue,ADI-ADYQOOP,"Saturday, July 3, 2021",7:05 PM EST,9.5,$150
adidas Yeezy QNTM Teal Blue,ADI-ADYQOOP,"Saturday, July 3, 2021",11:28 AM EST,8,$120
adidas Yeezy QNTM Teal Blue,ADI-ADYQOOP,"Friday, July 2, 2021",10:07 PM EST,10,$165
adidas Yeezy QNTM Teal Blue,ADI-ADYQOOP,"Friday, July 2, 2021",5:14 PM EST,12,$199
adidas Yeezy QNTM Teal Blue,ADI-ADYQOOP,"Friday, July 2, 2021",10:25 AM EST,9.5,$120
adidas Yeezy QNTM Teal Blue,ADI-ADYQOOP,"Thursday, July 1, 2021",6:29 PM EST,8.5,$119
adidas Yeezy QNTM Teal Blue,ADI-ADYQOOP,"Thursday, July 1, 2021",6:20 PM EST,12,$184
adidas Yeezy QNTM Teal Blue,ADI-ADYQOOP,"Thursday, July 1, 2021",1:20 PM EST,7,$125
adidas Yeezy QNTM Teal Blue,ADI-ADYQOOP,"Thursday, July 1, 2021",11:51 AM EST,11,$140
adidas Yeezy QNTM Teal Blue,ADI-ADYQOOP,"Thursday, July 1, 2021",2:15 AM EST,11.5,$175
adidas Yeezy QNTM Teal Blue,ADI-ADYQOOP,"Wednesday, June 30, 2021",1:12 PM EST,7,$120
adidas Yeezy QNTM Teal Blue,ADI-ADYQOOP,"Wednesday, June 30, 2021",2:47 AM EST,12,$150
adidas Yeezy QNTM Teal Blue,ADI-ADYQOOP,"Tuesday, June 29, 2021",8:43 PM EST,9,$133
adidas Yeezy QNTM Teal Blue,ADI-ADYQOOP,"Tuesday, June 29, 2021",4:06 PM EST,11,$168
adidas Yeezy QNTM Teal Blue,ADI-ADYQOOP,"Monday, June 28, 2021",11:41 AM EST,12,$152
adidas Yeezy QNTM Teal Blue,ADI-ADYQOOP,"Monday, June 28, 2021",6:27 AM EST,7,$109
adidas Yeezy QNTM Teal Blue,ADI-ADYQOOP,"Sunday, June 27, 2021",2:59 PM EST,7,$118
adidas Yeezy QNTM Teal Blue,ADI-ADYQOOP,"Sunday, June 27, 2021",11:44 AM EST,11.5,$190
adidas Yeezy QNTM Teal Blue,ADI-ADYQOOP,"Friday, June 25, 2021",9:02 PM EST,11,$175
adidas Yeezy QNTM Teal Blue,ADI-ADYQOOP,"Friday, June 25, 2021",3:51 AM EST,10.5,$175
adidas Yeezy QNTM Teal Blue,ADI-ADYQOOP,"Thursday, June 24, 2021",11:06 PM EST,8.5,$130
adidas Yeezy QNTM Teal Blue,ADI-ADYQOOP,"Thursday, June 24, 2021",10:48 AM EST,8.5,$165
adidas Yeezy QNTM Teal Blue,ADI-ADYQOOP,"Thursday, June 24, 2021",10:23 AM EST,11,$209
adidas Yeezy QNTM Teal Blue,ADI-ADYQOOP,"Thursday, June 24, 2021",8:37 AM EST,9.5,$170
adidas Yeezy QNTM Teal Blue,ADI-ADYQOOP,"Wednesday, June 23, 2021",6:08 PM EST,8,$120
adidas Yeezy QNTM Teal Blue,ADI-ADYQOOP,"Wednesday, June 23, 2021",5:46 PM EST,7,$134
adidas Yeezy QNTM Teal Blue,ADI-ADYQOOP,"Wednesday, June 23, 2021",1:59 PM EST,9,$149
adidas Yeezy QNTM Teal Blue,ADI-ADYQOOP,"Wednesday, June 23, 2021",11:13 AM EST,11,$179
adidas Yeezy QNTM Teal Blue,ADI-ADYQOOP,"Tuesday, June 22, 2021",9:20 PM EST,9,$135
adidas Yeezy QNTM Teal Blue,ADI-ADYQOOP,"Tuesday, June 22, 2021",11:46 AM EST,11,$160
adidas Yeezy QNTM Teal Blue,ADI-ADYQOOP,"Monday, June 21, 2021",12:30 AM EST,10,$150
adidas Yeezy QNTM Teal Blue,ADI-ADYQOOP,"Monday, June 21, 2021",7:05 PM EST,10.5,$135
adidas Yeezy QNTM Teal Blue,ADI-ADYQOOP,"Saturday, June 19, 2021",3:09 PM EST,5.5,$150
adidas Yeezy QNTM Teal Blue,ADI-ADYQOOP,"Friday, June 18, 2021",11:08 PM EST,8.5,$160
adidas Yeezy QNTM Teal Blue,ADI-ADYQOOP,"Friday, June 18, 2021",10:13 PM EST,9,$145
adidas Yeezy QNTM Teal Blue,ADI-ADYQOOP,"Friday, June 18, 2021",8:36 PM EST,9,$145
adidas Yeezy QNTM Teal Blue,ADI-ADYQOOP,"Friday, June 18, 2021",10:50 AM EST,9,$140
adidas Yeezy QNTM Teal Blue,ADI-ADYQOOP,"Friday, June 18, 2021",8:12 AM EST,9.5,$156
adidas Yeezy QNTM Teal Blue,ADI-ADYQOOP,"Thursday, June 17, 2021",11:33 PM EST,9,$150
adidas Yeezy QNTM Teal Blue,ADI-ADYQOOP,"Thursday, June 17, 2021",9:43 PM EST,7.5,$130
adidas Yeezy QNTM Teal Blue,ADI-ADYQOOP,"Thursday, June 17, 2021",11:03 AM EST,8,$135
adidas Yeezy QNTM Teal Blue,ADI-ADYQOOP,"Wednesday, June 16, 2021",7:57 PM EST,10.5,$174
adidas Yeezy QNTM Teal Blue,ADI-ADYQOOP,"Wednesday, June 16, 2021",2:17 PM EST,13,$221
adidas Yeezy QNTM Teal Blue,ADI-ADYQOOP,"Wednesday, June 16, 2021",12:33 PM EST,12,$170
adidas Yeezy QNTM Teal Blue,ADI-ADYQOOP,"Wednesday, June 16, 2021",2:55 AM EST,10,$165
adidas Yeezy QNTM Teal Blue,ADI-ADYQOOP,"Tuesday, June 15, 2021",5:06 PM EST,7,$109
adidas Yeezy QNTM Teal Blue,ADI-ADYQOOP,"Tuesday, June 15, 2021",1:54 PM EST,13,$209
adidas Yeezy QNTM Teal Blue,ADI-ADYQOOP,"Tuesday, June 15, 2021",12:08 PM EST,5.5,$96
adidas Yeezy QNTM Teal Blue,ADI-ADYQOOP,"Tuesday, June 15, 2021",1:55 AM EST,8.5,$140
adidas Yeezy QNTM Teal Blue,ADI-ADYQOOP,"Monday, June 14, 2021",12:32 AM EST,11.5,$200
adidas Yeezy QNTM Teal Blue,ADI-ADYQOOP,"Monday, June 14, 2021",9:58 PM EST,10,$170
adidas Yeezy QNTM Teal Blue,ADI-ADYQOOP,"Monday, June 14, 2021",3:37 PM EST,5.5,$104
adidas Yeezy QNTM Teal Blue,ADI-ADYQOOP,"Saturday, June 12, 2021",8:26 PM EST,13,$208
adidas Yeezy QNTM Teal Blue,ADI-ADYQOOP,"Friday, June 11, 2021",9:58 PM EST,11,$170
adidas Yeezy QNTM Teal Blue,ADI-ADYQOOP,"Friday, June 11, 2021",8:33 PM EST,8,$153
adidas Yeezy QNTM Teal Blue,ADI-ADYQOOP,"Friday, June 11, 2021",4:56 PM EST,10.5,$178
adidas Yeezy QNTM Teal Blue,ADI-ADYQOOP,"Friday, June 11, 2021",12:43 PM EST,13,$207
adidas Yeezy QNTM Teal Blue,ADI-ADYQOOP,"Thursday, June 10, 2021",10:20 PM EST,13,$175
adidas Yeezy QNTM Teal Blue,ADI-ADYQOOP,"Thursday, June 10, 2021",11:34 AM EST,10,$158
adidas Yeezy QNTM Teal Blue,ADI-ADYQOOP,"Thursday, June 10, 2021",8:00 AM EST,8,$164
adidas Yeezy QNTM Teal Blue,ADI-ADYQOOP,"Thursday, June 10, 2021",3:19 AM EST,10.5,$151
adidas Yeezy QNTM Teal Blue,ADI-ADYQOOP,"Wednesday, June 9, 2021",5:41 PM EST,10.5,$160
