name,ticker,date,time,size,price
adidas Yeezy QNTM Sea Teal,ADI-ADYQSTSS,"Tuesday, July 6, 2021",8:37 PM EST,10,$165
adidas Yeezy QNTM Sea Teal,ADI-ADYQSTSS,"Tuesday, July 6, 2021",5:10 PM EST,5.5,$90
adidas Yeezy QNTM Sea Teal,ADI-ADYQSTSS,"Monday, July 5, 2021",12:29 AM EST,12,$219
adidas Yeezy QNTM Sea Teal,ADI-ADYQSTSS,"Monday, July 5, 2021",1:31 PM EST,11,$165
adidas Yeezy QNTM Sea Teal,ADI-ADYQSTSS,"Monday, July 5, 2021",12:24 PM EST,10.5,$192
adidas Yeezy QNTM Sea Teal,ADI-ADYQSTSS,"Sunday, July 4, 2021",7:15 PM EST,11.5,$210
adidas Yeezy QNTM Sea Teal,ADI-ADYQSTSS,"Saturday, July 3, 2021",10:43 AM EST,12.5,$211
adidas Yeezy QNTM Sea Teal,ADI-ADYQSTSS,"Saturday, July 3, 2021",10:31 AM EST,10,$190
adidas Yeezy QNTM Sea Teal,ADI-ADYQSTSS,"Friday, July 2, 2021",10:52 PM EST,11,$198
adidas Yeezy QNTM Sea Teal,ADI-ADYQSTSS,"Friday, July 2, 2021",12:58 PM EST,13,$224
adidas Yeezy QNTM Sea Teal,ADI-ADYQSTSS,"Thursday, July 1, 2021",1:14 PM EST,10,$241
adidas Yeezy QNTM Sea Teal,ADI-ADYQSTSS,"Thursday, July 1, 2021",11:49 AM EST,12,$219
adidas Yeezy QNTM Sea Teal,ADI-ADYQSTSS,"Wednesday, June 30, 2021",12:51 AM EST,5.5,$171
adidas Yeezy QNTM Sea Teal,ADI-ADYQSTSS,"Wednesday, June 30, 2021",1:41 PM EST,10,$180
adidas Yeezy QNTM Sea Teal,ADI-ADYQSTSS,"Wednesday, June 30, 2021",9:42 AM EST,12,$180
adidas Yeezy QNTM Sea Teal,ADI-ADYQSTSS,"Wednesday, June 30, 2021",8:12 AM EST,11,$180
adidas Yeezy QNTM Sea Teal,ADI-ADYQSTSS,"Tuesday, June 29, 2021",12:55 AM EST,10,$180
adidas Yeezy QNTM Sea Teal,ADI-ADYQSTSS,"Tuesday, June 29, 2021",9:26 PM EST,11,$185
adidas Yeezy QNTM Sea Teal,ADI-ADYQSTSS,"Tuesday, June 29, 2021",7:54 PM EST,10.5,$121
adidas Yeezy QNTM Sea Teal,ADI-ADYQSTSS,"Tuesday, June 29, 2021",4:56 PM EST,10,$179
adidas Yeezy QNTM Sea Teal,ADI-ADYQSTSS,"Tuesday, June 29, 2021",4:19 PM EST,12,$140
adidas Yeezy QNTM Sea Teal,ADI-ADYQSTSS,"Tuesday, June 29, 2021",12:20 PM EST,9.5,$130
adidas Yeezy QNTM Sea Teal,ADI-ADYQSTSS,"Tuesday, June 29, 2021",12:14 PM EST,9.5,$129
adidas Yeezy QNTM Sea Teal,ADI-ADYQSTSS,"Tuesday, June 29, 2021",12:04 PM EST,12,$140
adidas Yeezy QNTM Sea Teal,ADI-ADYQSTSS,"Tuesday, June 29, 2021",11:51 AM EST,11,$178
adidas Yeezy QNTM Sea Teal,ADI-ADYQSTSS,"Tuesday, June 29, 2021",6:02 AM EST,10,$168
adidas Yeezy QNTM Sea Teal,ADI-ADYQSTSS,"Monday, June 28, 2021",4:48 PM EST,9,$129
adidas Yeezy QNTM Sea Teal,ADI-ADYQSTSS,"Monday, June 28, 2021",2:59 PM EST,12,$130
adidas Yeezy QNTM Sea Teal,ADI-ADYQSTSS,"Monday, June 28, 2021",2:57 PM EST,8,$130
adidas Yeezy QNTM Sea Teal,ADI-ADYQSTSS,"Monday, June 28, 2021",2:53 PM EST,7.5,$132
adidas Yeezy QNTM Sea Teal,ADI-ADYQSTSS,"Monday, June 28, 2021",12:39 PM EST,4,$101
adidas Yeezy QNTM Sea Teal,ADI-ADYQSTSS,"Monday, June 28, 2021",12:37 PM EST,12,$171
adidas Yeezy QNTM Sea Teal,ADI-ADYQSTSS,"Monday, June 28, 2021",12:35 PM EST,11,$158
adidas Yeezy QNTM Sea Teal,ADI-ADYQSTSS,"Sunday, June 27, 2021",12:53 AM EST,12,$179
adidas Yeezy QNTM Sea Teal,ADI-ADYQSTSS,"Sunday, June 27, 2021",10:39 PM EST,10,$155
adidas Yeezy QNTM Sea Teal,ADI-ADYQSTSS,"Sunday, June 27, 2021",9:17 PM EST,10,$180
adidas Yeezy QNTM Sea Teal,ADI-ADYQSTSS,"Sunday, June 27, 2021",5:43 PM EST,9,$170
adidas Yeezy QNTM Sea Teal,ADI-ADYQSTSS,"Sunday, June 27, 2021",5:34 PM EST,12,$179
adidas Yeezy QNTM Sea Teal,ADI-ADYQSTSS,"Sunday, June 27, 2021",2:29 PM EST,6,$174
adidas Yeezy QNTM Sea Teal,ADI-ADYQSTSS,"Sunday, June 27, 2021",1:45 PM EST,9,$168
adidas Yeezy QNTM Sea Teal,ADI-ADYQSTSS,"Saturday, June 26, 2021",11:33 AM EST,5.5,$150
adidas Yeezy QNTM Sea Teal,ADI-ADYQSTSS,"Friday, June 25, 2021",9:10 PM EST,9.5,$176
adidas Yeezy QNTM Sea Teal,ADI-ADYQSTSS,"Friday, June 25, 2021",7:52 PM EST,10,$160
adidas Yeezy QNTM Sea Teal,ADI-ADYQSTSS,"Friday, June 25, 2021",1:23 PM EST,11,$199
adidas Yeezy QNTM Sea Teal,ADI-ADYQSTSS,"Friday, June 25, 2021",1:22 PM EST,13,$130
adidas Yeezy QNTM Sea Teal,ADI-ADYQSTSS,"Friday, June 25, 2021",1:16 PM EST,9,$135
adidas Yeezy QNTM Sea Teal,ADI-ADYQSTSS,"Friday, June 25, 2021",1:11 PM EST,9,$140
adidas Yeezy QNTM Sea Teal,ADI-ADYQSTSS,"Friday, June 25, 2021",1:04 PM EST,8,$130
adidas Yeezy QNTM Sea Teal,ADI-ADYQSTSS,"Friday, June 25, 2021",1:00 PM EST,10.5,$151
adidas Yeezy QNTM Sea Teal,ADI-ADYQSTSS,"Friday, June 25, 2021",12:55 PM EST,7.5,$133
adidas Yeezy QNTM Sea Teal,ADI-ADYQSTSS,"Friday, June 25, 2021",12:50 PM EST,9,$150
adidas Yeezy QNTM Sea Teal,ADI-ADYQSTSS,"Friday, June 25, 2021",12:36 PM EST,9.5,$140
