name,ticker,date,time,size,price
adidas Yeezy Slide Enflame Orange,ADI-ADYSOOO,"Tuesday, July 6, 2021",5:58 PM EST,9,$167
adidas Yeezy Slide Enflame Orange,ADI-ADYSOOO,"Tuesday, July 6, 2021",5:50 PM EST,7,$205
adidas Yeezy Slide Enflame Orange,ADI-ADYSOOO,"Tuesday, July 6, 2021",5:49 PM EST,6,$185
adidas Yeezy Slide Enflame Orange,ADI-ADYSOOO,"Tuesday, July 6, 2021",5:48 PM EST,6,$189
adidas Yeezy Slide Enflame Orange,ADI-ADYSOOO,"Tuesday, July 6, 2021",5:47 PM EST,5,$146
adidas Yeezy Slide Enflame Orange,ADI-ADYSOOO,"Tuesday, July 6, 2021",5:45 PM EST,8,$180
adidas Yeezy Slide Enflame Orange,ADI-ADYSOOO,"Tuesday, July 6, 2021",5:39 PM EST,8,$180
adidas Yeezy Slide Enflame Orange,ADI-ADYSOOO,"Tuesday, July 6, 2021",5:28 PM EST,6,$190
adidas Yeezy Slide Enflame Orange,ADI-ADYSOOO,"Tuesday, July 6, 2021",5:26 PM EST,10,$181
adidas Yeezy Slide Enflame Orange,ADI-ADYSOOO,"Tuesday, July 6, 2021",5:26 PM EST,9,$165
adidas Yeezy Slide Enflame Orange,ADI-ADYSOOO,"Tuesday, July 6, 2021",5:26 PM EST,8,$173
adidas Yeezy Slide Enflame Orange,ADI-ADYSOOO,"Tuesday, July 6, 2021",5:06 PM EST,6,$190
adidas Yeezy Slide Enflame Orange,ADI-ADYSOOO,"Tuesday, July 6, 2021",5:03 PM EST,4,$124
adidas Yeezy Slide Enflame Orange,ADI-ADYSOOO,"Tuesday, July 6, 2021",5:03 PM EST,5,$146
adidas Yeezy Slide Enflame Orange,ADI-ADYSOOO,"Tuesday, July 6, 2021",4:51 PM EST,8,$173
adidas Yeezy Slide Enflame Orange,ADI-ADYSOOO,"Tuesday, July 6, 2021",4:50 PM EST,11,$218
adidas Yeezy Slide Enflame Orange,ADI-ADYSOOO,"Tuesday, July 6, 2021",4:47 PM EST,5,$146
adidas Yeezy Slide Enflame Orange,ADI-ADYSOOO,"Tuesday, July 6, 2021",4:46 PM EST,9,$170
adidas Yeezy Slide Enflame Orange,ADI-ADYSOOO,"Tuesday, July 6, 2021",4:33 PM EST,11,$218
adidas Yeezy Slide Enflame Orange,ADI-ADYSOOO,"Tuesday, July 6, 2021",4:31 PM EST,8,$180
adidas Yeezy Slide Enflame Orange,ADI-ADYSOOO,"Tuesday, July 6, 2021",4:26 PM EST,10,$168
adidas Yeezy Slide Enflame Orange,ADI-ADYSOOO,"Tuesday, July 6, 2021",4:26 PM EST,8,$180
adidas Yeezy Slide Enflame Orange,ADI-ADYSOOO,"Tuesday, July 6, 2021",4:23 PM EST,7,$193
adidas Yeezy Slide Enflame Orange,ADI-ADYSOOO,"Tuesday, July 6, 2021",4:23 PM EST,10,$172
adidas Yeezy Slide Enflame Orange,ADI-ADYSOOO,"Tuesday, July 6, 2021",4:23 PM EST,8,$166
adidas Yeezy Slide Enflame Orange,ADI-ADYSOOO,"Tuesday, July 6, 2021",4:22 PM EST,8,$166
adidas Yeezy Slide Enflame Orange,ADI-ADYSOOO,"Tuesday, July 6, 2021",4:22 PM EST,5,$136
adidas Yeezy Slide Enflame Orange,ADI-ADYSOOO,"Tuesday, July 6, 2021",4:21 PM EST,9,$170
adidas Yeezy Slide Enflame Orange,ADI-ADYSOOO,"Tuesday, July 6, 2021",4:20 PM EST,9,$158
adidas Yeezy Slide Enflame Orange,ADI-ADYSOOO,"Tuesday, July 6, 2021",4:16 PM EST,10,$171
adidas Yeezy Slide Enflame Orange,ADI-ADYSOOO,"Tuesday, July 6, 2021",4:07 PM EST,9,$146
adidas Yeezy Slide Enflame Orange,ADI-ADYSOOO,"Tuesday, July 6, 2021",4:05 PM EST,8,$180
adidas Yeezy Slide Enflame Orange,ADI-ADYSOOO,"Tuesday, July 6, 2021",3:55 PM EST,7,$195
adidas Yeezy Slide Enflame Orange,ADI-ADYSOOO,"Tuesday, July 6, 2021",3:52 PM EST,7,$209
adidas Yeezy Slide Enflame Orange,ADI-ADYSOOO,"Tuesday, July 6, 2021",3:51 PM EST,8,$180
adidas Yeezy Slide Enflame Orange,ADI-ADYSOOO,"Tuesday, July 6, 2021",3:45 PM EST,9,$170
adidas Yeezy Slide Enflame Orange,ADI-ADYSOOO,"Tuesday, July 6, 2021",3:43 PM EST,10,$184
adidas Yeezy Slide Enflame Orange,ADI-ADYSOOO,"Tuesday, July 6, 2021",3:40 PM EST,9,$169
adidas Yeezy Slide Enflame Orange,ADI-ADYSOOO,"Tuesday, July 6, 2021",3:36 PM EST,11,$218
adidas Yeezy Slide Enflame Orange,ADI-ADYSOOO,"Tuesday, July 6, 2021",3:35 PM EST,10,$184
adidas Yeezy Slide Enflame Orange,ADI-ADYSOOO,"Tuesday, July 6, 2021",3:33 PM EST,10,$184
adidas Yeezy Slide Enflame Orange,ADI-ADYSOOO,"Tuesday, July 6, 2021",3:30 PM EST,9,$169
adidas Yeezy Slide Enflame Orange,ADI-ADYSOOO,"Tuesday, July 6, 2021",3:29 PM EST,5,$146
