name,ticker,date,time,size,price
adidas Yeezy Slide Pure,ADI-ADYSPPP,"Tuesday, July 6, 2021",5:24 PM EST,8,$184
adidas Yeezy Slide Pure,ADI-ADYSPPP,"Tuesday, July 6, 2021",5:19 PM EST,4,$139
adidas Yeezy Slide Pure,ADI-ADYSPPP,"Tuesday, July 6, 2021",5:19 PM EST,4,$139
adidas Yeezy Slide Pure,ADI-ADYSPPP,"Tuesday, July 6, 2021",5:05 PM EST,9,$183
adidas Yeezy Slide Pure,ADI-ADYSPPP,"Tuesday, July 6, 2021",5:03 PM EST,13,$233
adidas Yeezy Slide Pure,ADI-ADYSPPP,"Tuesday, July 6, 2021",4:59 PM EST,8,$184
adidas Yeezy Slide Pure,ADI-ADYSPPP,"Tuesday, July 6, 2021",4:53 PM EST,11,$216
adidas Yeezy Slide Pure,ADI-ADYSPPP,"Tuesday, July 6, 2021",4:42 PM EST,10,$189
adidas Yeezy Slide Pure,ADI-ADYSPPP,"Tuesday, July 6, 2021",4:38 PM EST,9,$183
adidas Yeezy Slide Pure,ADI-ADYSPPP,"Tuesday, July 6, 2021",4:37 PM EST,8,$183
adidas Yeezy Slide Pure,ADI-ADYSPPP,"Tuesday, July 6, 2021",4:59 PM EST,8,$184
adidas Yeezy Slide Pure,ADI-ADYSPPP,"Tuesday, July 6, 2021",4:53 PM EST,11,$216
adidas Yeezy Slide Pure,ADI-ADYSPPP,"Tuesday, July 6, 2021",4:42 PM EST,10,$189
adidas Yeezy Slide Pure,ADI-ADYSPPP,"Tuesday, July 6, 2021",4:38 PM EST,9,$183
adidas Yeezy Slide Pure,ADI-ADYSPPP,"Tuesday, July 6, 2021",4:37 PM EST,8,$183
adidas Yeezy Slide Pure,ADI-ADYSPPP,"Tuesday, July 6, 2021",4:35 PM EST,6,$196
adidas Yeezy Slide Pure,ADI-ADYSPPP,"Tuesday, July 6, 2021",4:35 PM EST,7,$220
adidas Yeezy Slide Pure,ADI-ADYSPPP,"Tuesday, July 6, 2021",4:32 PM EST,11,$216
adidas Yeezy Slide Pure,ADI-ADYSPPP,"Tuesday, July 6, 2021",4:25 PM EST,6,$206
adidas Yeezy Slide Pure,ADI-ADYSPPP,"Tuesday, July 6, 2021",4:22 PM EST,6,$195
adidas Yeezy Slide Pure,ADI-ADYSPPP,"Tuesday, July 6, 2021",4:17 PM EST,8,$183
adidas Yeezy Slide Pure,ADI-ADYSPPP,"Tuesday, July 6, 2021",4:03 PM EST,7,$205
adidas Yeezy Slide Pure,ADI-ADYSPPP,"Tuesday, July 6, 2021",4:03 PM EST,5,$152
adidas Yeezy Slide Pure,ADI-ADYSPPP,"Tuesday, July 6, 2021",4:02 PM EST,11,$216
adidas Yeezy Slide Pure,ADI-ADYSPPP,"Tuesday, July 6, 2021",4:01 PM EST,10,$188
adidas Yeezy Slide Pure,ADI-ADYSPPP,"Tuesday, July 6, 2021",4:01 PM EST,5,$152
adidas Yeezy Slide Pure,ADI-ADYSPPP,"Tuesday, July 6, 2021",4:00 PM EST,10,$187
adidas Yeezy Slide Pure,ADI-ADYSPPP,"Tuesday, July 6, 2021",3:51 PM EST,8,$182
adidas Yeezy Slide Pure,ADI-ADYSPPP,"Tuesday, July 6, 2021",3:51 PM EST,12,$230
adidas Yeezy Slide Pure,ADI-ADYSPPP,"Tuesday, July 6, 2021",3:50 PM EST,11,$201
adidas Yeezy Slide Pure,ADI-ADYSPPP,"Tuesday, July 6, 2021",3:49 PM EST,5,$152
adidas Yeezy Slide Pure,ADI-ADYSPPP,"Tuesday, July 6, 2021",3:49 PM EST,10,$188
adidas Yeezy Slide Pure,ADI-ADYSPPP,"Tuesday, July 6, 2021",3:43 PM EST,10,$188
adidas Yeezy Slide Pure,ADI-ADYSPPP,"Tuesday, July 6, 2021",3:39 PM EST,12,$230
adidas Yeezy Slide Pure,ADI-ADYSPPP,"Tuesday, July 6, 2021",3:38 PM EST,9,$183
adidas Yeezy Slide Pure,ADI-ADYSPPP,"Tuesday, July 6, 2021",3:37 PM EST,9,$165
adidas Yeezy Slide Pure,ADI-ADYSPPP,"Tuesday, July 6, 2021",3:35 PM EST,5,$142
adidas Yeezy Slide Pure,ADI-ADYSPPP,"Tuesday, July 6, 2021",3:33 PM EST,9,$175
adidas Yeezy Slide Pure,ADI-ADYSPPP,"Tuesday, July 6, 2021",3:28 PM EST,7,$196
adidas Yeezy Slide Pure,ADI-ADYSPPP,"Tuesday, July 6, 2021",3:27 PM EST,11,$210
adidas Yeezy Slide Pure,ADI-ADYSPPP,"Tuesday, July 6, 2021",3:24 PM EST,7,$220
adidas Yeezy Slide Pure,ADI-ADYSPPP,"Tuesday, July 6, 2021",3:12 PM EST,11,$206
adidas Yeezy Slide Pure,ADI-ADYSPPP,"Tuesday, July 6, 2021",3:09 PM EST,9,$175
adidas Yeezy Slide Pure,ADI-ADYSPPP,"Tuesday, July 6, 2021",3:05 PM EST,7,$195
adidas Yeezy Slide Pure,ADI-ADYSPPP,"Tuesday, July 6, 2021",3:04 PM EST,7,$216
adidas Yeezy Slide Pure,ADI-ADYSPPP,"Tuesday, July 6, 2021",3:02 PM EST,10,$188
adidas Yeezy Slide Pure,ADI-ADYSPPP,"Tuesday, July 6, 2021",2:59 PM EST,9,$174
adidas Yeezy Slide Pure,ADI-ADYSPPP,"Tuesday, July 6, 2021",2:59 PM EST,14,$231
adidas Yeezy Slide Pure,ADI-ADYSPPP,"Tuesday, July 6, 2021",2:58 PM EST,11,$216
adidas Yeezy Slide Pure,ADI-ADYSPPP,"Tuesday, July 6, 2021",2:56 PM EST,12,$230
adidas Yeezy Slide Pure,ADI-ADYSPPP,"Tuesday, July 6, 2021",2:50 PM EST,12,$230
adidas Yeezy Slide Pure,ADI-ADYSPPP,"Tuesday, July 6, 2021",2:48 PM EST,9,$169
adidas Yeezy Slide Pure,ADI-ADYSPPP,"Tuesday, July 6, 2021",2:48 PM EST,5,$152
adidas Yeezy Slide Pure,ADI-ADYSPPP,"Tuesday, July 6, 2021",2:47 PM EST,7,$216
adidas Yeezy Slide Pure,ADI-ADYSPPP,"Tuesday, July 6, 2021",2:47 PM EST,11,$216
adidas Yeezy Slide Pure,ADI-ADYSPPP,"Tuesday, July 6, 2021",2:46 PM EST,11,$216
adidas Yeezy Slide Pure,ADI-ADYSPPP,"Tuesday, July 6, 2021",2:41 PM EST,12,$230
adidas Yeezy Slide Pure,ADI-ADYSPPP,"Tuesday, July 6, 2021",2:38 PM EST,9,$169
adidas Yeezy Slide Pure,ADI-ADYSPPP,"Tuesday, July 6, 2021",2:37 PM EST,11,$216
adidas Yeezy Slide Pure,ADI-ADYSPPP,"Tuesday, July 6, 2021",2:32 PM EST,12,$230
adidas Yeezy Slide Pure,ADI-ADYSPPP,"Tuesday, July 6, 2021",2:31 PM EST,13,$234
adidas Yeezy Slide Pure,ADI-ADYSPPP,"Tuesday, July 6, 2021",2:29 PM EST,10,$177
adidas Yeezy Slide Pure,ADI-ADYSPPP,"Tuesday, July 6, 2021",2:27 PM EST,8,$184
adidas Yeezy Slide Pure,ADI-ADYSPPP,"Tuesday, July 6, 2021",2:25 PM EST,8,$170
adidas Yeezy Slide Pure,ADI-ADYSPPP,"Tuesday, July 6, 2021",2:24 PM EST,11,$211
adidas Yeezy Slide Pure,ADI-ADYSPPP,"Tuesday, July 6, 2021",2:17 PM EST,5,$152
adidas Yeezy Slide Pure,ADI-ADYSPPP,"Tuesday, July 6, 2021",2:16 PM EST,8,$184
adidas Yeezy Slide Pure,ADI-ADYSPPP,"Tuesday, July 6, 2021",2:15 PM EST,7,$210
adidas Yeezy Slide Pure,ADI-ADYSPPP,"Tuesday, July 6, 2021",2:10 PM EST,10,$188
adidas Yeezy Slide Pure,ADI-ADYSPPP,"Tuesday, July 6, 2021",2:08 PM EST,8,$184
adidas Yeezy Slide Pure,ADI-ADYSPPP,"Tuesday, July 6, 2021",2:08 PM EST,9,$174
adidas Yeezy Slide Pure,ADI-ADYSPPP,"Tuesday, July 6, 2021",2:06 PM EST,14,$210
adidas Yeezy Slide Pure,ADI-ADYSPPP,"Tuesday, July 6, 2021",2:05 PM EST,12,$230
adidas Yeezy Slide Pure,ADI-ADYSPPP,"Tuesday, July 6, 2021",2:05 PM EST,8,$184
adidas Yeezy Slide Pure,ADI-ADYSPPP,"Tuesday, July 6, 2021",2:04 PM EST,8,$184
adidas Yeezy Slide Pure,ADI-ADYSPPP,"Tuesday, July 6, 2021",2:03 PM EST,7,$200
adidas Yeezy Slide Pure,ADI-ADYSPPP,"Tuesday, July 6, 2021",2:01 PM EST,10,$188
adidas Yeezy Slide Pure,ADI-ADYSPPP,"Tuesday, July 6, 2021",2:01 PM EST,5,$180
adidas Yeezy Slide Pure,ADI-ADYSPPP,"Tuesday, July 6, 2021",2:00 PM EST,4,$160
adidas Yeezy Slide Pure,ADI-ADYSPPP,"Tuesday, July 6, 2021",1:59 PM EST,8,$174
adidas Yeezy Slide Pure,ADI-ADYSPPP,"Tuesday, July 6, 2021",1:57 PM EST,8,$175
adidas Yeezy Slide Pure,ADI-ADYSPPP,"Tuesday, July 6, 2021",1:56 PM EST,9,$183
