name,ticker,date,time,size,price
adidas Yeezy Slide Enflame Orange (Kids),ADI-YESEOEE,"Tuesday, July 6, 2021",8:20 PM EST,3Y,$158
adidas Yeezy Slide Enflame Orange (Kids),ADI-YESEOEE,"Tuesday, July 6, 2021",7:40 PM EST,3Y,$165
adidas Yeezy Slide Enflame Orange (Kids),ADI-YESEOEE,"Tuesday, July 6, 2021",6:45 PM EST,3Y,$164
adidas Yeezy Slide Enflame Orange (Kids),ADI-YESEOEE,"Tuesday, July 6, 2021",4:57 PM EST,1Y,$150
adidas Yeezy Slide Enflame Orange (Kids),ADI-YESEOEE,"Tuesday, July 6, 2021",4:56 PM EST,1Y,$149
adidas Yeezy Slide Enflame Orange (Kids),ADI-YESEOEE,"Tuesday, July 6, 2021",2:43 PM EST,8K,$140
adidas Yeezy Slide Enflame Orange (Kids),ADI-YESEOEE,"Tuesday, July 6, 2021",6:44 AM EST,9K,$125
adidas Yeezy Slide Enflame Orange (Kids),ADI-YESEOEE,"Tuesday, July 6, 2021",2:53 AM EST,12K,$157
adidas Yeezy Slide Enflame Orange (Kids),ADI-YESEOEE,"Tuesday, July 6, 2021",1:53 AM EST,3Y,$150
adidas Yeezy Slide Enflame Orange (Kids),ADI-YESEOEE,"Monday, July 5, 2021",10:47 PM EST,12K,$167
adidas Yeezy Slide Enflame Orange (Kids),ADI-YESEOEE,"Monday, July 5, 2021",6:39 PM EST,13K,$158
adidas Yeezy Slide Enflame Orange (Kids),ADI-YESEOEE,"Monday, July 5, 2021",1:23 PM EST,10K,$180
adidas Yeezy Slide Enflame Orange (Kids),ADI-YESEOEE,"Monday, July 5, 2021",1:07 PM EST,1Y,$147
adidas Yeezy Slide Enflame Orange (Kids),ADI-YESEOEE,"Monday, July 5, 2021",1:06 PM EST,12K,$164
adidas Yeezy Slide Enflame Orange (Kids),ADI-YESEOEE,"Monday, July 5, 2021",11:56 AM EST,2Y,$149
adidas Yeezy Slide Enflame Orange (Kids),ADI-YESEOEE,"Monday, July 5, 2021",9:23 AM EST,1Y,$124
adidas Yeezy Slide Enflame Orange (Kids),ADI-YESEOEE,"Monday, July 5, 2021",6:57 AM EST,11K,$150
adidas Yeezy Slide Enflame Orange (Kids),ADI-YESEOEE,"Sunday, July 4, 2021",12:55 AM EST,11K,$175
adidas Yeezy Slide Enflame Orange (Kids),ADI-YESEOEE,"Sunday, July 4, 2021",4:08 PM EST,12K,$160
adidas Yeezy Slide Enflame Orange (Kids),ADI-YESEOEE,"Sunday, July 4, 2021",2:03 PM EST,9K,$135
adidas Yeezy Slide Enflame Orange (Kids),ADI-YESEOEE,"Sunday, July 4, 2021",2:03 PM EST,9K,$133
adidas Yeezy Slide Enflame Orange (Kids),ADI-YESEOEE,"Sunday, July 4, 2021",3:41 AM EST,10K,$173
adidas Yeezy Slide Enflame Orange (Kids),ADI-YESEOEE,"Saturday, July 3, 2021",9:07 PM EST,12K,$155
adidas Yeezy Slide Enflame Orange (Kids),ADI-YESEOEE,"Saturday, July 3, 2021",7:01 PM EST,8K,$141
adidas Yeezy Slide Enflame Orange (Kids),ADI-YESEOEE,"Saturday, July 3, 2021",6:55 PM EST,13K,$152
adidas Yeezy Slide Enflame Orange (Kids),ADI-YESEOEE,"Saturday, July 3, 2021",6:06 PM EST,1Y,$148
adidas Yeezy Slide Enflame Orange (Kids),ADI-YESEOEE,"Saturday, July 3, 2021",5:20 PM EST,3Y,$168
adidas Yeezy Slide Enflame Orange (Kids),ADI-YESEOEE,"Saturday, July 3, 2021",5:20 PM EST,2Y,$149
adidas Yeezy Slide Enflame Orange (Kids),ADI-YESEOEE,"Saturday, July 3, 2021",4:24 PM EST,12K,$150
adidas Yeezy Slide Enflame Orange (Kids),ADI-YESEOEE,"Saturday, July 3, 2021",4:16 PM EST,2Y,$142
adidas Yeezy Slide Enflame Orange (Kids),ADI-YESEOEE,"Saturday, July 3, 2021",3:34 PM EST,13K,$145
adidas Yeezy Slide Enflame Orange (Kids),ADI-YESEOEE,"Saturday, July 3, 2021",1:48 PM EST,13K,$148
adidas Yeezy Slide Enflame Orange (Kids),ADI-YESEOEE,"Saturday, July 3, 2021",1:25 PM EST,10K,$150
adidas Yeezy Slide Enflame Orange (Kids),ADI-YESEOEE,"Saturday, July 3, 2021",12:50 PM EST,8K,$140
adidas Yeezy Slide Enflame Orange (Kids),ADI-YESEOEE,"Saturday, July 3, 2021",11:24 AM EST,9K,$132
adidas Yeezy Slide Enflame Orange (Kids),ADI-YESEOEE,"Saturday, July 3, 2021",5:32 AM EST,3Y,$182
adidas Yeezy Slide Enflame Orange (Kids),ADI-YESEOEE,"Saturday, July 3, 2021",2:38 AM EST,2Y,$120
adidas Yeezy Slide Enflame Orange (Kids),ADI-YESEOEE,"Friday, July 2, 2021",10:30 PM EST,8K,$123
adidas Yeezy Slide Enflame Orange (Kids),ADI-YESEOEE,"Friday, July 2, 2021",6:22 PM EST,1Y,$147
adidas Yeezy Slide Enflame Orange (Kids),ADI-YESEOEE,"Friday, July 2, 2021",3:06 PM EST,13K,$148
adidas Yeezy Slide Enflame Orange (Kids),ADI-YESEOEE,"Friday, July 2, 2021",2:53 PM EST,2Y,$140
adidas Yeezy Slide Enflame Orange (Kids),ADI-YESEOEE,"Friday, July 2, 2021",12:13 PM EST,13K,$159
adidas Yeezy Slide Enflame Orange (Kids),ADI-YESEOEE,"Friday, July 2, 2021",11:59 AM EST,11K,$150
adidas Yeezy Slide Enflame Orange (Kids),ADI-YESEOEE,"Friday, July 2, 2021",11:58 AM EST,2Y,$140
adidas Yeezy Slide Enflame Orange (Kids),ADI-YESEOEE,"Friday, July 2, 2021",5:50 AM EST,9K,$123
adidas Yeezy Slide Enflame Orange (Kids),ADI-YESEOEE,"Friday, July 2, 2021",2:30 AM EST,13K,$159
adidas Yeezy Slide Enflame Orange (Kids),ADI-YESEOEE,"Friday, July 2, 2021",2:29 AM EST,13K,$158
adidas Yeezy Slide Enflame Orange (Kids),ADI-YESEOEE,"Thursday, July 1, 2021",8:37 PM EST,1Y,$145
adidas Yeezy Slide Enflame Orange (Kids),ADI-YESEOEE,"Thursday, July 1, 2021",8:35 PM EST,1Y,$145
adidas Yeezy Slide Enflame Orange (Kids),ADI-YESEOEE,"Thursday, July 1, 2021",7:49 PM EST,8K,$112
adidas Yeezy Slide Enflame Orange (Kids),ADI-YESEOEE,"Thursday, July 1, 2021",6:28 PM EST,1Y,$145
adidas Yeezy Slide Enflame Orange (Kids),ADI-YESEOEE,"Thursday, July 1, 2021",6:27 PM EST,8K,$101
adidas Yeezy Slide Enflame Orange (Kids),ADI-YESEOEE,"Thursday, July 1, 2021",3:21 PM EST,2Y,$134
adidas Yeezy Slide Enflame Orange (Kids),ADI-YESEOEE,"Thursday, July 1, 2021",2:52 PM EST,2Y,$134
adidas Yeezy Slide Enflame Orange (Kids),ADI-YESEOEE,"Thursday, July 1, 2021",1:49 PM EST,3Y,$187
adidas Yeezy Slide Enflame Orange (Kids),ADI-YESEOEE,"Thursday, July 1, 2021",12:51 PM EST,2Y,$134
adidas Yeezy Slide Enflame Orange (Kids),ADI-YESEOEE,"Thursday, July 1, 2021",12:12 PM EST,12K,$204
adidas Yeezy Slide Enflame Orange (Kids),ADI-YESEOEE,"Thursday, July 1, 2021",12:03 PM EST,3Y,$188
adidas Yeezy Slide Enflame Orange (Kids),ADI-YESEOEE,"Thursday, July 1, 2021",10:07 AM EST,1Y,$145
adidas Yeezy Slide Enflame Orange (Kids),ADI-YESEOEE,"Wednesday, June 30, 2021",12:20 AM EST,11K,$174
adidas Yeezy Slide Enflame Orange (Kids),ADI-YESEOEE,"Wednesday, June 30, 2021",9:51 PM EST,3Y,$185
adidas Yeezy Slide Enflame Orange (Kids),ADI-YESEOEE,"Wednesday, June 30, 2021",8:46 PM EST,3Y,$185
adidas Yeezy Slide Enflame Orange (Kids),ADI-YESEOEE,"Wednesday, June 30, 2021",7:19 PM EST,1Y,$140
adidas Yeezy Slide Enflame Orange (Kids),ADI-YESEOEE,"Wednesday, June 30, 2021",5:50 PM EST,2Y,$110
adidas Yeezy Slide Enflame Orange (Kids),ADI-YESEOEE,"Wednesday, June 30, 2021",4:01 PM EST,2Y,$126
adidas Yeezy Slide Enflame Orange (Kids),ADI-YESEOEE,"Wednesday, June 30, 2021",3:47 PM EST,11K,$175
adidas Yeezy Slide Enflame Orange (Kids),ADI-YESEOEE,"Wednesday, June 30, 2021",2:45 PM EST,2Y,$133
adidas Yeezy Slide Enflame Orange (Kids),ADI-YESEOEE,"Wednesday, June 30, 2021",2:43 PM EST,9K,$131
adidas Yeezy Slide Enflame Orange (Kids),ADI-YESEOEE,"Wednesday, June 30, 2021",1:42 PM EST,1Y,$130
adidas Yeezy Slide Enflame Orange (Kids),ADI-YESEOEE,"Wednesday, June 30, 2021",1:14 PM EST,13K,$157
adidas Yeezy Slide Enflame Orange (Kids),ADI-YESEOEE,"Wednesday, June 30, 2021",11:06 AM EST,8K,$138
adidas Yeezy Slide Enflame Orange (Kids),ADI-YESEOEE,"Wednesday, June 30, 2021",10:43 AM EST,10K,$160
adidas Yeezy Slide Enflame Orange (Kids),ADI-YESEOEE,"Wednesday, June 30, 2021",10:27 AM EST,11K,$155
adidas Yeezy Slide Enflame Orange (Kids),ADI-YESEOEE,"Tuesday, June 29, 2021",9:39 PM EST,1Y,$145
adidas Yeezy Slide Enflame Orange (Kids),ADI-YESEOEE,"Tuesday, June 29, 2021",8:52 PM EST,13K,$159
adidas Yeezy Slide Enflame Orange (Kids),ADI-YESEOEE,"Tuesday, June 29, 2021",7:53 PM EST,13K,$157
adidas Yeezy Slide Enflame Orange (Kids),ADI-YESEOEE,"Tuesday, June 29, 2021",6:42 PM EST,9K,$132
adidas Yeezy Slide Enflame Orange (Kids),ADI-YESEOEE,"Tuesday, June 29, 2021",6:05 PM EST,12K,$167
adidas Yeezy Slide Enflame Orange (Kids),ADI-YESEOEE,"Tuesday, June 29, 2021",6:01 PM EST,13K,$156
adidas Yeezy Slide Enflame Orange (Kids),ADI-YESEOEE,"Tuesday, June 29, 2021",5:45 PM EST,8K,$154
adidas Yeezy Slide Enflame Orange (Kids),ADI-YESEOEE,"Tuesday, June 29, 2021",5:27 PM EST,12K,$160
adidas Yeezy Slide Enflame Orange (Kids),ADI-YESEOEE,"Tuesday, June 29, 2021",4:49 PM EST,12K,$159
adidas Yeezy Slide Enflame Orange (Kids),ADI-YESEOEE,"Tuesday, June 29, 2021",4:47 PM EST,2Y,$132
adidas Yeezy Slide Enflame Orange (Kids),ADI-YESEOEE,"Tuesday, June 29, 2021",4:40 PM EST,3Y,$188
adidas Yeezy Slide Enflame Orange (Kids),ADI-YESEOEE,"Tuesday, June 29, 2021",4:36 PM EST,9K,$122
adidas Yeezy Slide Enflame Orange (Kids),ADI-YESEOEE,"Tuesday, June 29, 2021",3:21 PM EST,11K,$165
adidas Yeezy Slide Enflame Orange (Kids),ADI-YESEOEE,"Tuesday, June 29, 2021",3:03 PM EST,1Y,$131
adidas Yeezy Slide Enflame Orange (Kids),ADI-YESEOEE,"Tuesday, June 29, 2021",2:53 PM EST,9K,$120
adidas Yeezy Slide Enflame Orange (Kids),ADI-YESEOEE,"Tuesday, June 29, 2021",2:48 PM EST,8K,$121
adidas Yeezy Slide Enflame Orange (Kids),ADI-YESEOEE,"Tuesday, June 29, 2021",2:09 PM EST,3Y,$174
adidas Yeezy Slide Enflame Orange (Kids),ADI-YESEOEE,"Tuesday, June 29, 2021",1:12 PM EST,13K,$106
adidas Yeezy Slide Enflame Orange (Kids),ADI-YESEOEE,"Tuesday, June 29, 2021",1:06 PM EST,9K,$123
adidas Yeezy Slide Enflame Orange (Kids),ADI-YESEOEE,"Tuesday, June 29, 2021",10:50 AM EST,1Y,$140
adidas Yeezy Slide Enflame Orange (Kids),ADI-YESEOEE,"Tuesday, June 29, 2021",10:48 AM EST,2Y,$131
adidas Yeezy Slide Enflame Orange (Kids),ADI-YESEOEE,"Tuesday, June 29, 2021",10:47 AM EST,3Y,$180
adidas Yeezy Slide Enflame Orange (Kids),ADI-YESEOEE,"Tuesday, June 29, 2021",10:17 AM EST,9K,$118
adidas Yeezy Slide Enflame Orange (Kids),ADI-YESEOEE,"Tuesday, June 29, 2021",10:08 AM EST,2Y,$123
adidas Yeezy Slide Enflame Orange (Kids),ADI-YESEOEE,"Tuesday, June 29, 2021",8:49 AM EST,2Y,$129
adidas Yeezy Slide Enflame Orange (Kids),ADI-YESEOEE,"Tuesday, June 29, 2021",8:26 AM EST,8K,$163
adidas Yeezy Slide Enflame Orange (Kids),ADI-YESEOEE,"Tuesday, June 29, 2021",7:52 AM EST,12K,$138
