name,ticker,date,time,size,price
adidas Yeezy Slide Enflame Orange (Infants),ADI-YESEOEEI,"Tuesday, July 6, 2021",2:38 PM EST,4K,$119
adidas Yeezy Slide Enflame Orange (Infants),ADI-YESEOEEI,"Tuesday, July 6, 2021",11:56 AM EST,7K,$128
adidas Yeezy Slide Enflame Orange (Infants),ADI-YESEOEEI,"Tuesday, July 6, 2021",9:09 AM EST,5K,$95
adidas Yeezy Slide Enflame Orange (Infants),ADI-YESEOEEI,"Tuesday, July 6, 2021",6:39 AM EST,7K,$105
adidas Yeezy Slide Enflame Orange (Infants),ADI-YESEOEEI,"Tuesday, July 6, 2021",3:22 AM EST,3K,$115
adidas Yeezy Slide Enflame Orange (Infants),ADI-YESEOEEI,"Monday, July 5, 2021",8:54 PM EST,5K,$119
adidas Yeezy Slide Enflame Orange (Infants),ADI-YESEOEEI,"Monday, July 5, 2021",7:45 PM EST,4K,$114
adidas Yeezy Slide Enflame Orange (Infants),ADI-YESEOEEI,"Monday, July 5, 2021",3:17 PM EST,7K,$129
adidas Yeezy Slide Enflame Orange (Infants),ADI-YESEOEEI,"Monday, July 5, 2021",2:50 PM EST,5K,$128
adidas Yeezy Slide Enflame Orange (Infants),ADI-YESEOEEI,"Monday, July 5, 2021",2:27 PM EST,6K,$118
adidas Yeezy Slide Enflame Orange (Infants),ADI-YESEOEEI,"Monday, July 5, 2021",1:42 PM EST,7K,$128
adidas Yeezy Slide Enflame Orange (Infants),ADI-YESEOEEI,"Monday, July 5, 2021",12:52 PM EST,4K,$114
adidas Yeezy Slide Enflame Orange (Infants),ADI-YESEOEEI,"Monday, July 5, 2021",11:14 AM EST,6K,$118
adidas Yeezy Slide Enflame Orange (Infants),ADI-YESEOEEI,"Monday, July 5, 2021",9:21 AM EST,4K,$114
adidas Yeezy Slide Enflame Orange (Infants),ADI-YESEOEEI,"Monday, July 5, 2021",1:33 AM EST,7K,$128
adidas Yeezy Slide Enflame Orange (Infants),ADI-YESEOEEI,"Sunday, July 4, 2021",11:13 PM EST,7K,$127
adidas Yeezy Slide Enflame Orange (Infants),ADI-YESEOEEI,"Sunday, July 4, 2021",4:39 PM EST,5K,$110
adidas Yeezy Slide Enflame Orange (Infants),ADI-YESEOEEI,"Sunday, July 4, 2021",3:23 PM EST,4K,$112
adidas Yeezy Slide Enflame Orange (Infants),ADI-YESEOEEI,"Sunday, July 4, 2021",12:46 PM EST,7K,$127
adidas Yeezy Slide Enflame Orange (Infants),ADI-YESEOEEI,"Sunday, July 4, 2021",1:10 AM EST,7K,$127
adidas Yeezy Slide Enflame Orange (Infants),ADI-YESEOEEI,"Saturday, July 3, 2021",12:32 AM EST,4K,$114
adidas Yeezy Slide Enflame Orange (Infants),ADI-YESEOEEI,"Saturday, July 3, 2021",5:23 PM EST,5K,$129
adidas Yeezy Slide Enflame Orange (Infants),ADI-YESEOEEI,"Saturday, July 3, 2021",4:34 PM EST,7K,$115
adidas Yeezy Slide Enflame Orange (Infants),ADI-YESEOEEI,"Saturday, July 3, 2021",1:28 PM EST,7K,$124
adidas Yeezy Slide Enflame Orange (Infants),ADI-YESEOEEI,"Saturday, July 3, 2021",1:25 PM EST,3K,$100
adidas Yeezy Slide Enflame Orange (Infants),ADI-YESEOEEI,"Saturday, July 3, 2021",10:20 AM EST,7K,$124
adidas Yeezy Slide Enflame Orange (Infants),ADI-YESEOEEI,"Saturday, July 3, 2021",10:19 AM EST,5K,$125
adidas Yeezy Slide Enflame Orange (Infants),ADI-YESEOEEI,"Saturday, July 3, 2021",5:04 AM EST,5K,$120
adidas Yeezy Slide Enflame Orange (Infants),ADI-YESEOEEI,"Saturday, July 3, 2021",4:19 AM EST,6K,$105
adidas Yeezy Slide Enflame Orange (Infants),ADI-YESEOEEI,"Saturday, July 3, 2021",1:51 AM EST,6K,$118
adidas Yeezy Slide Enflame Orange (Infants),ADI-YESEOEEI,"Friday, July 2, 2021",10:49 PM EST,6K,$115
adidas Yeezy Slide Enflame Orange (Infants),ADI-YESEOEEI,"Friday, July 2, 2021",10:21 PM EST,3K,$123
adidas Yeezy Slide Enflame Orange (Infants),ADI-YESEOEEI,"Friday, July 2, 2021",8:26 PM EST,5K,$120
adidas Yeezy Slide Enflame Orange (Infants),ADI-YESEOEEI,"Friday, July 2, 2021",5:42 PM EST,6K,$113
adidas Yeezy Slide Enflame Orange (Infants),ADI-YESEOEEI,"Friday, July 2, 2021",11:18 AM EST,7K,$123
adidas Yeezy Slide Enflame Orange (Infants),ADI-YESEOEEI,"Friday, July 2, 2021",5:47 AM EST,6K,$125
adidas Yeezy Slide Enflame Orange (Infants),ADI-YESEOEEI,"Friday, July 2, 2021",5:47 AM EST,5K,$118
adidas Yeezy Slide Enflame Orange (Infants),ADI-YESEOEEI,"Friday, July 2, 2021",3:28 AM EST,7K,$119
adidas Yeezy Slide Enflame Orange (Infants),ADI-YESEOEEI,"Friday, July 2, 2021",2:25 AM EST,7K,$112
adidas Yeezy Slide Enflame Orange (Infants),ADI-YESEOEEI,"Thursday, July 1, 2021",11:59 PM EST,6K,$112
adidas Yeezy Slide Enflame Orange (Infants),ADI-YESEOEEI,"Thursday, July 1, 2021",11:51 PM EST,7K,$112
adidas Yeezy Slide Enflame Orange (Infants),ADI-YESEOEEI,"Thursday, July 1, 2021",9:24 PM EST,5K,$120
adidas Yeezy Slide Enflame Orange (Infants),ADI-YESEOEEI,"Thursday, July 1, 2021",6:48 PM EST,3K,$117
adidas Yeezy Slide Enflame Orange (Infants),ADI-YESEOEEI,"Thursday, July 1, 2021",3:39 PM EST,3K,$121
adidas Yeezy Slide Enflame Orange (Infants),ADI-YESEOEEI,"Thursday, July 1, 2021",2:57 PM EST,7K,$108
adidas Yeezy Slide Enflame Orange (Infants),ADI-YESEOEEI,"Thursday, July 1, 2021",2:43 PM EST,7K,$109
adidas Yeezy Slide Enflame Orange (Infants),ADI-YESEOEEI,"Thursday, July 1, 2021",2:42 PM EST,6K,$105
adidas Yeezy Slide Enflame Orange (Infants),ADI-YESEOEEI,"Thursday, July 1, 2021",11:20 AM EST,4K,$115
adidas Yeezy Slide Enflame Orange (Infants),ADI-YESEOEEI,"Thursday, July 1, 2021",10:59 AM EST,7K,$109
adidas Yeezy Slide Enflame Orange (Infants),ADI-YESEOEEI,"Thursday, July 1, 2021",10:21 AM EST,5K,$114
adidas Yeezy Slide Enflame Orange (Infants),ADI-YESEOEEI,"Thursday, July 1, 2021",1:56 AM EST,3K,$120
adidas Yeezy Slide Enflame Orange (Infants),ADI-YESEOEEI,"Thursday, July 1, 2021",1:55 AM EST,3K,$120
adidas Yeezy Slide Enflame Orange (Infants),ADI-YESEOEEI,"Wednesday, June 30, 2021",12:58 AM EST,3K,$120
adidas Yeezy Slide Enflame Orange (Infants),ADI-YESEOEEI,"Wednesday, June 30, 2021",10:10 PM EST,5K,$118
adidas Yeezy Slide Enflame Orange (Infants),ADI-YESEOEEI,"Wednesday, June 30, 2021",7:39 PM EST,7K,$113
adidas Yeezy Slide Enflame Orange (Infants),ADI-YESEOEEI,"Wednesday, June 30, 2021",6:12 PM EST,7K,$122
adidas Yeezy Slide Enflame Orange (Infants),ADI-YESEOEEI,"Wednesday, June 30, 2021",3:20 PM EST,6K,$115
adidas Yeezy Slide Enflame Orange (Infants),ADI-YESEOEEI,"Wednesday, June 30, 2021",3:15 PM EST,5K,$110
