name,ticker,date,time,size,price
adidas Yeezy Slide Pure (Infants),ADI-YESPPI,"Tuesday, July 6, 2021",12:57 PM EST,5K,$195
adidas Yeezy Slide Pure (Infants),ADI-YESPPI,"Monday, July 5, 2021",6:52 PM EST,7K,$245
adidas Yeezy Slide Pure (Infants),ADI-YESPPI,"Monday, July 5, 2021",7:55 AM EST,7K,$219
adidas Yeezy Slide Pure (Infants),ADI-YESPPI,"Saturday, July 3, 2021",10:37 PM EST,5K,$195
adidas Yeezy Slide Pure (Infants),ADI-YESPPI,"Saturday, July 3, 2021",2:16 PM EST,7K,$233
adidas Yeezy Slide Pure (Infants),ADI-YESPPI,"Saturday, July 3, 2021",5:39 AM EST,3K,$193
adidas Yeezy Slide Pure (Infants),ADI-YESPPI,"Friday, July 2, 2021",8:23 PM EST,5K,$194
adidas Yeezy Slide Pure (Infants),ADI-YESPPI,"Thursday, July 1, 2021",8:35 PM EST,6K,$231
adidas Yeezy Slide Pure (Infants),ADI-YESPPI,"Thursday, July 1, 2021",7:55 AM EST,5K,$180
adidas Yeezy Slide Pure (Infants),ADI-YESPPI,"Wednesday, June 30, 2021",11:31 PM EST,7K,$227
adidas Yeezy Slide Pure (Infants),ADI-YESPPI,"Wednesday, June 30, 2021",3:55 PM EST,6K,$225
adidas Yeezy Slide Pure (Infants),ADI-YESPPI,"Wednesday, June 30, 2021",3:37 PM EST,3K,$191
adidas Yeezy Slide Pure (Infants),ADI-YESPPI,"Wednesday, June 30, 2021",2:09 PM EST,7K,$224
adidas Yeezy Slide Pure (Infants),ADI-YESPPI,"Tuesday, June 29, 2021",10:45 PM EST,5K,$196
adidas Yeezy Slide Pure (Infants),ADI-YESPPI,"Tuesday, June 29, 2021",10:36 PM EST,7K,$223
adidas Yeezy Slide Pure (Infants),ADI-YESPPI,"Monday, June 28, 2021",1:55 PM EST,5K,$172
adidas Yeezy Slide Pure (Infants),ADI-YESPPI,"Sunday, June 27, 2021",11:38 AM EST,5K,$150
adidas Yeezy Slide Pure (Infants),ADI-YESPPI,"Sunday, June 27, 2021",3:51 AM EST,7K,$220
adidas Yeezy Slide Pure (Infants),ADI-YESPPI,"Saturday, June 26, 2021",12:47 PM EST,4K,$195
adidas Yeezy Slide Pure (Infants),ADI-YESPPI,"Friday, June 25, 2021",10:21 PM EST,4K,$210
adidas Yeezy Slide Pure (Infants),ADI-YESPPI,"Friday, June 25, 2021",9:00 PM EST,6K,$242
adidas Yeezy Slide Pure (Infants),ADI-YESPPI,"Friday, June 25, 2021",8:49 PM EST,6K,$223
adidas Yeezy Slide Pure (Infants),ADI-YESPPI,"Friday, June 25, 2021",4:54 PM EST,6K,$233
