name,ticker,date,time,size,price
adidas Yeezy Slide Pure (Kids),ADI-YESPPK,"Tuesday, July 6, 2021",3:21 PM EST,9K,$292
adidas Yeezy Slide Pure (Kids),ADI-YESPPK,"Monday, July 5, 2021",5:14 PM EST,2Y,$314
adidas Yeezy Slide Pure (Kids),ADI-YESPPK,"Monday, July 5, 2021",3:55 PM EST,3Y,$274
adidas Yeezy Slide Pure (Kids),ADI-YESPPK,"Monday, July 5, 2021",1:04 PM EST,3Y,$302
adidas Yeezy Slide Pure (Kids),ADI-YESPPK,"Friday, July 2, 2021",12:18 AM EST,10K,$200
adidas Yeezy Slide Pure (Kids),ADI-YESPPK,"Friday, July 2, 2021",10:09 PM EST,2Y,$279
adidas Yeezy Slide Pure (Kids),ADI-YESPPK,"Friday, July 2, 2021",10:09 PM EST,13K,$220
adidas Yeezy Slide Pure (Kids),ADI-YESPPK,"Friday, July 2, 2021",12:10 PM EST,11K,$294
adidas Yeezy Slide Pure (Kids),ADI-YESPPK,"Thursday, July 1, 2021",10:41 PM EST,3Y,$274
adidas Yeezy Slide Pure (Kids),ADI-YESPPK,"Thursday, July 1, 2021",2:59 PM EST,9K,$331
adidas Yeezy Slide Pure (Kids),ADI-YESPPK,"Thursday, July 1, 2021",11:23 AM EST,2Y,$260
adidas Yeezy Slide Pure (Kids),ADI-YESPPK,"Thursday, July 1, 2021",8:04 AM EST,3Y,$273
adidas Yeezy Slide Pure (Kids),ADI-YESPPK,"Wednesday, June 30, 2021",11:54 AM EST,9K,$297
adidas Yeezy Slide Pure (Kids),ADI-YESPPK,"Tuesday, June 29, 2021",9:33 PM EST,3Y,$261
adidas Yeezy Slide Pure (Kids),ADI-YESPPK,"Tuesday, June 29, 2021",8:37 PM EST,12K,$129
adidas Yeezy Slide Pure (Kids),ADI-YESPPK,"Tuesday, June 29, 2021",4:14 PM EST,3Y,$185
adidas Yeezy Slide Pure (Kids),ADI-YESPPK,"Tuesday, June 29, 2021",6:38 AM EST,11K,$315
adidas Yeezy Slide Pure (Kids),ADI-YESPPK,"Tuesday, June 29, 2021",3:26 AM EST,3Y,$250
adidas Yeezy Slide Pure (Kids),ADI-YESPPK,"Saturday, June 26, 2021",5:37 PM EST,11K,$273
adidas Yeezy Slide Pure (Kids),ADI-YESPPK,"Saturday, June 26, 2021",12:39 PM EST,1Y,$222
adidas Yeezy Slide Pure (Kids),ADI-YESPPK,"Friday, June 25, 2021",8:06 PM EST,13K,$140
adidas Yeezy Slide Pure (Kids),ADI-YESPPK,"Friday, June 25, 2021",4:50 PM EST,2Y,$280
adidas Yeezy Slide Pure (Kids),ADI-YESPPK,"Friday, June 25, 2021",11:34 AM EST,11K,$240
adidas Yeezy Slide Pure (Kids),ADI-YESPPK,"Thursday, June 24, 2021",8:00 PM EST,10K,$292
adidas Yeezy Slide Pure (Kids),ADI-YESPPK,"Wednesday, June 23, 2021",3:35 PM EST,3Y,$255
adidas Yeezy Slide Pure (Kids),ADI-YESPPK,"Wednesday, June 23, 2021",3:13 PM EST,13K,$219
adidas Yeezy Slide Pure (Kids),ADI-YESPPK,"Wednesday, June 23, 2021",12:37 PM EST,3Y,$185
adidas Yeezy Slide Pure (Kids),ADI-YESPPK,"Tuesday, June 22, 2021",9:27 PM EST,1Y,$229
adidas Yeezy Slide Pure (Kids),ADI-YESPPK,"Tuesday, June 22, 2021",5:13 PM EST,11K,$175
adidas Yeezy Slide Pure (Kids),ADI-YESPPK,"Tuesday, June 22, 2021",5:06 PM EST,3Y,$200
adidas Yeezy Slide Pure (Kids),ADI-YESPPK,"Monday, June 21, 2021",9:39 PM EST,12K,$250
adidas Yeezy Slide Pure (Kids),ADI-YESPPK,"Monday, June 21, 2021",9:35 PM EST,11K,$208
adidas Yeezy Slide Pure (Kids),ADI-YESPPK,"Monday, June 21, 2021",5:25 AM EST,11K,$192
adidas Yeezy Slide Pure (Kids),ADI-YESPPK,"Sunday, June 20, 2021",9:35 PM EST,13K,$145
adidas Yeezy Slide Pure (Kids),ADI-YESPPK,"Sunday, June 20, 2021",12:37 PM EST,8K,$297
adidas Yeezy Slide Pure (Kids),ADI-YESPPK,"Sunday, June 20, 2021",12:35 PM EST,2Y,$284
adidas Yeezy Slide Pure (Kids),ADI-YESPPK,"Sunday, June 20, 2021",12:34 PM EST,2Y,$194
adidas Yeezy Slide Pure (Kids),ADI-YESPPK,"Friday, June 18, 2021",10:49 AM EST,2Y,$204
adidas Yeezy Slide Pure (Kids),ADI-YESPPK,"Thursday, June 17, 2021",11:45 AM EST,11K,$209
adidas Yeezy Slide Pure (Kids),ADI-YESPPK,"Thursday, June 17, 2021",9:53 AM EST,3Y,$205
adidas Yeezy Slide Pure (Kids),ADI-YESPPK,"Thursday, June 17, 2021",5:36 AM EST,1Y,$228
adidas Yeezy Slide Pure (Kids),ADI-YESPPK,"Thursday, June 17, 2021",5:34 AM EST,10K,$327
adidas Yeezy Slide Pure (Kids),ADI-YESPPK,"Wednesday, June 16, 2021",9:48 AM EST,11K,$155
adidas Yeezy Slide Pure (Kids),ADI-YESPPK,"Tuesday, June 15, 2021",5:28 PM EST,2Y,$194
adidas Yeezy Slide Pure (Kids),ADI-YESPPK,"Monday, June 14, 2021",12:50 PM EST,3Y,$328
adidas Yeezy Slide Pure (Kids),ADI-YESPPK,"Monday, June 14, 2021",9:52 AM EST,11K,$210
adidas Yeezy Slide Pure (Kids),ADI-YESPPK,"Sunday, June 13, 2021",5:20 PM EST,2Y,$194
adidas Yeezy Slide Pure (Kids),ADI-YESPPK,"Sunday, June 13, 2021",5:04 PM EST,2Y,$189
adidas Yeezy Slide Pure (Kids),ADI-YESPPK,"Sunday, June 13, 2021",8:10 AM EST,1Y,$110
adidas Yeezy Slide Pure (Kids),ADI-YESPPK,"Sunday, June 13, 2021",7:00 AM EST,13K,$244
adidas Yeezy Slide Pure (Kids),ADI-YESPPK,"Saturday, June 12, 2021",8:46 PM EST,2Y,$183
