name,ticker,date,time,size,price
adidas Yeezy Boost 350 V2 Static Reflective,Y350BV2-STRF,"Tuesday, July 6, 2021",2:41 PM EST,9,$721
adidas Yeezy Boost 350 V2 Static Reflective,Y350BV2-STRF,"Tuesday, July 6, 2021",5:15 AM EST,12,$575
adidas Yeezy Boost 350 V2 Static Reflective,Y350BV2-STRF,"Monday, July 5, 2021",11:47 AM EST,8,$800
adidas Yeezy Boost 350 V2 Static Reflective,Y350BV2-STRF,"Sunday, July 4, 2021",3:12 PM EST,7,"$1,200"
adidas Yeezy Boost 350 V2 Static Reflective,Y350BV2-STRF,"Friday, July 2, 2021",9:55 PM EST,9.5,$749
adidas Yeezy Boost 350 V2 Static Reflective,Y350BV2-STRF,"Friday, July 2, 2021",3:30 PM EST,6,$990
adidas Yeezy Boost 350 V2 Static Reflective,Y350BV2-STRF,"Friday, July 2, 2021",11:25 AM EST,8,$810
adidas Yeezy Boost 350 V2 Static Reflective,Y350BV2-STRF,"Friday, July 2, 2021",7:12 AM EST,10,$645
adidas Yeezy Boost 350 V2 Static Reflective,Y350BV2-STRF,"Thursday, July 1, 2021",11:29 PM EST,4,$690
adidas Yeezy Boost 350 V2 Static Reflective,Y350BV2-STRF,"Thursday, July 1, 2021",2:49 PM EST,9,$632
adidas Yeezy Boost 350 V2 Static Reflective,Y350BV2-STRF,"Thursday, July 1, 2021",2:49 PM EST,5.5,$720
adidas Yeezy Boost 350 V2 Static Reflective,Y350BV2-STRF,"Wednesday, June 30, 2021",11:22 PM EST,12,$550
adidas Yeezy Boost 350 V2 Static Reflective,Y350BV2-STRF,"Wednesday, June 30, 2021",8:23 AM EST,11,$799
adidas Yeezy Boost 350 V2 Static Reflective,Y350BV2-STRF,"Tuesday, June 29, 2021",4:19 PM EST,6,$974
adidas Yeezy Boost 350 V2 Static Reflective,Y350BV2-STRF,"Monday, June 28, 2021",9:07 AM EST,8,$840
adidas Yeezy Boost 350 V2 Static Reflective,Y350BV2-STRF,"Sunday, June 27, 2021",10:37 PM EST,4,$750
adidas Yeezy Boost 350 V2 Static Reflective,Y350BV2-STRF,"Sunday, June 27, 2021",9:43 PM EST,10.5,$600
adidas Yeezy Boost 350 V2 Static Reflective,Y350BV2-STRF,"Sunday, June 27, 2021",8:16 PM EST,11,$750
adidas Yeezy Boost 350 V2 Static Reflective,Y350BV2-STRF,"Friday, June 25, 2021",2:02 AM EST,8.5,$729
adidas Yeezy Boost 350 V2 Static Reflective,Y350BV2-STRF,"Thursday, June 24, 2021",8:37 PM EST,7,"$1,200"
adidas Yeezy Boost 350 V2 Static Reflective,Y350BV2-STRF,"Wednesday, June 23, 2021",10:00 PM EST,14,$375
adidas Yeezy Boost 350 V2 Static Reflective,Y350BV2-STRF,"Monday, June 21, 2021",5:44 AM EST,8,$813
adidas Yeezy Boost 350 V2 Static Reflective,Y350BV2-STRF,"Sunday, June 20, 2021",9:12 PM EST,8.5,$711
adidas Yeezy Boost 350 V2 Static Reflective,Y350BV2-STRF,"Sunday, June 20, 2021",12:24 PM EST,8.5,$726
adidas Yeezy Boost 350 V2 Static Reflective,Y350BV2-STRF,"Saturday, June 19, 2021",10:44 PM EST,9.5,$749
adidas Yeezy Boost 350 V2 Static Reflective,Y350BV2-STRF,"Saturday, June 19, 2021",10:58 AM EST,10.5,$600
adidas Yeezy Boost 350 V2 Static Reflective,Y350BV2-STRF,"Friday, June 18, 2021",3:46 PM EST,14,$442
adidas Yeezy Boost 350 V2 Static Reflective,Y350BV2-STRF,"Tuesday, June 15, 2021",6:50 PM EST,14,$442
adidas Yeezy Boost 350 V2 Static Reflective,Y350BV2-STRF,"Tuesday, June 15, 2021",3:40 PM EST,6,$941
adidas Yeezy Boost 350 V2 Static Reflective,Y350BV2-STRF,"Monday, June 14, 2021",8:07 PM EST,9,$632
adidas Yeezy Boost 350 V2 Static Reflective,Y350BV2-STRF,"Thursday, June 10, 2021",9:49 PM EST,12,$650
adidas Yeezy Boost 350 V2 Static Reflective,Y350BV2-STRF,"Wednesday, June 9, 2021",7:00 PM EST,11,$777
adidas Yeezy Boost 350 V2 Static Reflective,Y350BV2-STRF,"Wednesday, June 9, 2021",6:59 PM EST,4.5,$899
adidas Yeezy Boost 350 V2 Static Reflective,Y350BV2-STRF,"Wednesday, June 9, 2021",2:15 PM EST,10.5,$610
adidas Yeezy Boost 350 V2 Static Reflective,Y350BV2-STRF,"Tuesday, June 8, 2021",9:42 PM EST,10,$676
adidas Yeezy Boost 350 V2 Static Reflective,Y350BV2-STRF,"Monday, June 7, 2021",1:58 PM EST,10,$671
