name,ticker,date,time,size,price
adidas Yeezy Boost 700 Salt,Y700-SLT,"Tuesday, July 6, 2021",10:42 PM EST,10.5,$340
adidas Yeezy Boost 700 Salt,Y700-SLT,"Tuesday, July 6, 2021",4:30 PM EST,14,$301
adidas Yeezy Boost 700 Salt,Y700-SLT,"Tuesday, July 6, 2021",2:10 PM EST,11,$300
adidas Yeezy Boost 700 Salt,Y700-SLT,"Sunday, July 4, 2021",7:44 PM EST,7.5,$346
adidas Yeezy Boost 700 Salt,Y700-SLT,"Saturday, July 3, 2021",9:16 PM EST,10,$350
adidas Yeezy Boost 700 Salt,Y700-SLT,"Friday, July 2, 2021",12:25 AM EST,8,$399
adidas Yeezy Boost 700 Salt,Y700-SLT,"Friday, July 2, 2021",5:17 PM EST,11,$364
adidas Yeezy Boost 700 Salt,Y700-SLT,"Friday, July 2, 2021",2:45 PM EST,10,$357
adidas Yeezy Boost 700 Salt,Y700-SLT,"Friday, July 2, 2021",1:12 PM EST,12,$368
adidas Yeezy Boost 700 Salt,Y700-SLT,"Friday, July 2, 2021",8:15 AM EST,4,$400
adidas Yeezy Boost 700 Salt,Y700-SLT,"Thursday, July 1, 2021",6:29 PM EST,8,$346
adidas Yeezy Boost 700 Salt,Y700-SLT,"Wednesday, June 30, 2021",11:07 PM EST,9,$392
adidas Yeezy Boost 700 Salt,Y700-SLT,"Tuesday, June 29, 2021",8:56 PM EST,9,$392
adidas Yeezy Boost 700 Salt,Y700-SLT,"Sunday, June 27, 2021",10:19 PM EST,12,$370
adidas Yeezy Boost 700 Salt,Y700-SLT,"Friday, June 25, 2021",10:29 AM EST,13,$436
adidas Yeezy Boost 700 Salt,Y700-SLT,"Friday, June 25, 2021",2:45 AM EST,8.5,$324
adidas Yeezy Boost 700 Salt,Y700-SLT,"Thursday, June 24, 2021",4:44 PM EST,10.5,$345
adidas Yeezy Boost 700 Salt,Y700-SLT,"Tuesday, June 22, 2021",1:00 AM EST,8.5,$360
adidas Yeezy Boost 700 Salt,Y700-SLT,"Sunday, June 20, 2021",10:08 PM EST,8.5,$350
adidas Yeezy Boost 700 Salt,Y700-SLT,"Sunday, June 20, 2021",8:42 PM EST,10.5,$357
adidas Yeezy Boost 700 Salt,Y700-SLT,"Sunday, June 20, 2021",3:28 PM EST,8,$350
adidas Yeezy Boost 700 Salt,Y700-SLT,"Friday, June 18, 2021",7:56 AM EST,9.5,$365
adidas Yeezy Boost 700 Salt,Y700-SLT,"Thursday, June 17, 2021",11:20 AM EST,13,$375
adidas Yeezy Boost 700 Salt,Y700-SLT,"Wednesday, June 16, 2021",11:43 AM EST,12,$365
adidas Yeezy Boost 700 Salt,Y700-SLT,"Tuesday, June 15, 2021",10:16 PM EST,9.5,$365
adidas Yeezy Boost 700 Salt,Y700-SLT,"Tuesday, June 15, 2021",9:38 PM EST,10,$350
adidas Yeezy Boost 700 Salt,Y700-SLT,"Tuesday, June 15, 2021",9:17 PM EST,10.5,$359
adidas Yeezy Boost 700 Salt,Y700-SLT,"Tuesday, June 15, 2021",1:49 PM EST,11,$330
adidas Yeezy Boost 700 Salt,Y700-SLT,"Tuesday, June 15, 2021",8:17 AM EST,10,$451
adidas Yeezy Boost 700 Salt,Y700-SLT,"Tuesday, June 15, 2021",1:33 AM EST,8,$478
adidas Yeezy Boost 700 Salt,Y700-SLT,"Monday, June 14, 2021",7:19 PM EST,10.5,$342
adidas Yeezy Boost 700 Salt,Y700-SLT,"Monday, June 14, 2021",3:08 PM EST,11.5,$350
adidas Yeezy Boost 700 Salt,Y700-SLT,"Monday, June 14, 2021",8:59 AM EST,8.5,$380
adidas Yeezy Boost 700 Salt,Y700-SLT,"Saturday, June 12, 2021",10:20 AM EST,10,$381
adidas Yeezy Boost 700 Salt,Y700-SLT,"Friday, June 11, 2021",1:51 PM EST,9,$390
adidas Yeezy Boost 700 Salt,Y700-SLT,"Friday, June 11, 2021",4:24 AM EST,11,$370
adidas Yeezy Boost 700 Salt,Y700-SLT,"Wednesday, June 9, 2021",5:05 AM EST,7.5,$463
adidas Yeezy Boost 700 Salt,Y700-SLT,"Tuesday, June 8, 2021",11:03 PM EST,12,$356
adidas Yeezy Boost 700 Salt,Y700-SLT,"Tuesday, June 8, 2021",11:02 PM EST,12,$360
adidas Yeezy Boost 700 Salt,Y700-SLT,"Monday, June 7, 2021",2:49 PM EST,9,$426
adidas Yeezy Boost 700 Salt,Y700-SLT,"Monday, June 7, 2021",4:44 AM EST,9.5,$349
adidas Yeezy Boost 700 Salt,Y700-SLT,"Saturday, June 5, 2021",11:49 PM EST,12,$380
adidas Yeezy Boost 700 Salt,Y700-SLT,"Saturday, June 5, 2021",3:02 PM EST,10,$347
adidas Yeezy Boost 700 Salt,Y700-SLT,"Saturday, June 5, 2021",2:30 PM EST,8.5,$376
adidas Yeezy Boost 700 Salt,Y700-SLT,"Friday, June 4, 2021",6:40 PM EST,11,$310
adidas Yeezy Boost 700 Salt,Y700-SLT,"Thursday, June 3, 2021",2:14 PM EST,11,$370
adidas Yeezy Boost 700 Salt,Y700-SLT,"Thursday, June 3, 2021",1:59 PM EST,8,$351
adidas Yeezy Boost 700 Salt,Y700-SLT,"Wednesday, June 2, 2021",9:10 PM EST,10.5,$360
adidas Yeezy Boost 700 Salt,Y700-SLT,"Tuesday, June 1, 2021",7:48 PM EST,10,$355
adidas Yeezy Boost 700 Salt,Y700-SLT,"Tuesday, June 1, 2021",7:47 PM EST,10,$355
adidas Yeezy Boost 700 Salt,Y700-SLT,"Tuesday, June 1, 2021",4:06 PM EST,11.5,$301
adidas Yeezy Boost 700 Salt,Y700-SLT,"Tuesday, June 1, 2021",10:43 AM EST,11,$375
adidas Yeezy Boost 700 Salt,Y700-SLT,"Tuesday, June 1, 2021",9:51 AM EST,5.5,$575
adidas Yeezy Boost 700 Salt,Y700-SLT,"Tuesday, June 1, 2021",8:29 AM EST,8.5,$301
adidas Yeezy Boost 700 Salt,Y700-SLT,"Monday, May 31, 2021",8:09 PM EST,13,$321
adidas Yeezy Boost 700 Salt,Y700-SLT,"Monday, May 31, 2021",7:07 PM EST,9.5,$359
adidas Yeezy Boost 700 Salt,Y700-SLT,"Monday, May 31, 2021",7:04 PM EST,10.5,$360
adidas Yeezy Boost 700 Salt,Y700-SLT,"Monday, May 31, 2021",12:06 PM EST,10,$415
adidas Yeezy Boost 700 Salt,Y700-SLT,"Saturday, May 29, 2021",8:09 PM EST,10.5,$351
adidas Yeezy Boost 700 Salt,Y700-SLT,"Saturday, May 29, 2021",4:09 PM EST,10.5,$393
adidas Yeezy Boost 700 Salt,Y700-SLT,"Saturday, May 29, 2021",12:23 PM EST,11,$379
adidas Yeezy Boost 700 Salt,Y700-SLT,"Saturday, May 29, 2021",3:33 AM EST,11,$355
adidas Yeezy Boost 700 Salt,Y700-SLT,"Friday, May 28, 2021",2:55 AM EST,11,$379
adidas Yeezy Boost 700 Salt,Y700-SLT,"Thursday, May 27, 2021",10:41 PM EST,11,$353
adidas Yeezy Boost 700 Salt,Y700-SLT,"Thursday, May 27, 2021",6:53 PM EST,8,$390
adidas Yeezy Boost 700 Salt,Y700-SLT,"Thursday, May 27, 2021",5:40 AM EST,7.5,$426
adidas Yeezy Boost 700 Salt,Y700-SLT,"Wednesday, May 26, 2021",12:16 PM EST,11,$360
adidas Yeezy Boost 700 Salt,Y700-SLT,"Wednesday, May 26, 2021",11:44 AM EST,10,$447
adidas Yeezy Boost 700 Salt,Y700-SLT,"Wednesday, May 26, 2021",11:19 AM EST,10,$399
adidas Yeezy Boost 700 Salt,Y700-SLT,"Tuesday, May 25, 2021",12:24 AM EST,11,$355
adidas Yeezy Boost 700 Salt,Y700-SLT,"Tuesday, May 25, 2021",3:10 PM EST,11,$350
adidas Yeezy Boost 700 Salt,Y700-SLT,"Monday, May 24, 2021",2:18 PM EST,12.5,$403
adidas Yeezy Boost 700 Salt,Y700-SLT,"Sunday, May 23, 2021",9:39 PM EST,11.5,$368
adidas Yeezy Boost 700 Salt,Y700-SLT,"Sunday, May 23, 2021",7:54 PM EST,11,$350
adidas Yeezy Boost 700 Salt,Y700-SLT,"Sunday, May 23, 2021",6:10 PM EST,9,$380
adidas Yeezy Boost 700 Salt,Y700-SLT,"Saturday, May 22, 2021",9:55 PM EST,9.5,$365
adidas Yeezy Boost 700 Salt,Y700-SLT,"Saturday, May 22, 2021",1:12 PM EST,11,$350
adidas Yeezy Boost 700 Salt,Y700-SLT,"Saturday, May 22, 2021",12:40 PM EST,11.5,$337
adidas Yeezy Boost 700 Salt,Y700-SLT,"Saturday, May 22, 2021",11:55 AM EST,10.5,$320
adidas Yeezy Boost 700 Salt,Y700-SLT,"Friday, May 21, 2021",9:17 AM EST,8.5,$475
adidas Yeezy Boost 700 Salt,Y700-SLT,"Wednesday, May 19, 2021",11:24 PM EST,13,$390
adidas Yeezy Boost 700 Salt,Y700-SLT,"Wednesday, May 19, 2021",2:10 AM EST,10.5,$404
adidas Yeezy Boost 700 Salt,Y700-SLT,"Tuesday, May 18, 2021",7:17 AM EST,12,$505
adidas Yeezy Boost 700 Salt,Y700-SLT,"Monday, May 17, 2021",5:07 PM EST,7,$440
adidas Yeezy Boost 700 Salt,Y700-SLT,"Monday, May 17, 2021",1:56 PM EST,9.5,$368
adidas Yeezy Boost 700 Salt,Y700-SLT,"Sunday, May 16, 2021",4:02 PM EST,8,$440
adidas Yeezy Boost 700 Salt,Y700-SLT,"Thursday, May 13, 2021",11:35 PM EST,12,$377
adidas Yeezy Boost 700 Salt,Y700-SLT,"Thursday, May 13, 2021",9:19 PM EST,9.5,$368
adidas Yeezy Boost 700 Salt,Y700-SLT,"Thursday, May 13, 2021",8:54 PM EST,11,$354
adidas Yeezy Boost 700 Salt,Y700-SLT,"Thursday, May 13, 2021",4:51 PM EST,7,$450
adidas Yeezy Boost 700 Salt,Y700-SLT,"Wednesday, May 12, 2021",11:19 PM EST,10.5,$360
adidas Yeezy Boost 700 Salt,Y700-SLT,"Wednesday, May 12, 2021",11:05 PM EST,14,$420
adidas Yeezy Boost 700 Salt,Y700-SLT,"Wednesday, May 12, 2021",12:30 PM EST,9,$380
adidas Yeezy Boost 700 Salt,Y700-SLT,"Wednesday, May 12, 2021",11:57 AM EST,11.5,$365
adidas Yeezy Boost 700 Salt,Y700-SLT,"Tuesday, May 11, 2021",10:36 PM EST,12.5,$350
