name,ticker,date,time,size,price
adidas Yeezy Boost 700 V2 Static,Y700V2-STC,"Tuesday, July 6, 2021",2:38 PM EST,10,$680
adidas Yeezy Boost 700 V2 Static,Y700V2-STC,"Tuesday, July 6, 2021",9:34 AM EST,10.5,$680
adidas Yeezy Boost 700 V2 Static,Y700V2-STC,"Sunday, July 4, 2021",11:59 PM EST,11,$769
adidas Yeezy Boost 700 V2 Static,Y700V2-STC,"Friday, July 2, 2021",12:13 PM EST,11,$628
adidas Yeezy Boost 700 V2 Static,Y700V2-STC,"Thursday, July 1, 2021",10:19 AM EST,9.5,$689
adidas Yeezy Boost 700 V2 Static,Y700V2-STC,"Wednesday, June 30, 2021",11:06 PM EST,13,$512
adidas Yeezy Boost 700 V2 Static,Y700V2-STC,"Thursday, June 24, 2021",2:36 AM EST,7,$742
adidas Yeezy Boost 700 V2 Static,Y700V2-STC,"Sunday, June 20, 2021",7:49 AM EST,7.5,"$1,067"
adidas Yeezy Boost 700 V2 Static,Y700V2-STC,"Thursday, June 17, 2021",11:25 PM EST,8.5,$754
adidas Yeezy Boost 700 V2 Static,Y700V2-STC,"Thursday, June 17, 2021",4:21 PM EST,8.5,"$1,168"
adidas Yeezy Boost 700 V2 Static,Y700V2-STC,"Thursday, June 17, 2021",4:20 PM EST,8.5,"$1,166"
adidas Yeezy Boost 700 V2 Static,Y700V2-STC,"Tuesday, June 15, 2021",9:22 PM EST,11.5,$800
adidas Yeezy Boost 700 V2 Static,Y700V2-STC,"Tuesday, June 15, 2021",4:19 PM EST,12,$700
adidas Yeezy Boost 700 V2 Static,Y700V2-STC,"Sunday, June 13, 2021",1:24 PM EST,11.5,$780
adidas Yeezy Boost 700 V2 Static,Y700V2-STC,"Sunday, June 13, 2021",2:48 AM EST,9.5,$780
adidas Yeezy Boost 700 V2 Static,Y700V2-STC,"Saturday, June 12, 2021",8:27 AM EST,12.5,$900
adidas Yeezy Boost 700 V2 Static,Y700V2-STC,"Thursday, June 10, 2021",2:16 PM EST,11,$770
adidas Yeezy Boost 700 V2 Static,Y700V2-STC,"Thursday, June 10, 2021",10:08 AM EST,10,$950
adidas Yeezy Boost 700 V2 Static,Y700V2-STC,"Thursday, June 10, 2021",8:47 AM EST,11,$858
adidas Yeezy Boost 700 V2 Static,Y700V2-STC,"Tuesday, June 8, 2021",7:52 PM EST,8.5,$806
adidas Yeezy Boost 700 V2 Static,Y700V2-STC,"Tuesday, June 8, 2021",6:05 PM EST,8.5,$771
adidas Yeezy Boost 700 V2 Static,Y700V2-STC,"Monday, June 7, 2021",12:09 AM EST,11,$776
adidas Yeezy Boost 700 V2 Static,Y700V2-STC,"Monday, June 7, 2021",2:35 PM EST,11.5,$635
adidas Yeezy Boost 700 V2 Static,Y700V2-STC,"Monday, June 7, 2021",12:03 PM EST,9,$994
adidas Yeezy Boost 700 V2 Static,Y700V2-STC,"Sunday, June 6, 2021",2:16 PM EST,6,$737
adidas Yeezy Boost 700 V2 Static,Y700V2-STC,"Sunday, June 6, 2021",12:26 PM EST,10.5,$659
adidas Yeezy Boost 700 V2 Static,Y700V2-STC,"Friday, June 4, 2021",2:50 PM EST,11,$775
adidas Yeezy Boost 700 V2 Static,Y700V2-STC,"Thursday, June 3, 2021",5:29 PM EST,10,$976
adidas Yeezy Boost 700 V2 Static,Y700V2-STC,"Tuesday, June 1, 2021",4:37 PM EST,10,$899
adidas Yeezy Boost 700 V2 Static,Y700V2-STC,"Thursday, May 27, 2021",2:25 PM EST,12,"$1,020"
adidas Yeezy Boost 700 V2 Static,Y700V2-STC,"Tuesday, May 25, 2021",2:17 AM EST,7.5,"$1,053"
adidas Yeezy Boost 700 V2 Static,Y700V2-STC,"Monday, May 24, 2021",12:01 AM EST,4.5,"$1,080"
