name,ticker,date,time,size,price
adidas Yeezy Boost 350 V2 Cinder,YB350V2-CND,"Tuesday, July 6, 2021",7:04 PM EST,5,$444
adidas Yeezy Boost 350 V2 Cinder,YB350V2-CND,"Tuesday, July 6, 2021",6:12 PM EST,11,$400
adidas Yeezy Boost 350 V2 Cinder,YB350V2-CND,"Tuesday, July 6, 2021",5:57 PM EST,6.5,$465
adidas Yeezy Boost 350 V2 Cinder,YB350V2-CND,"Tuesday, July 6, 2021",5:01 PM EST,11.5,$485
adidas Yeezy Boost 350 V2 Cinder,YB350V2-CND,"Tuesday, July 6, 2021",4:57 PM EST,10,$462
adidas Yeezy Boost 350 V2 Cinder,YB350V2-CND,"Tuesday, July 6, 2021",4:24 PM EST,16,$395
adidas Yeezy Boost 350 V2 Cinder,YB350V2-CND,"Tuesday, July 6, 2021",4:21 PM EST,8,$434
adidas Yeezy Boost 350 V2 Cinder,YB350V2-CND,"Tuesday, July 6, 2021",4:08 PM EST,7.5,$449
adidas Yeezy Boost 350 V2 Cinder,YB350V2-CND,"Tuesday, July 6, 2021",2:47 PM EST,13,$376
adidas Yeezy Boost 350 V2 Cinder,YB350V2-CND,"Tuesday, July 6, 2021",2:26 PM EST,13,$332
adidas Yeezy Boost 350 V2 Cinder,YB350V2-CND,"Tuesday, July 6, 2021",2:24 PM EST,13,$361
adidas Yeezy Boost 350 V2 Cinder,YB350V2-CND,"Tuesday, July 6, 2021",12:48 PM EST,10.5,$430
adidas Yeezy Boost 350 V2 Cinder,YB350V2-CND,"Tuesday, July 6, 2021",12:39 PM EST,12,$405
adidas Yeezy Boost 350 V2 Cinder,YB350V2-CND,"Tuesday, July 6, 2021",11:30 AM EST,7.5,$450
adidas Yeezy Boost 350 V2 Cinder,YB350V2-CND,"Tuesday, July 6, 2021",3:54 AM EST,10,$451
adidas Yeezy Boost 350 V2 Cinder,YB350V2-CND,"Monday, July 5, 2021",12:04 AM EST,11,$414
adidas Yeezy Boost 350 V2 Cinder,YB350V2-CND,"Monday, July 5, 2021",11:38 PM EST,9.5,$431
adidas Yeezy Boost 350 V2 Cinder,YB350V2-CND,"Monday, July 5, 2021",9:44 PM EST,9.5,$455
adidas Yeezy Boost 350 V2 Cinder,YB350V2-CND,"Monday, July 5, 2021",8:29 PM EST,11.5,$436
adidas Yeezy Boost 350 V2 Cinder,YB350V2-CND,"Monday, July 5, 2021",8:20 PM EST,10.5,$415
adidas Yeezy Boost 350 V2 Cinder,YB350V2-CND,"Monday, July 5, 2021",6:38 PM EST,12,$419
adidas Yeezy Boost 350 V2 Cinder,YB350V2-CND,"Monday, July 5, 2021",6:07 PM EST,9,$461
adidas Yeezy Boost 350 V2 Cinder,YB350V2-CND,"Monday, July 5, 2021",4:49 PM EST,10,$440
adidas Yeezy Boost 350 V2 Cinder,YB350V2-CND,"Monday, July 5, 2021",4:43 PM EST,9,$458
adidas Yeezy Boost 350 V2 Cinder,YB350V2-CND,"Monday, July 5, 2021",4:27 PM EST,6.5,$505
adidas Yeezy Boost 350 V2 Cinder,YB350V2-CND,"Monday, July 5, 2021",4:14 PM EST,5.5,$455
adidas Yeezy Boost 350 V2 Cinder,YB350V2-CND,"Monday, July 5, 2021",4:08 PM EST,9,$458
adidas Yeezy Boost 350 V2 Cinder,YB350V2-CND,"Monday, July 5, 2021",1:45 PM EST,10.5,$430
adidas Yeezy Boost 350 V2 Cinder,YB350V2-CND,"Monday, July 5, 2021",12:30 PM EST,9,$410
adidas Yeezy Boost 350 V2 Cinder,YB350V2-CND,"Monday, July 5, 2021",4:49 AM EST,10,$430
adidas Yeezy Boost 350 V2 Cinder,YB350V2-CND,"Monday, July 5, 2021",4:42 AM EST,4,$399
adidas Yeezy Boost 350 V2 Cinder,YB350V2-CND,"Monday, July 5, 2021",2:14 AM EST,10,$428
adidas Yeezy Boost 350 V2 Cinder,YB350V2-CND,"Sunday, July 4, 2021",11:04 PM EST,12,$420
adidas Yeezy Boost 350 V2 Cinder,YB350V2-CND,"Sunday, July 4, 2021",6:53 PM EST,10,$427
adidas Yeezy Boost 350 V2 Cinder,YB350V2-CND,"Sunday, July 4, 2021",5:57 PM EST,11.5,$462
adidas Yeezy Boost 350 V2 Cinder,YB350V2-CND,"Sunday, July 4, 2021",5:17 PM EST,11.5,$486
adidas Yeezy Boost 350 V2 Cinder,YB350V2-CND,"Sunday, July 4, 2021",3:11 PM EST,13,$420
adidas Yeezy Boost 350 V2 Cinder,YB350V2-CND,"Sunday, July 4, 2021",2:26 PM EST,5.5,$400
