name,ticker,date,time,size,price
adidas Yeezy Boost 350 V2 Cinder Reflective,YB350V2-CNDRF,"Tuesday, July 6, 2021",5:07 PM EST,6.5,$568
adidas Yeezy Boost 350 V2 Cinder Reflective,YB350V2-CNDRF,"Tuesday, July 6, 2021",7:38 AM EST,8,$846
adidas Yeezy Boost 350 V2 Cinder Reflective,YB350V2-CNDRF,"Monday, July 5, 2021",9:29 PM EST,13,$498
adidas Yeezy Boost 350 V2 Cinder Reflective,YB350V2-CNDRF,"Monday, July 5, 2021",8:54 PM EST,5,$216
adidas Yeezy Boost 350 V2 Cinder Reflective,YB350V2-CNDRF,"Monday, July 5, 2021",6:17 PM EST,7,$605
adidas Yeezy Boost 350 V2 Cinder Reflective,YB350V2-CNDRF,"Sunday, July 4, 2021",10:55 AM EST,6,$670
adidas Yeezy Boost 350 V2 Cinder Reflective,YB350V2-CNDRF,"Thursday, July 1, 2021",7:00 PM EST,5.5,$561
adidas Yeezy Boost 350 V2 Cinder Reflective,YB350V2-CNDRF,"Thursday, July 1, 2021",3:08 PM EST,8.5,$706
adidas Yeezy Boost 350 V2 Cinder Reflective,YB350V2-CNDRF,"Wednesday, June 30, 2021",11:06 PM EST,7,$653
adidas Yeezy Boost 350 V2 Cinder Reflective,YB350V2-CNDRF,"Wednesday, June 30, 2021",10:01 PM EST,7.5,$677
adidas Yeezy Boost 350 V2 Cinder Reflective,YB350V2-CNDRF,"Tuesday, June 29, 2021",10:19 AM EST,13,$490
adidas Yeezy Boost 350 V2 Cinder Reflective,YB350V2-CNDRF,"Monday, June 28, 2021",11:59 PM EST,13,$480
adidas Yeezy Boost 350 V2 Cinder Reflective,YB350V2-CNDRF,"Monday, June 28, 2021",7:56 AM EST,7.5,$735
adidas Yeezy Boost 350 V2 Cinder Reflective,YB350V2-CNDRF,"Monday, June 28, 2021",4:13 AM EST,9.5,$628
adidas Yeezy Boost 350 V2 Cinder Reflective,YB350V2-CNDRF,"Sunday, June 27, 2021",11:39 PM EST,8,$781
adidas Yeezy Boost 350 V2 Cinder Reflective,YB350V2-CNDRF,"Sunday, June 27, 2021",6:45 AM EST,9.5,$658
adidas Yeezy Boost 350 V2 Cinder Reflective,YB350V2-CNDRF,"Saturday, June 26, 2021",5:53 PM EST,10.5,$544
adidas Yeezy Boost 350 V2 Cinder Reflective,YB350V2-CNDRF,"Saturday, June 26, 2021",1:11 PM EST,14,$400
adidas Yeezy Boost 350 V2 Cinder Reflective,YB350V2-CNDRF,"Thursday, June 24, 2021",1:12 PM EST,6.5,$538
adidas Yeezy Boost 350 V2 Cinder Reflective,YB350V2-CNDRF,"Wednesday, June 23, 2021",1:09 PM EST,8,$837
adidas Yeezy Boost 350 V2 Cinder Reflective,YB350V2-CNDRF,"Wednesday, June 23, 2021",6:28 AM EST,8,$831
adidas Yeezy Boost 350 V2 Cinder Reflective,YB350V2-CNDRF,"Tuesday, June 22, 2021",6:14 PM EST,7,$613
adidas Yeezy Boost 350 V2 Cinder Reflective,YB350V2-CNDRF,"Tuesday, June 22, 2021",11:53 AM EST,6,$650
adidas Yeezy Boost 350 V2 Cinder Reflective,YB350V2-CNDRF,"Tuesday, June 22, 2021",9:05 AM EST,6.5,$669
adidas Yeezy Boost 350 V2 Cinder Reflective,YB350V2-CNDRF,"Tuesday, June 22, 2021",5:48 AM EST,8.5,$742
adidas Yeezy Boost 350 V2 Cinder Reflective,YB350V2-CNDRF,"Sunday, June 20, 2021",8:00 PM EST,14,$399
adidas Yeezy Boost 350 V2 Cinder Reflective,YB350V2-CNDRF,"Sunday, June 20, 2021",7:13 PM EST,12,$545
adidas Yeezy Boost 350 V2 Cinder Reflective,YB350V2-CNDRF,"Sunday, June 20, 2021",5:28 PM EST,14,$399
adidas Yeezy Boost 350 V2 Cinder Reflective,YB350V2-CNDRF,"Sunday, June 20, 2021",1:52 PM EST,10,$570
adidas Yeezy Boost 350 V2 Cinder Reflective,YB350V2-CNDRF,"Saturday, June 19, 2021",12:43 AM EST,11,$599
adidas Yeezy Boost 350 V2 Cinder Reflective,YB350V2-CNDRF,"Saturday, June 19, 2021",7:10 PM EST,12,$475
adidas Yeezy Boost 350 V2 Cinder Reflective,YB350V2-CNDRF,"Friday, June 18, 2021",9:18 PM EST,8,$781
adidas Yeezy Boost 350 V2 Cinder Reflective,YB350V2-CNDRF,"Friday, June 18, 2021",1:02 PM EST,10.5,$545
adidas Yeezy Boost 350 V2 Cinder Reflective,YB350V2-CNDRF,"Thursday, June 17, 2021",6:04 PM EST,8.5,$708
adidas Yeezy Boost 350 V2 Cinder Reflective,YB350V2-CNDRF,"Thursday, June 17, 2021",5:27 PM EST,6,$649
adidas Yeezy Boost 350 V2 Cinder Reflective,YB350V2-CNDRF,"Thursday, June 17, 2021",8:15 AM EST,8.5,$707
adidas Yeezy Boost 350 V2 Cinder Reflective,YB350V2-CNDRF,"Thursday, June 17, 2021",4:54 AM EST,9.5,$659
adidas Yeezy Boost 350 V2 Cinder Reflective,YB350V2-CNDRF,"Wednesday, June 16, 2021",5:00 PM EST,6,$600
adidas Yeezy Boost 350 V2 Cinder Reflective,YB350V2-CNDRF,"Wednesday, June 16, 2021",3:27 PM EST,11,$540
adidas Yeezy Boost 350 V2 Cinder Reflective,YB350V2-CNDRF,"Wednesday, June 16, 2021",1:01 PM EST,8.5,$740
adidas Yeezy Boost 350 V2 Cinder Reflective,YB350V2-CNDRF,"Wednesday, June 16, 2021",1:07 AM EST,10.5,$516
adidas Yeezy Boost 350 V2 Cinder Reflective,YB350V2-CNDRF,"Tuesday, June 15, 2021",8:21 PM EST,10.5,$545
adidas Yeezy Boost 350 V2 Cinder Reflective,YB350V2-CNDRF,"Tuesday, June 15, 2021",12:02 PM EST,10.5,$520
adidas Yeezy Boost 350 V2 Cinder Reflective,YB350V2-CNDRF,"Tuesday, June 15, 2021",8:32 AM EST,13,$455
adidas Yeezy Boost 350 V2 Cinder Reflective,YB350V2-CNDRF,"Monday, June 14, 2021",2:21 PM EST,13,$465
adidas Yeezy Boost 350 V2 Cinder Reflective,YB350V2-CNDRF,"Monday, June 14, 2021",12:32 PM EST,11,$533
adidas Yeezy Boost 350 V2 Cinder Reflective,YB350V2-CNDRF,"Monday, June 14, 2021",9:47 AM EST,11,$532
adidas Yeezy Boost 350 V2 Cinder Reflective,YB350V2-CNDRF,"Monday, June 14, 2021",9:47 AM EST,11,$532
adidas Yeezy Boost 350 V2 Cinder Reflective,YB350V2-CNDRF,"Sunday, June 13, 2021",2:05 AM EST,10.5,$491
adidas Yeezy Boost 350 V2 Cinder Reflective,YB350V2-CNDRF,"Saturday, June 12, 2021",10:40 PM EST,11,$531
adidas Yeezy Boost 350 V2 Cinder Reflective,YB350V2-CNDRF,"Saturday, June 12, 2021",5:10 PM EST,9.5,$657
adidas Yeezy Boost 350 V2 Cinder Reflective,YB350V2-CNDRF,"Saturday, June 12, 2021",1:29 PM EST,12,$498
adidas Yeezy Boost 350 V2 Cinder Reflective,YB350V2-CNDRF,"Thursday, June 10, 2021",9:53 PM EST,10,$533
adidas Yeezy Boost 350 V2 Cinder Reflective,YB350V2-CNDRF,"Thursday, June 10, 2021",7:25 PM EST,10.5,$501
adidas Yeezy Boost 350 V2 Cinder Reflective,YB350V2-CNDRF,"Thursday, June 10, 2021",12:37 PM EST,11,$531
adidas Yeezy Boost 350 V2 Cinder Reflective,YB350V2-CNDRF,"Thursday, June 10, 2021",11:26 AM EST,8.5,$708
