name,ticker,date,time,size,price
adidas Yeezy Boost 350 V2 Glow,YB350V2-GLW,"Tuesday, July 6, 2021",8:42 PM EST,4.5,$587
adidas Yeezy Boost 350 V2 Glow,YB350V2-GLW,"Tuesday, July 6, 2021",5:42 PM EST,13,$714
adidas Yeezy Boost 350 V2 Glow,YB350V2-GLW,"Tuesday, July 6, 2021",5:30 PM EST,5.5,$750
adidas Yeezy Boost 350 V2 Glow,YB350V2-GLW,"Tuesday, July 6, 2021",9:45 AM EST,7.5,$754
adidas Yeezy Boost 350 V2 Glow,YB350V2-GLW,"Tuesday, July 6, 2021",4:14 AM EST,6,$839
adidas Yeezy Boost 350 V2 Glow,YB350V2-GLW,"Monday, July 5, 2021",2:57 PM EST,12,$795
adidas Yeezy Boost 350 V2 Glow,YB350V2-GLW,"Monday, July 5, 2021",1:22 AM EST,7.5,$736
adidas Yeezy Boost 350 V2 Glow,YB350V2-GLW,"Saturday, July 3, 2021",4:50 PM EST,8.5,$664
adidas Yeezy Boost 350 V2 Glow,YB350V2-GLW,"Saturday, July 3, 2021",1:25 AM EST,11.5,$799
adidas Yeezy Boost 350 V2 Glow,YB350V2-GLW,"Friday, July 2, 2021",12:54 PM EST,7,$864
adidas Yeezy Boost 350 V2 Glow,YB350V2-GLW,"Friday, July 2, 2021",10:03 AM EST,13,$715
adidas Yeezy Boost 350 V2 Glow,YB350V2-GLW,"Thursday, July 1, 2021",10:42 AM EST,5.5,$618
adidas Yeezy Boost 350 V2 Glow,YB350V2-GLW,"Thursday, July 1, 2021",6:51 AM EST,9,$683
adidas Yeezy Boost 350 V2 Glow,YB350V2-GLW,"Wednesday, June 30, 2021",4:16 PM EST,13,$699
adidas Yeezy Boost 350 V2 Glow,YB350V2-GLW,"Wednesday, June 30, 2021",6:27 AM EST,9.5,$622
adidas Yeezy Boost 350 V2 Glow,YB350V2-GLW,"Monday, June 28, 2021",1:41 PM EST,11,$750
adidas Yeezy Boost 350 V2 Glow,YB350V2-GLW,"Monday, June 28, 2021",12:13 PM EST,9,$641
adidas Yeezy Boost 350 V2 Glow,YB350V2-GLW,"Monday, June 28, 2021",5:50 AM EST,8,$733
adidas Yeezy Boost 350 V2 Glow,YB350V2-GLW,"Sunday, June 27, 2021",1:57 AM EST,10,$700
adidas Yeezy Boost 350 V2 Glow,YB350V2-GLW,"Saturday, June 26, 2021",11:16 AM EST,9,$535
adidas Yeezy Boost 350 V2 Glow,YB350V2-GLW,"Friday, June 25, 2021",8:26 AM EST,9,$648
adidas Yeezy Boost 350 V2 Glow,YB350V2-GLW,"Friday, June 25, 2021",5:01 AM EST,11,$700
adidas Yeezy Boost 350 V2 Glow,YB350V2-GLW,"Tuesday, June 22, 2021",9:26 PM EST,10.5,$720
adidas Yeezy Boost 350 V2 Glow,YB350V2-GLW,"Tuesday, June 22, 2021",11:58 AM EST,5.5,$580
adidas Yeezy Boost 350 V2 Glow,YB350V2-GLW,"Monday, June 21, 2021",7:45 PM EST,11.5,$798
adidas Yeezy Boost 350 V2 Glow,YB350V2-GLW,"Sunday, June 20, 2021",5:40 PM EST,11.5,$700
adidas Yeezy Boost 350 V2 Glow,YB350V2-GLW,"Sunday, June 20, 2021",3:34 PM EST,6,$727
adidas Yeezy Boost 350 V2 Glow,YB350V2-GLW,"Sunday, June 20, 2021",2:05 AM EST,10,$727
adidas Yeezy Boost 350 V2 Glow,YB350V2-GLW,"Saturday, June 19, 2021",10:40 PM EST,14,$819
adidas Yeezy Boost 350 V2 Glow,YB350V2-GLW,"Friday, June 18, 2021",11:28 PM EST,11,$795
adidas Yeezy Boost 350 V2 Glow,YB350V2-GLW,"Friday, June 18, 2021",2:29 PM EST,9.5,$775
adidas Yeezy Boost 350 V2 Glow,YB350V2-GLW,"Friday, June 18, 2021",6:35 AM EST,9.5,$654
adidas Yeezy Boost 350 V2 Glow,YB350V2-GLW,"Tuesday, June 15, 2021",12:05 PM EST,8,$781
adidas Yeezy Boost 350 V2 Glow,YB350V2-GLW,"Monday, June 14, 2021",4:57 PM EST,13,$742
adidas Yeezy Boost 350 V2 Glow,YB350V2-GLW,"Monday, June 14, 2021",3:35 PM EST,10.5,$719
adidas Yeezy Boost 350 V2 Glow,YB350V2-GLW,"Saturday, June 12, 2021",1:34 AM EST,10,$645
adidas Yeezy Boost 350 V2 Glow,YB350V2-GLW,"Friday, June 11, 2021",3:39 AM EST,10,$625
adidas Yeezy Boost 350 V2 Glow,YB350V2-GLW,"Thursday, June 10, 2021",6:54 PM EST,9.5,$590
adidas Yeezy Boost 350 V2 Glow,YB350V2-GLW,"Tuesday, June 8, 2021",5:28 PM EST,11,$796
adidas Yeezy Boost 350 V2 Glow,YB350V2-GLW,"Tuesday, June 8, 2021",4:42 AM EST,11.5,$791
adidas Yeezy Boost 350 V2 Glow,YB350V2-GLW,"Monday, June 7, 2021",4:44 AM EST,8,$716
adidas Yeezy Boost 350 V2 Glow,YB350V2-GLW,"Sunday, June 6, 2021",3:06 PM EST,6.5,$878
adidas Yeezy Boost 350 V2 Glow,YB350V2-GLW,"Saturday, June 5, 2021",11:47 PM EST,14,$648
adidas Yeezy Boost 350 V2 Glow,YB350V2-GLW,"Saturday, June 5, 2021",3:30 PM EST,10,$870
adidas Yeezy Boost 350 V2 Glow,YB350V2-GLW,"Saturday, June 5, 2021",1:59 PM EST,10.5,$675
adidas Yeezy Boost 350 V2 Glow,YB350V2-GLW,"Saturday, June 5, 2021",12:08 PM EST,11.5,$790
adidas Yeezy Boost 350 V2 Glow,YB350V2-GLW,"Friday, June 4, 2021",4:49 PM EST,10,$721
adidas Yeezy Boost 350 V2 Glow,YB350V2-GLW,"Friday, June 4, 2021",12:54 PM EST,8.5,$731
adidas Yeezy Boost 350 V2 Glow,YB350V2-GLW,"Friday, June 4, 2021",12:38 PM EST,8,$790
adidas Yeezy Boost 350 V2 Glow,YB350V2-GLW,"Friday, June 4, 2021",12:34 PM EST,8.5,$682
adidas Yeezy Boost 350 V2 Glow,YB350V2-GLW,"Friday, June 4, 2021",10:31 AM EST,9.5,$804
adidas Yeezy Boost 350 V2 Glow,YB350V2-GLW,"Thursday, June 3, 2021",4:05 PM EST,8,$696
adidas Yeezy Boost 350 V2 Glow,YB350V2-GLW,"Wednesday, June 2, 2021",6:21 PM EST,9,$690
adidas Yeezy Boost 350 V2 Glow,YB350V2-GLW,"Wednesday, June 2, 2021",1:39 AM EST,11,$775
adidas Yeezy Boost 350 V2 Glow,YB350V2-GLW,"Tuesday, June 1, 2021",9:08 PM EST,11,$660
adidas Yeezy Boost 350 V2 Glow,YB350V2-GLW,"Tuesday, June 1, 2021",8:29 AM EST,9.5,$575
adidas Yeezy Boost 350 V2 Glow,YB350V2-GLW,"Monday, May 31, 2021",5:31 PM EST,13,$652
adidas Yeezy Boost 350 V2 Glow,YB350V2-GLW,"Monday, May 31, 2021",11:08 AM EST,8.5,$690
adidas Yeezy Boost 350 V2 Glow,YB350V2-GLW,"Sunday, May 30, 2021",2:22 AM EST,4,$643
adidas Yeezy Boost 350 V2 Glow,YB350V2-GLW,"Saturday, May 29, 2021",6:12 PM EST,8,$601
adidas Yeezy Boost 350 V2 Glow,YB350V2-GLW,"Saturday, May 29, 2021",12:35 PM EST,9,$590
adidas Yeezy Boost 350 V2 Glow,YB350V2-GLW,"Saturday, May 29, 2021",1:29 AM EST,10,$699
adidas Yeezy Boost 350 V2 Glow,YB350V2-GLW,"Friday, May 28, 2021",12:10 PM EST,10,$778
adidas Yeezy Boost 350 V2 Glow,YB350V2-GLW,"Friday, May 28, 2021",6:49 AM EST,14,$794
adidas Yeezy Boost 350 V2 Glow,YB350V2-GLW,"Tuesday, May 25, 2021",11:23 PM EST,5,$674
adidas Yeezy Boost 350 V2 Glow,YB350V2-GLW,"Tuesday, May 25, 2021",8:09 PM EST,5.5,$620
adidas Yeezy Boost 350 V2 Glow,YB350V2-GLW,"Tuesday, May 25, 2021",12:04 PM EST,8,$694
adidas Yeezy Boost 350 V2 Glow,YB350V2-GLW,"Monday, May 24, 2021",8:37 PM EST,4.5,$586
adidas Yeezy Boost 350 V2 Glow,YB350V2-GLW,"Monday, May 24, 2021",5:42 PM EST,8.5,$513
adidas Yeezy Boost 350 V2 Glow,YB350V2-GLW,"Sunday, May 23, 2021",12:39 AM EST,7,$915
adidas Yeezy Boost 350 V2 Glow,YB350V2-GLW,"Sunday, May 23, 2021",11:59 PM EST,10,$547
adidas Yeezy Boost 350 V2 Glow,YB350V2-GLW,"Sunday, May 23, 2021",1:44 AM EST,10.5,$700
adidas Yeezy Boost 350 V2 Glow,YB350V2-GLW,"Sunday, May 23, 2021",1:42 AM EST,4,$616
adidas Yeezy Boost 350 V2 Glow,YB350V2-GLW,"Saturday, May 22, 2021",7:46 AM EST,5.5,$551
adidas Yeezy Boost 350 V2 Glow,YB350V2-GLW,"Friday, May 21, 2021",10:01 PM EST,11,$739
adidas Yeezy Boost 350 V2 Glow,YB350V2-GLW,"Friday, May 21, 2021",2:00 PM EST,8.5,$678
adidas Yeezy Boost 350 V2 Glow,YB350V2-GLW,"Friday, May 21, 2021",12:55 PM EST,6,$730
adidas Yeezy Boost 350 V2 Glow,YB350V2-GLW,"Friday, May 21, 2021",8:34 AM EST,6.5,$818
adidas Yeezy Boost 350 V2 Glow,YB350V2-GLW,"Thursday, May 20, 2021",11:31 PM EST,6,$725
adidas Yeezy Boost 350 V2 Glow,YB350V2-GLW,"Thursday, May 20, 2021",9:31 PM EST,11,$753
adidas Yeezy Boost 350 V2 Glow,YB350V2-GLW,"Thursday, May 20, 2021",12:05 PM EST,9,$680
adidas Yeezy Boost 350 V2 Glow,YB350V2-GLW,"Thursday, May 20, 2021",7:43 AM EST,5.5,$780
adidas Yeezy Boost 350 V2 Glow,YB350V2-GLW,"Thursday, May 20, 2021",7:41 AM EST,9,$638
adidas Yeezy Boost 350 V2 Glow,YB350V2-GLW,"Wednesday, May 19, 2021",7:47 PM EST,9.5,$600
adidas Yeezy Boost 350 V2 Glow,YB350V2-GLW,"Wednesday, May 19, 2021",12:29 PM EST,9,$727
adidas Yeezy Boost 350 V2 Glow,YB350V2-GLW,"Wednesday, May 19, 2021",11:23 AM EST,8.5,$662
