name,ticker,date,time,size,price
adidas Yeezy Boost 350 V2 Linen,YB350V2-LN,"Tuesday, July 6, 2021",4:38 PM EST,11,$315
adidas Yeezy Boost 350 V2 Linen,YB350V2-LN,"Tuesday, July 6, 2021",3:31 PM EST,11,$333
adidas Yeezy Boost 350 V2 Linen,YB350V2-LN,"Tuesday, July 6, 2021",2:36 PM EST,7,$431
adidas Yeezy Boost 350 V2 Linen,YB350V2-LN,"Tuesday, July 6, 2021",2:11 PM EST,12,$302
adidas Yeezy Boost 350 V2 Linen,YB350V2-LN,"Tuesday, July 6, 2021",9:48 AM EST,10,$351
adidas Yeezy Boost 350 V2 Linen,YB350V2-LN,"Tuesday, July 6, 2021",1:14 AM EST,8.5,$385
adidas Yeezy Boost 350 V2 Linen,YB350V2-LN,"Monday, July 5, 2021",8:49 PM EST,10,$350
adidas Yeezy Boost 350 V2 Linen,YB350V2-LN,"Monday, July 5, 2021",3:44 PM EST,4.5,$539
adidas Yeezy Boost 350 V2 Linen,YB350V2-LN,"Monday, July 5, 2021",12:13 PM EST,10,$350
adidas Yeezy Boost 350 V2 Linen,YB350V2-LN,"Monday, July 5, 2021",6:50 AM EST,11.5,$304
adidas Yeezy Boost 350 V2 Linen,YB350V2-LN,"Sunday, July 4, 2021",10:51 PM EST,10,$350
adidas Yeezy Boost 350 V2 Linen,YB350V2-LN,"Sunday, July 4, 2021",4:43 PM EST,14,$288
adidas Yeezy Boost 350 V2 Linen,YB350V2-LN,"Sunday, July 4, 2021",3:29 PM EST,12,$302
adidas Yeezy Boost 350 V2 Linen,YB350V2-LN,"Sunday, July 4, 2021",4:21 AM EST,10.5,$340
adidas Yeezy Boost 350 V2 Linen,YB350V2-LN,"Sunday, July 4, 2021",3:40 AM EST,7.5,$428
adidas Yeezy Boost 350 V2 Linen,YB350V2-LN,"Saturday, July 3, 2021",12:18 AM EST,9,$359
adidas Yeezy Boost 350 V2 Linen,YB350V2-LN,"Saturday, July 3, 2021",11:34 PM EST,10,$349
adidas Yeezy Boost 350 V2 Linen,YB350V2-LN,"Saturday, July 3, 2021",10:26 AM EST,9,$360
adidas Yeezy Boost 350 V2 Linen,YB350V2-LN,"Saturday, July 3, 2021",8:12 AM EST,8,$411
adidas Yeezy Boost 350 V2 Linen,YB350V2-LN,"Saturday, July 3, 2021",6:58 AM EST,11.5,$312
adidas Yeezy Boost 350 V2 Linen,YB350V2-LN,"Saturday, July 3, 2021",6:21 AM EST,12,$305
adidas Yeezy Boost 350 V2 Linen,YB350V2-LN,"Saturday, July 3, 2021",3:49 AM EST,8,$405
adidas Yeezy Boost 350 V2 Linen,YB350V2-LN,"Saturday, July 3, 2021",2:43 AM EST,9.5,$359
adidas Yeezy Boost 350 V2 Linen,YB350V2-LN,"Friday, July 2, 2021",10:03 PM EST,8,$394
adidas Yeezy Boost 350 V2 Linen,YB350V2-LN,"Friday, July 2, 2021",8:15 PM EST,11.5,$310
adidas Yeezy Boost 350 V2 Linen,YB350V2-LN,"Friday, July 2, 2021",11:24 AM EST,9,$339
adidas Yeezy Boost 350 V2 Linen,YB350V2-LN,"Friday, July 2, 2021",10:40 AM EST,10,$348
adidas Yeezy Boost 350 V2 Linen,YB350V2-LN,"Friday, July 2, 2021",10:07 AM EST,10,$347
adidas Yeezy Boost 350 V2 Linen,YB350V2-LN,"Friday, July 2, 2021",8:00 AM EST,10,$330
adidas Yeezy Boost 350 V2 Linen,YB350V2-LN,"Friday, July 2, 2021",1:50 AM EST,9.5,$320
adidas Yeezy Boost 350 V2 Linen,YB350V2-LN,"Thursday, July 1, 2021",9:31 PM EST,7,$468
adidas Yeezy Boost 350 V2 Linen,YB350V2-LN,"Thursday, July 1, 2021",3:39 PM EST,12.5,$290
adidas Yeezy Boost 350 V2 Linen,YB350V2-LN,"Thursday, July 1, 2021",2:30 PM EST,8.5,$369
adidas Yeezy Boost 350 V2 Linen,YB350V2-LN,"Thursday, July 1, 2021",2:00 AM EST,7,$442
adidas Yeezy Boost 350 V2 Linen,YB350V2-LN,"Wednesday, June 30, 2021",8:00 PM EST,10,$325
adidas Yeezy Boost 350 V2 Linen,YB350V2-LN,"Wednesday, June 30, 2021",6:57 PM EST,8.5,$380
adidas Yeezy Boost 350 V2 Linen,YB350V2-LN,"Wednesday, June 30, 2021",4:09 PM EST,7.5,$450
adidas Yeezy Boost 350 V2 Linen,YB350V2-LN,"Wednesday, June 30, 2021",5:32 AM EST,8,$412
adidas Yeezy Boost 350 V2 Linen,YB350V2-LN,"Tuesday, June 29, 2021",10:55 PM EST,11.5,$302
adidas Yeezy Boost 350 V2 Linen,YB350V2-LN,"Tuesday, June 29, 2021",8:55 PM EST,10,$329
adidas Yeezy Boost 350 V2 Linen,YB350V2-LN,"Tuesday, June 29, 2021",3:47 PM EST,9.5,$323
adidas Yeezy Boost 350 V2 Linen,YB350V2-LN,"Tuesday, June 29, 2021",3:04 PM EST,14,$340
adidas Yeezy Boost 350 V2 Linen,YB350V2-LN,"Tuesday, June 29, 2021",4:44 AM EST,8,$370
adidas Yeezy Boost 350 V2 Linen,YB350V2-LN,"Tuesday, June 29, 2021",3:47 AM EST,10.5,$319
adidas Yeezy Boost 350 V2 Linen,YB350V2-LN,"Monday, June 28, 2021",12:58 PM EST,7.5,$410
adidas Yeezy Boost 350 V2 Linen,YB350V2-LN,"Monday, June 28, 2021",9:38 AM EST,9.5,$351
adidas Yeezy Boost 350 V2 Linen,YB350V2-LN,"Monday, June 28, 2021",8:19 AM EST,11,$332
adidas Yeezy Boost 350 V2 Linen,YB350V2-LN,"Monday, June 28, 2021",5:43 AM EST,8,$371
adidas Yeezy Boost 350 V2 Linen,YB350V2-LN,"Sunday, June 27, 2021",10:55 PM EST,9.5,$330
adidas Yeezy Boost 350 V2 Linen,YB350V2-LN,"Sunday, June 27, 2021",11:27 AM EST,9.5,$365
adidas Yeezy Boost 350 V2 Linen,YB350V2-LN,"Sunday, June 27, 2021",8:50 AM EST,9,$353
adidas Yeezy Boost 350 V2 Linen,YB350V2-LN,"Sunday, June 27, 2021",7:03 AM EST,10,$347
adidas Yeezy Boost 350 V2 Linen,YB350V2-LN,"Sunday, June 27, 2021",2:39 AM EST,9,$378
adidas Yeezy Boost 350 V2 Linen,YB350V2-LN,"Sunday, June 27, 2021",2:06 AM EST,11,$318
adidas Yeezy Boost 350 V2 Linen,YB350V2-LN,"Sunday, June 27, 2021",1:35 AM EST,5,$556
adidas Yeezy Boost 350 V2 Linen,YB350V2-LN,"Saturday, June 26, 2021",12:50 AM EST,5.5,$550
adidas Yeezy Boost 350 V2 Linen,YB350V2-LN,"Saturday, June 26, 2021",8:37 PM EST,8.5,$361
adidas Yeezy Boost 350 V2 Linen,YB350V2-LN,"Saturday, June 26, 2021",6:46 PM EST,7.5,$443
adidas Yeezy Boost 350 V2 Linen,YB350V2-LN,"Saturday, June 26, 2021",5:09 PM EST,10,$345
adidas Yeezy Boost 350 V2 Linen,YB350V2-LN,"Saturday, June 26, 2021",2:09 PM EST,11.5,$296
adidas Yeezy Boost 350 V2 Linen,YB350V2-LN,"Saturday, June 26, 2021",11:36 AM EST,9.5,$350
adidas Yeezy Boost 350 V2 Linen,YB350V2-LN,"Saturday, June 26, 2021",8:33 AM EST,4.5,$540
adidas Yeezy Boost 350 V2 Linen,YB350V2-LN,"Friday, June 25, 2021",12:16 AM EST,10.5,$325
adidas Yeezy Boost 350 V2 Linen,YB350V2-LN,"Friday, June 25, 2021",8:24 PM EST,9,$377
adidas Yeezy Boost 350 V2 Linen,YB350V2-LN,"Friday, June 25, 2021",7:37 PM EST,6,$491
adidas Yeezy Boost 350 V2 Linen,YB350V2-LN,"Friday, June 25, 2021",2:20 PM EST,11,$315
adidas Yeezy Boost 350 V2 Linen,YB350V2-LN,"Friday, June 25, 2021",12:45 PM EST,10.5,$325
adidas Yeezy Boost 350 V2 Linen,YB350V2-LN,"Friday, June 25, 2021",6:44 AM EST,10,$318
adidas Yeezy Boost 350 V2 Linen,YB350V2-LN,"Friday, June 25, 2021",6:44 AM EST,7,$473
adidas Yeezy Boost 350 V2 Linen,YB350V2-LN,"Friday, June 25, 2021",5:01 AM EST,9,$380
adidas Yeezy Boost 350 V2 Linen,YB350V2-LN,"Friday, June 25, 2021",3:57 AM EST,6,$527
