name,ticker,date,time,size,price
adidas Yeezy Boost 350 V2 Marsh,YB350V2-MRSH,"Tuesday, July 6, 2021",2:31 PM EST,8,$301
adidas Yeezy Boost 350 V2 Marsh,YB350V2-MRSH,"Monday, July 5, 2021",5:02 PM EST,4.5,$290
adidas Yeezy Boost 350 V2 Marsh,YB350V2-MRSH,"Monday, July 5, 2021",3:57 PM EST,8,$319
adidas Yeezy Boost 350 V2 Marsh,YB350V2-MRSH,"Monday, July 5, 2021",1:11 PM EST,7,$345
adidas Yeezy Boost 350 V2 Marsh,YB350V2-MRSH,"Sunday, July 4, 2021",10:54 PM EST,5.5,$287
adidas Yeezy Boost 350 V2 Marsh,YB350V2-MRSH,"Sunday, July 4, 2021",4:25 PM EST,7.5,$347
adidas Yeezy Boost 350 V2 Marsh,YB350V2-MRSH,"Sunday, July 4, 2021",2:22 PM EST,8.5,$260
adidas Yeezy Boost 350 V2 Marsh,YB350V2-MRSH,"Saturday, July 3, 2021",6:26 PM EST,6,$299
adidas Yeezy Boost 350 V2 Marsh,YB350V2-MRSH,"Saturday, July 3, 2021",3:21 AM EST,10,$300
adidas Yeezy Boost 350 V2 Marsh,YB350V2-MRSH,"Saturday, July 3, 2021",3:09 AM EST,14,$260
adidas Yeezy Boost 350 V2 Marsh,YB350V2-MRSH,"Friday, July 2, 2021",1:43 PM EST,5.5,$286
adidas Yeezy Boost 350 V2 Marsh,YB350V2-MRSH,"Friday, July 2, 2021",11:18 AM EST,5.5,$286
adidas Yeezy Boost 350 V2 Marsh,YB350V2-MRSH,"Friday, July 2, 2021",9:49 AM EST,7,$343
adidas Yeezy Boost 350 V2 Marsh,YB350V2-MRSH,"Thursday, July 1, 2021",11:15 PM EST,6,$297
adidas Yeezy Boost 350 V2 Marsh,YB350V2-MRSH,"Thursday, July 1, 2021",9:36 PM EST,8,$319
adidas Yeezy Boost 350 V2 Marsh,YB350V2-MRSH,"Thursday, July 1, 2021",7:17 PM EST,6.5,$310
adidas Yeezy Boost 350 V2 Marsh,YB350V2-MRSH,"Thursday, July 1, 2021",10:51 AM EST,5.5,$260
adidas Yeezy Boost 350 V2 Marsh,YB350V2-MRSH,"Wednesday, June 30, 2021",4:01 PM EST,11.5,$261
adidas Yeezy Boost 350 V2 Marsh,YB350V2-MRSH,"Wednesday, June 30, 2021",9:35 AM EST,8.5,$261
adidas Yeezy Boost 350 V2 Marsh,YB350V2-MRSH,"Tuesday, June 29, 2021",4:25 PM EST,14.5,$270
adidas Yeezy Boost 350 V2 Marsh,YB350V2-MRSH,"Tuesday, June 29, 2021",11:09 AM EST,7.5,$347
adidas Yeezy Boost 350 V2 Marsh,YB350V2-MRSH,"Monday, June 28, 2021",6:00 PM EST,8,$319
adidas Yeezy Boost 350 V2 Marsh,YB350V2-MRSH,"Monday, June 28, 2021",5:04 PM EST,5,$280
adidas Yeezy Boost 350 V2 Marsh,YB350V2-MRSH,"Monday, June 28, 2021",11:50 AM EST,8.5,$271
adidas Yeezy Boost 350 V2 Marsh,YB350V2-MRSH,"Sunday, June 27, 2021",10:47 PM EST,13.5,$219
adidas Yeezy Boost 350 V2 Marsh,YB350V2-MRSH,"Thursday, June 24, 2021",3:53 PM EST,8.5,$275
adidas Yeezy Boost 350 V2 Marsh,YB350V2-MRSH,"Thursday, June 24, 2021",2:23 PM EST,6.5,$371
adidas Yeezy Boost 350 V2 Marsh,YB350V2-MRSH,"Wednesday, June 23, 2021",6:05 PM EST,9.5,$290
adidas Yeezy Boost 350 V2 Marsh,YB350V2-MRSH,"Wednesday, June 23, 2021",4:18 PM EST,4.5,$285
adidas Yeezy Boost 350 V2 Marsh,YB350V2-MRSH,"Wednesday, June 23, 2021",12:27 PM EST,5.5,$287
adidas Yeezy Boost 350 V2 Marsh,YB350V2-MRSH,"Tuesday, June 22, 2021",5:27 PM EST,13,$250
adidas Yeezy Boost 350 V2 Marsh,YB350V2-MRSH,"Tuesday, June 22, 2021",2:55 PM EST,14.5,$260
