name,ticker,date,time,size,price
adidas Yeezy Boost 350 V2 Earth,YB350V2-RTH,"Tuesday, July 6, 2021",7:55 PM EST,7,$560
adidas Yeezy Boost 350 V2 Earth,YB350V2-RTH,"Tuesday, July 6, 2021",7:42 PM EST,9.5,$443
adidas Yeezy Boost 350 V2 Earth,YB350V2-RTH,"Tuesday, July 6, 2021",5:41 PM EST,10,$430
adidas Yeezy Boost 350 V2 Earth,YB350V2-RTH,"Tuesday, July 6, 2021",5:38 PM EST,11,$371
adidas Yeezy Boost 350 V2 Earth,YB350V2-RTH,"Tuesday, July 6, 2021",4:42 PM EST,11,$372
adidas Yeezy Boost 350 V2 Earth,YB350V2-RTH,"Tuesday, July 6, 2021",3:49 PM EST,9.5,$400
adidas Yeezy Boost 350 V2 Earth,YB350V2-RTH,"Tuesday, July 6, 2021",3:31 PM EST,9.5,$499
adidas Yeezy Boost 350 V2 Earth,YB350V2-RTH,"Tuesday, July 6, 2021",3:30 PM EST,9,$432
adidas Yeezy Boost 350 V2 Earth,YB350V2-RTH,"Tuesday, July 6, 2021",2:31 PM EST,10.5,$382
adidas Yeezy Boost 350 V2 Earth,YB350V2-RTH,"Tuesday, July 6, 2021",12:12 PM EST,9,$440
adidas Yeezy Boost 350 V2 Earth,YB350V2-RTH,"Tuesday, July 6, 2021",11:41 AM EST,7,$550
adidas Yeezy Boost 350 V2 Earth,YB350V2-RTH,"Tuesday, July 6, 2021",10:59 AM EST,12.5,$301
adidas Yeezy Boost 350 V2 Earth,YB350V2-RTH,"Tuesday, July 6, 2021",10:36 AM EST,10.5,$391
adidas Yeezy Boost 350 V2 Earth,YB350V2-RTH,"Tuesday, July 6, 2021",1:06 AM EST,11,$420
adidas Yeezy Boost 350 V2 Earth,YB350V2-RTH,"Monday, July 5, 2021",12:30 AM EST,11.5,$390
adidas Yeezy Boost 350 V2 Earth,YB350V2-RTH,"Monday, July 5, 2021",10:59 PM EST,12.5,$300
adidas Yeezy Boost 350 V2 Earth,YB350V2-RTH,"Monday, July 5, 2021",10:57 PM EST,10.5,$385
adidas Yeezy Boost 350 V2 Earth,YB350V2-RTH,"Monday, July 5, 2021",10:12 PM EST,11.5,$375
adidas Yeezy Boost 350 V2 Earth,YB350V2-RTH,"Monday, July 5, 2021",8:56 PM EST,5.5,$386
adidas Yeezy Boost 350 V2 Earth,YB350V2-RTH,"Monday, July 5, 2021",7:26 PM EST,7,$534
adidas Yeezy Boost 350 V2 Earth,YB350V2-RTH,"Monday, July 5, 2021",7:13 PM EST,5,$471
adidas Yeezy Boost 350 V2 Earth,YB350V2-RTH,"Monday, July 5, 2021",1:57 PM EST,7,$533
adidas Yeezy Boost 350 V2 Earth,YB350V2-RTH,"Monday, July 5, 2021",12:54 PM EST,5.5,$442
adidas Yeezy Boost 350 V2 Earth,YB350V2-RTH,"Sunday, July 4, 2021",10:35 PM EST,9,$508
adidas Yeezy Boost 350 V2 Earth,YB350V2-RTH,"Sunday, July 4, 2021",9:57 PM EST,6,$498
adidas Yeezy Boost 350 V2 Earth,YB350V2-RTH,"Sunday, July 4, 2021",7:34 PM EST,10.5,$410
adidas Yeezy Boost 350 V2 Earth,YB350V2-RTH,"Sunday, July 4, 2021",7:33 PM EST,10.5,$526
adidas Yeezy Boost 350 V2 Earth,YB350V2-RTH,"Sunday, July 4, 2021",2:03 PM EST,10,$474
adidas Yeezy Boost 350 V2 Earth,YB350V2-RTH,"Sunday, July 4, 2021",12:41 PM EST,8,$530
adidas Yeezy Boost 350 V2 Earth,YB350V2-RTH,"Sunday, July 4, 2021",12:17 PM EST,8,$526
adidas Yeezy Boost 350 V2 Earth,YB350V2-RTH,"Sunday, July 4, 2021",5:43 AM EST,7.5,$653
adidas Yeezy Boost 350 V2 Earth,YB350V2-RTH,"Saturday, July 3, 2021",6:22 PM EST,11,$375
adidas Yeezy Boost 350 V2 Earth,YB350V2-RTH,"Saturday, July 3, 2021",4:19 PM EST,8,$516
adidas Yeezy Boost 350 V2 Earth,YB350V2-RTH,"Saturday, July 3, 2021",2:41 PM EST,5,$472
adidas Yeezy Boost 350 V2 Earth,YB350V2-RTH,"Saturday, July 3, 2021",1:13 PM EST,11,$420
adidas Yeezy Boost 350 V2 Earth,YB350V2-RTH,"Saturday, July 3, 2021",12:31 PM EST,12,$425
adidas Yeezy Boost 350 V2 Earth,YB350V2-RTH,"Saturday, July 3, 2021",11:54 AM EST,11,$572
adidas Yeezy Boost 350 V2 Earth,YB350V2-RTH,"Saturday, July 3, 2021",5:18 AM EST,10,$467
adidas Yeezy Boost 350 V2 Earth,YB350V2-RTH,"Friday, July 2, 2021",11:39 PM EST,10,$458
adidas Yeezy Boost 350 V2 Earth,YB350V2-RTH,"Friday, July 2, 2021",2:26 PM EST,12.5,$340
adidas Yeezy Boost 350 V2 Earth,YB350V2-RTH,"Friday, July 2, 2021",11:47 AM EST,8.5,$748
adidas Yeezy Boost 350 V2 Earth,YB350V2-RTH,"Friday, July 2, 2021",3:46 AM EST,5.5,$410
adidas Yeezy Boost 350 V2 Earth,YB350V2-RTH,"Thursday, July 1, 2021",11:49 PM EST,8,$570
adidas Yeezy Boost 350 V2 Earth,YB350V2-RTH,"Thursday, July 1, 2021",10:57 PM EST,9.5,$510
adidas Yeezy Boost 350 V2 Earth,YB350V2-RTH,"Thursday, July 1, 2021",9:11 PM EST,11.5,$380
