name,ticker,date,time,size,price
adidas Yeezy Boost 380 Azure Reflective,YB380-AZRRF,"Saturday, July 3, 2021",11:51 PM EST,8,$302
adidas Yeezy Boost 380 Azure Reflective,YB380-AZRRF,"Thursday, July 1, 2021",9:24 PM EST,8.5,$200
adidas Yeezy Boost 380 Azure Reflective,YB380-AZRRF,"Tuesday, June 29, 2021",6:13 AM EST,6.5,$341
adidas Yeezy Boost 380 Azure Reflective,YB380-AZRRF,"Friday, June 18, 2021",2:25 PM EST,8,$257
adidas Yeezy Boost 380 Azure Reflective,YB380-AZRRF,"Monday, June 14, 2021",12:46 AM EST,14,$378
adidas Yeezy Boost 380 Azure Reflective,YB380-AZRRF,"Thursday, June 10, 2021",11:36 AM EST,6.5,$300
adidas Yeezy Boost 380 Azure Reflective,YB380-AZRRF,"Tuesday, June 8, 2021",10:06 AM EST,6,$293
adidas Yeezy Boost 380 Azure Reflective,YB380-AZRRF,"Saturday, June 5, 2021",6:47 AM EST,10.5,$295
adidas Yeezy Boost 380 Azure Reflective,YB380-AZRRF,"Wednesday, June 2, 2021",4:53 PM EST,12,$210
adidas Yeezy Boost 380 Azure Reflective,YB380-AZRRF,"Monday, May 31, 2021",12:27 AM EST,9.5,$320
adidas Yeezy Boost 380 Azure Reflective,YB380-AZRRF,"Wednesday, May 26, 2021",10:08 AM EST,9.5,$220
adidas Yeezy Boost 380 Azure Reflective,YB380-AZRRF,"Tuesday, May 25, 2021",9:01 AM EST,11.5,$237
adidas Yeezy Boost 380 Azure Reflective,YB380-AZRRF,"Friday, May 21, 2021",12:44 PM EST,5.5,$303
adidas Yeezy Boost 380 Azure Reflective,YB380-AZRRF,"Tuesday, May 18, 2021",10:51 AM EST,10,$226
adidas Yeezy Boost 380 Azure Reflective,YB380-AZRRF,"Friday, May 14, 2021",1:35 AM EST,10,$227
adidas Yeezy Boost 380 Azure Reflective,YB380-AZRRF,"Monday, May 10, 2021",4:49 AM EST,10.5,$210
adidas Yeezy Boost 380 Azure Reflective,YB380-AZRRF,"Saturday, May 8, 2021",6:59 PM EST,10.5,$186
adidas Yeezy Boost 380 Azure Reflective,YB380-AZRRF,"Thursday, May 6, 2021",2:04 PM EST,12,$342
adidas Yeezy Boost 380 Azure Reflective,YB380-AZRRF,"Tuesday, May 4, 2021",11:32 PM EST,9.5,$234
adidas Yeezy Boost 380 Azure Reflective,YB380-AZRRF,"Thursday, April 29, 2021",9:21 PM EST,7.5,$360
adidas Yeezy Boost 380 Azure Reflective,YB380-AZRRF,"Thursday, April 29, 2021",5:43 AM EST,8,$218
adidas Yeezy Boost 380 Azure Reflective,YB380-AZRRF,"Wednesday, April 28, 2021",10:39 AM EST,13.5,$295
adidas Yeezy Boost 380 Azure Reflective,YB380-AZRRF,"Wednesday, April 28, 2021",2:38 AM EST,10,$190
adidas Yeezy Boost 380 Azure Reflective,YB380-AZRRF,"Tuesday, April 27, 2021",9:38 AM EST,10,$423
adidas Yeezy Boost 380 Azure Reflective,YB380-AZRRF,"Monday, April 26, 2021",2:56 PM EST,11,$275
adidas Yeezy Boost 380 Azure Reflective,YB380-AZRRF,"Sunday, April 25, 2021",10:13 PM EST,10.5,$219
adidas Yeezy Boost 380 Azure Reflective,YB380-AZRRF,"Wednesday, April 21, 2021",6:06 AM EST,6,$140
adidas Yeezy Boost 380 Azure Reflective,YB380-AZRRF,"Tuesday, April 20, 2021",4:00 AM EST,10,$350
adidas Yeezy Boost 380 Azure Reflective,YB380-AZRRF,"Thursday, April 15, 2021",4:31 AM EST,8,$222
adidas Yeezy Boost 380 Azure Reflective,YB380-AZRRF,"Wednesday, April 14, 2021",12:46 AM EST,9.5,$250
adidas Yeezy Boost 380 Azure Reflective,YB380-AZRRF,"Tuesday, April 13, 2021",6:23 AM EST,8.5,$230
adidas Yeezy Boost 380 Azure Reflective,YB380-AZRRF,"Friday, April 9, 2021",11:54 PM EST,6.5,$216
adidas Yeezy Boost 380 Azure Reflective,YB380-AZRRF,"Tuesday, April 6, 2021",8:09 AM EST,9,$230
adidas Yeezy Boost 380 Azure Reflective,YB380-AZRRF,"Saturday, April 3, 2021",8:36 PM EST,5.5,$280
adidas Yeezy Boost 380 Azure Reflective,YB380-AZRRF,"Thursday, April 1, 2021",10:52 AM EST,7.5,$259
adidas Yeezy Boost 380 Azure Reflective,YB380-AZRRF,"Wednesday, March 31, 2021",10:27 PM EST,10.5,$262
adidas Yeezy Boost 380 Azure Reflective,YB380-AZRRF,"Wednesday, March 31, 2021",7:15 PM EST,7,$341
adidas Yeezy Boost 380 Azure Reflective,YB380-AZRRF,"Wednesday, March 31, 2021",6:18 PM EST,7,$320
adidas Yeezy Boost 380 Azure Reflective,YB380-AZRRF,"Monday, March 29, 2021",7:09 PM EST,11.5,$235
adidas Yeezy Boost 380 Azure Reflective,YB380-AZRRF,"Monday, March 29, 2021",6:25 PM EST,11.5,$198
adidas Yeezy Boost 380 Azure Reflective,YB380-AZRRF,"Sunday, March 28, 2021",4:50 PM EST,11,$290
adidas Yeezy Boost 380 Azure Reflective,YB380-AZRRF,"Friday, March 26, 2021",2:59 PM EST,11.5,$200
adidas Yeezy Boost 380 Azure Reflective,YB380-AZRRF,"Friday, March 26, 2021",1:33 PM EST,10,$213
adidas Yeezy Boost 380 Azure Reflective,YB380-AZRRF,"Friday, March 26, 2021",11:26 AM EST,10.5,$261
adidas Yeezy Boost 380 Azure Reflective,YB380-AZRRF,"Thursday, March 25, 2021",5:12 PM EST,8.5,$261
adidas Yeezy Boost 380 Azure Reflective,YB380-AZRRF,"Thursday, March 25, 2021",2:41 PM EST,13,$250
adidas Yeezy Boost 380 Azure Reflective,YB380-AZRRF,"Wednesday, March 24, 2021",12:12 AM EST,7,$249
adidas Yeezy Boost 380 Azure Reflective,YB380-AZRRF,"Wednesday, March 24, 2021",1:23 PM EST,10.5,$162
adidas Yeezy Boost 380 Azure Reflective,YB380-AZRRF,"Wednesday, March 24, 2021",7:39 AM EST,6.5,$300
adidas Yeezy Boost 380 Azure Reflective,YB380-AZRRF,"Tuesday, March 23, 2021",9:41 AM EST,11.5,$210
