name,ticker,date,time,size,price
adidas Yeezy Boost 380 Blue Oat,YB380-BLF,"Tuesday, July 6, 2021",5:54 PM EST,9,$210
adidas Yeezy Boost 380 Blue Oat,YB380-BLF,"Tuesday, July 6, 2021",4:12 PM EST,5.5,$255
adidas Yeezy Boost 380 Blue Oat,YB380-BLF,"Tuesday, July 6, 2021",3:02 PM EST,10,$190
adidas Yeezy Boost 380 Blue Oat,YB380-BLF,"Tuesday, July 6, 2021",2:32 PM EST,10,$200
adidas Yeezy Boost 380 Blue Oat,YB380-BLF,"Tuesday, July 6, 2021",10:02 AM EST,10.5,$230
adidas Yeezy Boost 380 Blue Oat,YB380-BLF,"Monday, July 5, 2021",11:25 PM EST,12,$240
adidas Yeezy Boost 380 Blue Oat,YB380-BLF,"Monday, July 5, 2021",4:33 PM EST,9.5,$213
adidas Yeezy Boost 380 Blue Oat,YB380-BLF,"Sunday, July 4, 2021",3:29 PM EST,10.5,$225
adidas Yeezy Boost 380 Blue Oat,YB380-BLF,"Saturday, July 3, 2021",6:52 AM EST,16,$297
adidas Yeezy Boost 380 Blue Oat,YB380-BLF,"Friday, July 2, 2021",5:29 PM EST,10,$220
adidas Yeezy Boost 380 Blue Oat,YB380-BLF,"Thursday, July 1, 2021",6:19 PM EST,11,$175
adidas Yeezy Boost 380 Blue Oat,YB380-BLF,"Thursday, July 1, 2021",12:01 PM EST,11,$230
adidas Yeezy Boost 380 Blue Oat,YB380-BLF,"Wednesday, June 30, 2021",9:28 PM EST,5.5,$235
adidas Yeezy Boost 380 Blue Oat,YB380-BLF,"Tuesday, June 29, 2021",8:55 PM EST,11,$206
adidas Yeezy Boost 380 Blue Oat,YB380-BLF,"Tuesday, June 29, 2021",8:26 PM EST,12,$220
adidas Yeezy Boost 380 Blue Oat,YB380-BLF,"Tuesday, June 29, 2021",4:47 PM EST,9.5,$191
adidas Yeezy Boost 380 Blue Oat,YB380-BLF,"Tuesday, June 29, 2021",3:22 AM EST,8,$191
adidas Yeezy Boost 380 Blue Oat,YB380-BLF,"Monday, June 28, 2021",12:44 AM EST,7.5,$265
adidas Yeezy Boost 380 Blue Oat,YB380-BLF,"Monday, June 28, 2021",6:10 PM EST,9,$210
