name,ticker,date,time,size,price
adidas Yeezy Boost 380 Blue Oat (Infants),YB380-BLFGI,"Sunday, June 27, 2021",10:53 PM EST,10K,$131
adidas Yeezy Boost 380 Blue Oat (Infants),YB380-BLFGI,"Sunday, June 27, 2021",3:47 PM EST,8K,$130
adidas Yeezy Boost 380 Blue Oat (Infants),YB380-BLFGI,"Monday, June 21, 2021",3:12 AM EST,4K,$100
adidas Yeezy Boost 380 Blue Oat (Infants),YB380-BLFGI,"Saturday, June 12, 2021",5:20 PM EST,5K,$219
adidas Yeezy Boost 380 Blue Oat (Infants),YB380-BLFGI,"Saturday, June 5, 2021",10:27 PM EST,7K,$215
adidas Yeezy Boost 380 Blue Oat (Infants),YB380-BLFGI,"Friday, June 4, 2021",10:58 PM EST,6K,$209
adidas Yeezy Boost 380 Blue Oat (Infants),YB380-BLFGI,"Thursday, May 27, 2021",9:39 AM EST,7K,$200
adidas Yeezy Boost 380 Blue Oat (Infants),YB380-BLFGI,"Wednesday, May 26, 2021",9:34 PM EST,7K,$195
adidas Yeezy Boost 380 Blue Oat (Infants),YB380-BLFGI,"Wednesday, May 26, 2021",10:39 AM EST,10K,$175
adidas Yeezy Boost 380 Blue Oat (Infants),YB380-BLFGI,"Wednesday, May 19, 2021",6:41 PM EST,9K,$316
adidas Yeezy Boost 380 Blue Oat (Infants),YB380-BLFGI,"Tuesday, May 11, 2021",5:18 PM EST,5K,$160
adidas Yeezy Boost 380 Blue Oat (Infants),YB380-BLFGI,"Monday, May 3, 2021",4:43 PM EST,10K,$169
adidas Yeezy Boost 380 Blue Oat (Infants),YB380-BLFGI,"Wednesday, April 28, 2021",1:11 PM EST,8.5K,$102
adidas Yeezy Boost 380 Blue Oat (Infants),YB380-BLFGI,"Wednesday, April 28, 2021",12:56 PM EST,6.5K,$200
adidas Yeezy Boost 380 Blue Oat (Infants),YB380-BLFGI,"Wednesday, April 28, 2021",12:54 PM EST,9K,$150
