name,ticker,date,time,size,price
adidas Yeezy Boost 380 Hylte (Infants),YB380-BLFI,"Sunday, June 27, 2021",3:49 PM EST,5.5K,$150
adidas Yeezy Boost 380 Hylte (Infants),YB380-BLFI,"Sunday, June 27, 2021",3:49 PM EST,5.5K,$149
adidas Yeezy Boost 380 Hylte (Infants),YB380-BLFI,"Wednesday, June 23, 2021",8:56 PM EST,5K,$51
adidas Yeezy Boost 380 Hylte (Infants),YB380-BLFI,"Monday, June 7, 2021",2:16 PM EST,8.5K,$92
adidas Yeezy Boost 380 Hylte (Infants),YB380-BLFI,"Friday, June 4, 2021",1:26 AM EST,9.5K,$235
adidas Yeezy Boost 380 Hylte (Infants),YB380-BLFI,"Monday, May 31, 2021",4:56 PM EST,6K,$153
adidas Yeezy Boost 380 Hylte (Infants),YB380-BLFI,"Monday, May 31, 2021",7:56 AM EST,9K,$272
adidas Yeezy Boost 380 Hylte (Infants),YB380-BLFI,"Wednesday, May 26, 2021",7:53 PM EST,8.5K,$223
adidas Yeezy Boost 380 Hylte (Infants),YB380-BLFI,"Wednesday, May 26, 2021",5:02 PM EST,8.5K,$219
adidas Yeezy Boost 380 Hylte (Infants),YB380-BLFI,"Monday, May 17, 2021",2:24 PM EST,5K,$148
adidas Yeezy Boost 380 Hylte (Infants),YB380-BLFI,"Sunday, May 9, 2021",4:17 PM EST,9K,$177
adidas Yeezy Boost 380 Hylte (Infants),YB380-BLFI,"Wednesday, May 5, 2021",7:26 PM EST,8.5K,$160
adidas Yeezy Boost 380 Hylte (Infants),YB380-BLFI,"Tuesday, May 4, 2021",10:59 PM EST,8.5K,$160
adidas Yeezy Boost 380 Hylte (Infants),YB380-BLFI,"Monday, May 3, 2021",4:42 PM EST,10K,$210
adidas Yeezy Boost 380 Hylte (Infants),YB380-BLFI,"Monday, May 3, 2021",12:10 PM EST,5K,$140
adidas Yeezy Boost 380 Hylte (Infants),YB380-BLFI,"Wednesday, April 28, 2021",12:11 PM EST,7K,$188
adidas Yeezy Boost 380 Hylte (Infants),YB380-BLFI,"Sunday, April 25, 2021",11:06 PM EST,7K,$180
adidas Yeezy Boost 380 Hylte (Infants),YB380-BLFI,"Friday, April 23, 2021",1:41 PM EST,9K,$177
adidas Yeezy Boost 380 Hylte (Infants),YB380-BLFI,"Wednesday, April 21, 2021",7:13 AM EST,5.5K,$149
adidas Yeezy Boost 380 Hylte (Infants),YB380-BLFI,"Monday, April 19, 2021",1:48 PM EST,9K,$175
adidas Yeezy Boost 380 Hylte (Infants),YB380-BLFI,"Friday, April 16, 2021",11:18 AM EST,7.5K,$175
adidas Yeezy Boost 380 Hylte (Infants),YB380-BLFI,"Thursday, April 15, 2021",10:03 AM EST,9.5K,$224
adidas Yeezy Boost 380 Hylte (Infants),YB380-BLFI,"Thursday, April 8, 2021",7:47 AM EST,10K,$165
adidas Yeezy Boost 380 Hylte (Infants),YB380-BLFI,"Wednesday, April 7, 2021",4:53 PM EST,6K,$134
adidas Yeezy Boost 380 Hylte (Infants),YB380-BLFI,"Thursday, April 1, 2021",12:53 PM EST,9.5K,$166
adidas Yeezy Boost 380 Hylte (Infants),YB380-BLFI,"Tuesday, March 30, 2021",12:53 AM EST,7K,$165
adidas Yeezy Boost 380 Hylte (Infants),YB380-BLFI,"Tuesday, March 30, 2021",5:26 PM EST,9K,$173
adidas Yeezy Boost 380 Hylte (Infants),YB380-BLFI,"Monday, March 29, 2021",6:15 PM EST,8.5K,$140
adidas Yeezy Boost 380 Hylte (Infants),YB380-BLFI,"Monday, March 29, 2021",1:19 AM EST,6K,$125
adidas Yeezy Boost 380 Hylte (Infants),YB380-BLFI,"Sunday, March 28, 2021",7:10 PM EST,5.5K,$149
adidas Yeezy Boost 380 Hylte (Infants),YB380-BLFI,"Monday, March 22, 2021",8:35 AM EST,8K,$165
adidas Yeezy Boost 380 Hylte (Infants),YB380-BLFI,"Saturday, March 20, 2021",8:54 PM EST,7K,$165
adidas Yeezy Boost 380 Hylte (Infants),YB380-BLFI,"Saturday, March 20, 2021",12:14 PM EST,8K,$165
adidas Yeezy Boost 380 Hylte (Infants),YB380-BLFI,"Saturday, March 20, 2021",9:57 AM EST,6.5K,$145
adidas Yeezy Boost 380 Hylte (Infants),YB380-BLFI,"Thursday, March 18, 2021",12:06 AM EST,6K,$134
adidas Yeezy Boost 380 Hylte (Infants),YB380-BLFI,"Thursday, March 18, 2021",1:51 PM EST,9K,$165
adidas Yeezy Boost 380 Hylte (Infants),YB380-BLFI,"Wednesday, March 17, 2021",10:19 PM EST,6.5K,$145
adidas Yeezy Boost 380 Hylte (Infants),YB380-BLFI,"Wednesday, March 17, 2021",12:30 PM EST,10K,$165
adidas Yeezy Boost 380 Hylte (Infants),YB380-BLFI,"Tuesday, March 16, 2021",11:47 AM EST,9.5K,$166
adidas Yeezy Boost 380 Hylte (Infants),YB380-BLFI,"Sunday, March 14, 2021",12:41 AM EST,5K,$150
adidas Yeezy Boost 380 Hylte (Infants),YB380-BLFI,"Thursday, March 11, 2021",2:53 PM EST,6.5K,$148
adidas Yeezy Boost 380 Hylte (Infants),YB380-BLFI,"Wednesday, March 10, 2021",11:43 PM EST,10K,$180
adidas Yeezy Boost 380 Hylte (Infants),YB380-BLFI,"Monday, March 8, 2021",11:56 PM EST,6.5K,$145
adidas Yeezy Boost 380 Hylte (Infants),YB380-BLFI,"Tuesday, March 2, 2021",10:05 AM EST,10K,$155
adidas Yeezy Boost 380 Hylte (Infants),YB380-BLFI,"Sunday, February 28, 2021",1:00 PM EST,9.5K,$223
adidas Yeezy Boost 380 Hylte (Infants),YB380-BLFI,"Saturday, February 27, 2021",3:29 AM EST,10K,$139
adidas Yeezy Boost 380 Hylte (Infants),YB380-BLFI,"Wednesday, February 10, 2021",3:21 PM EST,8K,$224
adidas Yeezy Boost 380 Hylte (Infants),YB380-BLFI,"Tuesday, February 9, 2021",4:26 AM EST,10K,$136
adidas Yeezy Boost 380 Hylte (Infants),YB380-BLFI,"Saturday, February 6, 2021",10:44 AM EST,10K,$139
adidas Yeezy Boost 380 Hylte (Infants),YB380-BLFI,"Thursday, February 4, 2021",8:08 AM EST,6.5K,$110
adidas Yeezy Boost 380 Hylte (Infants),YB380-BLFI,"Monday, February 1, 2021",7:00 PM EST,10K,$139
adidas Yeezy Boost 380 Hylte (Infants),YB380-BLFI,"Wednesday, January 27, 2021",12:12 PM EST,6.5K,$147
adidas Yeezy Boost 380 Hylte (Infants),YB380-BLFI,"Sunday, January 24, 2021",2:13 AM EST,4K,$150
adidas Yeezy Boost 380 Hylte (Infants),YB380-BLFI,"Tuesday, December 29, 2020",12:53 PM EST,7K,$220
adidas Yeezy Boost 380 Hylte (Infants),YB380-BLFI,"Saturday, December 26, 2020",9:32 PM EST,7K,$195
adidas Yeezy Boost 380 Hylte (Infants),YB380-BLFI,"Saturday, December 26, 2020",12:06 PM EST,10K,$145
adidas Yeezy Boost 380 Hylte (Infants),YB380-BLFI,"Friday, December 18, 2020",4:04 PM EST,10K,$209
