name,ticker,date,time,size,price
adidas Yeezy Boost 380 Hylte (Kids),YB380-BLFK,"Tuesday, June 29, 2021",12:23 AM EST,2.5Y,$135
adidas Yeezy Boost 380 Hylte (Kids),YB380-BLFK,"Friday, June 25, 2021",9:08 AM EST,13.5K,$196
adidas Yeezy Boost 380 Hylte (Kids),YB380-BLFK,"Wednesday, June 23, 2021",5:21 PM EST,11K,$198
adidas Yeezy Boost 380 Hylte (Kids),YB380-BLFK,"Monday, June 14, 2021",6:27 PM EST,13K,$218
adidas Yeezy Boost 380 Hylte (Kids),YB380-BLFK,"Sunday, June 13, 2021",11:04 AM EST,3Y,$300
adidas Yeezy Boost 380 Hylte (Kids),YB380-BLFK,"Thursday, June 10, 2021",1:54 PM EST,10.5K,$198
adidas Yeezy Boost 380 Hylte (Kids),YB380-BLFK,"Wednesday, June 9, 2021",7:43 PM EST,13.5K,$185
adidas Yeezy Boost 380 Hylte (Kids),YB380-BLFK,"Thursday, June 3, 2021",11:56 AM EST,2Y,$205
adidas Yeezy Boost 380 Hylte (Kids),YB380-BLFK,"Thursday, June 3, 2021",11:54 AM EST,11K,$185
adidas Yeezy Boost 380 Hylte (Kids),YB380-BLFK,"Monday, May 31, 2021",4:56 PM EST,11.5K,$80
adidas Yeezy Boost 380 Hylte (Kids),YB380-BLFK,"Sunday, May 23, 2021",7:46 PM EST,3Y,$150
adidas Yeezy Boost 380 Hylte (Kids),YB380-BLFK,"Thursday, May 20, 2021",4:53 PM EST,12.5K,$179
adidas Yeezy Boost 380 Hylte (Kids),YB380-BLFK,"Thursday, April 22, 2021",2:59 PM EST,2.5Y,$210
adidas Yeezy Boost 380 Hylte (Kids),YB380-BLFK,"Thursday, April 22, 2021",2:59 PM EST,10.5K,$185
adidas Yeezy Boost 380 Hylte (Kids),YB380-BLFK,"Sunday, April 18, 2021",7:44 PM EST,3Y,$199
adidas Yeezy Boost 380 Hylte (Kids),YB380-BLFK,"Saturday, April 17, 2021",11:26 PM EST,3Y,$198
adidas Yeezy Boost 380 Hylte (Kids),YB380-BLFK,"Wednesday, April 14, 2021",1:28 PM EST,11.5K,$182
adidas Yeezy Boost 380 Hylte (Kids),YB380-BLFK,"Wednesday, April 14, 2021",1:27 PM EST,11.5K,$181
adidas Yeezy Boost 380 Hylte (Kids),YB380-BLFK,"Monday, April 12, 2021",3:52 PM EST,2.5Y,$209
adidas Yeezy Boost 380 Hylte (Kids),YB380-BLFK,"Thursday, April 8, 2021",1:06 PM EST,1Y,$195
adidas Yeezy Boost 380 Hylte (Kids),YB380-BLFK,"Sunday, March 28, 2021",3:43 PM EST,10.5K,$185
adidas Yeezy Boost 380 Hylte (Kids),YB380-BLFK,"Saturday, March 27, 2021",1:06 PM EST,2.5Y,$210
adidas Yeezy Boost 380 Hylte (Kids),YB380-BLFK,"Tuesday, March 23, 2021",11:38 AM EST,11K,$198
adidas Yeezy Boost 380 Hylte (Kids),YB380-BLFK,"Tuesday, March 23, 2021",11:37 AM EST,11K,$180
adidas Yeezy Boost 380 Hylte (Kids),YB380-BLFK,"Monday, March 22, 2021",6:36 PM EST,12K,$182
adidas Yeezy Boost 380 Hylte (Kids),YB380-BLFK,"Saturday, March 20, 2021",1:25 PM EST,13.5K,$184
adidas Yeezy Boost 380 Hylte (Kids),YB380-BLFK,"Saturday, March 20, 2021",10:02 AM EST,13K,$220
adidas Yeezy Boost 380 Hylte (Kids),YB380-BLFK,"Thursday, March 18, 2021",5:24 PM EST,1.5Y,$175
adidas Yeezy Boost 380 Hylte (Kids),YB380-BLFK,"Thursday, March 18, 2021",2:01 PM EST,11K,$180
adidas Yeezy Boost 380 Hylte (Kids),YB380-BLFK,"Thursday, March 18, 2021",1:25 PM EST,1Y,$199
adidas Yeezy Boost 380 Hylte (Kids),YB380-BLFK,"Thursday, March 18, 2021",5:07 AM EST,2Y,$180
adidas Yeezy Boost 380 Hylte (Kids),YB380-BLFK,"Thursday, March 18, 2021",1:06 AM EST,13K,$182
adidas Yeezy Boost 380 Hylte (Kids),YB380-BLFK,"Wednesday, March 17, 2021",11:58 AM EST,13K,$182
adidas Yeezy Boost 380 Hylte (Kids),YB380-BLFK,"Monday, March 15, 2021",9:56 PM EST,13.5K,$184
adidas Yeezy Boost 380 Hylte (Kids),YB380-BLFK,"Monday, March 15, 2021",4:01 PM EST,2Y,$180
adidas Yeezy Boost 380 Hylte (Kids),YB380-BLFK,"Friday, March 12, 2021",12:26 PM EST,13.5K,$198
adidas Yeezy Boost 380 Hylte (Kids),YB380-BLFK,"Tuesday, March 9, 2021",12:00 PM EST,12.5K,$244
adidas Yeezy Boost 380 Hylte (Kids),YB380-BLFK,"Monday, March 8, 2021",2:32 PM EST,13K,$150
adidas Yeezy Boost 380 Hylte (Kids),YB380-BLFK,"Sunday, March 7, 2021",10:46 AM EST,13K,$149
adidas Yeezy Boost 380 Hylte (Kids),YB380-BLFK,"Thursday, March 4, 2021",4:34 PM EST,3Y,$209
adidas Yeezy Boost 380 Hylte (Kids),YB380-BLFK,"Monday, March 1, 2021",5:02 PM EST,1.5Y,$167
adidas Yeezy Boost 380 Hylte (Kids),YB380-BLFK,"Saturday, February 20, 2021",4:11 AM EST,1.5Y,$167
adidas Yeezy Boost 380 Hylte (Kids),YB380-BLFK,"Thursday, February 18, 2021",1:48 PM EST,13K,$150
adidas Yeezy Boost 380 Hylte (Kids),YB380-BLFK,"Friday, February 12, 2021",2:49 PM EST,10.5K,$180
adidas Yeezy Boost 380 Hylte (Kids),YB380-BLFK,"Friday, February 12, 2021",2:49 PM EST,2.5Y,$151
adidas Yeezy Boost 380 Hylte (Kids),YB380-BLFK,"Friday, February 5, 2021",9:10 AM EST,3Y,$215
adidas Yeezy Boost 380 Hylte (Kids),YB380-BLFK,"Wednesday, February 3, 2021",11:40 AM EST,3Y,$214
adidas Yeezy Boost 380 Hylte (Kids),YB380-BLFK,"Wednesday, February 3, 2021",11:39 AM EST,3Y,$214
adidas Yeezy Boost 380 Hylte (Kids),YB380-BLFK,"Tuesday, January 19, 2021",11:38 PM EST,11K,$200
adidas Yeezy Boost 380 Hylte (Kids),YB380-BLFK,"Friday, January 15, 2021",6:19 AM EST,3Y,$187
adidas Yeezy Boost 380 Hylte (Kids),YB380-BLFK,"Thursday, January 7, 2021",3:17 PM EST,11.5K,$369
adidas Yeezy Boost 380 Hylte (Kids),YB380-BLFK,"Thursday, January 7, 2021",3:16 PM EST,3Y,$436
adidas Yeezy Boost 380 Hylte (Kids),YB380-BLFK,"Wednesday, January 6, 2021",11:27 AM EST,3Y,$250
adidas Yeezy Boost 380 Hylte (Kids),YB380-BLFK,"Saturday, January 2, 2021",1:40 PM EST,3Y,$226
adidas Yeezy Boost 380 Hylte (Kids),YB380-BLFK,"Wednesday, December 30, 2020",9:36 PM EST,3Y,$223
adidas Yeezy Boost 380 Hylte (Kids),YB380-BLFK,"Saturday, December 26, 2020",5:22 PM EST,3Y,$219
adidas Yeezy Boost 380 Hylte (Kids),YB380-BLFK,"Friday, December 25, 2020",10:10 AM EST,2Y,$250
adidas Yeezy Boost 380 Hylte (Kids),YB380-BLFK,"Tuesday, December 15, 2020",9:11 PM EST,1.5Y,$175
adidas Yeezy Boost 380 Hylte (Kids),YB380-BLFK,"Tuesday, December 15, 2020",9:10 PM EST,11K,$215
adidas Yeezy Boost 380 Hylte (Kids),YB380-BLFK,"Monday, December 14, 2020",5:44 PM EST,12.5K,$300
adidas Yeezy Boost 380 Hylte (Kids),YB380-BLFK,"Monday, December 14, 2020",5:14 PM EST,3Y,$215
