name,ticker,date,time,size,price
adidas Yeezy Boost 380 Hylte Glow,YB380-BLGF,"Tuesday, July 6, 2021",10:53 AM EST,9,$245
adidas Yeezy Boost 380 Hylte Glow,YB380-BLGF,"Monday, July 5, 2021",12:35 PM EST,12,$230
adidas Yeezy Boost 380 Hylte Glow,YB380-BLGF,"Thursday, July 1, 2021",8:45 PM EST,10.5,$187
adidas Yeezy Boost 380 Hylte Glow,YB380-BLGF,"Thursday, July 1, 2021",1:54 PM EST,10.5,$200
adidas Yeezy Boost 380 Hylte Glow,YB380-BLGF,"Tuesday, June 29, 2021",9:41 AM EST,4,$210
adidas Yeezy Boost 380 Hylte Glow,YB380-BLGF,"Tuesday, June 29, 2021",8:09 AM EST,12,$243
adidas Yeezy Boost 380 Hylte Glow,YB380-BLGF,"Thursday, June 24, 2021",4:03 PM EST,10,$365
adidas Yeezy Boost 380 Hylte Glow,YB380-BLGF,"Wednesday, June 23, 2021",12:46 AM EST,10.5,$220
adidas Yeezy Boost 380 Hylte Glow,YB380-BLGF,"Wednesday, June 23, 2021",8:07 PM EST,9,$250
adidas Yeezy Boost 380 Hylte Glow,YB380-BLGF,"Wednesday, June 23, 2021",7:47 PM EST,9.5,$245
adidas Yeezy Boost 380 Hylte Glow,YB380-BLGF,"Wednesday, June 23, 2021",2:49 PM EST,13,$245
adidas Yeezy Boost 380 Hylte Glow,YB380-BLGF,"Tuesday, June 22, 2021",9:26 PM EST,9.5,$170
adidas Yeezy Boost 380 Hylte Glow,YB380-BLGF,"Tuesday, June 22, 2021",2:46 PM EST,10,$253
adidas Yeezy Boost 380 Hylte Glow,YB380-BLGF,"Monday, June 21, 2021",10:14 PM EST,12,$254
adidas Yeezy Boost 380 Hylte Glow,YB380-BLGF,"Sunday, June 20, 2021",3:54 AM EST,11,$256
adidas Yeezy Boost 380 Hylte Glow,YB380-BLGF,"Saturday, June 19, 2021",9:18 AM EST,10.5,$220
adidas Yeezy Boost 380 Hylte Glow,YB380-BLGF,"Friday, June 18, 2021",12:30 AM EST,10,$250
adidas Yeezy Boost 380 Hylte Glow,YB380-BLGF,"Friday, June 18, 2021",11:51 PM EST,10,$216
adidas Yeezy Boost 380 Hylte Glow,YB380-BLGF,"Wednesday, June 16, 2021",3:04 PM EST,10.5,$220
adidas Yeezy Boost 380 Hylte Glow,YB380-BLGF,"Wednesday, June 16, 2021",2:11 PM EST,10.5,$220
adidas Yeezy Boost 380 Hylte Glow,YB380-BLGF,"Wednesday, June 16, 2021",1:58 PM EST,9.5,$230
adidas Yeezy Boost 380 Hylte Glow,YB380-BLGF,"Wednesday, June 16, 2021",1:37 PM EST,9.5,$223
adidas Yeezy Boost 380 Hylte Glow,YB380-BLGF,"Wednesday, June 16, 2021",1:18 PM EST,10.5,$220
adidas Yeezy Boost 380 Hylte Glow,YB380-BLGF,"Wednesday, June 16, 2021",12:54 PM EST,10.5,$220
adidas Yeezy Boost 380 Hylte Glow,YB380-BLGF,"Wednesday, June 16, 2021",12:50 PM EST,8.5,$225
adidas Yeezy Boost 380 Hylte Glow,YB380-BLGF,"Wednesday, June 16, 2021",11:04 AM EST,10,$229
adidas Yeezy Boost 380 Hylte Glow,YB380-BLGF,"Wednesday, June 16, 2021",10:23 AM EST,9,$200
adidas Yeezy Boost 380 Hylte Glow,YB380-BLGF,"Tuesday, June 15, 2021",8:40 PM EST,11,$255
adidas Yeezy Boost 380 Hylte Glow,YB380-BLGF,"Tuesday, June 15, 2021",1:26 PM EST,10,$230
adidas Yeezy Boost 380 Hylte Glow,YB380-BLGF,"Tuesday, June 15, 2021",11:50 AM EST,9.5,$220
adidas Yeezy Boost 380 Hylte Glow,YB380-BLGF,"Tuesday, June 15, 2021",11:06 AM EST,15,$300
adidas Yeezy Boost 380 Hylte Glow,YB380-BLGF,"Sunday, June 13, 2021",4:49 AM EST,12,$225
adidas Yeezy Boost 380 Hylte Glow,YB380-BLGF,"Saturday, June 12, 2021",2:06 AM EST,12,$250
adidas Yeezy Boost 380 Hylte Glow,YB380-BLGF,"Friday, June 11, 2021",10:49 AM EST,10,$230
adidas Yeezy Boost 380 Hylte Glow,YB380-BLGF,"Thursday, June 10, 2021",6:17 PM EST,12,$255
adidas Yeezy Boost 380 Hylte Glow,YB380-BLGF,"Thursday, June 10, 2021",1:58 PM EST,9.5,$186
adidas Yeezy Boost 380 Hylte Glow,YB380-BLGF,"Wednesday, June 9, 2021",2:19 PM EST,9.5,$196
adidas Yeezy Boost 380 Hylte Glow,YB380-BLGF,"Wednesday, June 9, 2021",11:31 AM EST,10.5,$214
adidas Yeezy Boost 380 Hylte Glow,YB380-BLGF,"Monday, June 7, 2021",12:51 PM EST,12,$298
adidas Yeezy Boost 380 Hylte Glow,YB380-BLGF,"Monday, June 7, 2021",12:12 PM EST,10.5,$190
adidas Yeezy Boost 380 Hylte Glow,YB380-BLGF,"Saturday, June 5, 2021",7:30 PM EST,12,$238
adidas Yeezy Boost 380 Hylte Glow,YB380-BLGF,"Friday, June 4, 2021",11:08 PM EST,4,$210
adidas Yeezy Boost 380 Hylte Glow,YB380-BLGF,"Thursday, June 3, 2021",6:58 PM EST,13,$260
adidas Yeezy Boost 380 Hylte Glow,YB380-BLGF,"Thursday, June 3, 2021",1:35 PM EST,13,$259
adidas Yeezy Boost 380 Hylte Glow,YB380-BLGF,"Tuesday, June 1, 2021",3:27 PM EST,6,$345
adidas Yeezy Boost 380 Hylte Glow,YB380-BLGF,"Saturday, May 29, 2021",9:25 AM EST,13,$220
adidas Yeezy Boost 380 Hylte Glow,YB380-BLGF,"Friday, May 28, 2021",6:48 PM EST,5,$230
adidas Yeezy Boost 380 Hylte Glow,YB380-BLGF,"Friday, May 28, 2021",2:53 PM EST,10.5,$220
adidas Yeezy Boost 380 Hylte Glow,YB380-BLGF,"Thursday, May 27, 2021",7:50 PM EST,5.5,$279
adidas Yeezy Boost 380 Hylte Glow,YB380-BLGF,"Thursday, May 27, 2021",4:51 PM EST,9.5,$245
adidas Yeezy Boost 380 Hylte Glow,YB380-BLGF,"Thursday, May 27, 2021",3:16 PM EST,14,$220
adidas Yeezy Boost 380 Hylte Glow,YB380-BLGF,"Thursday, May 27, 2021",11:55 AM EST,6,$289
adidas Yeezy Boost 380 Hylte Glow,YB380-BLGF,"Wednesday, May 26, 2021",3:46 PM EST,12,$230
adidas Yeezy Boost 380 Hylte Glow,YB380-BLGF,"Wednesday, May 26, 2021",9:58 AM EST,9.5,$200
adidas Yeezy Boost 380 Hylte Glow,YB380-BLGF,"Wednesday, May 26, 2021",1:18 AM EST,13,$234
adidas Yeezy Boost 380 Hylte Glow,YB380-BLGF,"Tuesday, May 25, 2021",2:14 AM EST,5,$170
adidas Yeezy Boost 380 Hylte Glow,YB380-BLGF,"Saturday, May 22, 2021",4:38 PM EST,12,$211
adidas Yeezy Boost 380 Hylte Glow,YB380-BLGF,"Thursday, May 20, 2021",10:12 PM EST,12,$219
adidas Yeezy Boost 380 Hylte Glow,YB380-BLGF,"Wednesday, May 19, 2021",10:25 AM EST,9.5,$183
adidas Yeezy Boost 380 Hylte Glow,YB380-BLGF,"Tuesday, May 18, 2021",2:51 PM EST,12,$234
adidas Yeezy Boost 380 Hylte Glow,YB380-BLGF,"Friday, May 14, 2021",9:25 PM EST,12,$235
adidas Yeezy Boost 380 Hylte Glow,YB380-BLGF,"Friday, May 14, 2021",6:24 PM EST,11,$230
adidas Yeezy Boost 380 Hylte Glow,YB380-BLGF,"Friday, May 14, 2021",1:37 PM EST,9.5,$240
adidas Yeezy Boost 380 Hylte Glow,YB380-BLGF,"Wednesday, May 12, 2021",9:50 PM EST,10.5,$190
adidas Yeezy Boost 380 Hylte Glow,YB380-BLGF,"Wednesday, May 12, 2021",4:29 PM EST,6,$230
adidas Yeezy Boost 380 Hylte Glow,YB380-BLGF,"Tuesday, May 11, 2021",3:40 PM EST,10.5,$220
adidas Yeezy Boost 380 Hylte Glow,YB380-BLGF,"Tuesday, May 11, 2021",2:56 PM EST,4.5,$212
adidas Yeezy Boost 380 Hylte Glow,YB380-BLGF,"Saturday, May 8, 2021",1:53 PM EST,8,$250
adidas Yeezy Boost 380 Hylte Glow,YB380-BLGF,"Monday, May 3, 2021",3:11 PM EST,10,$235
adidas Yeezy Boost 380 Hylte Glow,YB380-BLGF,"Friday, April 30, 2021",8:59 PM EST,13,$225
adidas Yeezy Boost 380 Hylte Glow,YB380-BLGF,"Friday, April 30, 2021",1:49 PM EST,12,$245
adidas Yeezy Boost 380 Hylte Glow,YB380-BLGF,"Thursday, April 29, 2021",3:27 PM EST,12,$210
adidas Yeezy Boost 380 Hylte Glow,YB380-BLGF,"Wednesday, April 28, 2021",3:53 PM EST,6.5,$250
adidas Yeezy Boost 380 Hylte Glow,YB380-BLGF,"Wednesday, April 28, 2021",2:45 PM EST,9,$250
adidas Yeezy Boost 380 Hylte Glow,YB380-BLGF,"Tuesday, April 27, 2021",11:09 PM EST,10,$205
adidas Yeezy Boost 380 Hylte Glow,YB380-BLGF,"Monday, April 26, 2021",8:33 AM EST,4.5,$195
adidas Yeezy Boost 380 Hylte Glow,YB380-BLGF,"Sunday, April 25, 2021",11:22 AM EST,13,$235
adidas Yeezy Boost 380 Hylte Glow,YB380-BLGF,"Friday, April 23, 2021",11:17 PM EST,9,$231
adidas Yeezy Boost 380 Hylte Glow,YB380-BLGF,"Thursday, April 22, 2021",12:53 PM EST,10,$202
adidas Yeezy Boost 380 Hylte Glow,YB380-BLGF,"Thursday, April 22, 2021",11:53 AM EST,6,$259
adidas Yeezy Boost 380 Hylte Glow,YB380-BLGF,"Thursday, April 22, 2021",8:43 AM EST,9.5,$229
adidas Yeezy Boost 380 Hylte Glow,YB380-BLGF,"Thursday, April 22, 2021",4:15 AM EST,5,$255
adidas Yeezy Boost 380 Hylte Glow,YB380-BLGF,"Wednesday, April 21, 2021",12:24 PM EST,13.5,$300
adidas Yeezy Boost 380 Hylte Glow,YB380-BLGF,"Wednesday, April 21, 2021",11:36 AM EST,5,$224
adidas Yeezy Boost 380 Hylte Glow,YB380-BLGF,"Tuesday, April 20, 2021",4:09 PM EST,11,$254
adidas Yeezy Boost 380 Hylte Glow,YB380-BLGF,"Monday, April 19, 2021",3:00 PM EST,11,$229
adidas Yeezy Boost 380 Hylte Glow,YB380-BLGF,"Monday, April 19, 2021",10:54 AM EST,10.5,$202
adidas Yeezy Boost 380 Hylte Glow,YB380-BLGF,"Sunday, April 18, 2021",7:49 PM EST,10.5,$195
adidas Yeezy Boost 380 Hylte Glow,YB380-BLGF,"Sunday, April 18, 2021",4:58 PM EST,10.5,$185
adidas Yeezy Boost 380 Hylte Glow,YB380-BLGF,"Saturday, April 17, 2021",4:50 PM EST,9.5,$196
adidas Yeezy Boost 380 Hylte Glow,YB380-BLGF,"Saturday, April 17, 2021",12:30 PM EST,9,$205
adidas Yeezy Boost 380 Hylte Glow,YB380-BLGF,"Saturday, April 17, 2021",11:10 AM EST,5,$208
adidas Yeezy Boost 380 Hylte Glow,YB380-BLGF,"Friday, April 16, 2021",7:00 PM EST,10,$206
adidas Yeezy Boost 380 Hylte Glow,YB380-BLGF,"Friday, April 16, 2021",3:46 PM EST,5,$206
adidas Yeezy Boost 380 Hylte Glow,YB380-BLGF,"Friday, April 16, 2021",12:33 PM EST,13,$225
adidas Yeezy Boost 380 Hylte Glow,YB380-BLGF,"Thursday, April 15, 2021",4:59 PM EST,12,$240
adidas Yeezy Boost 380 Hylte Glow,YB380-BLGF,"Wednesday, April 14, 2021",12:32 PM EST,11,$210
adidas Yeezy Boost 380 Hylte Glow,YB380-BLGF,"Wednesday, April 14, 2021",6:29 AM EST,9,$285
adidas Yeezy Boost 380 Hylte Glow,YB380-BLGF,"Tuesday, April 13, 2021",10:54 PM EST,14,$263
adidas Yeezy Boost 380 Hylte Glow,YB380-BLGF,"Tuesday, April 13, 2021",1:13 PM EST,5.5,$200
adidas Yeezy Boost 380 Hylte Glow,YB380-BLGF,"Monday, April 12, 2021",4:36 PM EST,12,$210
adidas Yeezy Boost 380 Hylte Glow,YB380-BLGF,"Monday, April 12, 2021",8:11 AM EST,9.5,$210
adidas Yeezy Boost 380 Hylte Glow,YB380-BLGF,"Sunday, April 11, 2021",10:41 PM EST,11,$225
adidas Yeezy Boost 380 Hylte Glow,YB380-BLGF,"Saturday, April 10, 2021",3:16 PM EST,5.5,$241
adidas Yeezy Boost 380 Hylte Glow,YB380-BLGF,"Saturday, April 10, 2021",10:51 AM EST,10.5,$198
adidas Yeezy Boost 380 Hylte Glow,YB380-BLGF,"Saturday, April 10, 2021",3:39 AM EST,9,$210
adidas Yeezy Boost 380 Hylte Glow,YB380-BLGF,"Friday, April 9, 2021",10:09 PM EST,10.5,$220
adidas Yeezy Boost 380 Hylte Glow,YB380-BLGF,"Friday, April 9, 2021",8:59 AM EST,12,$234
adidas Yeezy Boost 380 Hylte Glow,YB380-BLGF,"Thursday, April 8, 2021",10:08 PM EST,10.5,$220
adidas Yeezy Boost 380 Hylte Glow,YB380-BLGF,"Thursday, April 8, 2021",2:29 PM EST,13,$219
adidas Yeezy Boost 380 Hylte Glow,YB380-BLGF,"Thursday, April 8, 2021",12:33 PM EST,10,$206
adidas Yeezy Boost 380 Hylte Glow,YB380-BLGF,"Wednesday, April 7, 2021",10:24 PM EST,9.5,$225
adidas Yeezy Boost 380 Hylte Glow,YB380-BLGF,"Tuesday, April 6, 2021",4:14 PM EST,10,$206
adidas Yeezy Boost 380 Hylte Glow,YB380-BLGF,"Tuesday, April 6, 2021",3:30 AM EST,9.5,$215
adidas Yeezy Boost 380 Hylte Glow,YB380-BLGF,"Monday, April 5, 2021",12:53 AM EST,10.5,$200
adidas Yeezy Boost 380 Hylte Glow,YB380-BLGF,"Monday, April 5, 2021",1:33 PM EST,5.5,$240
adidas Yeezy Boost 380 Hylte Glow,YB380-BLGF,"Monday, April 5, 2021",1:32 PM EST,5.5,$218
adidas Yeezy Boost 380 Hylte Glow,YB380-BLGF,"Sunday, April 4, 2021",7:28 PM EST,10,$206
adidas Yeezy Boost 380 Hylte Glow,YB380-BLGF,"Friday, April 2, 2021",8:49 PM EST,5.5,$218
adidas Yeezy Boost 380 Hylte Glow,YB380-BLGF,"Friday, April 2, 2021",3:00 PM EST,12,$220
adidas Yeezy Boost 380 Hylte Glow,YB380-BLGF,"Friday, April 2, 2021",1:13 PM EST,12,$195
adidas Yeezy Boost 380 Hylte Glow,YB380-BLGF,"Friday, April 2, 2021",12:44 PM EST,11,$199
adidas Yeezy Boost 380 Hylte Glow,YB380-BLGF,"Wednesday, March 31, 2021",7:56 PM EST,11,$181
