name,ticker,date,time,size,price
adidas Yeezy Boost 380 Calcite Glow,YB380-BLOF,"Tuesday, July 6, 2021",7:28 PM EST,10,$260
adidas Yeezy Boost 380 Calcite Glow,YB380-BLOF,"Tuesday, July 6, 2021",6:29 PM EST,13,$250
adidas Yeezy Boost 380 Calcite Glow,YB380-BLOF,"Tuesday, July 6, 2021",6:00 PM EST,11,$298
adidas Yeezy Boost 380 Calcite Glow,YB380-BLOF,"Tuesday, July 6, 2021",5:52 PM EST,4.5,$260
adidas Yeezy Boost 380 Calcite Glow,YB380-BLOF,"Tuesday, July 6, 2021",5:33 PM EST,9,$236
adidas Yeezy Boost 380 Calcite Glow,YB380-BLOF,"Tuesday, July 6, 2021",1:19 PM EST,10.5,$250
adidas Yeezy Boost 380 Calcite Glow,YB380-BLOF,"Tuesday, July 6, 2021",11:51 AM EST,16,$350
adidas Yeezy Boost 380 Calcite Glow,YB380-BLOF,"Tuesday, July 6, 2021",10:43 AM EST,10.5,$243
adidas Yeezy Boost 380 Calcite Glow,YB380-BLOF,"Tuesday, July 6, 2021",2:50 AM EST,9,$274
adidas Yeezy Boost 380 Calcite Glow,YB380-BLOF,"Monday, July 5, 2021",12:35 AM EST,7,$300
adidas Yeezy Boost 380 Calcite Glow,YB380-BLOF,"Monday, July 5, 2021",12:26 AM EST,12,$225
adidas Yeezy Boost 380 Calcite Glow,YB380-BLOF,"Monday, July 5, 2021",9:14 PM EST,6,$284
adidas Yeezy Boost 380 Calcite Glow,YB380-BLOF,"Monday, July 5, 2021",8:12 PM EST,11.5,$288
adidas Yeezy Boost 380 Calcite Glow,YB380-BLOF,"Monday, July 5, 2021",6:32 PM EST,8.5,$315
adidas Yeezy Boost 380 Calcite Glow,YB380-BLOF,"Monday, July 5, 2021",6:21 PM EST,8.5,$274
adidas Yeezy Boost 380 Calcite Glow,YB380-BLOF,"Monday, July 5, 2021",6:11 PM EST,8,$232
adidas Yeezy Boost 380 Calcite Glow,YB380-BLOF,"Monday, July 5, 2021",6:00 PM EST,8.5,$251
adidas Yeezy Boost 380 Calcite Glow,YB380-BLOF,"Monday, July 5, 2021",5:35 PM EST,10,$385
adidas Yeezy Boost 380 Calcite Glow,YB380-BLOF,"Monday, July 5, 2021",4:48 PM EST,14,$407
adidas Yeezy Boost 380 Calcite Glow,YB380-BLOF,"Monday, July 5, 2021",3:21 PM EST,15,$350
adidas Yeezy Boost 380 Calcite Glow,YB380-BLOF,"Monday, July 5, 2021",2:27 PM EST,9.5,$251
adidas Yeezy Boost 380 Calcite Glow,YB380-BLOF,"Monday, July 5, 2021",2:04 PM EST,8,$287
adidas Yeezy Boost 380 Calcite Glow,YB380-BLOF,"Monday, July 5, 2021",1:36 PM EST,7,$264
adidas Yeezy Boost 380 Calcite Glow,YB380-BLOF,"Monday, July 5, 2021",1:26 PM EST,8,$352
adidas Yeezy Boost 380 Calcite Glow,YB380-BLOF,"Monday, July 5, 2021",1:22 PM EST,6.5,$294
adidas Yeezy Boost 380 Calcite Glow,YB380-BLOF,"Monday, July 5, 2021",6:52 AM EST,9.5,$335
adidas Yeezy Boost 380 Calcite Glow,YB380-BLOF,"Monday, July 5, 2021",4:48 AM EST,9.5,$333
adidas Yeezy Boost 380 Calcite Glow,YB380-BLOF,"Monday, July 5, 2021",4:26 AM EST,10,$335
adidas Yeezy Boost 380 Calcite Glow,YB380-BLOF,"Monday, July 5, 2021",3:16 AM EST,11,$250
adidas Yeezy Boost 380 Calcite Glow,YB380-BLOF,"Sunday, July 4, 2021",8:40 PM EST,10,$240
adidas Yeezy Boost 380 Calcite Glow,YB380-BLOF,"Sunday, July 4, 2021",5:47 PM EST,5.5,$297
adidas Yeezy Boost 380 Calcite Glow,YB380-BLOF,"Sunday, July 4, 2021",4:15 PM EST,6,$400
adidas Yeezy Boost 380 Calcite Glow,YB380-BLOF,"Sunday, July 4, 2021",1:31 AM EST,14.5,$337
adidas Yeezy Boost 380 Calcite Glow,YB380-BLOF,"Sunday, July 4, 2021",1:22 AM EST,10,$305
adidas Yeezy Boost 380 Calcite Glow,YB380-BLOF,"Saturday, July 3, 2021",7:12 PM EST,9,$275
adidas Yeezy Boost 380 Calcite Glow,YB380-BLOF,"Saturday, July 3, 2021",6:49 PM EST,9,$314
adidas Yeezy Boost 380 Calcite Glow,YB380-BLOF,"Saturday, July 3, 2021",6:43 PM EST,11.5,$287
adidas Yeezy Boost 380 Calcite Glow,YB380-BLOF,"Saturday, July 3, 2021",3:16 PM EST,10.5,$318
adidas Yeezy Boost 380 Calcite Glow,YB380-BLOF,"Saturday, July 3, 2021",2:15 PM EST,9.5,$307
adidas Yeezy Boost 380 Calcite Glow,YB380-BLOF,"Saturday, July 3, 2021",1:19 PM EST,5,$273
adidas Yeezy Boost 380 Calcite Glow,YB380-BLOF,"Saturday, July 3, 2021",12:29 PM EST,8.5,$255
adidas Yeezy Boost 380 Calcite Glow,YB380-BLOF,"Saturday, July 3, 2021",10:59 AM EST,12,$263
adidas Yeezy Boost 380 Calcite Glow,YB380-BLOF,"Saturday, July 3, 2021",10:07 AM EST,6,$278
adidas Yeezy Boost 380 Calcite Glow,YB380-BLOF,"Saturday, July 3, 2021",9:47 AM EST,10,$241
adidas Yeezy Boost 380 Calcite Glow,YB380-BLOF,"Saturday, July 3, 2021",2:57 AM EST,10,$337
adidas Yeezy Boost 380 Calcite Glow,YB380-BLOF,"Friday, July 2, 2021",11:15 PM EST,6,$269
adidas Yeezy Boost 380 Calcite Glow,YB380-BLOF,"Friday, July 2, 2021",10:47 PM EST,17,$290
adidas Yeezy Boost 380 Calcite Glow,YB380-BLOF,"Friday, July 2, 2021",9:42 PM EST,8,$287
adidas Yeezy Boost 380 Calcite Glow,YB380-BLOF,"Friday, July 2, 2021",4:07 PM EST,5,$320
adidas Yeezy Boost 380 Calcite Glow,YB380-BLOF,"Friday, July 2, 2021",2:11 PM EST,8,$326
adidas Yeezy Boost 380 Calcite Glow,YB380-BLOF,"Friday, July 2, 2021",11:37 AM EST,8.5,$292
adidas Yeezy Boost 380 Calcite Glow,YB380-BLOF,"Friday, July 2, 2021",10:53 AM EST,5,$283
adidas Yeezy Boost 380 Calcite Glow,YB380-BLOF,"Friday, July 2, 2021",8:44 AM EST,9,$260
adidas Yeezy Boost 380 Calcite Glow,YB380-BLOF,"Friday, July 2, 2021",8:44 AM EST,9,$255
adidas Yeezy Boost 380 Calcite Glow,YB380-BLOF,"Friday, July 2, 2021",8:37 AM EST,6,$268
adidas Yeezy Boost 380 Calcite Glow,YB380-BLOF,"Friday, July 2, 2021",8:34 AM EST,9.5,$250
adidas Yeezy Boost 380 Calcite Glow,YB380-BLOF,"Friday, July 2, 2021",8:27 AM EST,8,$343
adidas Yeezy Boost 380 Calcite Glow,YB380-BLOF,"Friday, July 2, 2021",4:06 AM EST,9,$240
adidas Yeezy Boost 380 Calcite Glow,YB380-BLOF,"Thursday, July 1, 2021",9:34 PM EST,6.5,$290
adidas Yeezy Boost 380 Calcite Glow,YB380-BLOF,"Thursday, July 1, 2021",9:29 PM EST,10,$250
adidas Yeezy Boost 380 Calcite Glow,YB380-BLOF,"Thursday, July 1, 2021",7:26 PM EST,5,$275
adidas Yeezy Boost 380 Calcite Glow,YB380-BLOF,"Thursday, July 1, 2021",7:18 PM EST,9,$260
adidas Yeezy Boost 380 Calcite Glow,YB380-BLOF,"Thursday, July 1, 2021",6:19 PM EST,7,$230
adidas Yeezy Boost 380 Calcite Glow,YB380-BLOF,"Thursday, July 1, 2021",6:11 PM EST,8,$228
adidas Yeezy Boost 380 Calcite Glow,YB380-BLOF,"Thursday, July 1, 2021",4:27 PM EST,6,$405
adidas Yeezy Boost 380 Calcite Glow,YB380-BLOF,"Thursday, July 1, 2021",2:56 PM EST,13,$255
adidas Yeezy Boost 380 Calcite Glow,YB380-BLOF,"Thursday, July 1, 2021",11:18 AM EST,8.5,$275
adidas Yeezy Boost 380 Calcite Glow,YB380-BLOF,"Thursday, July 1, 2021",10:33 AM EST,14,$275
adidas Yeezy Boost 380 Calcite Glow,YB380-BLOF,"Thursday, July 1, 2021",8:59 AM EST,9,$271
adidas Yeezy Boost 380 Calcite Glow,YB380-BLOF,"Thursday, July 1, 2021",7:42 AM EST,7,$220
adidas Yeezy Boost 380 Calcite Glow,YB380-BLOF,"Thursday, July 1, 2021",7:17 AM EST,8,$324
adidas Yeezy Boost 380 Calcite Glow,YB380-BLOF,"Thursday, July 1, 2021",6:08 AM EST,11,$278
adidas Yeezy Boost 380 Calcite Glow,YB380-BLOF,"Thursday, July 1, 2021",5:56 AM EST,7.5,$350
adidas Yeezy Boost 380 Calcite Glow,YB380-BLOF,"Wednesday, June 30, 2021",11:38 PM EST,12.5,$280
adidas Yeezy Boost 380 Calcite Glow,YB380-BLOF,"Wednesday, June 30, 2021",11:06 PM EST,10.5,$273
adidas Yeezy Boost 380 Calcite Glow,YB380-BLOF,"Wednesday, June 30, 2021",10:57 PM EST,9.5,$292
adidas Yeezy Boost 380 Calcite Glow,YB380-BLOF,"Wednesday, June 30, 2021",9:47 PM EST,11.5,$291
adidas Yeezy Boost 380 Calcite Glow,YB380-BLOF,"Wednesday, June 30, 2021",9:20 PM EST,11,$279
adidas Yeezy Boost 380 Calcite Glow,YB380-BLOF,"Wednesday, June 30, 2021",9:12 PM EST,9.5,$269
adidas Yeezy Boost 380 Calcite Glow,YB380-BLOF,"Wednesday, June 30, 2021",7:44 PM EST,12,$246
adidas Yeezy Boost 380 Calcite Glow,YB380-BLOF,"Wednesday, June 30, 2021",6:42 PM EST,7.5,$288
adidas Yeezy Boost 380 Calcite Glow,YB380-BLOF,"Wednesday, June 30, 2021",5:54 PM EST,7.5,$304
adidas Yeezy Boost 380 Calcite Glow,YB380-BLOF,"Wednesday, June 30, 2021",5:39 PM EST,9,$322
adidas Yeezy Boost 380 Calcite Glow,YB380-BLOF,"Wednesday, June 30, 2021",4:39 PM EST,10.5,$265
adidas Yeezy Boost 380 Calcite Glow,YB380-BLOF,"Wednesday, June 30, 2021",4:12 PM EST,9,$270
adidas Yeezy Boost 380 Calcite Glow,YB380-BLOF,"Wednesday, June 30, 2021",3:49 PM EST,9.5,$260
adidas Yeezy Boost 380 Calcite Glow,YB380-BLOF,"Wednesday, June 30, 2021",3:16 PM EST,8.5,$298
adidas Yeezy Boost 380 Calcite Glow,YB380-BLOF,"Wednesday, June 30, 2021",3:16 PM EST,9.5,$333
adidas Yeezy Boost 380 Calcite Glow,YB380-BLOF,"Wednesday, June 30, 2021",2:38 PM EST,10.5,$273
adidas Yeezy Boost 380 Calcite Glow,YB380-BLOF,"Wednesday, June 30, 2021",2:15 PM EST,10,$298
adidas Yeezy Boost 380 Calcite Glow,YB380-BLOF,"Wednesday, June 30, 2021",1:43 PM EST,8,$230
adidas Yeezy Boost 380 Calcite Glow,YB380-BLOF,"Wednesday, June 30, 2021",1:27 PM EST,9,$271
adidas Yeezy Boost 380 Calcite Glow,YB380-BLOF,"Wednesday, June 30, 2021",9:17 AM EST,12,$268
adidas Yeezy Boost 380 Calcite Glow,YB380-BLOF,"Wednesday, June 30, 2021",6:24 AM EST,11,$292
adidas Yeezy Boost 380 Calcite Glow,YB380-BLOF,"Wednesday, June 30, 2021",5:06 AM EST,11,$277
adidas Yeezy Boost 380 Calcite Glow,YB380-BLOF,"Tuesday, June 29, 2021",12:31 AM EST,10,$269
adidas Yeezy Boost 380 Calcite Glow,YB380-BLOF,"Tuesday, June 29, 2021",12:11 AM EST,6,$279
adidas Yeezy Boost 380 Calcite Glow,YB380-BLOF,"Tuesday, June 29, 2021",11:51 PM EST,6.5,$280
adidas Yeezy Boost 380 Calcite Glow,YB380-BLOF,"Tuesday, June 29, 2021",8:34 PM EST,6,$275
adidas Yeezy Boost 380 Calcite Glow,YB380-BLOF,"Tuesday, June 29, 2021",6:53 PM EST,10,$260
adidas Yeezy Boost 380 Calcite Glow,YB380-BLOF,"Tuesday, June 29, 2021",6:27 PM EST,8,$284
