name,ticker,date,time,size,price
adidas Yeezy Boost 380 Blue Oat (Kids),YB380-BLOFK,"Tuesday, June 29, 2021",4:25 PM EST,3.5Y,$151
adidas Yeezy Boost 380 Blue Oat (Kids),YB380-BLOFK,"Friday, June 18, 2021",11:35 AM EST,3.5Y,$153
adidas Yeezy Boost 380 Blue Oat (Kids),YB380-BLOFK,"Thursday, June 17, 2021",2:22 PM EST,13.5K,$180
adidas Yeezy Boost 380 Blue Oat (Kids),YB380-BLOFK,"Wednesday, June 16, 2021",6:45 PM EST,12K,$150
adidas Yeezy Boost 380 Blue Oat (Kids),YB380-BLOFK,"Thursday, June 10, 2021",11:10 AM EST,13K,$229
adidas Yeezy Boost 380 Blue Oat (Kids),YB380-BLOFK,"Sunday, June 6, 2021",11:03 AM EST,11K,$195
adidas Yeezy Boost 380 Blue Oat (Kids),YB380-BLOFK,"Wednesday, June 2, 2021",3:49 AM EST,1.5Y,$171
adidas Yeezy Boost 380 Blue Oat (Kids),YB380-BLOFK,"Tuesday, June 1, 2021",2:29 PM EST,10.5K,$150
adidas Yeezy Boost 380 Blue Oat (Kids),YB380-BLOFK,"Friday, May 28, 2021",11:23 AM EST,13K,$225
adidas Yeezy Boost 380 Blue Oat (Kids),YB380-BLOFK,"Tuesday, May 25, 2021",10:54 PM EST,3.5Y,$322
adidas Yeezy Boost 380 Blue Oat (Kids),YB380-BLOFK,"Friday, May 14, 2021",5:47 PM EST,3Y,$229
adidas Yeezy Boost 380 Blue Oat (Kids),YB380-BLOFK,"Wednesday, May 5, 2021",10:28 AM EST,3Y,$150
adidas Yeezy Boost 380 Blue Oat (Kids),YB380-BLOFK,"Sunday, May 2, 2021",12:14 AM EST,13.5K,$179
adidas Yeezy Boost 380 Blue Oat (Kids),YB380-BLOFK,"Thursday, April 29, 2021",5:54 PM EST,2.5Y,$250
adidas Yeezy Boost 380 Blue Oat (Kids),YB380-BLOFK,"Thursday, April 29, 2021",2:32 PM EST,13.5K,$93
adidas Yeezy Boost 380 Blue Oat (Kids),YB380-BLOFK,"Wednesday, April 28, 2021",12:55 PM EST,13K,$220
adidas Yeezy Boost 380 Blue Oat (Kids),YB380-BLOFK,"Tuesday, April 27, 2021",3:20 PM EST,2.5Y,$109
adidas Yeezy Boost 380 Blue Oat (Kids),YB380-BLOFK,"Wednesday, April 21, 2021",3:39 PM EST,10.5K,$167
adidas Yeezy Boost 380 Blue Oat (Kids),YB380-BLOFK,"Wednesday, April 21, 2021",11:19 AM EST,1Y,$200
adidas Yeezy Boost 380 Blue Oat (Kids),YB380-BLOFK,"Saturday, April 17, 2021",7:45 PM EST,3Y,$217
adidas Yeezy Boost 380 Blue Oat (Kids),YB380-BLOFK,"Monday, April 12, 2021",1:21 PM EST,2.5Y,$150
adidas Yeezy Boost 380 Blue Oat (Kids),YB380-BLOFK,"Tuesday, April 6, 2021",4:53 PM EST,2Y,$78
adidas Yeezy Boost 380 Blue Oat (Kids),YB380-BLOFK,"Tuesday, April 6, 2021",2:18 PM EST,3Y,$200
adidas Yeezy Boost 380 Blue Oat (Kids),YB380-BLOFK,"Tuesday, April 6, 2021",10:47 AM EST,3.5Y,$253
adidas Yeezy Boost 380 Blue Oat (Kids),YB380-BLOFK,"Friday, April 2, 2021",6:27 PM EST,11.5K,$140
adidas Yeezy Boost 380 Blue Oat (Kids),YB380-BLOFK,"Tuesday, March 30, 2021",1:02 PM EST,12.5K,$210
adidas Yeezy Boost 380 Blue Oat (Kids),YB380-BLOFK,"Monday, March 29, 2021",7:18 PM EST,3Y,$89
adidas Yeezy Boost 380 Blue Oat (Kids),YB380-BLOFK,"Sunday, March 28, 2021",11:26 AM EST,1Y,$178
adidas Yeezy Boost 380 Blue Oat (Kids),YB380-BLOFK,"Friday, March 26, 2021",2:04 PM EST,13.5K,$186
adidas Yeezy Boost 380 Blue Oat (Kids),YB380-BLOFK,"Wednesday, March 24, 2021",1:38 AM EST,13.5K,$180
adidas Yeezy Boost 380 Blue Oat (Kids),YB380-BLOFK,"Tuesday, March 23, 2021",5:38 PM EST,3Y,$110
adidas Yeezy Boost 380 Blue Oat (Kids),YB380-BLOFK,"Tuesday, March 23, 2021",1:12 PM EST,3.5Y,$250
adidas Yeezy Boost 380 Blue Oat (Kids),YB380-BLOFK,"Sunday, March 21, 2021",4:21 PM EST,13.5K,$146
adidas Yeezy Boost 380 Blue Oat (Kids),YB380-BLOFK,"Friday, March 19, 2021",10:52 PM EST,1Y,$128
adidas Yeezy Boost 380 Blue Oat (Kids),YB380-BLOFK,"Thursday, March 18, 2021",9:49 PM EST,11K,$199
adidas Yeezy Boost 380 Blue Oat (Kids),YB380-BLOFK,"Thursday, March 18, 2021",6:05 PM EST,2.5Y,$225
adidas Yeezy Boost 380 Blue Oat (Kids),YB380-BLOFK,"Thursday, March 18, 2021",3:54 PM EST,3.5Y,$206
adidas Yeezy Boost 380 Blue Oat (Kids),YB380-BLOFK,"Wednesday, March 17, 2021",7:45 PM EST,12K,$200
adidas Yeezy Boost 380 Blue Oat (Kids),YB380-BLOFK,"Wednesday, March 17, 2021",10:08 AM EST,3Y,$195
adidas Yeezy Boost 380 Blue Oat (Kids),YB380-BLOFK,"Wednesday, March 17, 2021",9:54 AM EST,1Y,$125
adidas Yeezy Boost 380 Blue Oat (Kids),YB380-BLOFK,"Monday, March 15, 2021",1:43 PM EST,3Y,$193
