name,ticker,date,time,size,price
adidas Yeezy Boost 380 Blue Oat Reflective,YB380-BLOR,"Saturday, July 3, 2021",7:39 PM EST,10,$230
adidas Yeezy Boost 380 Blue Oat Reflective,YB380-BLOR,"Wednesday, June 30, 2021",12:11 AM EST,9,$240
adidas Yeezy Boost 380 Blue Oat Reflective,YB380-BLOR,"Tuesday, June 29, 2021",8:56 PM EST,12,$182
adidas Yeezy Boost 380 Blue Oat Reflective,YB380-BLOR,"Saturday, June 26, 2021",5:29 PM EST,12,$193
adidas Yeezy Boost 380 Blue Oat Reflective,YB380-BLOR,"Saturday, June 26, 2021",5:11 PM EST,9,$225
adidas Yeezy Boost 380 Blue Oat Reflective,YB380-BLOR,"Thursday, June 24, 2021",3:00 PM EST,11,$305
adidas Yeezy Boost 380 Blue Oat Reflective,YB380-BLOR,"Friday, June 18, 2021",5:23 AM EST,9.5,$230
adidas Yeezy Boost 380 Blue Oat Reflective,YB380-BLOR,"Monday, June 14, 2021",11:15 PM EST,4.5,$200
adidas Yeezy Boost 380 Blue Oat Reflective,YB380-BLOR,"Thursday, June 10, 2021",10:27 PM EST,12,$285
adidas Yeezy Boost 380 Blue Oat Reflective,YB380-BLOR,"Thursday, June 10, 2021",10:16 PM EST,5.5,$180
adidas Yeezy Boost 380 Blue Oat Reflective,YB380-BLOR,"Thursday, June 10, 2021",1:37 PM EST,5,$179
adidas Yeezy Boost 380 Blue Oat Reflective,YB380-BLOR,"Thursday, June 10, 2021",3:12 AM EST,8,$269
adidas Yeezy Boost 380 Blue Oat Reflective,YB380-BLOR,"Monday, June 7, 2021",12:14 AM EST,5.5,$277
adidas Yeezy Boost 380 Blue Oat Reflective,YB380-BLOR,"Monday, June 7, 2021",4:02 PM EST,13,$300
adidas Yeezy Boost 380 Blue Oat Reflective,YB380-BLOR,"Sunday, June 6, 2021",6:15 PM EST,6,$212
adidas Yeezy Boost 380 Blue Oat Reflective,YB380-BLOR,"Sunday, June 6, 2021",9:20 AM EST,8.5,$209
adidas Yeezy Boost 380 Blue Oat Reflective,YB380-BLOR,"Saturday, June 5, 2021",2:49 AM EST,8,$219
adidas Yeezy Boost 380 Blue Oat Reflective,YB380-BLOR,"Friday, June 4, 2021",3:17 AM EST,11.5,$275
adidas Yeezy Boost 380 Blue Oat Reflective,YB380-BLOR,"Thursday, June 3, 2021",1:50 PM EST,10,$270
adidas Yeezy Boost 380 Blue Oat Reflective,YB380-BLOR,"Sunday, May 23, 2021",11:17 PM EST,13,$311
adidas Yeezy Boost 380 Blue Oat Reflective,YB380-BLOR,"Saturday, May 22, 2021",1:53 AM EST,8.5,$250
adidas Yeezy Boost 380 Blue Oat Reflective,YB380-BLOR,"Thursday, May 20, 2021",2:51 AM EST,5.5,$219
adidas Yeezy Boost 380 Blue Oat Reflective,YB380-BLOR,"Wednesday, May 19, 2021",11:49 AM EST,9.5,$240
adidas Yeezy Boost 380 Blue Oat Reflective,YB380-BLOR,"Tuesday, May 18, 2021",10:26 AM EST,12,$274
adidas Yeezy Boost 380 Blue Oat Reflective,YB380-BLOR,"Monday, May 17, 2021",4:08 PM EST,8.5,$244
adidas Yeezy Boost 380 Blue Oat Reflective,YB380-BLOR,"Sunday, May 16, 2021",7:07 PM EST,6,$348
adidas Yeezy Boost 380 Blue Oat Reflective,YB380-BLOR,"Sunday, May 16, 2021",9:20 AM EST,11,$291
adidas Yeezy Boost 380 Blue Oat Reflective,YB380-BLOR,"Wednesday, May 12, 2021",10:49 PM EST,4,$250
adidas Yeezy Boost 380 Blue Oat Reflective,YB380-BLOR,"Tuesday, May 11, 2021",1:16 PM EST,7,$300
adidas Yeezy Boost 380 Blue Oat Reflective,YB380-BLOR,"Sunday, May 9, 2021",3:19 PM EST,5.5,$193
adidas Yeezy Boost 380 Blue Oat Reflective,YB380-BLOR,"Sunday, May 9, 2021",3:11 PM EST,8,$210
adidas Yeezy Boost 380 Blue Oat Reflective,YB380-BLOR,"Friday, May 7, 2021",10:07 PM EST,16,$314
adidas Yeezy Boost 380 Blue Oat Reflective,YB380-BLOR,"Tuesday, May 4, 2021",12:45 PM EST,11,$308
adidas Yeezy Boost 380 Blue Oat Reflective,YB380-BLOR,"Sunday, May 2, 2021",5:57 PM EST,9.5,$250
adidas Yeezy Boost 380 Blue Oat Reflective,YB380-BLOR,"Saturday, May 1, 2021",12:13 PM EST,8,$215
adidas Yeezy Boost 380 Blue Oat Reflective,YB380-BLOR,"Thursday, April 22, 2021",2:49 PM EST,6.5,$301
adidas Yeezy Boost 380 Blue Oat Reflective,YB380-BLOR,"Wednesday, April 21, 2021",11:27 AM EST,12,$265
adidas Yeezy Boost 380 Blue Oat Reflective,YB380-BLOR,"Monday, April 19, 2021",3:00 PM EST,9,$216
adidas Yeezy Boost 380 Blue Oat Reflective,YB380-BLOR,"Friday, April 16, 2021",5:01 PM EST,5.5,$244
adidas Yeezy Boost 380 Blue Oat Reflective,YB380-BLOR,"Friday, April 16, 2021",9:20 AM EST,5,$201
adidas Yeezy Boost 380 Blue Oat Reflective,YB380-BLOR,"Wednesday, April 14, 2021",6:27 AM EST,4.5,$332
adidas Yeezy Boost 380 Blue Oat Reflective,YB380-BLOR,"Wednesday, April 14, 2021",1:14 AM EST,15,$225
adidas Yeezy Boost 380 Blue Oat Reflective,YB380-BLOR,"Tuesday, April 13, 2021",1:20 PM EST,11,$299
adidas Yeezy Boost 380 Blue Oat Reflective,YB380-BLOR,"Monday, April 12, 2021",12:47 PM EST,6,$249
adidas Yeezy Boost 380 Blue Oat Reflective,YB380-BLOR,"Monday, April 12, 2021",10:30 AM EST,11.5,$250
adidas Yeezy Boost 380 Blue Oat Reflective,YB380-BLOR,"Friday, April 9, 2021",5:58 AM EST,10.5,$250
adidas Yeezy Boost 380 Blue Oat Reflective,YB380-BLOR,"Sunday, April 4, 2021",1:12 PM EST,5,$224
adidas Yeezy Boost 380 Blue Oat Reflective,YB380-BLOR,"Sunday, April 4, 2021",1:56 AM EST,5.5,$220
adidas Yeezy Boost 380 Blue Oat Reflective,YB380-BLOR,"Thursday, April 1, 2021",3:57 PM EST,10,$275
adidas Yeezy Boost 380 Blue Oat Reflective,YB380-BLOR,"Thursday, April 1, 2021",3:48 PM EST,8.5,$225
adidas Yeezy Boost 380 Blue Oat Reflective,YB380-BLOR,"Wednesday, March 31, 2021",12:07 PM EST,4.5,$243
adidas Yeezy Boost 380 Blue Oat Reflective,YB380-BLOR,"Sunday, March 28, 2021",7:13 PM EST,9,$250
adidas Yeezy Boost 380 Blue Oat Reflective,YB380-BLOR,"Saturday, March 27, 2021",12:13 AM EST,9,$250
adidas Yeezy Boost 380 Blue Oat Reflective,YB380-BLOR,"Saturday, March 27, 2021",2:33 PM EST,6,$245
adidas Yeezy Boost 380 Blue Oat Reflective,YB380-BLOR,"Saturday, March 20, 2021",10:57 AM EST,9.5,$240
adidas Yeezy Boost 380 Blue Oat Reflective,YB380-BLOR,"Friday, March 19, 2021",5:11 PM EST,10,$275
adidas Yeezy Boost 380 Blue Oat Reflective,YB380-BLOR,"Friday, March 19, 2021",3:51 PM EST,9,$258
adidas Yeezy Boost 380 Blue Oat Reflective,YB380-BLOR,"Tuesday, March 16, 2021",9:50 AM EST,10,$220
adidas Yeezy Boost 380 Blue Oat Reflective,YB380-BLOR,"Monday, March 15, 2021",9:30 PM EST,8.5,$243
adidas Yeezy Boost 380 Blue Oat Reflective,YB380-BLOR,"Sunday, March 14, 2021",3:04 PM EST,9.5,$244
adidas Yeezy Boost 380 Blue Oat Reflective,YB380-BLOR,"Saturday, March 13, 2021",9:37 PM EST,13,$250
adidas Yeezy Boost 380 Blue Oat Reflective,YB380-BLOR,"Saturday, March 13, 2021",10:58 AM EST,11.5,$293
adidas Yeezy Boost 380 Blue Oat Reflective,YB380-BLOR,"Wednesday, March 10, 2021",7:41 PM EST,6,$190
adidas Yeezy Boost 380 Blue Oat Reflective,YB380-BLOR,"Wednesday, March 10, 2021",10:54 AM EST,9.5,$266
adidas Yeezy Boost 380 Blue Oat Reflective,YB380-BLOR,"Tuesday, March 9, 2021",4:16 AM EST,5.5,$182
adidas Yeezy Boost 380 Blue Oat Reflective,YB380-BLOR,"Monday, March 8, 2021",6:04 PM EST,8.5,$237
adidas Yeezy Boost 380 Blue Oat Reflective,YB380-BLOR,"Sunday, March 7, 2021",8:53 AM EST,8,$190
adidas Yeezy Boost 380 Blue Oat Reflective,YB380-BLOR,"Thursday, February 25, 2021",4:38 PM EST,11,$307
adidas Yeezy Boost 380 Blue Oat Reflective,YB380-BLOR,"Tuesday, February 23, 2021",2:19 PM EST,9.5,$260
adidas Yeezy Boost 380 Blue Oat Reflective,YB380-BLOR,"Saturday, February 20, 2021",3:50 PM EST,6.5,$280
adidas Yeezy Boost 380 Blue Oat Reflective,YB380-BLOR,"Wednesday, February 17, 2021",5:51 PM EST,8.5,$239
adidas Yeezy Boost 380 Blue Oat Reflective,YB380-BLOR,"Tuesday, February 16, 2021",11:08 AM EST,10.5,$251
adidas Yeezy Boost 380 Blue Oat Reflective,YB380-BLOR,"Friday, February 12, 2021",4:18 PM EST,11,$252
adidas Yeezy Boost 380 Blue Oat Reflective,YB380-BLOR,"Friday, February 12, 2021",2:24 PM EST,10.5,$247
adidas Yeezy Boost 380 Blue Oat Reflective,YB380-BLOR,"Tuesday, February 9, 2021",1:53 PM EST,10.5,$226
adidas Yeezy Boost 380 Blue Oat Reflective,YB380-BLOR,"Monday, February 8, 2021",6:57 PM EST,9.5,$245
adidas Yeezy Boost 380 Blue Oat Reflective,YB380-BLOR,"Monday, February 8, 2021",12:03 PM EST,8.5,$181
adidas Yeezy Boost 380 Blue Oat Reflective,YB380-BLOR,"Sunday, February 7, 2021",6:45 PM EST,12,$265
adidas Yeezy Boost 380 Blue Oat Reflective,YB380-BLOR,"Friday, February 5, 2021",10:08 AM EST,8,$335
