name,ticker,date,time,size,price
adidas Yeezy Boost 380 Hylte,YB380-HBOR,"Tuesday, July 6, 2021",12:23 PM EST,9.5,$181
adidas Yeezy Boost 380 Hylte,YB380-HBOR,"Monday, July 5, 2021",12:32 PM EST,11.5,$200
adidas Yeezy Boost 380 Hylte,YB380-HBOR,"Monday, July 5, 2021",6:20 AM EST,9.5,$267
adidas Yeezy Boost 380 Hylte,YB380-HBOR,"Monday, July 5, 2021",1:19 AM EST,8,$205
adidas Yeezy Boost 380 Hylte,YB380-HBOR,"Sunday, July 4, 2021",11:24 AM EST,12,$210
adidas Yeezy Boost 380 Hylte,YB380-HBOR,"Saturday, July 3, 2021",2:44 PM EST,13,$172
adidas Yeezy Boost 380 Hylte,YB380-HBOR,"Thursday, July 1, 2021",8:39 PM EST,12,$193
adidas Yeezy Boost 380 Hylte,YB380-HBOR,"Thursday, July 1, 2021",2:23 PM EST,10,$140
adidas Yeezy Boost 380 Hylte,YB380-HBOR,"Thursday, July 1, 2021",1:27 PM EST,14,$200
adidas Yeezy Boost 380 Hylte,YB380-HBOR,"Wednesday, June 30, 2021",5:50 PM EST,10,$146
adidas Yeezy Boost 380 Hylte,YB380-HBOR,"Tuesday, June 29, 2021",10:11 PM EST,12,$235
adidas Yeezy Boost 380 Hylte,YB380-HBOR,"Tuesday, June 29, 2021",10:11 AM EST,12.5,$250
adidas Yeezy Boost 380 Hylte,YB380-HBOR,"Sunday, June 27, 2021",8:20 PM EST,11.5,$240
adidas Yeezy Boost 380 Hylte,YB380-HBOR,"Sunday, June 27, 2021",6:55 PM EST,11,$200
adidas Yeezy Boost 380 Hylte,YB380-HBOR,"Sunday, June 27, 2021",4:13 AM EST,11.5,$200
adidas Yeezy Boost 380 Hylte,YB380-HBOR,"Friday, June 25, 2021",11:56 AM EST,6.5,$364
adidas Yeezy Boost 380 Hylte,YB380-HBOR,"Friday, June 25, 2021",3:30 AM EST,12,$228
adidas Yeezy Boost 380 Hylte,YB380-HBOR,"Thursday, June 24, 2021",6:50 PM EST,12,$220
adidas Yeezy Boost 380 Hylte,YB380-HBOR,"Thursday, June 24, 2021",4:55 PM EST,11,$170
adidas Yeezy Boost 380 Hylte,YB380-HBOR,"Thursday, June 24, 2021",1:45 PM EST,10.5,$215
adidas Yeezy Boost 380 Hylte,YB380-HBOR,"Thursday, June 24, 2021",1:43 PM EST,10.5,$215
adidas Yeezy Boost 380 Hylte,YB380-HBOR,"Thursday, June 24, 2021",12:25 PM EST,12,$200
adidas Yeezy Boost 380 Hylte,YB380-HBOR,"Wednesday, June 23, 2021",6:01 PM EST,7,$259
adidas Yeezy Boost 380 Hylte,YB380-HBOR,"Tuesday, June 22, 2021",1:31 AM EST,7,$247
adidas Yeezy Boost 380 Hylte,YB380-HBOR,"Monday, June 21, 2021",9:52 PM EST,10,$195
adidas Yeezy Boost 380 Hylte,YB380-HBOR,"Monday, June 21, 2021",7:56 PM EST,10.5,$200
adidas Yeezy Boost 380 Hylte,YB380-HBOR,"Monday, June 21, 2021",11:54 AM EST,8,$250
adidas Yeezy Boost 380 Hylte,YB380-HBOR,"Monday, June 21, 2021",11:10 AM EST,10,$141
adidas Yeezy Boost 380 Hylte,YB380-HBOR,"Sunday, June 20, 2021",2:06 PM EST,8.5,$220
adidas Yeezy Boost 380 Hylte,YB380-HBOR,"Saturday, June 19, 2021",4:13 PM EST,12,$220
adidas Yeezy Boost 380 Hylte,YB380-HBOR,"Saturday, June 19, 2021",2:54 PM EST,10,$189
adidas Yeezy Boost 380 Hylte,YB380-HBOR,"Friday, June 18, 2021",12:44 AM EST,13,$210
adidas Yeezy Boost 380 Hylte,YB380-HBOR,"Friday, June 18, 2021",11:23 PM EST,10.5,$214
adidas Yeezy Boost 380 Hylte,YB380-HBOR,"Friday, June 18, 2021",5:50 PM EST,11,$175
adidas Yeezy Boost 380 Hylte,YB380-HBOR,"Friday, June 18, 2021",1:35 PM EST,11,$208
adidas Yeezy Boost 380 Hylte,YB380-HBOR,"Friday, June 18, 2021",9:01 AM EST,7.5,$229
adidas Yeezy Boost 380 Hylte,YB380-HBOR,"Wednesday, June 16, 2021",2:49 PM EST,5.5,$200
adidas Yeezy Boost 380 Hylte,YB380-HBOR,"Wednesday, June 16, 2021",7:48 AM EST,10,$150
adidas Yeezy Boost 380 Hylte,YB380-HBOR,"Tuesday, June 15, 2021",9:56 PM EST,13,$200
