name,ticker,date,time,size,price
adidas Yeezy Boost 380 Lmnte,YB380-LMN,"Monday, July 5, 2021",4:10 AM EST,5,$248
adidas Yeezy Boost 380 Lmnte,YB380-LMN,"Saturday, July 3, 2021",3:36 PM EST,7.5,$240
adidas Yeezy Boost 380 Lmnte,YB380-LMN,"Thursday, June 24, 2021",3:31 PM EST,9,$206
adidas Yeezy Boost 380 Lmnte,YB380-LMN,"Thursday, June 17, 2021",7:50 AM EST,8.5,$240
adidas Yeezy Boost 380 Lmnte,YB380-LMN,"Sunday, June 13, 2021",12:56 PM EST,8,$239
adidas Yeezy Boost 380 Lmnte,YB380-LMN,"Sunday, June 13, 2021",11:17 AM EST,8.5,$270
adidas Yeezy Boost 380 Lmnte,YB380-LMN,"Saturday, June 12, 2021",12:47 AM EST,11,$307
adidas Yeezy Boost 380 Lmnte,YB380-LMN,"Tuesday, June 8, 2021",10:28 AM EST,7.5,$281
adidas Yeezy Boost 380 Lmnte,YB380-LMN,"Monday, June 7, 2021",12:11 PM EST,8,$223
adidas Yeezy Boost 380 Lmnte,YB380-LMN,"Sunday, June 6, 2021",11:38 AM EST,7,$393
adidas Yeezy Boost 380 Lmnte,YB380-LMN,"Saturday, June 5, 2021",12:26 AM EST,9.5,$252
adidas Yeezy Boost 380 Lmnte,YB380-LMN,"Wednesday, June 2, 2021",8:34 PM EST,4.5,$233
adidas Yeezy Boost 380 Lmnte,YB380-LMN,"Tuesday, June 1, 2021",11:59 AM EST,8.5,$200
adidas Yeezy Boost 380 Lmnte,YB380-LMN,"Saturday, May 29, 2021",9:48 AM EST,8.5,$210
adidas Yeezy Boost 380 Lmnte,YB380-LMN,"Thursday, May 27, 2021",8:04 AM EST,10,$253
adidas Yeezy Boost 380 Lmnte,YB380-LMN,"Tuesday, May 25, 2021",9:54 PM EST,10,$247
adidas Yeezy Boost 380 Lmnte,YB380-LMN,"Monday, May 24, 2021",5:46 AM EST,12.5,$275
adidas Yeezy Boost 380 Lmnte,YB380-LMN,"Saturday, May 22, 2021",11:02 PM EST,7.5,$227
adidas Yeezy Boost 380 Lmnte,YB380-LMN,"Friday, May 21, 2021",4:55 AM EST,7,$366
adidas Yeezy Boost 380 Lmnte,YB380-LMN,"Thursday, May 20, 2021",12:41 PM EST,9.5,$180
adidas Yeezy Boost 380 Lmnte,YB380-LMN,"Thursday, May 20, 2021",12:41 PM EST,9.5,$200
adidas Yeezy Boost 380 Lmnte,YB380-LMN,"Thursday, May 20, 2021",1:27 AM EST,8.5,$245
adidas Yeezy Boost 380 Lmnte,YB380-LMN,"Tuesday, May 18, 2021",8:11 PM EST,9,$252
adidas Yeezy Boost 380 Lmnte,YB380-LMN,"Monday, May 17, 2021",5:33 AM EST,11,$250
adidas Yeezy Boost 380 Lmnte,YB380-LMN,"Saturday, May 15, 2021",9:13 PM EST,6.5,$366
adidas Yeezy Boost 380 Lmnte,YB380-LMN,"Saturday, May 15, 2021",5:15 AM EST,8,$210
adidas Yeezy Boost 380 Lmnte,YB380-LMN,"Saturday, May 15, 2021",2:46 AM EST,8.5,$220
adidas Yeezy Boost 380 Lmnte,YB380-LMN,"Wednesday, May 12, 2021",1:05 PM EST,8.5,$215
adidas Yeezy Boost 380 Lmnte,YB380-LMN,"Tuesday, May 11, 2021",3:33 PM EST,10.5,$270
adidas Yeezy Boost 380 Lmnte,YB380-LMN,"Tuesday, May 11, 2021",1:39 PM EST,9.5,$254
adidas Yeezy Boost 380 Lmnte,YB380-LMN,"Monday, May 3, 2021",3:52 PM EST,14.5,$269
adidas Yeezy Boost 380 Lmnte,YB380-LMN,"Sunday, May 2, 2021",11:24 AM EST,8.5,$201
adidas Yeezy Boost 380 Lmnte,YB380-LMN,"Saturday, May 1, 2021",12:47 AM EST,10,$295
adidas Yeezy Boost 380 Lmnte,YB380-LMN,"Friday, April 30, 2021",6:04 PM EST,7.5,$252
adidas Yeezy Boost 380 Lmnte,YB380-LMN,"Wednesday, April 28, 2021",11:01 AM EST,9.5,$200
adidas Yeezy Boost 380 Lmnte,YB380-LMN,"Wednesday, April 28, 2021",11:01 AM EST,8.5,$201
adidas Yeezy Boost 380 Lmnte,YB380-LMN,"Wednesday, April 28, 2021",11:00 AM EST,8.5,$215
adidas Yeezy Boost 380 Lmnte,YB380-LMN,"Wednesday, April 28, 2021",6:13 AM EST,10,$233
adidas Yeezy Boost 380 Lmnte,YB380-LMN,"Friday, April 23, 2021",8:23 PM EST,12,$285
adidas Yeezy Boost 380 Lmnte,YB380-LMN,"Thursday, April 22, 2021",8:39 PM EST,8,$215
adidas Yeezy Boost 380 Lmnte,YB380-LMN,"Wednesday, April 21, 2021",9:17 PM EST,11,$285
adidas Yeezy Boost 380 Lmnte,YB380-LMN,"Tuesday, April 20, 2021",1:20 PM EST,6,$190
adidas Yeezy Boost 380 Lmnte,YB380-LMN,"Tuesday, April 20, 2021",12:11 PM EST,7.5,$210
adidas Yeezy Boost 380 Lmnte,YB380-LMN,"Friday, April 16, 2021",10:16 PM EST,7.5,$252
adidas Yeezy Boost 380 Lmnte,YB380-LMN,"Sunday, April 11, 2021",7:51 AM EST,11,$229
adidas Yeezy Boost 380 Lmnte,YB380-LMN,"Saturday, April 10, 2021",1:32 PM EST,6.5,$310
adidas Yeezy Boost 380 Lmnte,YB380-LMN,"Saturday, April 10, 2021",1:06 PM EST,6.5,$310
adidas Yeezy Boost 380 Lmnte,YB380-LMN,"Saturday, April 10, 2021",1:18 AM EST,9,$252
adidas Yeezy Boost 380 Lmnte,YB380-LMN,"Saturday, April 10, 2021",1:16 AM EST,9,$252
adidas Yeezy Boost 380 Lmnte,YB380-LMN,"Friday, April 9, 2021",3:00 PM EST,9,$223
