name,ticker,date,time,size,price
adidas Yeezy Boost 380 Lmnte Reflective,YB380-LMNR,"Saturday, June 26, 2021",3:46 PM EST,5.5,$250
adidas Yeezy Boost 380 Lmnte Reflective,YB380-LMNR,"Thursday, June 10, 2021",7:38 PM EST,10,$280
adidas Yeezy Boost 380 Lmnte Reflective,YB380-LMNR,"Friday, June 4, 2021",1:30 PM EST,5,$341
adidas Yeezy Boost 380 Lmnte Reflective,YB380-LMNR,"Wednesday, June 2, 2021",12:33 AM EST,9,$251
adidas Yeezy Boost 380 Lmnte Reflective,YB380-LMNR,"Tuesday, May 25, 2021",1:35 AM EST,5.5,$260
adidas Yeezy Boost 380 Lmnte Reflective,YB380-LMNR,"Wednesday, May 19, 2021",6:53 PM EST,10,$220
adidas Yeezy Boost 380 Lmnte Reflective,YB380-LMNR,"Friday, April 30, 2021",11:57 AM EST,12,$468
adidas Yeezy Boost 380 Lmnte Reflective,YB380-LMNR,"Wednesday, April 28, 2021",2:37 AM EST,6.5,$311
adidas Yeezy Boost 380 Lmnte Reflective,YB380-LMNR,"Sunday, April 25, 2021",11:50 AM EST,7,$277
adidas Yeezy Boost 380 Lmnte Reflective,YB380-LMNR,"Friday, April 23, 2021",4:51 PM EST,6,$200
adidas Yeezy Boost 380 Lmnte Reflective,YB380-LMNR,"Friday, April 23, 2021",4:46 PM EST,6,$205
adidas Yeezy Boost 380 Lmnte Reflective,YB380-LMNR,"Saturday, April 17, 2021",7:07 PM EST,10.5,$268
adidas Yeezy Boost 380 Lmnte Reflective,YB380-LMNR,"Wednesday, April 14, 2021",1:03 PM EST,6.5,$205
adidas Yeezy Boost 380 Lmnte Reflective,YB380-LMNR,"Wednesday, April 7, 2021",10:50 AM EST,10.5,$234
adidas Yeezy Boost 380 Lmnte Reflective,YB380-LMNR,"Tuesday, March 30, 2021",9:38 PM EST,11,$352
adidas Yeezy Boost 380 Lmnte Reflective,YB380-LMNR,"Tuesday, March 30, 2021",9:37 PM EST,11,$352
adidas Yeezy Boost 380 Lmnte Reflective,YB380-LMNR,"Thursday, March 11, 2021",9:27 AM EST,5,$315
adidas Yeezy Boost 380 Lmnte Reflective,YB380-LMNR,"Tuesday, March 9, 2021",3:35 PM EST,5.5,$254
adidas Yeezy Boost 380 Lmnte Reflective,YB380-LMNR,"Tuesday, March 9, 2021",7:57 AM EST,13,$300
adidas Yeezy Boost 380 Lmnte Reflective,YB380-LMNR,"Friday, March 5, 2021",5:25 PM EST,4,$130
adidas Yeezy Boost 380 Lmnte Reflective,YB380-LMNR,"Thursday, March 4, 2021",12:36 PM EST,4.5,$235
adidas Yeezy Boost 380 Lmnte Reflective,YB380-LMNR,"Tuesday, February 23, 2021",11:54 AM EST,4.5,$220
adidas Yeezy Boost 380 Lmnte Reflective,YB380-LMNR,"Wednesday, February 17, 2021",3:39 PM EST,8,$297
adidas Yeezy Boost 380 Lmnte Reflective,YB380-LMNR,"Tuesday, February 16, 2021",9:20 PM EST,9,$301
adidas Yeezy Boost 380 Lmnte Reflective,YB380-LMNR,"Monday, February 15, 2021",1:52 AM EST,12.5,$310
adidas Yeezy Boost 380 Lmnte Reflective,YB380-LMNR,"Friday, February 12, 2021",3:44 PM EST,11,$280
adidas Yeezy Boost 380 Lmnte Reflective,YB380-LMNR,"Thursday, February 11, 2021",1:32 PM EST,4,$241
adidas Yeezy Boost 380 Lmnte Reflective,YB380-LMNR,"Thursday, February 4, 2021",9:02 AM EST,10,$305
adidas Yeezy Boost 380 Lmnte Reflective,YB380-LMNR,"Wednesday, February 3, 2021",6:27 AM EST,9,$300
adidas Yeezy Boost 380 Lmnte Reflective,YB380-LMNR,"Tuesday, February 2, 2021",3:31 PM EST,5,$302
adidas Yeezy Boost 380 Lmnte Reflective,YB380-LMNR,"Monday, February 1, 2021",7:37 AM EST,9.5,$318
adidas Yeezy Boost 380 Lmnte Reflective,YB380-LMNR,"Saturday, January 30, 2021",12:36 PM EST,7,$268
adidas Yeezy Boost 380 Lmnte Reflective,YB380-LMNR,"Saturday, January 23, 2021",10:30 PM EST,7.5,$279
adidas Yeezy Boost 380 Lmnte Reflective,YB380-LMNR,"Saturday, January 23, 2021",1:13 PM EST,11,$305
adidas Yeezy Boost 380 Lmnte Reflective,YB380-LMNR,"Thursday, January 21, 2021",2:05 AM EST,11,$305
adidas Yeezy Boost 380 Lmnte Reflective,YB380-LMNR,"Wednesday, January 20, 2021",7:54 PM EST,12,$365
adidas Yeezy Boost 380 Lmnte Reflective,YB380-LMNR,"Wednesday, January 20, 2021",6:41 AM EST,10,$336
adidas Yeezy Boost 380 Lmnte Reflective,YB380-LMNR,"Wednesday, January 20, 2021",4:51 AM EST,8,$250
adidas Yeezy Boost 380 Lmnte Reflective,YB380-LMNR,"Sunday, January 17, 2021",10:59 PM EST,8,$250
adidas Yeezy Boost 380 Lmnte Reflective,YB380-LMNR,"Sunday, January 17, 2021",12:57 PM EST,11.5,$330
adidas Yeezy Boost 380 Lmnte Reflective,YB380-LMNR,"Saturday, January 16, 2021",3:19 PM EST,8,$250
adidas Yeezy Boost 380 Lmnte Reflective,YB380-LMNR,"Friday, January 15, 2021",5:17 PM EST,11.5,$336
adidas Yeezy Boost 380 Lmnte Reflective,YB380-LMNR,"Friday, January 15, 2021",4:52 PM EST,9.5,$290
