name,ticker,date,time,size,price
adidas Yeezy Boost 380 Mist (Infants),YB380-MSTI,"Sunday, June 27, 2021",10:56 PM EST,8.5K,$275
adidas Yeezy Boost 380 Mist (Infants),YB380-MSTI,"Sunday, June 20, 2021",9:47 PM EST,9K,$180
adidas Yeezy Boost 380 Mist (Infants),YB380-MSTI,"Tuesday, June 15, 2021",7:48 PM EST,8.5K,$195
adidas Yeezy Boost 380 Mist (Infants),YB380-MSTI,"Tuesday, June 15, 2021",3:01 AM EST,10K,$217
adidas Yeezy Boost 380 Mist (Infants),YB380-MSTI,"Saturday, June 12, 2021",7:35 PM EST,9.5K,$167
adidas Yeezy Boost 380 Mist (Infants),YB380-MSTI,"Saturday, June 12, 2021",6:52 PM EST,10K,$216
adidas Yeezy Boost 380 Mist (Infants),YB380-MSTI,"Wednesday, June 9, 2021",11:44 AM EST,4K,$125
adidas Yeezy Boost 380 Mist (Infants),YB380-MSTI,"Saturday, May 29, 2021",11:54 PM EST,6.5K,$225
adidas Yeezy Boost 380 Mist (Infants),YB380-MSTI,"Friday, May 28, 2021",10:51 PM EST,9K,$199
adidas Yeezy Boost 380 Mist (Infants),YB380-MSTI,"Tuesday, May 25, 2021",9:30 AM EST,9.5K,$184
adidas Yeezy Boost 380 Mist (Infants),YB380-MSTI,"Monday, May 24, 2021",11:15 AM EST,10K,$207
adidas Yeezy Boost 380 Mist (Infants),YB380-MSTI,"Tuesday, May 18, 2021",12:29 PM EST,9.5K,$183
adidas Yeezy Boost 380 Mist (Infants),YB380-MSTI,"Thursday, May 13, 2021",6:30 AM EST,10K,$199
adidas Yeezy Boost 380 Mist (Infants),YB380-MSTI,"Tuesday, May 4, 2021",10:34 AM EST,5K,$200
adidas Yeezy Boost 380 Mist (Infants),YB380-MSTI,"Wednesday, April 28, 2021",11:01 AM EST,7K,$206
adidas Yeezy Boost 380 Mist (Infants),YB380-MSTI,"Saturday, April 24, 2021",9:40 PM EST,6K,$227
adidas Yeezy Boost 380 Mist (Infants),YB380-MSTI,"Wednesday, April 21, 2021",2:59 PM EST,9K,$192
adidas Yeezy Boost 380 Mist (Infants),YB380-MSTI,"Monday, April 12, 2021",12:28 AM EST,10K,$195
adidas Yeezy Boost 380 Mist (Infants),YB380-MSTI,"Monday, April 5, 2021",4:24 PM EST,10K,$201
adidas Yeezy Boost 380 Mist (Infants),YB380-MSTI,"Tuesday, March 30, 2021",6:33 PM EST,10K,$68
adidas Yeezy Boost 380 Mist (Infants),YB380-MSTI,"Friday, March 26, 2021",9:43 PM EST,5K,$190
adidas Yeezy Boost 380 Mist (Infants),YB380-MSTI,"Friday, March 26, 2021",11:09 AM EST,8K,$263
adidas Yeezy Boost 380 Mist (Infants),YB380-MSTI,"Wednesday, March 24, 2021",6:31 PM EST,8K,$217
adidas Yeezy Boost 380 Mist (Infants),YB380-MSTI,"Monday, March 22, 2021",12:23 AM EST,8K,$250
adidas Yeezy Boost 380 Mist (Infants),YB380-MSTI,"Monday, March 22, 2021",10:38 AM EST,9K,$253
adidas Yeezy Boost 380 Mist (Infants),YB380-MSTI,"Monday, March 22, 2021",4:19 AM EST,4K,$167
adidas Yeezy Boost 380 Mist (Infants),YB380-MSTI,"Tuesday, March 16, 2021",6:51 PM EST,8K,$250
