name,ticker,date,time,size,price
adidas Yeezy Boost 380 Mist (Kids),YB380-MSTK,"Sunday, July 4, 2021",7:22 PM EST,2Y,$276
adidas Yeezy Boost 380 Mist (Kids),YB380-MSTK,"Wednesday, June 30, 2021",9:27 PM EST,13K,$265
adidas Yeezy Boost 380 Mist (Kids),YB380-MSTK,"Saturday, June 26, 2021",11:53 AM EST,13K,$280
adidas Yeezy Boost 380 Mist (Kids),YB380-MSTK,"Friday, June 11, 2021",2:47 PM EST,3Y,$240
adidas Yeezy Boost 380 Mist (Kids),YB380-MSTK,"Thursday, June 3, 2021",12:56 AM EST,2Y,$267
adidas Yeezy Boost 380 Mist (Kids),YB380-MSTK,"Saturday, May 29, 2021",2:53 PM EST,13K,$175
adidas Yeezy Boost 380 Mist (Kids),YB380-MSTK,"Friday, May 28, 2021",11:15 AM EST,12K,$289
adidas Yeezy Boost 380 Mist (Kids),YB380-MSTK,"Tuesday, May 25, 2021",11:34 PM EST,3Y,$235
adidas Yeezy Boost 380 Mist (Kids),YB380-MSTK,"Monday, May 24, 2021",11:16 AM EST,11K,$205
adidas Yeezy Boost 380 Mist (Kids),YB380-MSTK,"Friday, May 21, 2021",6:34 PM EST,11.5K,$282
adidas Yeezy Boost 380 Mist (Kids),YB380-MSTK,"Saturday, May 15, 2021",10:29 PM EST,1.5Y,$237
adidas Yeezy Boost 380 Mist (Kids),YB380-MSTK,"Saturday, May 15, 2021",10:22 PM EST,12K,$211
adidas Yeezy Boost 380 Mist (Kids),YB380-MSTK,"Friday, May 14, 2021",5:29 PM EST,2.5Y,$250
adidas Yeezy Boost 380 Mist (Kids),YB380-MSTK,"Sunday, May 9, 2021",6:51 PM EST,2.5Y,$235
adidas Yeezy Boost 380 Mist (Kids),YB380-MSTK,"Thursday, April 29, 2021",8:11 AM EST,3Y,$190
adidas Yeezy Boost 380 Mist (Kids),YB380-MSTK,"Wednesday, April 21, 2021",9:52 PM EST,2.5Y,$232
adidas Yeezy Boost 380 Mist (Kids),YB380-MSTK,"Monday, April 12, 2021",4:49 PM EST,1Y,$102
adidas Yeezy Boost 380 Mist (Kids),YB380-MSTK,"Sunday, April 11, 2021",11:55 AM EST,11.5K,$177
adidas Yeezy Boost 380 Mist (Kids),YB380-MSTK,"Saturday, April 10, 2021",1:37 PM EST,2.5Y,$234
adidas Yeezy Boost 380 Mist (Kids),YB380-MSTK,"Wednesday, April 7, 2021",5:36 PM EST,11K,$160
adidas Yeezy Boost 380 Mist (Kids),YB380-MSTK,"Tuesday, April 6, 2021",12:54 PM EST,3.5Y,$303
adidas Yeezy Boost 380 Mist (Kids),YB380-MSTK,"Saturday, April 3, 2021",2:53 PM EST,3.5Y,$279
adidas Yeezy Boost 380 Mist (Kids),YB380-MSTK,"Sunday, March 28, 2021",7:31 PM EST,10.5K,$264
adidas Yeezy Boost 380 Mist (Kids),YB380-MSTK,"Sunday, March 28, 2021",8:42 AM EST,10.5K,$255
adidas Yeezy Boost 380 Mist (Kids),YB380-MSTK,"Saturday, March 27, 2021",6:25 PM EST,2Y,$271
adidas Yeezy Boost 380 Mist (Kids),YB380-MSTK,"Wednesday, March 24, 2021",5:57 PM EST,11K,$180
adidas Yeezy Boost 380 Mist (Kids),YB380-MSTK,"Friday, March 19, 2021",3:34 PM EST,3.5Y,$243
adidas Yeezy Boost 380 Mist (Kids),YB380-MSTK,"Wednesday, March 17, 2021",12:45 AM EST,1Y,$185
adidas Yeezy Boost 380 Mist (Kids),YB380-MSTK,"Sunday, March 14, 2021",1:21 PM EST,3Y,$210
adidas Yeezy Boost 380 Mist (Kids),YB380-MSTK,"Tuesday, March 9, 2021",12:15 AM EST,3Y,$210
adidas Yeezy Boost 380 Mist (Kids),YB380-MSTK,"Tuesday, March 9, 2021",6:45 AM EST,12K,$199
adidas Yeezy Boost 380 Mist (Kids),YB380-MSTK,"Monday, March 1, 2021",4:42 PM EST,1Y,$249
adidas Yeezy Boost 380 Mist (Kids),YB380-MSTK,"Tuesday, February 23, 2021",11:52 PM EST,3Y,$223
adidas Yeezy Boost 380 Mist (Kids),YB380-MSTK,"Monday, February 22, 2021",10:44 PM EST,1Y,$184
adidas Yeezy Boost 380 Mist (Kids),YB380-MSTK,"Tuesday, February 16, 2021",4:06 AM EST,11K,$245
adidas Yeezy Boost 380 Mist (Kids),YB380-MSTK,"Thursday, February 11, 2021",8:51 PM EST,12K,$50
adidas Yeezy Boost 380 Mist (Kids),YB380-MSTK,"Wednesday, February 10, 2021",8:20 PM EST,2Y,$245
adidas Yeezy Boost 380 Mist (Kids),YB380-MSTK,"Thursday, February 4, 2021",4:47 AM EST,10.5K,$255
adidas Yeezy Boost 380 Mist (Kids),YB380-MSTK,"Wednesday, February 3, 2021",3:41 AM EST,2Y,$270
adidas Yeezy Boost 380 Mist (Kids),YB380-MSTK,"Friday, January 29, 2021",1:33 PM EST,3Y,$199
adidas Yeezy Boost 380 Mist (Kids),YB380-MSTK,"Sunday, January 24, 2021",1:55 PM EST,3Y,$180
adidas Yeezy Boost 380 Mist (Kids),YB380-MSTK,"Wednesday, January 20, 2021",2:50 PM EST,3Y,$160
adidas Yeezy Boost 380 Mist (Kids),YB380-MSTK,"Monday, January 18, 2021",9:25 PM EST,3.5Y,$242
adidas Yeezy Boost 380 Mist (Kids),YB380-MSTK,"Saturday, January 16, 2021",12:35 AM EST,3.5Y,$242
adidas Yeezy Boost 380 Mist (Kids),YB380-MSTK,"Thursday, January 14, 2021",11:42 AM EST,1Y,$184
adidas Yeezy Boost 380 Mist (Kids),YB380-MSTK,"Thursday, December 31, 2020",10:47 AM EST,2.5Y,$234
adidas Yeezy Boost 380 Mist (Kids),YB380-MSTK,"Monday, December 28, 2020",9:36 AM EST,1Y,$187
adidas Yeezy Boost 380 Mist (Kids),YB380-MSTK,"Sunday, December 27, 2020",11:29 PM EST,13K,$197
adidas Yeezy Boost 380 Mist (Kids),YB380-MSTK,"Sunday, December 27, 2020",10:35 AM EST,3.5Y,$198
adidas Yeezy Boost 380 Mist (Kids),YB380-MSTK,"Wednesday, December 23, 2020",1:17 AM EST,1Y,$185
adidas Yeezy Boost 380 Mist (Kids),YB380-MSTK,"Saturday, December 19, 2020",8:39 AM EST,1Y,$190
adidas Yeezy Boost 380 Mist (Kids),YB380-MSTK,"Thursday, December 17, 2020",11:33 AM EST,13K,$195
adidas Yeezy Boost 380 Mist (Kids),YB380-MSTK,"Wednesday, December 16, 2020",1:22 AM EST,2Y,$267
adidas Yeezy Boost 380 Mist (Kids),YB380-MSTK,"Tuesday, December 8, 2020",7:40 AM EST,3Y,$221
adidas Yeezy Boost 380 Mist (Kids),YB380-MSTK,"Saturday, December 5, 2020",12:42 PM EST,13.5K,$190
adidas Yeezy Boost 380 Mist (Kids),YB380-MSTK,"Wednesday, December 2, 2020",10:36 PM EST,11K,$180
adidas Yeezy Boost 380 Mist (Kids),YB380-MSTK,"Saturday, November 28, 2020",2:42 PM EST,1.5Y,$227
adidas Yeezy Boost 380 Mist (Kids),YB380-MSTK,"Friday, November 27, 2020",1:06 PM EST,1.5Y,$178
