name,ticker,date,time,size,price
adidas Yeezy Boost 380 Onyx,YB380-ONX,"Tuesday, July 6, 2021",5:34 PM EST,7,$285
adidas Yeezy Boost 380 Onyx,YB380-ONX,"Tuesday, July 6, 2021",5:24 PM EST,10.5,$240
adidas Yeezy Boost 380 Onyx,YB380-ONX,"Tuesday, July 6, 2021",4:21 PM EST,12,$262
adidas Yeezy Boost 380 Onyx,YB380-ONX,"Tuesday, July 6, 2021",4:17 PM EST,10.5,$251
adidas Yeezy Boost 380 Onyx,YB380-ONX,"Tuesday, July 6, 2021",3:26 PM EST,6.5,$305
adidas Yeezy Boost 380 Onyx,YB380-ONX,"Tuesday, July 6, 2021",3:20 PM EST,16,$250
adidas Yeezy Boost 380 Onyx,YB380-ONX,"Tuesday, July 6, 2021",2:07 PM EST,7,$200
adidas Yeezy Boost 380 Onyx,YB380-ONX,"Tuesday, July 6, 2021",1:37 PM EST,12,$262
adidas Yeezy Boost 380 Onyx,YB380-ONX,"Tuesday, July 6, 2021",1:30 PM EST,6,$255
adidas Yeezy Boost 380 Onyx,YB380-ONX,"Tuesday, July 6, 2021",12:54 PM EST,11,$245
adidas Yeezy Boost 380 Onyx,YB380-ONX,"Tuesday, July 6, 2021",12:06 PM EST,9,$218
adidas Yeezy Boost 380 Onyx,YB380-ONX,"Tuesday, July 6, 2021",11:03 AM EST,10,$239
adidas Yeezy Boost 380 Onyx,YB380-ONX,"Tuesday, July 6, 2021",9:12 AM EST,8,$266
adidas Yeezy Boost 380 Onyx,YB380-ONX,"Monday, July 5, 2021",8:43 PM EST,11.5,$241
adidas Yeezy Boost 380 Onyx,YB380-ONX,"Monday, July 5, 2021",6:40 PM EST,10,$235
adidas Yeezy Boost 380 Onyx,YB380-ONX,"Monday, July 5, 2021",4:25 PM EST,7,$244
adidas Yeezy Boost 380 Onyx,YB380-ONX,"Monday, July 5, 2021",2:33 PM EST,10,$211
adidas Yeezy Boost 380 Onyx,YB380-ONX,"Monday, July 5, 2021",1:11 PM EST,13,$262
adidas Yeezy Boost 380 Onyx,YB380-ONX,"Monday, July 5, 2021",10:13 AM EST,10,$220
adidas Yeezy Boost 380 Onyx,YB380-ONX,"Monday, July 5, 2021",6:48 AM EST,11.5,$253
adidas Yeezy Boost 380 Onyx,YB380-ONX,"Monday, July 5, 2021",1:58 AM EST,9.5,$222
adidas Yeezy Boost 380 Onyx,YB380-ONX,"Monday, July 5, 2021",1:10 AM EST,11,$220
adidas Yeezy Boost 380 Onyx,YB380-ONX,"Sunday, July 4, 2021",11:40 PM EST,9,$220
adidas Yeezy Boost 380 Onyx,YB380-ONX,"Sunday, July 4, 2021",6:16 PM EST,13,$255
adidas Yeezy Boost 380 Onyx,YB380-ONX,"Sunday, July 4, 2021",12:20 PM EST,6,$241
adidas Yeezy Boost 380 Onyx,YB380-ONX,"Sunday, July 4, 2021",12:19 PM EST,11,$260
adidas Yeezy Boost 380 Onyx,YB380-ONX,"Sunday, July 4, 2021",11:59 AM EST,5.5,$269
adidas Yeezy Boost 380 Onyx,YB380-ONX,"Sunday, July 4, 2021",11:37 AM EST,12.5,$253
adidas Yeezy Boost 380 Onyx,YB380-ONX,"Sunday, July 4, 2021",11:17 AM EST,9.5,$250
adidas Yeezy Boost 380 Onyx,YB380-ONX,"Sunday, July 4, 2021",9:46 AM EST,10,$225
adidas Yeezy Boost 380 Onyx,YB380-ONX,"Saturday, July 3, 2021",10:37 PM EST,9,$250
adidas Yeezy Boost 380 Onyx,YB380-ONX,"Saturday, July 3, 2021",10:11 PM EST,9.5,$250
adidas Yeezy Boost 380 Onyx,YB380-ONX,"Saturday, July 3, 2021",4:06 PM EST,8,$250
adidas Yeezy Boost 380 Onyx,YB380-ONX,"Saturday, July 3, 2021",3:49 PM EST,5.5,$378
adidas Yeezy Boost 380 Onyx,YB380-ONX,"Saturday, July 3, 2021",3:35 PM EST,14,$296
adidas Yeezy Boost 380 Onyx,YB380-ONX,"Saturday, July 3, 2021",3:35 PM EST,6.5,$269
adidas Yeezy Boost 380 Onyx,YB380-ONX,"Saturday, July 3, 2021",3:02 PM EST,10.5,$214
adidas Yeezy Boost 380 Onyx,YB380-ONX,"Saturday, July 3, 2021",2:54 PM EST,10.5,$245
adidas Yeezy Boost 380 Onyx,YB380-ONX,"Saturday, July 3, 2021",2:03 PM EST,9,$250
adidas Yeezy Boost 380 Onyx,YB380-ONX,"Saturday, July 3, 2021",11:34 AM EST,14,$265
