name,ticker,date,time,size,price
adidas Yeezy Boost 380 Onyx (Infants),YB380-ONXI,"Tuesday, July 6, 2021",6:24 PM EST,5K,$116
adidas Yeezy Boost 380 Onyx (Infants),YB380-ONXI,"Tuesday, June 29, 2021",9:50 AM EST,10K,$183
adidas Yeezy Boost 380 Onyx (Infants),YB380-ONXI,"Friday, June 25, 2021",12:51 AM EST,5K,$169
adidas Yeezy Boost 380 Onyx (Infants),YB380-ONXI,"Tuesday, June 22, 2021",5:01 PM EST,10K,$103
adidas Yeezy Boost 380 Onyx (Infants),YB380-ONXI,"Tuesday, June 22, 2021",3:13 PM EST,5K,$154
adidas Yeezy Boost 380 Onyx (Infants),YB380-ONXI,"Monday, June 21, 2021",6:43 PM EST,7K,$372
adidas Yeezy Boost 380 Onyx (Infants),YB380-ONXI,"Friday, June 18, 2021",5:03 PM EST,8.5K,$247
adidas Yeezy Boost 380 Onyx (Infants),YB380-ONXI,"Wednesday, June 16, 2021",9:52 PM EST,5K,$168
adidas Yeezy Boost 380 Onyx (Infants),YB380-ONXI,"Wednesday, June 16, 2021",2:42 PM EST,9K,$205
adidas Yeezy Boost 380 Onyx (Infants),YB380-ONXI,"Monday, June 14, 2021",6:30 PM EST,10K,$189
adidas Yeezy Boost 380 Onyx (Infants),YB380-ONXI,"Monday, June 14, 2021",6:26 PM EST,10K,$185
adidas Yeezy Boost 380 Onyx (Infants),YB380-ONXI,"Saturday, June 12, 2021",12:40 PM EST,5.5K,$178
adidas Yeezy Boost 380 Onyx (Infants),YB380-ONXI,"Thursday, June 10, 2021",4:56 PM EST,6K,$215
adidas Yeezy Boost 380 Onyx (Infants),YB380-ONXI,"Tuesday, June 8, 2021",9:33 PM EST,5K,$169
adidas Yeezy Boost 380 Onyx (Infants),YB380-ONXI,"Sunday, June 6, 2021",2:57 AM EST,5.5K,$140
adidas Yeezy Boost 380 Onyx (Infants),YB380-ONXI,"Thursday, June 3, 2021",3:17 PM EST,9K,$200
adidas Yeezy Boost 380 Onyx (Infants),YB380-ONXI,"Wednesday, June 2, 2021",9:25 PM EST,7K,$109
adidas Yeezy Boost 380 Onyx (Infants),YB380-ONXI,"Monday, May 31, 2021",3:49 PM EST,9.5K,$209
adidas Yeezy Boost 380 Onyx (Infants),YB380-ONXI,"Saturday, May 29, 2021",12:25 AM EST,5K,$169
adidas Yeezy Boost 380 Onyx (Infants),YB380-ONXI,"Friday, May 28, 2021",10:37 PM EST,10K,$155
adidas Yeezy Boost 380 Onyx (Infants),YB380-ONXI,"Friday, May 21, 2021",11:02 PM EST,5K,$171
adidas Yeezy Boost 380 Onyx (Infants),YB380-ONXI,"Tuesday, May 18, 2021",3:58 AM EST,9.5K,$275
adidas Yeezy Boost 380 Onyx (Infants),YB380-ONXI,"Monday, May 17, 2021",1:55 AM EST,9.5K,$275
adidas Yeezy Boost 380 Onyx (Infants),YB380-ONXI,"Sunday, May 9, 2021",2:56 PM EST,6K,$226
adidas Yeezy Boost 380 Onyx (Infants),YB380-ONXI,"Wednesday, May 5, 2021",10:47 PM EST,4K,$223
adidas Yeezy Boost 380 Onyx (Infants),YB380-ONXI,"Friday, April 30, 2021",7:14 PM EST,10K,$150
adidas Yeezy Boost 380 Onyx (Infants),YB380-ONXI,"Thursday, April 29, 2021",11:49 AM EST,7K,$284
