name,ticker,date,time,size,price
adidas Yeezy Boost 380 Onyx (Kids),YB380-ONXK,"Wednesday, June 16, 2021",10:55 AM EST,11.5K,$88
adidas Yeezy Boost 380 Onyx (Kids),YB380-ONXK,"Wednesday, June 16, 2021",10:54 AM EST,10.5K,$84
adidas Yeezy Boost 380 Onyx (Kids),YB380-ONXK,"Wednesday, June 16, 2021",10:54 AM EST,12.5K,$96
adidas Yeezy Boost 380 Onyx (Kids),YB380-ONXK,"Wednesday, June 16, 2021",10:52 AM EST,2.5Y,$125
adidas Yeezy Boost 380 Onyx (Kids),YB380-ONXK,"Tuesday, June 8, 2021",12:50 PM EST,2Y,$189
adidas Yeezy Boost 380 Onyx (Kids),YB380-ONXK,"Friday, June 4, 2021",9:48 PM EST,11K,$150
adidas Yeezy Boost 380 Onyx (Kids),YB380-ONXK,"Wednesday, June 2, 2021",10:09 PM EST,13.5K,$100
adidas Yeezy Boost 380 Onyx (Kids),YB380-ONXK,"Tuesday, June 1, 2021",2:46 PM EST,11.5K,$110
adidas Yeezy Boost 380 Onyx (Kids),YB380-ONXK,"Monday, May 31, 2021",1:25 AM EST,11.5K,$120
adidas Yeezy Boost 380 Onyx (Kids),YB380-ONXK,"Tuesday, May 25, 2021",4:59 PM EST,3Y,$172
adidas Yeezy Boost 380 Onyx (Kids),YB380-ONXK,"Tuesday, May 25, 2021",1:53 PM EST,12K,$152
adidas Yeezy Boost 380 Onyx (Kids),YB380-ONXK,"Wednesday, May 19, 2021",11:01 PM EST,3Y,$200
adidas Yeezy Boost 380 Onyx (Kids),YB380-ONXK,"Saturday, May 15, 2021",1:16 PM EST,2.5Y,$150
adidas Yeezy Boost 380 Onyx (Kids),YB380-ONXK,"Tuesday, April 27, 2021",1:13 AM EST,13.5K,$111
adidas Yeezy Boost 380 Onyx (Kids),YB380-ONXK,"Friday, April 23, 2021",6:28 PM EST,12K,$170
adidas Yeezy Boost 380 Onyx (Kids),YB380-ONXK,"Monday, April 5, 2021",10:02 PM EST,2.5Y,$110
adidas Yeezy Boost 380 Onyx (Kids),YB380-ONXK,"Friday, March 26, 2021",8:37 PM EST,3Y,$200
adidas Yeezy Boost 380 Onyx (Kids),YB380-ONXK,"Tuesday, March 23, 2021",9:16 AM EST,2Y,$180
adidas Yeezy Boost 380 Onyx (Kids),YB380-ONXK,"Monday, March 22, 2021",1:57 PM EST,2.5Y,$200
adidas Yeezy Boost 380 Onyx (Kids),YB380-ONXK,"Saturday, March 20, 2021",2:52 PM EST,12K,$230
adidas Yeezy Boost 380 Onyx (Kids),YB380-ONXK,"Friday, March 19, 2021",11:48 AM EST,2.5Y,$180
adidas Yeezy Boost 380 Onyx (Kids),YB380-ONXK,"Tuesday, March 16, 2021",9:32 PM EST,12K,$195
adidas Yeezy Boost 380 Onyx (Kids),YB380-ONXK,"Tuesday, March 16, 2021",11:28 AM EST,13.5K,$194
adidas Yeezy Boost 380 Onyx (Kids),YB380-ONXK,"Friday, March 12, 2021",12:08 PM EST,10.5K,$61
adidas Yeezy Boost 380 Onyx (Kids),YB380-ONXK,"Thursday, March 11, 2021",9:20 PM EST,1Y,$155
adidas Yeezy Boost 380 Onyx (Kids),YB380-ONXK,"Tuesday, March 9, 2021",12:23 AM EST,1.5Y,$155
adidas Yeezy Boost 380 Onyx (Kids),YB380-ONXK,"Monday, March 8, 2021",5:28 PM EST,3.5Y,$220
adidas Yeezy Boost 380 Onyx (Kids),YB380-ONXK,"Monday, March 1, 2021",2:51 AM EST,2.5Y,$150
adidas Yeezy Boost 380 Onyx (Kids),YB380-ONXK,"Thursday, February 25, 2021",9:25 AM EST,3Y,$201
adidas Yeezy Boost 380 Onyx (Kids),YB380-ONXK,"Wednesday, February 24, 2021",5:39 AM EST,3Y,$269
adidas Yeezy Boost 380 Onyx (Kids),YB380-ONXK,"Monday, February 22, 2021",4:49 PM EST,12.5K,$215
adidas Yeezy Boost 380 Onyx (Kids),YB380-ONXK,"Sunday, February 21, 2021",10:17 AM EST,2.5Y,$150
adidas Yeezy Boost 380 Onyx (Kids),YB380-ONXK,"Saturday, February 20, 2021",2:01 PM EST,13.5K,$133
adidas Yeezy Boost 380 Onyx (Kids),YB380-ONXK,"Friday, February 19, 2021",3:02 AM EST,3.5Y,$175
adidas Yeezy Boost 380 Onyx (Kids),YB380-ONXK,"Monday, February 15, 2021",1:36 PM EST,3Y,$198
adidas Yeezy Boost 380 Onyx (Kids),YB380-ONXK,"Saturday, February 13, 2021",12:10 AM EST,2.5Y,$200
adidas Yeezy Boost 380 Onyx (Kids),YB380-ONXK,"Saturday, February 13, 2021",5:24 PM EST,3Y,$200
adidas Yeezy Boost 380 Onyx (Kids),YB380-ONXK,"Monday, February 8, 2021",12:46 AM EST,2Y,$170
adidas Yeezy Boost 380 Onyx (Kids),YB380-ONXK,"Sunday, February 7, 2021",11:04 AM EST,1.5Y,$170
adidas Yeezy Boost 380 Onyx (Kids),YB380-ONXK,"Monday, February 1, 2021",12:05 PM EST,11.5K,$330
adidas Yeezy Boost 380 Onyx (Kids),YB380-ONXK,"Monday, February 1, 2021",2:09 AM EST,1.5Y,$189
adidas Yeezy Boost 380 Onyx (Kids),YB380-ONXK,"Friday, January 29, 2021",2:01 PM EST,13K,$130
adidas Yeezy Boost 380 Onyx (Kids),YB380-ONXK,"Friday, January 29, 2021",4:30 AM EST,13K,$194
adidas Yeezy Boost 380 Onyx (Kids),YB380-ONXK,"Wednesday, January 27, 2021",9:44 PM EST,3Y,$185
adidas Yeezy Boost 380 Onyx (Kids),YB380-ONXK,"Thursday, January 14, 2021",6:38 AM EST,2Y,$150
adidas Yeezy Boost 380 Onyx (Kids),YB380-ONXK,"Tuesday, January 12, 2021",8:44 PM EST,3Y,$218
adidas Yeezy Boost 380 Onyx (Kids),YB380-ONXK,"Monday, January 11, 2021",4:12 AM EST,11K,$209
adidas Yeezy Boost 380 Onyx (Kids),YB380-ONXK,"Saturday, January 9, 2021",4:44 AM EST,3Y,$264
adidas Yeezy Boost 380 Onyx (Kids),YB380-ONXK,"Friday, January 8, 2021",4:35 PM EST,13.5K,$185
adidas Yeezy Boost 380 Onyx (Kids),YB380-ONXK,"Wednesday, January 6, 2021",6:47 PM EST,3.5Y,$255
adidas Yeezy Boost 380 Onyx (Kids),YB380-ONXK,"Saturday, January 2, 2021",12:32 AM EST,11.5K,$100
adidas Yeezy Boost 380 Onyx (Kids),YB380-ONXK,"Saturday, January 2, 2021",11:15 PM EST,3.5Y,$259
adidas Yeezy Boost 380 Onyx (Kids),YB380-ONXK,"Saturday, January 2, 2021",7:28 PM EST,13K,$90
adidas Yeezy Boost 380 Onyx (Kids),YB380-ONXK,"Friday, December 25, 2020",3:49 PM EST,2Y,$204
adidas Yeezy Boost 380 Onyx (Kids),YB380-ONXK,"Wednesday, December 23, 2020",11:24 AM EST,3Y,$136
adidas Yeezy Boost 380 Onyx (Kids),YB380-ONXK,"Wednesday, December 23, 2020",10:07 AM EST,3Y,$259
adidas Yeezy Boost 380 Onyx (Kids),YB380-ONXK,"Wednesday, December 23, 2020",4:32 AM EST,3.5Y,$200
adidas Yeezy Boost 380 Onyx (Kids),YB380-ONXK,"Wednesday, December 16, 2020",9:47 AM EST,3.5Y,$218
adidas Yeezy Boost 380 Onyx (Kids),YB380-ONXK,"Tuesday, December 15, 2020",3:30 PM EST,3.5Y,$214
adidas Yeezy Boost 380 Onyx (Kids),YB380-ONXK,"Monday, December 14, 2020",5:44 PM EST,12K,$100
adidas Yeezy Boost 380 Onyx (Kids),YB380-ONXK,"Monday, December 14, 2020",2:51 PM EST,3.5Y,$207
adidas Yeezy Boost 380 Onyx (Kids),YB380-ONXK,"Sunday, December 13, 2020",10:03 PM EST,2Y,$190
adidas Yeezy Boost 380 Onyx (Kids),YB380-ONXK,"Sunday, December 13, 2020",7:51 PM EST,3Y,$196
adidas Yeezy Boost 380 Onyx (Kids),YB380-ONXK,"Sunday, December 13, 2020",12:48 PM EST,12K,$180
adidas Yeezy Boost 380 Onyx (Kids),YB380-ONXK,"Saturday, December 12, 2020",2:13 PM EST,2.5Y,$186
adidas Yeezy Boost 380 Onyx (Kids),YB380-ONXK,"Saturday, December 12, 2020",12:22 PM EST,13K,$215
adidas Yeezy Boost 380 Onyx (Kids),YB380-ONXK,"Saturday, December 12, 2020",7:19 AM EST,2.5Y,$184
adidas Yeezy Boost 380 Onyx (Kids),YB380-ONXK,"Friday, December 11, 2020",3:32 PM EST,2Y,$190
