name,ticker,date,time,size,price
adidas Yeezy Boost 380 Onyx Reflective,YB380-ONXRF,"Tuesday, July 6, 2021",9:54 PM EST,9.5,$370
adidas Yeezy Boost 380 Onyx Reflective,YB380-ONXRF,"Monday, July 5, 2021",11:14 PM EST,12,$380
adidas Yeezy Boost 380 Onyx Reflective,YB380-ONXRF,"Monday, July 5, 2021",4:18 PM EST,14.5,$235
adidas Yeezy Boost 380 Onyx Reflective,YB380-ONXRF,"Monday, July 5, 2021",2:33 PM EST,10,$350
adidas Yeezy Boost 380 Onyx Reflective,YB380-ONXRF,"Monday, July 5, 2021",1:10 PM EST,10.5,$335
adidas Yeezy Boost 380 Onyx Reflective,YB380-ONXRF,"Monday, July 5, 2021",6:56 AM EST,14,$375
adidas Yeezy Boost 380 Onyx Reflective,YB380-ONXRF,"Sunday, July 4, 2021",1:07 PM EST,8,$380
adidas Yeezy Boost 380 Onyx Reflective,YB380-ONXRF,"Friday, July 2, 2021",10:35 PM EST,13,$300
adidas Yeezy Boost 380 Onyx Reflective,YB380-ONXRF,"Friday, July 2, 2021",4:05 PM EST,13,$310
adidas Yeezy Boost 380 Onyx Reflective,YB380-ONXRF,"Thursday, July 1, 2021",11:18 PM EST,10,$386
adidas Yeezy Boost 380 Onyx Reflective,YB380-ONXRF,"Wednesday, June 30, 2021",3:05 PM EST,10,$382
adidas Yeezy Boost 380 Onyx Reflective,YB380-ONXRF,"Wednesday, June 30, 2021",1:04 AM EST,8,$380
adidas Yeezy Boost 380 Onyx Reflective,YB380-ONXRF,"Tuesday, June 29, 2021",2:32 PM EST,10,$344
adidas Yeezy Boost 380 Onyx Reflective,YB380-ONXRF,"Tuesday, June 29, 2021",1:55 AM EST,5.5,$397
adidas Yeezy Boost 380 Onyx Reflective,YB380-ONXRF,"Monday, June 28, 2021",3:10 PM EST,12,$340
adidas Yeezy Boost 380 Onyx Reflective,YB380-ONXRF,"Saturday, June 26, 2021",7:33 PM EST,6.5,$420
adidas Yeezy Boost 380 Onyx Reflective,YB380-ONXRF,"Saturday, June 26, 2021",4:07 PM EST,8.5,$365
adidas Yeezy Boost 380 Onyx Reflective,YB380-ONXRF,"Saturday, June 26, 2021",5:45 AM EST,10,$345
adidas Yeezy Boost 380 Onyx Reflective,YB380-ONXRF,"Friday, June 25, 2021",5:43 PM EST,10.5,$375
adidas Yeezy Boost 380 Onyx Reflective,YB380-ONXRF,"Friday, June 25, 2021",3:00 AM EST,9.5,$385
