name,ticker,date,time,size,price
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Tuesday, July 6, 2021",7:58 PM EST,10,$205
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Tuesday, July 6, 2021",4:46 PM EST,8.5,$220
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Tuesday, July 6, 2021",2:39 PM EST,7,$220
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Tuesday, July 6, 2021",2:07 PM EST,5,$183
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Tuesday, July 6, 2021",11:38 AM EST,9,$210
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Tuesday, July 6, 2021",10:54 AM EST,9.5,$223
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Tuesday, July 6, 2021",10:53 AM EST,9.5,$172
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Tuesday, July 6, 2021",1:18 AM EST,10,$177
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Monday, July 5, 2021",8:56 PM EST,10,$150
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Monday, July 5, 2021",8:11 PM EST,5.5,$225
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Monday, July 5, 2021",4:14 PM EST,8.5,$199
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Monday, July 5, 2021",12:30 PM EST,8.5,$224
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Monday, July 5, 2021",10:12 AM EST,8.5,$200
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Monday, July 5, 2021",2:49 AM EST,13,$249
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Sunday, July 4, 2021",10:04 AM EST,12,$228
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Saturday, July 3, 2021",10:46 PM EST,7,$269
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Saturday, July 3, 2021",7:19 PM EST,6,$284
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Saturday, July 3, 2021",6:52 PM EST,10.5,$215
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Saturday, July 3, 2021",6:41 PM EST,10,$169
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Saturday, July 3, 2021",6:10 PM EST,11.5,$271
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Saturday, July 3, 2021",4:32 PM EST,9.5,$200
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Saturday, July 3, 2021",2:39 PM EST,10,$167
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Saturday, July 3, 2021",12:40 PM EST,11,$212
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Saturday, July 3, 2021",11:49 AM EST,4.5,$260
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Saturday, July 3, 2021",11:01 AM EST,10.5,$200
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Friday, July 2, 2021",6:30 PM EST,9.5,$199
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Friday, July 2, 2021",12:37 PM EST,12,$219
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Friday, July 2, 2021",11:31 AM EST,11,$237
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Friday, July 2, 2021",9:49 AM EST,13,$248
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Friday, July 2, 2021",8:54 AM EST,11,$212
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Friday, July 2, 2021",8:49 AM EST,10,$165
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Friday, July 2, 2021",7:14 AM EST,9,$202
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Thursday, July 1, 2021",12:42 AM EST,10,$170
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Thursday, July 1, 2021",10:12 PM EST,11,$200
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Thursday, July 1, 2021",10:03 PM EST,12.5,$268
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Thursday, July 1, 2021",6:46 PM EST,11.5,$201
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Thursday, July 1, 2021",6:41 PM EST,9,$203
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Thursday, July 1, 2021",6:32 PM EST,5,$195
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Thursday, July 1, 2021",4:08 PM EST,11.5,$250
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Thursday, July 1, 2021",2:20 PM EST,9,$204
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Thursday, July 1, 2021",2:00 PM EST,10,$165
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Thursday, July 1, 2021",1:21 PM EST,10.5,$214
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Thursday, July 1, 2021",11:59 AM EST,7,$243
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Wednesday, June 30, 2021",8:47 PM EST,8.5,$211
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Wednesday, June 30, 2021",5:29 PM EST,7,$245
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Wednesday, June 30, 2021",3:59 PM EST,5.5,$250
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Wednesday, June 30, 2021",11:52 AM EST,6.5,$235
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Wednesday, June 30, 2021",8:13 AM EST,9,$215
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Wednesday, June 30, 2021",2:58 AM EST,13,$245
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Wednesday, June 30, 2021",2:41 AM EST,7.5,$200
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Wednesday, June 30, 2021",2:09 AM EST,8.5,$201
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Tuesday, June 29, 2021",12:34 AM EST,7.5,$250
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Tuesday, June 29, 2021",8:02 PM EST,10.5,$168
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Tuesday, June 29, 2021",7:54 PM EST,10.5,$170
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Tuesday, June 29, 2021",7:53 PM EST,10.5,$186
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Tuesday, June 29, 2021",7:31 PM EST,10,$215
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Tuesday, June 29, 2021",4:26 PM EST,8.5,$215
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Tuesday, June 29, 2021",2:22 PM EST,12.5,$221
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Tuesday, June 29, 2021",2:19 PM EST,10,$185
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Tuesday, June 29, 2021",1:38 PM EST,11,$195
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Tuesday, June 29, 2021",1:09 PM EST,10.5,$215
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Tuesday, June 29, 2021",12:26 PM EST,5.5,$250
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Tuesday, June 29, 2021",11:15 AM EST,11.5,$210
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Tuesday, June 29, 2021",1:32 AM EST,12,$228
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Monday, June 28, 2021",8:46 PM EST,4,$285
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Monday, June 28, 2021",8:37 PM EST,11,$210
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Monday, June 28, 2021",8:14 PM EST,11,$190
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Monday, June 28, 2021",4:35 PM EST,7,$270
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Monday, June 28, 2021",4:18 PM EST,12.5,$250
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Monday, June 28, 2021",7:42 AM EST,11,$200
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Sunday, June 27, 2021",10:46 PM EST,7,$274
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Sunday, June 27, 2021",7:23 PM EST,9.5,$210
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Sunday, June 27, 2021",2:15 PM EST,12,$227
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Saturday, June 26, 2021",12:32 AM EST,11.5,$211
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Saturday, June 26, 2021",6:53 PM EST,9,$219
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Saturday, June 26, 2021",9:59 AM EST,6,$285
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Saturday, June 26, 2021",8:03 AM EST,11.5,$202
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Saturday, June 26, 2021",1:20 AM EST,7.5,$277
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Friday, June 25, 2021",9:11 PM EST,11.5,$211
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Friday, June 25, 2021",6:17 PM EST,6,$358
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Friday, June 25, 2021",3:12 PM EST,8,$250
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Friday, June 25, 2021",2:16 PM EST,9.5,$215
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Friday, June 25, 2021",2:07 PM EST,10.5,$216
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Friday, June 25, 2021",12:52 PM EST,10.5,$190
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Friday, June 25, 2021",5:29 AM EST,12,$288
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Friday, June 25, 2021",3:27 AM EST,11.5,$240
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Friday, June 25, 2021",2:53 AM EST,14,$230
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Thursday, June 24, 2021",10:58 PM EST,14,$225
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Thursday, June 24, 2021",3:15 PM EST,14,$210
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Thursday, June 24, 2021",3:05 PM EST,11,$212
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Thursday, June 24, 2021",2:42 PM EST,11,$203
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Thursday, June 24, 2021",12:45 PM EST,6,$280
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Thursday, June 24, 2021",9:10 AM EST,11,$203
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Thursday, June 24, 2021",8:58 AM EST,5,$234
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Thursday, June 24, 2021",4:28 AM EST,11,$201
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Thursday, June 24, 2021",2:45 AM EST,12,$222
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Thursday, June 24, 2021",2:33 AM EST,7.5,$212
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Thursday, June 24, 2021",2:33 AM EST,10,$172
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Thursday, June 24, 2021",2:10 AM EST,9,$219
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Wednesday, June 23, 2021",9:18 PM EST,11,$196
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Wednesday, June 23, 2021",12:33 PM EST,14.5,$183
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Wednesday, June 23, 2021",11:07 AM EST,5.5,$250
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Wednesday, June 23, 2021",10:23 AM EST,9.5,$215
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Wednesday, June 23, 2021",9:38 AM EST,12,$287
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Wednesday, June 23, 2021",2:44 AM EST,8,$249
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Tuesday, June 22, 2021",8:57 PM EST,11.5,$235
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Tuesday, June 22, 2021",6:37 PM EST,9.5,$180
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Tuesday, June 22, 2021",5:01 PM EST,14.5,$184
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Tuesday, June 22, 2021",10:49 AM EST,10.5,$200
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Tuesday, June 22, 2021",7:15 AM EST,9.5,$214
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Tuesday, June 22, 2021",3:43 AM EST,9.5,$203
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Tuesday, June 22, 2021",3:14 AM EST,10.5,$200
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Tuesday, June 22, 2021",2:50 AM EST,10.5,$177
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Monday, June 21, 2021",11:46 PM EST,9,$210
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Monday, June 21, 2021",5:02 PM EST,13,$217
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Monday, June 21, 2021",2:27 PM EST,9.5,$181
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Monday, June 21, 2021",2:26 PM EST,9.5,$190
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Monday, June 21, 2021",12:25 PM EST,7.5,$215
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Monday, June 21, 2021",7:44 AM EST,11,$215
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Sunday, June 20, 2021",7:09 PM EST,10,$176
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Sunday, June 20, 2021",6:14 PM EST,11,$185
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Sunday, June 20, 2021",5:28 PM EST,9.5,$220
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Sunday, June 20, 2021",4:27 PM EST,9.5,$208
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Sunday, June 20, 2021",3:35 PM EST,10.5,$214
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Sunday, June 20, 2021",12:55 PM EST,10.5,$208
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Sunday, June 20, 2021",9:24 AM EST,10.5,$210
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Sunday, June 20, 2021",5:08 AM EST,10.5,$200
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Saturday, June 19, 2021",8:06 PM EST,11,$210
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Saturday, June 19, 2021",6:26 AM EST,5.5,$245
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Saturday, June 19, 2021",1:52 AM EST,9,$224
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Friday, June 18, 2021",9:03 PM EST,5,$258
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Friday, June 18, 2021",3:57 PM EST,14,$180
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Friday, June 18, 2021",3:18 PM EST,8,$230
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Friday, June 18, 2021",2:08 PM EST,11,$205
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Friday, June 18, 2021",10:17 AM EST,10,$200
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Friday, June 18, 2021",10:05 AM EST,4,$293
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Friday, June 18, 2021",8:49 AM EST,6.5,$289
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Friday, June 18, 2021",3:51 AM EST,12,$220
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Thursday, June 17, 2021",12:36 AM EST,7.5,$271
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Thursday, June 17, 2021",10:52 PM EST,7,$300
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Thursday, June 17, 2021",7:58 PM EST,7.5,$259
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Thursday, June 17, 2021",3:58 PM EST,6.5,$377
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Thursday, June 17, 2021",2:22 PM EST,11,$205
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Thursday, June 17, 2021",12:43 PM EST,8,$201
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Thursday, June 17, 2021",12:09 PM EST,10,$178
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Thursday, June 17, 2021",12:08 PM EST,8.5,$203
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Thursday, June 17, 2021",11:52 AM EST,5,$196
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Thursday, June 17, 2021",11:40 AM EST,5,$198
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Thursday, June 17, 2021",11:18 AM EST,6.5,$206
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Thursday, June 17, 2021",10:28 AM EST,9.5,$180
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Thursday, June 17, 2021",6:42 AM EST,8,$232
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Thursday, June 17, 2021",5:59 AM EST,5.5,$255
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Wednesday, June 16, 2021",11:32 PM EST,9.5,$180
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Wednesday, June 16, 2021",2:46 PM EST,10.5,$205
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Wednesday, June 16, 2021",2:45 PM EST,9,$291
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Wednesday, June 16, 2021",12:33 PM EST,12,$192
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Wednesday, June 16, 2021",8:55 AM EST,6,$285
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Wednesday, June 16, 2021",2:55 AM EST,12,$194
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Tuesday, June 15, 2021",10:14 PM EST,8,$248
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Tuesday, June 15, 2021",5:09 PM EST,9.5,$202
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Tuesday, June 15, 2021",2:35 PM EST,6.5,$288
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Tuesday, June 15, 2021",2:14 PM EST,6.5,$209
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Tuesday, June 15, 2021",12:46 PM EST,8,$265
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Tuesday, June 15, 2021",2:00 AM EST,9,$221
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Tuesday, June 15, 2021",1:28 AM EST,9.5,$220
adidas Yeezy Boost 380 Pepper,YB380-PPR,"Tuesday, June 15, 2021",1:14 AM EST,11,$190
