name,ticker,date,time,size,price
adidas Yeezy Boost 380 Pepper (Infants),YB380-PPRI,"Monday, June 21, 2021",3:14 AM EST,5K,$121
adidas Yeezy Boost 380 Pepper (Infants),YB380-PPRI,"Tuesday, June 15, 2021",12:06 PM EST,4K,$198
adidas Yeezy Boost 380 Pepper (Infants),YB380-PPRI,"Monday, June 14, 2021",12:59 PM EST,4K,$198
adidas Yeezy Boost 380 Pepper (Infants),YB380-PPRI,"Saturday, May 22, 2021",2:33 PM EST,7K,$171
adidas Yeezy Boost 380 Pepper (Infants),YB380-PPRI,"Saturday, May 22, 2021",4:16 AM EST,9K,$240
adidas Yeezy Boost 380 Pepper (Infants),YB380-PPRI,"Thursday, May 20, 2021",11:14 PM EST,5K,$175
adidas Yeezy Boost 380 Pepper (Infants),YB380-PPRI,"Thursday, May 20, 2021",2:37 PM EST,10K,$190
adidas Yeezy Boost 380 Pepper (Infants),YB380-PPRI,"Tuesday, May 18, 2021",5:29 AM EST,4K,$175
adidas Yeezy Boost 380 Pepper (Infants),YB380-PPRI,"Saturday, May 15, 2021",5:14 PM EST,10K,$179
adidas Yeezy Boost 380 Pepper (Infants),YB380-PPRI,"Friday, May 14, 2021",6:49 PM EST,6K,$185
adidas Yeezy Boost 380 Pepper (Infants),YB380-PPRI,"Friday, May 14, 2021",5:15 PM EST,7K,$150
adidas Yeezy Boost 380 Pepper (Infants),YB380-PPRI,"Monday, May 3, 2021",12:25 PM EST,6K,$217
adidas Yeezy Boost 380 Pepper (Infants),YB380-PPRI,"Monday, April 12, 2021",5:54 PM EST,5K,$164
adidas Yeezy Boost 380 Pepper (Infants),YB380-PPRI,"Thursday, April 8, 2021",12:38 PM EST,7K,$175
adidas Yeezy Boost 380 Pepper (Infants),YB380-PPRI,"Monday, April 5, 2021",5:47 PM EST,5.5K,$170
adidas Yeezy Boost 380 Pepper (Infants),YB380-PPRI,"Sunday, March 28, 2021",1:33 PM EST,9K,$170
adidas Yeezy Boost 380 Pepper (Infants),YB380-PPRI,"Friday, March 26, 2021",12:46 PM EST,6K,$184
