name,ticker,date,time,size,price
adidas Yeezy Boost 380 Pepper (Kids),YB380-PPRK,"Friday, June 25, 2021",4:17 PM EST,12K,$180
adidas Yeezy Boost 380 Pepper (Kids),YB380-PPRK,"Thursday, June 24, 2021",11:19 AM EST,1Y,$248
adidas Yeezy Boost 380 Pepper (Kids),YB380-PPRK,"Thursday, June 17, 2021",5:06 PM EST,2Y,$270
adidas Yeezy Boost 380 Pepper (Kids),YB380-PPRK,"Wednesday, June 16, 2021",11:11 AM EST,2.5Y,$340
adidas Yeezy Boost 380 Pepper (Kids),YB380-PPRK,"Saturday, June 12, 2021",12:46 PM EST,12.5K,$295
adidas Yeezy Boost 380 Pepper (Kids),YB380-PPRK,"Friday, June 11, 2021",7:21 AM EST,13.5K,$245
adidas Yeezy Boost 380 Pepper (Kids),YB380-PPRK,"Friday, June 11, 2021",6:48 AM EST,3Y,$300
adidas Yeezy Boost 380 Pepper (Kids),YB380-PPRK,"Wednesday, May 26, 2021",2:13 PM EST,12.5K,$250
adidas Yeezy Boost 380 Pepper (Kids),YB380-PPRK,"Tuesday, May 25, 2021",5:02 PM EST,12K,$180
adidas Yeezy Boost 380 Pepper (Kids),YB380-PPRK,"Friday, May 21, 2021",7:48 PM EST,1Y,$230
adidas Yeezy Boost 380 Pepper (Kids),YB380-PPRK,"Thursday, May 20, 2021",6:14 PM EST,12.5K,$245
adidas Yeezy Boost 380 Pepper (Kids),YB380-PPRK,"Monday, May 17, 2021",6:09 PM EST,3Y,$359
adidas Yeezy Boost 380 Pepper (Kids),YB380-PPRK,"Monday, May 17, 2021",11:56 AM EST,12K,$175
adidas Yeezy Boost 380 Pepper (Kids),YB380-PPRK,"Wednesday, May 5, 2021",5:22 PM EST,2Y,$230
adidas Yeezy Boost 380 Pepper (Kids),YB380-PPRK,"Saturday, May 1, 2021",3:33 PM EST,2.5Y,$260
adidas Yeezy Boost 380 Pepper (Kids),YB380-PPRK,"Wednesday, April 28, 2021",9:29 PM EST,1Y,$178
adidas Yeezy Boost 380 Pepper (Kids),YB380-PPRK,"Tuesday, April 27, 2021",7:58 AM EST,2Y,$229
adidas Yeezy Boost 380 Pepper (Kids),YB380-PPRK,"Monday, April 26, 2021",5:36 PM EST,2Y,$200
adidas Yeezy Boost 380 Pepper (Kids),YB380-PPRK,"Wednesday, April 21, 2021",6:20 PM EST,11K,$111
adidas Yeezy Boost 380 Pepper (Kids),YB380-PPRK,"Sunday, April 11, 2021",2:40 AM EST,1Y,$170
adidas Yeezy Boost 380 Pepper (Kids),YB380-PPRK,"Wednesday, April 7, 2021",12:15 PM EST,3.5Y,$271
adidas Yeezy Boost 380 Pepper (Kids),YB380-PPRK,"Sunday, April 4, 2021",5:57 PM EST,12.5K,$245
adidas Yeezy Boost 380 Pepper (Kids),YB380-PPRK,"Tuesday, March 30, 2021",2:17 AM EST,3Y,$298
adidas Yeezy Boost 380 Pepper (Kids),YB380-PPRK,"Saturday, March 27, 2021",3:17 PM EST,13.5K,$215
adidas Yeezy Boost 380 Pepper (Kids),YB380-PPRK,"Thursday, March 25, 2021",10:02 AM EST,13K,$206
adidas Yeezy Boost 380 Pepper (Kids),YB380-PPRK,"Friday, March 12, 2021",12:25 PM EST,1Y,$205
adidas Yeezy Boost 380 Pepper (Kids),YB380-PPRK,"Wednesday, March 10, 2021",11:23 AM EST,13.5K,$200
adidas Yeezy Boost 380 Pepper (Kids),YB380-PPRK,"Tuesday, March 9, 2021",5:06 PM EST,12.5K,$249
adidas Yeezy Boost 380 Pepper (Kids),YB380-PPRK,"Monday, March 8, 2021",12:40 AM EST,2Y,$228
adidas Yeezy Boost 380 Pepper (Kids),YB380-PPRK,"Friday, March 5, 2021",11:49 AM EST,12K,$215
adidas Yeezy Boost 380 Pepper (Kids),YB380-PPRK,"Thursday, March 4, 2021",12:38 AM EST,3Y,$230
adidas Yeezy Boost 380 Pepper (Kids),YB380-PPRK,"Wednesday, March 3, 2021",4:19 PM EST,3Y,$230
adidas Yeezy Boost 380 Pepper (Kids),YB380-PPRK,"Wednesday, February 24, 2021",8:47 PM EST,3Y,$229
adidas Yeezy Boost 380 Pepper (Kids),YB380-PPRK,"Wednesday, February 24, 2021",7:43 PM EST,13.5K,$125
adidas Yeezy Boost 380 Pepper (Kids),YB380-PPRK,"Tuesday, February 23, 2021",12:30 PM EST,10.5K,$275
adidas Yeezy Boost 380 Pepper (Kids),YB380-PPRK,"Sunday, February 14, 2021",6:05 PM EST,3Y,$213
adidas Yeezy Boost 380 Pepper (Kids),YB380-PPRK,"Saturday, January 30, 2021",8:04 AM EST,3.5Y,$199
adidas Yeezy Boost 380 Pepper (Kids),YB380-PPRK,"Friday, January 29, 2021",8:55 PM EST,1Y,$205
adidas Yeezy Boost 380 Pepper (Kids),YB380-PPRK,"Saturday, January 23, 2021",4:06 AM EST,3Y,$209
adidas Yeezy Boost 380 Pepper (Kids),YB380-PPRK,"Friday, January 22, 2021",7:57 AM EST,3.5Y,$158
adidas Yeezy Boost 380 Pepper (Kids),YB380-PPRK,"Friday, January 8, 2021",3:54 AM EST,3Y,$215
adidas Yeezy Boost 380 Pepper (Kids),YB380-PPRK,"Saturday, January 2, 2021",3:30 PM EST,2Y,$229
adidas Yeezy Boost 380 Pepper (Kids),YB380-PPRK,"Thursday, December 31, 2020",8:43 AM EST,2.5Y,$220
adidas Yeezy Boost 380 Pepper (Kids),YB380-PPRK,"Wednesday, December 23, 2020",8:20 PM EST,11K,$220
adidas Yeezy Boost 380 Pepper (Kids),YB380-PPRK,"Sunday, December 20, 2020",10:06 PM EST,12.5K,$238
adidas Yeezy Boost 380 Pepper (Kids),YB380-PPRK,"Sunday, December 20, 2020",4:12 PM EST,3Y,$230
adidas Yeezy Boost 380 Pepper (Kids),YB380-PPRK,"Tuesday, December 15, 2020",1:59 PM EST,1.5Y,$207
adidas Yeezy Boost 380 Pepper (Kids),YB380-PPRK,"Tuesday, December 15, 2020",1:57 PM EST,12K,$210
adidas Yeezy Boost 380 Pepper (Kids),YB380-PPRK,"Monday, December 14, 2020",7:01 PM EST,3Y,$204
adidas Yeezy Boost 380 Pepper (Kids),YB380-PPRK,"Saturday, December 12, 2020",8:26 AM EST,2Y,$220
adidas Yeezy Boost 380 Pepper (Kids),YB380-PPRK,"Friday, December 11, 2020",6:46 PM EST,13K,$260
adidas Yeezy Boost 380 Pepper (Kids),YB380-PPRK,"Friday, December 11, 2020",12:14 PM EST,1Y,$157
adidas Yeezy Boost 380 Pepper (Kids),YB380-PPRK,"Thursday, December 10, 2020",8:20 PM EST,3Y,$225
adidas Yeezy Boost 380 Pepper (Kids),YB380-PPRK,"Thursday, December 10, 2020",7:30 AM EST,13K,$185
adidas Yeezy Boost 380 Pepper (Kids),YB380-PPRK,"Wednesday, December 9, 2020",6:10 PM EST,2Y,$215
adidas Yeezy Boost 380 Pepper (Kids),YB380-PPRK,"Tuesday, December 8, 2020",10:41 PM EST,3Y,$170
adidas Yeezy Boost 380 Pepper (Kids),YB380-PPRK,"Monday, December 7, 2020",5:42 PM EST,13K,$180
adidas Yeezy Boost 380 Pepper (Kids),YB380-PPRK,"Friday, December 4, 2020",8:58 AM EST,11K,$336
adidas Yeezy Boost 380 Pepper (Kids),YB380-PPRK,"Thursday, December 3, 2020",6:40 PM EST,1Y,$171
adidas Yeezy Boost 380 Pepper (Kids),YB380-PPRK,"Wednesday, December 2, 2020",12:12 PM EST,3Y,$200
adidas Yeezy Boost 380 Pepper (Kids),YB380-PPRK,"Tuesday, December 1, 2020",10:33 PM EST,3Y,$210
adidas Yeezy Boost 380 Pepper (Kids),YB380-PPRK,"Tuesday, December 1, 2020",4:15 PM EST,3Y,$210
adidas Yeezy Boost 380 Pepper (Kids),YB380-PPRK,"Monday, November 30, 2020",8:01 PM EST,12K,$199
adidas Yeezy Boost 380 Pepper (Kids),YB380-PPRK,"Monday, November 30, 2020",11:48 AM EST,13.5K,$249
adidas Yeezy Boost 380 Pepper (Kids),YB380-PPRK,"Monday, November 30, 2020",5:28 AM EST,12K,$199
adidas Yeezy Boost 380 Pepper (Kids),YB380-PPRK,"Sunday, November 29, 2020",11:03 PM EST,12.5K,$170
adidas Yeezy Boost 380 Pepper (Kids),YB380-PPRK,"Friday, November 27, 2020",7:47 PM EST,13K,$190
adidas Yeezy Boost 380 Pepper (Kids),YB380-PPRK,"Friday, November 27, 2020",4:02 PM EST,3Y,$200
adidas Yeezy Boost 380 Pepper (Kids),YB380-PPRK,"Thursday, November 26, 2020",4:26 PM EST,10.5K,$170
adidas Yeezy Boost 380 Pepper (Kids),YB380-PPRK,"Sunday, November 22, 2020",9:01 AM EST,3Y,$200
adidas Yeezy Boost 380 Pepper (Kids),YB380-PPRK,"Saturday, November 21, 2020",5:22 PM EST,2.5Y,$200
adidas Yeezy Boost 380 Pepper (Kids),YB380-PPRK,"Saturday, November 21, 2020",11:55 AM EST,3Y,$172
adidas Yeezy Boost 380 Pepper (Kids),YB380-PPRK,"Wednesday, November 18, 2020",5:02 AM EST,12K,$265
adidas Yeezy Boost 380 Pepper (Kids),YB380-PPRK,"Monday, November 16, 2020",12:36 PM EST,3Y,$200
adidas Yeezy Boost 380 Pepper (Kids),YB380-PPRK,"Saturday, November 14, 2020",2:26 PM EST,1Y,$150
adidas Yeezy Boost 380 Pepper (Kids),YB380-PPRK,"Friday, November 13, 2020",11:15 PM EST,2Y,$201
adidas Yeezy Boost 380 Pepper (Kids),YB380-PPRK,"Friday, November 13, 2020",4:08 PM EST,11.5K,$219
adidas Yeezy Boost 380 Pepper (Kids),YB380-PPRK,"Thursday, November 12, 2020",1:05 PM EST,1.5Y,$205
adidas Yeezy Boost 380 Pepper (Kids),YB380-PPRK,"Friday, November 6, 2020",5:18 PM EST,3.5Y,$249
adidas Yeezy Boost 380 Pepper (Kids),YB380-PPRK,"Friday, November 6, 2020",12:30 PM EST,13.5K,$215
adidas Yeezy Boost 380 Pepper (Kids),YB380-PPRK,"Wednesday, November 4, 2020",6:09 PM EST,2Y,$203
adidas Yeezy Boost 380 Pepper (Kids),YB380-PPRK,"Monday, November 2, 2020",4:48 PM EST,3.5Y,$200
adidas Yeezy Boost 380 Pepper (Kids),YB380-PPRK,"Saturday, October 31, 2020",4:11 AM EST,3Y,$227
adidas Yeezy Boost 380 Pepper (Kids),YB380-PPRK,"Friday, October 30, 2020",10:42 AM EST,11K,$231
adidas Yeezy Boost 380 Pepper (Kids),YB380-PPRK,"Thursday, October 29, 2020",11:05 PM EST,3Y,$204
adidas Yeezy Boost 380 Pepper (Kids),YB380-PPRK,"Tuesday, October 27, 2020",12:38 PM EST,12K,$195
adidas Yeezy Boost 380 Pepper (Kids),YB380-PPRK,"Tuesday, October 27, 2020",7:44 AM EST,3Y,$203
adidas Yeezy Boost 380 Pepper (Kids),YB380-PPRK,"Monday, October 26, 2020",9:42 PM EST,2.5Y,$220
adidas Yeezy Boost 380 Pepper (Kids),YB380-PPRK,"Monday, October 26, 2020",3:41 PM EST,2Y,$140
adidas Yeezy Boost 380 Pepper (Kids),YB380-PPRK,"Saturday, October 24, 2020",2:28 AM EST,11K,$199
adidas Yeezy Boost 380 Pepper (Kids),YB380-PPRK,"Saturday, October 24, 2020",2:17 AM EST,13.5K,$229
adidas Yeezy Boost 380 Pepper (Kids),YB380-PPRK,"Friday, October 23, 2020",10:29 AM EST,12K,$215
adidas Yeezy Boost 380 Pepper (Kids),YB380-PPRK,"Wednesday, October 21, 2020",3:34 PM EST,2.5Y,$210
adidas Yeezy Boost 380 Pepper (Kids),YB380-PPRK,"Sunday, October 18, 2020",6:34 PM EST,3Y,$205
adidas Yeezy Boost 380 Pepper (Kids),YB380-PPRK,"Saturday, October 17, 2020",4:46 PM EST,2Y,$201
adidas Yeezy Boost 380 Pepper (Kids),YB380-PPRK,"Saturday, October 17, 2020",7:51 AM EST,13.5K,$216
adidas Yeezy Boost 380 Pepper (Kids),YB380-PPRK,"Wednesday, October 14, 2020",10:19 AM EST,13.5K,$210
adidas Yeezy Boost 380 Pepper (Kids),YB380-PPRK,"Sunday, October 11, 2020",5:48 PM EST,2.5Y,$205
adidas Yeezy Boost 380 Pepper (Kids),YB380-PPRK,"Saturday, October 10, 2020",11:15 PM EST,2.5Y,$200
adidas Yeezy Boost 380 Pepper (Kids),YB380-PPRK,"Saturday, October 10, 2020",4:28 PM EST,2Y,$200
adidas Yeezy Boost 380 Pepper (Kids),YB380-PPRK,"Saturday, October 10, 2020",1:12 PM EST,10.5K,$150
adidas Yeezy Boost 380 Pepper (Kids),YB380-PPRK,"Saturday, October 10, 2020",6:26 AM EST,11K,$226
adidas Yeezy Boost 380 Pepper (Kids),YB380-PPRK,"Friday, October 9, 2020",3:19 PM EST,1.5Y,$145
adidas Yeezy Boost 380 Pepper (Kids),YB380-PPRK,"Friday, October 9, 2020",2:15 PM EST,3.5Y,$220
adidas Yeezy Boost 380 Pepper (Kids),YB380-PPRK,"Thursday, October 8, 2020",11:10 PM EST,11K,$226
adidas Yeezy Boost 380 Pepper (Kids),YB380-PPRK,"Sunday, October 4, 2020",2:23 PM EST,3Y,$216
adidas Yeezy Boost 380 Pepper (Kids),YB380-PPRK,"Thursday, October 1, 2020",5:41 PM EST,11K,$160
adidas Yeezy Boost 380 Pepper (Kids),YB380-PPRK,"Thursday, October 1, 2020",12:16 PM EST,2.5Y,$190
adidas Yeezy Boost 380 Pepper (Kids),YB380-PPRK,"Tuesday, September 29, 2020",11:56 PM EST,3.5Y,$258
adidas Yeezy Boost 380 Pepper (Kids),YB380-PPRK,"Saturday, September 26, 2020",8:36 PM EST,3.5Y,$236
adidas Yeezy Boost 380 Pepper (Kids),YB380-PPRK,"Saturday, September 26, 2020",2:21 PM EST,13.5K,$210
adidas Yeezy Boost 380 Pepper (Kids),YB380-PPRK,"Saturday, September 26, 2020",12:12 PM EST,10.5K,$210
adidas Yeezy Boost 380 Pepper (Kids),YB380-PPRK,"Saturday, September 26, 2020",5:08 AM EST,3.5Y,$220
adidas Yeezy Boost 380 Pepper (Kids),YB380-PPRK,"Friday, September 25, 2020",5:00 PM EST,3Y,$200
