name,ticker,date,time,size,price
adidas Yeezy Boost 380 Pepper Reflective,YB380-PPRRF,"Tuesday, July 6, 2021",11:16 AM EST,11,$204
adidas Yeezy Boost 380 Pepper Reflective,YB380-PPRRF,"Monday, July 5, 2021",8:47 PM EST,11.5,$210
adidas Yeezy Boost 380 Pepper Reflective,YB380-PPRRF,"Monday, July 5, 2021",3:18 PM EST,11,$210
adidas Yeezy Boost 380 Pepper Reflective,YB380-PPRRF,"Friday, July 2, 2021",3:30 AM EST,9.5,$223
adidas Yeezy Boost 380 Pepper Reflective,YB380-PPRRF,"Wednesday, June 30, 2021",11:13 AM EST,14.5,$180
adidas Yeezy Boost 380 Pepper Reflective,YB380-PPRRF,"Tuesday, June 29, 2021",11:45 AM EST,8,$233
adidas Yeezy Boost 380 Pepper Reflective,YB380-PPRRF,"Tuesday, June 29, 2021",6:16 AM EST,6.5,$430
adidas Yeezy Boost 380 Pepper Reflective,YB380-PPRRF,"Sunday, June 27, 2021",12:06 AM EST,8,$260
adidas Yeezy Boost 380 Pepper Reflective,YB380-PPRRF,"Sunday, June 27, 2021",8:08 AM EST,13,$296
adidas Yeezy Boost 380 Pepper Reflective,YB380-PPRRF,"Wednesday, June 23, 2021",1:57 PM EST,11,$318
adidas Yeezy Boost 380 Pepper Reflective,YB380-PPRRF,"Tuesday, June 22, 2021",6:15 AM EST,7,$334
adidas Yeezy Boost 380 Pepper Reflective,YB380-PPRRF,"Thursday, June 17, 2021",11:26 AM EST,7,$190
adidas Yeezy Boost 380 Pepper Reflective,YB380-PPRRF,"Thursday, June 17, 2021",10:54 AM EST,10,$226
adidas Yeezy Boost 380 Pepper Reflective,YB380-PPRRF,"Wednesday, June 16, 2021",4:20 PM EST,8.5,$260
adidas Yeezy Boost 380 Pepper Reflective,YB380-PPRRF,"Wednesday, June 16, 2021",2:53 PM EST,11.5,$274
adidas Yeezy Boost 380 Pepper Reflective,YB380-PPRRF,"Wednesday, June 16, 2021",11:55 AM EST,8.5,$225
adidas Yeezy Boost 380 Pepper Reflective,YB380-PPRRF,"Wednesday, June 16, 2021",11:15 AM EST,9,$230
adidas Yeezy Boost 380 Pepper Reflective,YB380-PPRRF,"Tuesday, June 15, 2021",1:50 PM EST,10,$221
adidas Yeezy Boost 380 Pepper Reflective,YB380-PPRRF,"Monday, June 14, 2021",12:46 PM EST,9.5,$260
adidas Yeezy Boost 380 Pepper Reflective,YB380-PPRRF,"Monday, June 14, 2021",4:30 AM EST,12,$250
adidas Yeezy Boost 380 Pepper Reflective,YB380-PPRRF,"Saturday, June 12, 2021",9:54 PM EST,14,$650
adidas Yeezy Boost 380 Pepper Reflective,YB380-PPRRF,"Thursday, June 10, 2021",12:21 PM EST,10,$225
adidas Yeezy Boost 380 Pepper Reflective,YB380-PPRRF,"Thursday, June 10, 2021",12:19 PM EST,9,$219
adidas Yeezy Boost 380 Pepper Reflective,YB380-PPRRF,"Thursday, June 10, 2021",12:18 PM EST,8.5,$226
adidas Yeezy Boost 380 Pepper Reflective,YB380-PPRRF,"Thursday, June 10, 2021",11:25 AM EST,7.5,$278
adidas Yeezy Boost 380 Pepper Reflective,YB380-PPRRF,"Wednesday, June 9, 2021",12:55 AM EST,6,$280
adidas Yeezy Boost 380 Pepper Reflective,YB380-PPRRF,"Wednesday, June 9, 2021",3:44 PM EST,10.5,$257
adidas Yeezy Boost 380 Pepper Reflective,YB380-PPRRF,"Tuesday, June 8, 2021",10:02 PM EST,11,$273
adidas Yeezy Boost 380 Pepper Reflective,YB380-PPRRF,"Tuesday, June 8, 2021",2:39 PM EST,9.5,$229
adidas Yeezy Boost 380 Pepper Reflective,YB380-PPRRF,"Sunday, June 6, 2021",11:42 AM EST,7.5,$295
adidas Yeezy Boost 380 Pepper Reflective,YB380-PPRRF,"Friday, June 4, 2021",10:47 AM EST,11,$210
adidas Yeezy Boost 380 Pepper Reflective,YB380-PPRRF,"Thursday, June 3, 2021",4:20 PM EST,10.5,$245
