name,ticker,date,time,size,price
adidas Yeezy Boost 380 Yecoraite Reflective,YB380-YCRTRF,"Tuesday, July 6, 2021",9:53 PM EST,12.5,$451
adidas Yeezy Boost 380 Yecoraite Reflective,YB380-YCRTRF,"Monday, July 5, 2021",4:43 AM EST,10.5,$265
adidas Yeezy Boost 380 Yecoraite Reflective,YB380-YCRTRF,"Saturday, July 3, 2021",9:01 PM EST,10.5,$255
adidas Yeezy Boost 380 Yecoraite Reflective,YB380-YCRTRF,"Saturday, July 3, 2021",10:40 AM EST,8.5,$353
adidas Yeezy Boost 380 Yecoraite Reflective,YB380-YCRTRF,"Saturday, July 3, 2021",4:40 AM EST,10,$240
adidas Yeezy Boost 380 Yecoraite Reflective,YB380-YCRTRF,"Saturday, July 3, 2021",4:39 AM EST,9.5,$250
adidas Yeezy Boost 380 Yecoraite Reflective,YB380-YCRTRF,"Saturday, July 3, 2021",1:43 AM EST,9,$285
adidas Yeezy Boost 380 Yecoraite Reflective,YB380-YCRTRF,"Friday, July 2, 2021",11:12 PM EST,10.5,$326
adidas Yeezy Boost 380 Yecoraite Reflective,YB380-YCRTRF,"Friday, July 2, 2021",7:37 PM EST,7,$297
adidas Yeezy Boost 380 Yecoraite Reflective,YB380-YCRTRF,"Wednesday, June 30, 2021",8:38 AM EST,11,$318
adidas Yeezy Boost 380 Yecoraite Reflective,YB380-YCRTRF,"Tuesday, June 29, 2021",10:42 PM EST,7,$334
adidas Yeezy Boost 380 Yecoraite Reflective,YB380-YCRTRF,"Tuesday, June 29, 2021",2:51 PM EST,9.5,$281
adidas Yeezy Boost 380 Yecoraite Reflective,YB380-YCRTRF,"Monday, June 28, 2021",9:05 PM EST,7.5,$320
adidas Yeezy Boost 380 Yecoraite Reflective,YB380-YCRTRF,"Monday, June 28, 2021",1:56 AM EST,8.5,$357
adidas Yeezy Boost 380 Yecoraite Reflective,YB380-YCRTRF,"Sunday, June 27, 2021",12:14 AM EST,10.5,$297
adidas Yeezy Boost 380 Yecoraite Reflective,YB380-YCRTRF,"Saturday, June 26, 2021",2:07 PM EST,9.5,$292
adidas Yeezy Boost 380 Yecoraite Reflective,YB380-YCRTRF,"Saturday, June 26, 2021",12:16 PM EST,7,$334
adidas Yeezy Boost 380 Yecoraite Reflective,YB380-YCRTRF,"Saturday, June 26, 2021",12:15 PM EST,10.5,$408
adidas Yeezy Boost 380 Yecoraite Reflective,YB380-YCRTRF,"Friday, June 25, 2021",11:16 AM EST,10,$265
adidas Yeezy Boost 380 Yecoraite Reflective,YB380-YCRTRF,"Thursday, June 24, 2021",10:05 PM EST,10.5,$284
adidas Yeezy Boost 380 Yecoraite Reflective,YB380-YCRTRF,"Tuesday, June 22, 2021",8:20 PM EST,7,$350
adidas Yeezy Boost 380 Yecoraite Reflective,YB380-YCRTRF,"Tuesday, June 22, 2021",5:32 AM EST,8.5,$270
adidas Yeezy Boost 380 Yecoraite Reflective,YB380-YCRTRF,"Wednesday, June 16, 2021",11:52 PM EST,9.5,$316
adidas Yeezy Boost 380 Yecoraite Reflective,YB380-YCRTRF,"Wednesday, June 16, 2021",9:44 PM EST,7.5,$324
adidas Yeezy Boost 380 Yecoraite Reflective,YB380-YCRTRF,"Wednesday, June 16, 2021",4:03 PM EST,9.5,$266
adidas Yeezy Boost 380 Yecoraite Reflective,YB380-YCRTRF,"Tuesday, June 15, 2021",8:24 PM EST,10.5,$300
adidas Yeezy Boost 380 Yecoraite Reflective,YB380-YCRTRF,"Tuesday, June 15, 2021",5:15 PM EST,9,$270
adidas Yeezy Boost 380 Yecoraite Reflective,YB380-YCRTRF,"Sunday, June 13, 2021",1:51 PM EST,9.5,$295
adidas Yeezy Boost 380 Yecoraite Reflective,YB380-YCRTRF,"Sunday, June 13, 2021",11:37 AM EST,7,$351
adidas Yeezy Boost 380 Yecoraite Reflective,YB380-YCRTRF,"Saturday, June 12, 2021",2:26 PM EST,10.5,$300
adidas Yeezy Boost 380 Yecoraite Reflective,YB380-YCRTRF,"Friday, June 11, 2021",10:25 AM EST,8.5,$301
adidas Yeezy Boost 380 Yecoraite Reflective,YB380-YCRTRF,"Thursday, June 10, 2021",6:46 AM EST,10.5,$299
adidas Yeezy Boost 380 Yecoraite Reflective,YB380-YCRTRF,"Wednesday, June 9, 2021",10:30 AM EST,7.5,$333
adidas Yeezy Boost 380 Yecoraite Reflective,YB380-YCRTRF,"Wednesday, June 9, 2021",3:00 AM EST,7.5,$377
adidas Yeezy Boost 380 Yecoraite Reflective,YB380-YCRTRF,"Monday, June 7, 2021",12:12 PM EST,9.5,$292
adidas Yeezy Boost 380 Yecoraite Reflective,YB380-YCRTRF,"Sunday, June 6, 2021",4:55 PM EST,10.5,$322
adidas Yeezy Boost 380 Yecoraite Reflective,YB380-YCRTRF,"Friday, June 4, 2021",1:15 PM EST,10.5,$320
