name,ticker,date,time,size,price
adidas Yeezy Boost 700 V2 Geode,YB700-GDE,"Monday, July 5, 2021",8:51 PM EST,5.5,$490
adidas Yeezy Boost 700 V2 Geode,YB700-GDE,"Monday, July 5, 2021",1:15 PM EST,7.5,$481
adidas Yeezy Boost 700 V2 Geode,YB700-GDE,"Monday, July 5, 2021",10:03 AM EST,12,$429
adidas Yeezy Boost 700 V2 Geode,YB700-GDE,"Monday, July 5, 2021",5:03 AM EST,10.5,$415
adidas Yeezy Boost 700 V2 Geode,YB700-GDE,"Sunday, July 4, 2021",3:23 PM EST,11.5,$587
adidas Yeezy Boost 700 V2 Geode,YB700-GDE,"Sunday, July 4, 2021",1:18 PM EST,8.5,$434
adidas Yeezy Boost 700 V2 Geode,YB700-GDE,"Saturday, July 3, 2021",6:40 PM EST,9.5,$358
adidas Yeezy Boost 700 V2 Geode,YB700-GDE,"Friday, July 2, 2021",9:23 PM EST,5.5,$539
adidas Yeezy Boost 700 V2 Geode,YB700-GDE,"Friday, July 2, 2021",9:02 AM EST,13,$329
adidas Yeezy Boost 700 V2 Geode,YB700-GDE,"Thursday, July 1, 2021",7:51 PM EST,11,$330
adidas Yeezy Boost 700 V2 Geode,YB700-GDE,"Thursday, July 1, 2021",5:56 PM EST,6.5,$481
adidas Yeezy Boost 700 V2 Geode,YB700-GDE,"Thursday, July 1, 2021",3:34 PM EST,11.5,$365
adidas Yeezy Boost 700 V2 Geode,YB700-GDE,"Thursday, July 1, 2021",11:27 AM EST,9,$380
adidas Yeezy Boost 700 V2 Geode,YB700-GDE,"Wednesday, June 30, 2021",10:12 PM EST,11.5,$385
adidas Yeezy Boost 700 V2 Geode,YB700-GDE,"Wednesday, June 30, 2021",11:57 AM EST,12,$312
adidas Yeezy Boost 700 V2 Geode,YB700-GDE,"Tuesday, June 29, 2021",3:07 AM EST,7.5,$481
adidas Yeezy Boost 700 V2 Geode,YB700-GDE,"Monday, June 28, 2021",10:41 AM EST,6.5,$486
adidas Yeezy Boost 700 V2 Geode,YB700-GDE,"Monday, June 28, 2021",3:39 AM EST,8,$397
adidas Yeezy Boost 700 V2 Geode,YB700-GDE,"Sunday, June 27, 2021",1:29 PM EST,12,$542
adidas Yeezy Boost 700 V2 Geode,YB700-GDE,"Sunday, June 27, 2021",7:39 AM EST,9.5,$400
adidas Yeezy Boost 700 V2 Geode,YB700-GDE,"Friday, June 25, 2021",11:14 PM EST,11,$340
adidas Yeezy Boost 700 V2 Geode,YB700-GDE,"Friday, June 25, 2021",1:19 PM EST,8,$456
adidas Yeezy Boost 700 V2 Geode,YB700-GDE,"Thursday, June 24, 2021",10:59 PM EST,9.5,$388
adidas Yeezy Boost 700 V2 Geode,YB700-GDE,"Thursday, June 24, 2021",6:01 PM EST,6.5,$489
adidas Yeezy Boost 700 V2 Geode,YB700-GDE,"Thursday, June 24, 2021",6:01 PM EST,4,$489
adidas Yeezy Boost 700 V2 Geode,YB700-GDE,"Wednesday, June 23, 2021",10:40 PM EST,9,$370
adidas Yeezy Boost 700 V2 Geode,YB700-GDE,"Wednesday, June 23, 2021",1:17 PM EST,4.5,$485
adidas Yeezy Boost 700 V2 Geode,YB700-GDE,"Wednesday, June 23, 2021",12:59 PM EST,7,$500
adidas Yeezy Boost 700 V2 Geode,YB700-GDE,"Wednesday, June 23, 2021",7:36 AM EST,11.5,$538
