name,ticker,date,time,size,price
adidas Yeezy Boost 700 Inertia,YB700-NRTA,"Tuesday, July 6, 2021",9:10 PM EST,9,$415
adidas Yeezy Boost 700 Inertia,YB700-NRTA,"Tuesday, July 6, 2021",5:18 PM EST,9.5,$458
adidas Yeezy Boost 700 Inertia,YB700-NRTA,"Tuesday, July 6, 2021",2:41 PM EST,6,$451
adidas Yeezy Boost 700 Inertia,YB700-NRTA,"Tuesday, July 6, 2021",2:03 PM EST,6.5,$635
adidas Yeezy Boost 700 Inertia,YB700-NRTA,"Tuesday, July 6, 2021",12:58 PM EST,8,$529
adidas Yeezy Boost 700 Inertia,YB700-NRTA,"Monday, July 5, 2021",9:28 PM EST,8.5,$495
adidas Yeezy Boost 700 Inertia,YB700-NRTA,"Monday, July 5, 2021",9:05 PM EST,7.5,$565
adidas Yeezy Boost 700 Inertia,YB700-NRTA,"Monday, July 5, 2021",8:29 PM EST,8,$458
adidas Yeezy Boost 700 Inertia,YB700-NRTA,"Monday, July 5, 2021",2:26 PM EST,11,$410
adidas Yeezy Boost 700 Inertia,YB700-NRTA,"Monday, July 5, 2021",9:45 AM EST,7.5,$604
adidas Yeezy Boost 700 Inertia,YB700-NRTA,"Saturday, July 3, 2021",12:24 PM EST,6.5,$630
adidas Yeezy Boost 700 Inertia,YB700-NRTA,"Friday, July 2, 2021",8:08 PM EST,11,$470
adidas Yeezy Boost 700 Inertia,YB700-NRTA,"Friday, July 2, 2021",2:20 PM EST,8,$529
adidas Yeezy Boost 700 Inertia,YB700-NRTA,"Friday, July 2, 2021",1:30 PM EST,8.5,$520
adidas Yeezy Boost 700 Inertia,YB700-NRTA,"Friday, July 2, 2021",6:28 AM EST,11,$476
adidas Yeezy Boost 700 Inertia,YB700-NRTA,"Thursday, July 1, 2021",7:59 PM EST,11,$411
adidas Yeezy Boost 700 Inertia,YB700-NRTA,"Thursday, July 1, 2021",6:45 PM EST,8,$530
adidas Yeezy Boost 700 Inertia,YB700-NRTA,"Thursday, July 1, 2021",1:38 PM EST,4.5,$699
adidas Yeezy Boost 700 Inertia,YB700-NRTA,"Thursday, July 1, 2021",12:57 PM EST,6,$538
adidas Yeezy Boost 700 Inertia,YB700-NRTA,"Thursday, July 1, 2021",10:27 AM EST,8.5,$475
adidas Yeezy Boost 700 Inertia,YB700-NRTA,"Thursday, July 1, 2021",8:48 AM EST,6.5,$628
adidas Yeezy Boost 700 Inertia,YB700-NRTA,"Wednesday, June 30, 2021",8:48 PM EST,8.5,$515
adidas Yeezy Boost 700 Inertia,YB700-NRTA,"Wednesday, June 30, 2021",8:34 PM EST,7.5,$548
adidas Yeezy Boost 700 Inertia,YB700-NRTA,"Wednesday, June 30, 2021",7:41 PM EST,10.5,$516
adidas Yeezy Boost 700 Inertia,YB700-NRTA,"Wednesday, June 30, 2021",11:16 AM EST,7.5,$547
adidas Yeezy Boost 700 Inertia,YB700-NRTA,"Wednesday, June 30, 2021",10:19 AM EST,9.5,$450
adidas Yeezy Boost 700 Inertia,YB700-NRTA,"Wednesday, June 30, 2021",4:20 AM EST,10,$400
adidas Yeezy Boost 700 Inertia,YB700-NRTA,"Tuesday, June 29, 2021",8:46 PM EST,10,$368
adidas Yeezy Boost 700 Inertia,YB700-NRTA,"Tuesday, June 29, 2021",8:45 PM EST,10,$400
adidas Yeezy Boost 700 Inertia,YB700-NRTA,"Tuesday, June 29, 2021",3:39 AM EST,9,$537
adidas Yeezy Boost 700 Inertia,YB700-NRTA,"Monday, June 28, 2021",12:21 AM EST,6,$600
