name,ticker,date,time,size,price
adidas Yeezy 500 High Slate,YZ500H-SLT,"Tuesday, July 6, 2021",9:02 PM EST,8.5,$192
adidas Yeezy 500 High Slate,YZ500H-SLT,"Tuesday, July 6, 2021",6:13 PM EST,5.5,$140
adidas Yeezy 500 High Slate,YZ500H-SLT,"Tuesday, July 6, 2021",3:45 PM EST,10.5,$270
adidas Yeezy 500 High Slate,YZ500H-SLT,"Monday, July 5, 2021",5:50 PM EST,12,$281
adidas Yeezy 500 High Slate,YZ500H-SLT,"Sunday, July 4, 2021",8:00 PM EST,10,$235
adidas Yeezy 500 High Slate,YZ500H-SLT,"Sunday, July 4, 2021",4:37 PM EST,10.5,$225
adidas Yeezy 500 High Slate,YZ500H-SLT,"Sunday, July 4, 2021",4:07 PM EST,7.5,$230
adidas Yeezy 500 High Slate,YZ500H-SLT,"Saturday, July 3, 2021",9:27 PM EST,9.5,$242
adidas Yeezy 500 High Slate,YZ500H-SLT,"Saturday, July 3, 2021",8:14 PM EST,10.5,$225
adidas Yeezy 500 High Slate,YZ500H-SLT,"Saturday, July 3, 2021",8:11 PM EST,10,$263
adidas Yeezy 500 High Slate,YZ500H-SLT,"Saturday, July 3, 2021",6:25 PM EST,10,$213
adidas Yeezy 500 High Slate,YZ500H-SLT,"Friday, July 2, 2021",8:49 AM EST,9,$181
adidas Yeezy 500 High Slate,YZ500H-SLT,"Friday, July 2, 2021",2:09 AM EST,11,$248
adidas Yeezy 500 High Slate,YZ500H-SLT,"Thursday, July 1, 2021",11:52 PM EST,6,$199
adidas Yeezy 500 High Slate,YZ500H-SLT,"Tuesday, June 29, 2021",10:33 PM EST,9,$181
adidas Yeezy 500 High Slate,YZ500H-SLT,"Tuesday, June 29, 2021",9:15 PM EST,5.5,$111
adidas Yeezy 500 High Slate,YZ500H-SLT,"Tuesday, June 29, 2021",8:12 PM EST,9,$196
adidas Yeezy 500 High Slate,YZ500H-SLT,"Tuesday, June 29, 2021",8:07 PM EST,14,$211
adidas Yeezy 500 High Slate,YZ500H-SLT,"Monday, June 28, 2021",3:33 PM EST,9,$195
adidas Yeezy 500 High Slate,YZ500H-SLT,"Monday, June 28, 2021",1:56 PM EST,6,$165
adidas Yeezy 500 High Slate,YZ500H-SLT,"Monday, June 28, 2021",1:06 PM EST,8.5,$218
adidas Yeezy 500 High Slate,YZ500H-SLT,"Sunday, June 27, 2021",2:43 AM EST,11,$278
adidas Yeezy 500 High Slate,YZ500H-SLT,"Friday, June 25, 2021",9:43 AM EST,8.5,$195
adidas Yeezy 500 High Slate,YZ500H-SLT,"Thursday, June 24, 2021",5:14 PM EST,10.5,$269
adidas Yeezy 500 High Slate,YZ500H-SLT,"Thursday, June 24, 2021",6:39 AM EST,7,$190
adidas Yeezy 500 High Slate,YZ500H-SLT,"Tuesday, June 22, 2021",10:30 PM EST,13,$338
adidas Yeezy 500 High Slate,YZ500H-SLT,"Tuesday, June 22, 2021",10:12 PM EST,11.5,$250
adidas Yeezy 500 High Slate,YZ500H-SLT,"Tuesday, June 22, 2021",4:08 PM EST,9,$195
adidas Yeezy 500 High Slate,YZ500H-SLT,"Monday, June 21, 2021",12:08 AM EST,14,$285
adidas Yeezy 500 High Slate,YZ500H-SLT,"Monday, June 21, 2021",5:09 PM EST,5.5,$140
adidas Yeezy 500 High Slate,YZ500H-SLT,"Monday, June 21, 2021",9:46 AM EST,8.5,$200
adidas Yeezy 500 High Slate,YZ500H-SLT,"Sunday, June 20, 2021",10:38 PM EST,9.5,$235
adidas Yeezy 500 High Slate,YZ500H-SLT,"Sunday, June 20, 2021",10:11 PM EST,10,$211
adidas Yeezy 500 High Slate,YZ500H-SLT,"Sunday, June 20, 2021",1:11 AM EST,12,$285
adidas Yeezy 500 High Slate,YZ500H-SLT,"Saturday, June 19, 2021",11:24 AM EST,9.5,$210
adidas Yeezy 500 High Slate,YZ500H-SLT,"Wednesday, June 16, 2021",1:38 PM EST,4.5,$149
adidas Yeezy 500 High Slate,YZ500H-SLT,"Tuesday, June 15, 2021",5:11 PM EST,8,$190
adidas Yeezy 500 High Slate,YZ500H-SLT,"Tuesday, June 15, 2021",12:20 PM EST,11,$246
adidas Yeezy 500 High Slate,YZ500H-SLT,"Tuesday, June 15, 2021",10:14 AM EST,6.5,$116
adidas Yeezy 500 High Slate,YZ500H-SLT,"Tuesday, June 15, 2021",3:10 AM EST,10.5,$260
adidas Yeezy 500 High Slate,YZ500H-SLT,"Monday, June 14, 2021",4:12 PM EST,8,$195
adidas Yeezy 500 High Slate,YZ500H-SLT,"Monday, June 14, 2021",2:12 PM EST,10,$250
adidas Yeezy 500 High Slate,YZ500H-SLT,"Monday, June 14, 2021",10:44 AM EST,9,$200
adidas Yeezy 500 High Slate,YZ500H-SLT,"Monday, June 14, 2021",10:13 AM EST,11,$265
adidas Yeezy 500 High Slate,YZ500H-SLT,"Sunday, June 13, 2021",8:26 PM EST,5.5,$160
adidas Yeezy 500 High Slate,YZ500H-SLT,"Sunday, June 13, 2021",1:17 PM EST,9.5,$196
adidas Yeezy 500 High Slate,YZ500H-SLT,"Sunday, June 13, 2021",1:06 PM EST,8,$200
adidas Yeezy 500 High Slate,YZ500H-SLT,"Saturday, June 12, 2021",10:40 PM EST,6,$155
adidas Yeezy 500 High Slate,YZ500H-SLT,"Saturday, June 12, 2021",7:59 PM EST,6,$195
adidas Yeezy 500 High Slate,YZ500H-SLT,"Saturday, June 12, 2021",7:50 PM EST,7,$247
adidas Yeezy 500 High Slate,YZ500H-SLT,"Saturday, June 12, 2021",1:27 PM EST,12,$276
adidas Yeezy 500 High Slate,YZ500H-SLT,"Saturday, June 12, 2021",11:36 AM EST,12.5,$241
adidas Yeezy 500 High Slate,YZ500H-SLT,"Friday, June 11, 2021",11:00 AM EST,9.5,$199
adidas Yeezy 500 High Slate,YZ500H-SLT,"Friday, June 11, 2021",9:48 AM EST,13.5,$275
adidas Yeezy 500 High Slate,YZ500H-SLT,"Thursday, June 10, 2021",12:39 AM EST,11,$277
adidas Yeezy 500 High Slate,YZ500H-SLT,"Thursday, June 10, 2021",12:16 PM EST,8,$190
adidas Yeezy 500 High Slate,YZ500H-SLT,"Thursday, June 10, 2021",5:08 AM EST,9,$196
adidas Yeezy 500 High Slate,YZ500H-SLT,"Wednesday, June 9, 2021",5:33 PM EST,9,$239
adidas Yeezy 500 High Slate,YZ500H-SLT,"Tuesday, June 8, 2021",8:23 AM EST,11,$284
adidas Yeezy 500 High Slate,YZ500H-SLT,"Monday, June 7, 2021",10:15 PM EST,10.5,$249
adidas Yeezy 500 High Slate,YZ500H-SLT,"Monday, June 7, 2021",6:38 PM EST,11,$240
adidas Yeezy 500 High Slate,YZ500H-SLT,"Monday, June 7, 2021",6:38 PM EST,11,$240
adidas Yeezy 500 High Slate,YZ500H-SLT,"Sunday, June 6, 2021",4:49 PM EST,10,$250
adidas Yeezy 500 High Slate,YZ500H-SLT,"Saturday, June 5, 2021",12:11 AM EST,9.5,$225
adidas Yeezy 500 High Slate,YZ500H-SLT,"Saturday, June 5, 2021",7:59 PM EST,9.5,$238
adidas Yeezy 500 High Slate,YZ500H-SLT,"Saturday, June 5, 2021",6:37 PM EST,11.5,$462
adidas Yeezy 500 High Slate,YZ500H-SLT,"Saturday, June 5, 2021",2:14 PM EST,11,$275
adidas Yeezy 500 High Slate,YZ500H-SLT,"Saturday, June 5, 2021",1:24 AM EST,10,$247
adidas Yeezy 500 High Slate,YZ500H-SLT,"Friday, June 4, 2021",6:30 PM EST,10,$245
adidas Yeezy 500 High Slate,YZ500H-SLT,"Friday, June 4, 2021",5:42 AM EST,9,$225
adidas Yeezy 500 High Slate,YZ500H-SLT,"Thursday, June 3, 2021",11:38 PM EST,10,$311
adidas Yeezy 500 High Slate,YZ500H-SLT,"Thursday, June 3, 2021",10:17 PM EST,9.5,$237
adidas Yeezy 500 High Slate,YZ500H-SLT,"Thursday, June 3, 2021",9:30 PM EST,10,$244
adidas Yeezy 500 High Slate,YZ500H-SLT,"Thursday, June 3, 2021",12:32 PM EST,9,$227
adidas Yeezy 500 High Slate,YZ500H-SLT,"Thursday, June 3, 2021",10:52 AM EST,8,$229
adidas Yeezy 500 High Slate,YZ500H-SLT,"Wednesday, June 2, 2021",12:55 AM EST,10,$230
adidas Yeezy 500 High Slate,YZ500H-SLT,"Wednesday, June 2, 2021",8:30 PM EST,9,$221
adidas Yeezy 500 High Slate,YZ500H-SLT,"Monday, May 31, 2021",5:01 PM EST,7.5,$215
adidas Yeezy 500 High Slate,YZ500H-SLT,"Sunday, May 30, 2021",12:03 PM EST,10.5,$230
adidas Yeezy 500 High Slate,YZ500H-SLT,"Saturday, May 29, 2021",4:51 PM EST,8.5,$212
adidas Yeezy 500 High Slate,YZ500H-SLT,"Saturday, May 29, 2021",4:49 PM EST,5,$163
adidas Yeezy 500 High Slate,YZ500H-SLT,"Saturday, May 29, 2021",4:30 PM EST,9.5,$226
adidas Yeezy 500 High Slate,YZ500H-SLT,"Saturday, May 29, 2021",4:03 PM EST,10,$275
