name,ticker,date,time,size,price
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),YZB350V2-ANTL,"Tuesday, July 6, 2021",5:07 PM EST,9.5,$336
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),YZB350V2-ANTL,"Tuesday, July 6, 2021",4:58 PM EST,10.5,$310
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),YZB350V2-ANTL,"Tuesday, July 6, 2021",2:15 PM EST,9.5,$324
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),YZB350V2-ANTL,"Monday, July 5, 2021",12:13 AM EST,12,$273
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),YZB350V2-ANTL,"Monday, July 5, 2021",8:44 AM EST,5.5,$430
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),YZB350V2-ANTL,"Monday, July 5, 2021",5:19 AM EST,9.5,$324
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),YZB350V2-ANTL,"Sunday, July 4, 2021",12:21 PM EST,14,$262
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),YZB350V2-ANTL,"Sunday, July 4, 2021",8:33 AM EST,14.5,$300
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),YZB350V2-ANTL,"Saturday, July 3, 2021",1:38 PM EST,13,$284
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),YZB350V2-ANTL,"Saturday, July 3, 2021",3:34 AM EST,5.5,$441
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),YZB350V2-ANTL,"Thursday, July 1, 2021",8:34 PM EST,10.5,$319
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),YZB350V2-ANTL,"Thursday, July 1, 2021",6:31 PM EST,7.5,$352
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),YZB350V2-ANTL,"Thursday, July 1, 2021",3:40 PM EST,10.5,$319
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),YZB350V2-ANTL,"Thursday, July 1, 2021",4:58 AM EST,4,$359
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),YZB350V2-ANTL,"Wednesday, June 30, 2021",11:11 AM EST,8.5,$312
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),YZB350V2-ANTL,"Tuesday, June 29, 2021",8:45 PM EST,11.5,$236
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),YZB350V2-ANTL,"Tuesday, June 29, 2021",6:49 PM EST,9.5,$350
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),YZB350V2-ANTL,"Tuesday, June 29, 2021",3:10 PM EST,8.5,$318
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),YZB350V2-ANTL,"Tuesday, June 29, 2021",12:02 PM EST,9,$300
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),YZB350V2-ANTL,"Monday, June 28, 2021",3:15 PM EST,11.5,$362
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),YZB350V2-ANTL,"Sunday, June 27, 2021",3:38 PM EST,10.5,$297
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),YZB350V2-ANTL,"Sunday, June 27, 2021",5:42 AM EST,12.5,$293
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),YZB350V2-ANTL,"Friday, June 25, 2021",7:56 AM EST,6.5,$512
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),YZB350V2-ANTL,"Friday, June 25, 2021",2:31 AM EST,8.5,$338
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),YZB350V2-ANTL,"Thursday, June 24, 2021",11:00 AM EST,11,$287
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),YZB350V2-ANTL,"Wednesday, June 23, 2021",11:26 PM EST,10,$310
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),YZB350V2-ANTL,"Wednesday, June 23, 2021",9:14 PM EST,8.5,$317
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),YZB350V2-ANTL,"Wednesday, June 23, 2021",6:47 PM EST,9,$329
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),YZB350V2-ANTL,"Wednesday, June 23, 2021",4:47 AM EST,11,$298
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),YZB350V2-ANTL,"Tuesday, June 22, 2021",1:51 AM EST,11.5,$299
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),YZB350V2-ANTL,"Monday, June 21, 2021",12:35 AM EST,9.5,$344
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),YZB350V2-ANTL,"Monday, June 21, 2021",4:19 PM EST,8.5,$318
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),YZB350V2-ANTL,"Monday, June 21, 2021",3:38 PM EST,10.5,$274
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),YZB350V2-ANTL,"Monday, June 21, 2021",12:39 PM EST,12.5,$300
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),YZB350V2-ANTL,"Monday, June 21, 2021",12:24 PM EST,9.5,$332
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),YZB350V2-ANTL,"Monday, June 21, 2021",11:23 AM EST,8.5,$332
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),YZB350V2-ANTL,"Monday, June 21, 2021",7:31 AM EST,9,$319
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),YZB350V2-ANTL,"Monday, June 21, 2021",6:02 AM EST,6,$417
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),YZB350V2-ANTL,"Sunday, June 20, 2021",11:38 PM EST,7,$397
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),YZB350V2-ANTL,"Sunday, June 20, 2021",3:20 PM EST,8.5,$311
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),YZB350V2-ANTL,"Sunday, June 20, 2021",1:38 PM EST,9,$304
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),YZB350V2-ANTL,"Sunday, June 20, 2021",11:19 AM EST,10.5,$270
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),YZB350V2-ANTL,"Sunday, June 20, 2021",10:11 AM EST,13.5,$295
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),YZB350V2-ANTL,"Sunday, June 20, 2021",4:45 AM EST,5.5,$436
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),YZB350V2-ANTL,"Sunday, June 20, 2021",3:54 AM EST,9,$329
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),YZB350V2-ANTL,"Saturday, June 19, 2021",7:34 PM EST,11,$305
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),YZB350V2-ANTL,"Saturday, June 19, 2021",1:29 PM EST,9,$328
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),YZB350V2-ANTL,"Saturday, June 19, 2021",1:00 PM EST,10,$329
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),YZB350V2-ANTL,"Saturday, June 19, 2021",7:44 AM EST,10,$315
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),YZB350V2-ANTL,"Saturday, June 19, 2021",4:15 AM EST,5,$389
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),YZB350V2-ANTL,"Saturday, June 19, 2021",3:27 AM EST,10.5,$296
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),YZB350V2-ANTL,"Friday, June 18, 2021",4:24 PM EST,8,$375
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),YZB350V2-ANTL,"Friday, June 18, 2021",1:57 PM EST,10,$309
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),YZB350V2-ANTL,"Friday, June 18, 2021",12:10 PM EST,8.5,$332
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),YZB350V2-ANTL,"Friday, June 18, 2021",11:51 AM EST,8.5,$327
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),YZB350V2-ANTL,"Thursday, June 17, 2021",1:43 PM EST,11.5,$299
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),YZB350V2-ANTL,"Thursday, June 17, 2021",4:33 AM EST,9,$329
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),YZB350V2-ANTL,"Thursday, June 17, 2021",4:31 AM EST,11,$333
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),YZB350V2-ANTL,"Wednesday, June 16, 2021",3:46 AM EST,10.5,$314
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),YZB350V2-ANTL,"Wednesday, June 16, 2021",3:39 AM EST,9.5,$346
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),YZB350V2-ANTL,"Tuesday, June 15, 2021",10:07 PM EST,8.5,$327
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),YZB350V2-ANTL,"Tuesday, June 15, 2021",5:14 PM EST,13,$248
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),YZB350V2-ANTL,"Tuesday, June 15, 2021",5:21 AM EST,8.5,$333
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),YZB350V2-ANTL,"Tuesday, June 15, 2021",4:56 AM EST,9.5,$338
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),YZB350V2-ANTL,"Monday, June 14, 2021",7:22 AM EST,9,$327
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),YZB350V2-ANTL,"Sunday, June 13, 2021",5:13 PM EST,8.5,$305
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),YZB350V2-ANTL,"Sunday, June 13, 2021",12:38 PM EST,13.5,$283
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),YZB350V2-ANTL,"Sunday, June 13, 2021",8:28 AM EST,7,$364
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),YZB350V2-ANTL,"Sunday, June 13, 2021",6:12 AM EST,9,$317
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),YZB350V2-ANTL,"Friday, June 11, 2021",6:08 PM EST,12,$251
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),YZB350V2-ANTL,"Thursday, June 10, 2021",11:37 AM EST,11.5,$292
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),YZB350V2-ANTL,"Thursday, June 10, 2021",9:01 AM EST,9,$303
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),YZB350V2-ANTL,"Wednesday, June 9, 2021",3:38 PM EST,13,$241
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),YZB350V2-ANTL,"Wednesday, June 9, 2021",5:10 AM EST,9.5,$347
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),YZB350V2-ANTL,"Wednesday, June 9, 2021",4:16 AM EST,8.5,$334
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),YZB350V2-ANTL,"Wednesday, June 9, 2021",3:55 AM EST,9,$323
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),YZB350V2-ANTL,"Tuesday, June 8, 2021",5:12 AM EST,9.5,$348
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),YZB350V2-ANTL,"Tuesday, June 8, 2021",4:36 AM EST,8.5,$334
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),YZB350V2-ANTL,"Monday, June 7, 2021",8:26 PM EST,8,$349
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),YZB350V2-ANTL,"Monday, June 7, 2021",6:09 PM EST,10.5,$275
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),YZB350V2-ANTL,"Monday, June 7, 2021",9:51 AM EST,9.5,$324
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),YZB350V2-ANTL,"Monday, June 7, 2021",6:34 AM EST,10,$329
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),YZB350V2-ANTL,"Sunday, June 6, 2021",7:25 PM EST,9.5,$339
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),YZB350V2-ANTL,"Sunday, June 6, 2021",8:02 AM EST,11,$281
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),YZB350V2-ANTL,"Sunday, June 6, 2021",8:00 AM EST,7,$361
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),YZB350V2-ANTL,"Sunday, June 6, 2021",7:56 AM EST,10.5,$285
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),YZB350V2-ANTL,"Saturday, June 5, 2021",9:38 AM EST,11.5,$281
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),YZB350V2-ANTL,"Friday, June 4, 2021",10:25 PM EST,9,$303
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),YZB350V2-ANTL,"Friday, June 4, 2021",9:40 PM EST,5,$439
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),YZB350V2-ANTL,"Friday, June 4, 2021",2:01 PM EST,9.5,$338
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),YZB350V2-ANTL,"Friday, June 4, 2021",5:18 AM EST,7.5,$387
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),YZB350V2-ANTL,"Thursday, June 3, 2021",6:30 AM EST,8.5,$302
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),YZB350V2-ANTL,"Tuesday, June 1, 2021",6:26 AM EST,5.5,$528
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),YZB350V2-ANTL,"Monday, May 31, 2021",10:11 AM EST,7.5,$377
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),YZB350V2-ANTL,"Monday, May 31, 2021",10:02 AM EST,8,$348
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),YZB350V2-ANTL,"Sunday, May 30, 2021",12:23 AM EST,8,$347
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),YZB350V2-ANTL,"Sunday, May 30, 2021",7:10 AM EST,13,$290
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),YZB350V2-ANTL,"Saturday, May 29, 2021",9:56 PM EST,11.5,$245
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),YZB350V2-ANTL,"Saturday, May 29, 2021",3:02 PM EST,9.5,$319
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),YZB350V2-ANTL,"Friday, May 28, 2021",7:12 AM EST,9,$327
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),YZB350V2-ANTL,"Wednesday, May 26, 2021",9:06 PM EST,11.5,$298
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),YZB350V2-ANTL,"Wednesday, May 26, 2021",11:16 AM EST,11,$281
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),YZB350V2-ANTL,"Tuesday, May 25, 2021",8:41 PM EST,9.5,$310
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),YZB350V2-ANTL,"Tuesday, May 25, 2021",10:43 AM EST,14,$284
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),YZB350V2-ANTL,"Monday, May 24, 2021",8:36 PM EST,8,$336
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),YZB350V2-ANTL,"Monday, May 24, 2021",8:27 PM EST,12.5,$263
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),YZB350V2-ANTL,"Monday, May 24, 2021",2:59 PM EST,8.5,$316
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),YZB350V2-ANTL,"Monday, May 24, 2021",8:34 AM EST,8.5,$301
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),YZB350V2-ANTL,"Sunday, May 23, 2021",2:35 PM EST,12,$312
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),YZB350V2-ANTL,"Saturday, May 22, 2021",3:23 PM EST,10.5,$300
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),YZB350V2-ANTL,"Saturday, May 22, 2021",1:50 PM EST,11.5,$293
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),YZB350V2-ANTL,"Saturday, May 22, 2021",1:06 PM EST,9,$304
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),YZB350V2-ANTL,"Saturday, May 22, 2021",9:29 AM EST,10.5,$268
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),YZB350V2-ANTL,"Friday, May 21, 2021",4:18 PM EST,11.5,$249
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),YZB350V2-ANTL,"Friday, May 21, 2021",2:32 PM EST,13,$288
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),YZB350V2-ANTL,"Friday, May 21, 2021",8:15 AM EST,9,$302
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),YZB350V2-ANTL,"Friday, May 21, 2021",5:22 AM EST,8.5,$327
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),YZB350V2-ANTL,"Wednesday, May 19, 2021",10:07 PM EST,9.5,$320
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),YZB350V2-ANTL,"Wednesday, May 19, 2021",10:02 PM EST,9,$320
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),YZB350V2-ANTL,"Wednesday, May 19, 2021",9:12 PM EST,9.5,$319
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),YZB350V2-ANTL,"Wednesday, May 19, 2021",3:31 PM EST,4,$400
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),YZB350V2-ANTL,"Wednesday, May 19, 2021",1:43 PM EST,14,$294
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),YZB350V2-ANTL,"Wednesday, May 19, 2021",5:17 AM EST,9.5,$323
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),YZB350V2-ANTL,"Wednesday, May 19, 2021",1:52 AM EST,14,$257
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),YZB350V2-ANTL,"Tuesday, May 18, 2021",7:01 PM EST,4,$399
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),YZB350V2-ANTL,"Tuesday, May 18, 2021",7:32 AM EST,11,$332
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),YZB350V2-ANTL,"Tuesday, May 18, 2021",5:42 AM EST,4,$395
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),YZB350V2-ANTL,"Monday, May 17, 2021",5:34 PM EST,12,$268
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),YZB350V2-ANTL,"Monday, May 17, 2021",4:02 PM EST,10,$359
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),YZB350V2-ANTL,"Monday, May 17, 2021",11:06 AM EST,9.5,$319
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),YZB350V2-ANTL,"Monday, May 17, 2021",6:24 AM EST,8.5,$293
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),YZB350V2-ANTL,"Sunday, May 16, 2021",3:21 PM EST,11,$311
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),YZB350V2-ANTL,"Saturday, May 15, 2021",10:50 PM EST,14,$250
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),YZB350V2-ANTL,"Saturday, May 15, 2021",1:16 PM EST,11,$327
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),YZB350V2-ANTL,"Saturday, May 15, 2021",3:22 AM EST,8,$304
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),YZB350V2-ANTL,"Friday, May 14, 2021",2:06 PM EST,11,$317
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),YZB350V2-ANTL,"Friday, May 14, 2021",12:41 PM EST,11,$307
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),YZB350V2-ANTL,"Friday, May 14, 2021",2:47 AM EST,7.5,$389
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),YZB350V2-ANTL,"Thursday, May 13, 2021",8:47 PM EST,7.5,$372
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),YZB350V2-ANTL,"Thursday, May 13, 2021",2:52 PM EST,7.5,$372
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),YZB350V2-ANTL,"Thursday, May 13, 2021",12:47 PM EST,12.5,$250
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),YZB350V2-ANTL,"Thursday, May 13, 2021",9:45 AM EST,8,$323
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),YZB350V2-ANTL,"Thursday, May 13, 2021",8:55 AM EST,6.5,$505
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),YZB350V2-ANTL,"Wednesday, May 12, 2021",10:53 AM EST,13,$267
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),YZB350V2-ANTL,"Tuesday, May 11, 2021",9:30 PM EST,4,$366
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),YZB350V2-ANTL,"Tuesday, May 11, 2021",9:02 PM EST,8.5,$288
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),YZB350V2-ANTL,"Tuesday, May 11, 2021",8:58 PM EST,8.5,$289
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),YZB350V2-ANTL,"Tuesday, May 11, 2021",8:47 PM EST,8.5,$293
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),YZB350V2-ANTL,"Tuesday, May 11, 2021",7:33 PM EST,9,$298
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),YZB350V2-ANTL,"Sunday, May 9, 2021",2:51 PM EST,10.5,$292
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),YZB350V2-ANTL,"Sunday, May 9, 2021",1:19 PM EST,8.5,$290
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),YZB350V2-ANTL,"Sunday, May 9, 2021",12:53 PM EST,12,$309
