name,ticker,date,time,size,price
adidas Yeezy Boost 350 V2 Antlia (Kids),YZB350V2-ANTPS,"Friday, June 25, 2021",5:05 PM EST,3,$433
adidas Yeezy Boost 350 V2 Antlia (Kids),YZB350V2-ANTPS,"Wednesday, June 23, 2021",5:50 AM EST,13K,$222
adidas Yeezy Boost 350 V2 Antlia (Kids),YZB350V2-ANTPS,"Tuesday, June 22, 2021",2:54 AM EST,10.5K,$225
adidas Yeezy Boost 350 V2 Antlia (Kids),YZB350V2-ANTPS,"Monday, June 14, 2021",4:06 PM EST,3,$380
adidas Yeezy Boost 350 V2 Antlia (Kids),YZB350V2-ANTPS,"Thursday, June 10, 2021",5:33 AM EST,3,$370
adidas Yeezy Boost 350 V2 Antlia (Kids),YZB350V2-ANTPS,"Monday, June 7, 2021",12:41 AM EST,3,$425
adidas Yeezy Boost 350 V2 Antlia (Kids),YZB350V2-ANTPS,"Sunday, June 6, 2021",8:20 AM EST,2.5,$395
adidas Yeezy Boost 350 V2 Antlia (Kids),YZB350V2-ANTPS,"Friday, June 4, 2021",12:35 PM EST,12K,$216
adidas Yeezy Boost 350 V2 Antlia (Kids),YZB350V2-ANTPS,"Tuesday, June 1, 2021",9:55 AM EST,2.5,$324
adidas Yeezy Boost 350 V2 Antlia (Kids),YZB350V2-ANTPS,"Monday, May 31, 2021",4:49 AM EST,3,$361
adidas Yeezy Boost 350 V2 Antlia (Kids),YZB350V2-ANTPS,"Tuesday, May 25, 2021",9:57 PM EST,3,$353
adidas Yeezy Boost 350 V2 Antlia (Kids),YZB350V2-ANTPS,"Wednesday, May 12, 2021",9:31 AM EST,3,$409
adidas Yeezy Boost 350 V2 Antlia (Kids),YZB350V2-ANTPS,"Monday, May 10, 2021",9:18 PM EST,1,$294
adidas Yeezy Boost 350 V2 Antlia (Kids),YZB350V2-ANTPS,"Thursday, May 6, 2021",8:33 AM EST,2.5,$338
adidas Yeezy Boost 350 V2 Antlia (Kids),YZB350V2-ANTPS,"Wednesday, May 5, 2021",3:44 PM EST,1.5,$297
adidas Yeezy Boost 350 V2 Antlia (Kids),YZB350V2-ANTPS,"Sunday, May 2, 2021",4:15 PM EST,2.5,$247
adidas Yeezy Boost 350 V2 Antlia (Kids),YZB350V2-ANTPS,"Friday, April 30, 2021",10:50 PM EST,2.5,$321
adidas Yeezy Boost 350 V2 Antlia (Kids),YZB350V2-ANTPS,"Tuesday, April 27, 2021",12:07 AM EST,12K,$288
adidas Yeezy Boost 350 V2 Antlia (Kids),YZB350V2-ANTPS,"Sunday, April 25, 2021",1:14 PM EST,2.5,$315
adidas Yeezy Boost 350 V2 Antlia (Kids),YZB350V2-ANTPS,"Thursday, April 22, 2021",12:10 AM EST,3,$344
adidas Yeezy Boost 350 V2 Antlia (Kids),YZB350V2-ANTPS,"Wednesday, April 21, 2021",12:44 PM EST,1,$283
adidas Yeezy Boost 350 V2 Antlia (Kids),YZB350V2-ANTPS,"Saturday, April 17, 2021",5:51 PM EST,1.5,$258
adidas Yeezy Boost 350 V2 Antlia (Kids),YZB350V2-ANTPS,"Friday, April 16, 2021",7:59 AM EST,10.5K,$278
adidas Yeezy Boost 350 V2 Antlia (Kids),YZB350V2-ANTPS,"Thursday, April 15, 2021",10:34 AM EST,3,$370
adidas Yeezy Boost 350 V2 Antlia (Kids),YZB350V2-ANTPS,"Tuesday, April 13, 2021",6:08 PM EST,3,$322
adidas Yeezy Boost 350 V2 Antlia (Kids),YZB350V2-ANTPS,"Tuesday, April 13, 2021",1:31 PM EST,2.5,$273
adidas Yeezy Boost 350 V2 Antlia (Kids),YZB350V2-ANTPS,"Saturday, April 10, 2021",6:33 AM EST,1,$230
adidas Yeezy Boost 350 V2 Antlia (Kids),YZB350V2-ANTPS,"Saturday, April 10, 2021",6:32 AM EST,1.5,$242
adidas Yeezy Boost 350 V2 Antlia (Kids),YZB350V2-ANTPS,"Friday, April 9, 2021",5:53 PM EST,2.5,$272
