name,ticker,date,time,size,price
adidas Yeezy Boost 350 V2 Antlia (Infant),YZB350V2-ANTTD,"Sunday, June 20, 2021",1:05 PM EST,8K,$248
adidas Yeezy Boost 350 V2 Antlia (Infant),YZB350V2-ANTTD,"Friday, June 18, 2021",4:42 PM EST,8K,$251
adidas Yeezy Boost 350 V2 Antlia (Infant),YZB350V2-ANTTD,"Wednesday, June 16, 2021",3:06 PM EST,6K,$116
adidas Yeezy Boost 350 V2 Antlia (Infant),YZB350V2-ANTTD,"Friday, May 28, 2021",3:16 AM EST,8.5K,$280
adidas Yeezy Boost 350 V2 Antlia (Infant),YZB350V2-ANTTD,"Monday, May 24, 2021",11:25 AM EST,9K,$309
adidas Yeezy Boost 350 V2 Antlia (Infant),YZB350V2-ANTTD,"Saturday, May 22, 2021",7:10 AM EST,7.5K,$249
adidas Yeezy Boost 350 V2 Antlia (Infant),YZB350V2-ANTTD,"Thursday, May 20, 2021",7:30 AM EST,8K,$254
adidas Yeezy Boost 350 V2 Antlia (Infant),YZB350V2-ANTTD,"Thursday, May 20, 2021",1:00 AM EST,8K,$254
adidas Yeezy Boost 350 V2 Antlia (Infant),YZB350V2-ANTTD,"Sunday, May 9, 2021",2:53 PM EST,6.5K,$227
adidas Yeezy Boost 350 V2 Antlia (Infant),YZB350V2-ANTTD,"Thursday, May 6, 2021",2:42 PM EST,10K,$111
adidas Yeezy Boost 350 V2 Antlia (Infant),YZB350V2-ANTTD,"Saturday, May 1, 2021",1:17 PM EST,6.5K,$180
adidas Yeezy Boost 350 V2 Antlia (Infant),YZB350V2-ANTTD,"Thursday, April 29, 2021",2:27 PM EST,9K,$126
adidas Yeezy Boost 350 V2 Antlia (Infant),YZB350V2-ANTTD,"Friday, April 23, 2021",8:31 PM EST,9K,$249
adidas Yeezy Boost 350 V2 Antlia (Infant),YZB350V2-ANTTD,"Thursday, April 22, 2021",3:13 AM EST,5K,$281
adidas Yeezy Boost 350 V2 Antlia (Infant),YZB350V2-ANTTD,"Wednesday, April 21, 2021",3:31 PM EST,4K,$126
adidas Yeezy Boost 350 V2 Antlia (Infant),YZB350V2-ANTTD,"Monday, April 19, 2021",7:31 PM EST,9K,$132
adidas Yeezy Boost 350 V2 Antlia (Infant),YZB350V2-ANTTD,"Saturday, April 17, 2021",2:16 PM EST,6K,$240
adidas Yeezy Boost 350 V2 Antlia (Infant),YZB350V2-ANTTD,"Wednesday, April 14, 2021",8:10 AM EST,6.5K,$240
adidas Yeezy Boost 350 V2 Antlia (Infant),YZB350V2-ANTTD,"Tuesday, April 13, 2021",7:19 PM EST,6K,$249
adidas Yeezy Boost 350 V2 Antlia (Infant),YZB350V2-ANTTD,"Tuesday, April 13, 2021",4:35 PM EST,6K,$248
adidas Yeezy Boost 350 V2 Antlia (Infant),YZB350V2-ANTTD,"Thursday, April 8, 2021",2:29 AM EST,4K,$286
adidas Yeezy Boost 350 V2 Antlia (Infant),YZB350V2-ANTTD,"Friday, April 2, 2021",11:21 AM EST,4K,$225
adidas Yeezy Boost 350 V2 Antlia (Infant),YZB350V2-ANTTD,"Tuesday, March 30, 2021",6:09 PM EST,8K,$150
adidas Yeezy Boost 350 V2 Antlia (Infant),YZB350V2-ANTTD,"Tuesday, March 30, 2021",3:46 PM EST,6.5K,$282
adidas Yeezy Boost 350 V2 Antlia (Infant),YZB350V2-ANTTD,"Monday, March 29, 2021",11:49 AM EST,6K,$230
adidas Yeezy Boost 350 V2 Antlia (Infant),YZB350V2-ANTTD,"Saturday, March 27, 2021",8:51 AM EST,7K,$241
adidas Yeezy Boost 350 V2 Antlia (Infant),YZB350V2-ANTTD,"Saturday, March 27, 2021",7:14 AM EST,10K,$240
adidas Yeezy Boost 350 V2 Antlia (Infant),YZB350V2-ANTTD,"Saturday, March 27, 2021",7:13 AM EST,9K,$223
adidas Yeezy Boost 350 V2 Antlia (Infant),YZB350V2-ANTTD,"Saturday, March 27, 2021",7:13 AM EST,9K,$200
adidas Yeezy Boost 350 V2 Antlia (Infant),YZB350V2-ANTTD,"Thursday, March 25, 2021",2:14 AM EST,6.5K,$206
adidas Yeezy Boost 350 V2 Antlia (Infant),YZB350V2-ANTTD,"Wednesday, March 24, 2021",9:14 AM EST,6K,$283
adidas Yeezy Boost 350 V2 Antlia (Infant),YZB350V2-ANTTD,"Sunday, March 21, 2021",10:58 AM EST,7K,$217
adidas Yeezy Boost 350 V2 Antlia (Infant),YZB350V2-ANTTD,"Friday, March 19, 2021",9:03 AM EST,6K,$229
adidas Yeezy Boost 350 V2 Antlia (Infant),YZB350V2-ANTTD,"Wednesday, March 17, 2021",1:11 AM EST,6K,$116
adidas Yeezy Boost 350 V2 Antlia (Infant),YZB350V2-ANTTD,"Tuesday, March 16, 2021",11:55 PM EST,9K,$212
adidas Yeezy Boost 350 V2 Antlia (Infant),YZB350V2-ANTTD,"Saturday, March 6, 2021",5:51 PM EST,6.5K,$208
adidas Yeezy Boost 350 V2 Antlia (Infant),YZB350V2-ANTTD,"Wednesday, February 24, 2021",8:06 PM EST,6.5K,$217
adidas Yeezy Boost 350 V2 Antlia (Infant),YZB350V2-ANTTD,"Friday, February 19, 2021",7:41 PM EST,5K,$211
adidas Yeezy Boost 350 V2 Antlia (Infant),YZB350V2-ANTTD,"Tuesday, February 16, 2021",11:26 AM EST,6.5K,$213
adidas Yeezy Boost 350 V2 Antlia (Infant),YZB350V2-ANTTD,"Monday, February 15, 2021",3:08 AM EST,7.5K,$300
adidas Yeezy Boost 350 V2 Antlia (Infant),YZB350V2-ANTTD,"Wednesday, February 3, 2021",10:24 AM EST,9K,$202
adidas Yeezy Boost 350 V2 Antlia (Infant),YZB350V2-ANTTD,"Tuesday, January 19, 2021",5:34 AM EST,6.5K,$259
adidas Yeezy Boost 350 V2 Antlia (Infant),YZB350V2-ANTTD,"Monday, January 18, 2021",3:33 PM EST,4K,$238
adidas Yeezy Boost 350 V2 Antlia (Infant),YZB350V2-ANTTD,"Friday, January 8, 2021",10:40 AM EST,9K,$208
adidas Yeezy Boost 350 V2 Antlia (Infant),YZB350V2-ANTTD,"Friday, January 8, 2021",8:59 AM EST,4K,$178
adidas Yeezy Boost 350 V2 Antlia (Infant),YZB350V2-ANTTD,"Friday, January 8, 2021",3:13 AM EST,8.5K,$300
adidas Yeezy Boost 350 V2 Antlia (Infant),YZB350V2-ANTTD,"Tuesday, December 29, 2020",3:17 PM EST,7.5K,$182
adidas Yeezy Boost 350 V2 Antlia (Infant),YZB350V2-ANTTD,"Wednesday, December 23, 2020",4:18 PM EST,7.5K,$185
adidas Yeezy Boost 350 V2 Antlia (Infant),YZB350V2-ANTTD,"Wednesday, December 23, 2020",4:18 PM EST,7.5K,$185
adidas Yeezy Boost 350 V2 Antlia (Infant),YZB350V2-ANTTD,"Tuesday, December 22, 2020",5:12 AM EST,6.5K,$212
adidas Yeezy Boost 350 V2 Antlia (Infant),YZB350V2-ANTTD,"Saturday, December 19, 2020",7:40 AM EST,9K,$208
adidas Yeezy Boost 350 V2 Antlia (Infant),YZB350V2-ANTTD,"Wednesday, December 16, 2020",5:51 AM EST,9K,$223
adidas Yeezy Boost 350 V2 Antlia (Infant),YZB350V2-ANTTD,"Tuesday, December 8, 2020",11:32 PM EST,7.5K,$256
adidas Yeezy Boost 350 V2 Antlia (Infant),YZB350V2-ANTTD,"Tuesday, December 8, 2020",11:31 PM EST,7.5K,$237
adidas Yeezy Boost 350 V2 Antlia (Infant),YZB350V2-ANTTD,"Sunday, December 6, 2020",9:25 AM EST,10K,$240
adidas Yeezy Boost 350 V2 Antlia (Infant),YZB350V2-ANTTD,"Thursday, December 3, 2020",1:08 PM EST,10K,$200
adidas Yeezy Boost 350 V2 Antlia (Infant),YZB350V2-ANTTD,"Thursday, December 3, 2020",1:07 PM EST,5K,$220
adidas Yeezy Boost 350 V2 Antlia (Infant),YZB350V2-ANTTD,"Thursday, December 3, 2020",7:08 AM EST,7.5K,$231
adidas Yeezy Boost 350 V2 Antlia (Infant),YZB350V2-ANTTD,"Thursday, November 26, 2020",3:50 PM EST,8.5K,$200
adidas Yeezy Boost 350 V2 Antlia (Infant),YZB350V2-ANTTD,"Wednesday, November 25, 2020",6:36 PM EST,4K,$155
adidas Yeezy Boost 350 V2 Antlia (Infant),YZB350V2-ANTTD,"Tuesday, November 24, 2020",4:15 PM EST,5K,$119
adidas Yeezy Boost 350 V2 Antlia (Infant),YZB350V2-ANTTD,"Thursday, November 19, 2020",2:03 PM EST,7.5K,$233
adidas Yeezy Boost 350 V2 Antlia (Infant),YZB350V2-ANTTD,"Wednesday, November 18, 2020",9:09 AM EST,5.5K,$235
adidas Yeezy Boost 350 V2 Antlia (Infant),YZB350V2-ANTTD,"Monday, November 16, 2020",3:52 AM EST,10K,$119
adidas Yeezy Boost 350 V2 Antlia (Infant),YZB350V2-ANTTD,"Thursday, November 12, 2020",4:50 PM EST,5K,$172
adidas Yeezy Boost 350 V2 Antlia (Infant),YZB350V2-ANTTD,"Sunday, November 8, 2020",10:53 AM EST,7.5K,$233
adidas Yeezy Boost 350 V2 Antlia (Infant),YZB350V2-ANTTD,"Saturday, October 17, 2020",1:34 AM EST,6K,$223
adidas Yeezy Boost 350 V2 Antlia (Infant),YZB350V2-ANTTD,"Friday, October 9, 2020",6:53 AM EST,6.5K,$197
adidas Yeezy Boost 350 V2 Antlia (Infant),YZB350V2-ANTTD,"Thursday, October 8, 2020",12:42 PM EST,9K,$212
adidas Yeezy Boost 350 V2 Antlia (Infant),YZB350V2-ANTTD,"Sunday, September 27, 2020",5:48 AM EST,9K,$222
adidas Yeezy Boost 350 V2 Antlia (Infant),YZB350V2-ANTTD,"Saturday, September 26, 2020",12:14 AM EST,7.5K,$224
adidas Yeezy Boost 350 V2 Antlia (Infant),YZB350V2-ANTTD,"Wednesday, September 16, 2020",4:25 PM EST,10K,$238
adidas Yeezy Boost 350 V2 Antlia (Infant),YZB350V2-ANTTD,"Wednesday, September 9, 2020",4:37 PM EST,4K,$189
adidas Yeezy Boost 350 V2 Antlia (Infant),YZB350V2-ANTTD,"Friday, September 4, 2020",2:12 PM EST,8K,$229
adidas Yeezy Boost 350 V2 Antlia (Infant),YZB350V2-ANTTD,"Thursday, September 3, 2020",10:27 AM EST,6K,$249
adidas Yeezy Boost 350 V2 Antlia (Infant),YZB350V2-ANTTD,"Sunday, August 30, 2020",2:47 PM EST,9K,$206
adidas Yeezy Boost 350 V2 Antlia (Infant),YZB350V2-ANTTD,"Thursday, August 27, 2020",8:29 AM EST,7.5K,$213
adidas Yeezy Boost 350 V2 Antlia (Infant),YZB350V2-ANTTD,"Saturday, August 22, 2020",11:21 AM EST,5K,$274
adidas Yeezy Boost 350 V2 Antlia (Infant),YZB350V2-ANTTD,"Friday, August 21, 2020",7:29 PM EST,6.5K,$214
