name,ticker,date,time,size,price
adidas Yeezy Boost 350 V2 Antlia (Reflective),YZB350V2-AR,"Monday, July 5, 2021",8:38 PM EST,13,$216
adidas Yeezy Boost 350 V2 Antlia (Reflective),YZB350V2-AR,"Sunday, July 4, 2021",12:31 PM EST,7,$485
adidas Yeezy Boost 350 V2 Antlia (Reflective),YZB350V2-AR,"Sunday, June 27, 2021",4:56 AM EST,5.5,$563
adidas Yeezy Boost 350 V2 Antlia (Reflective),YZB350V2-AR,"Thursday, June 24, 2021",5:34 PM EST,6.5,$521
adidas Yeezy Boost 350 V2 Antlia (Reflective),YZB350V2-AR,"Saturday, June 19, 2021",11:27 AM EST,9.5,$487
adidas Yeezy Boost 350 V2 Antlia (Reflective),YZB350V2-AR,"Tuesday, June 15, 2021",4:30 PM EST,11.5,$331
adidas Yeezy Boost 350 V2 Antlia (Reflective),YZB350V2-AR,"Tuesday, June 15, 2021",4:27 PM EST,11.5,$332
adidas Yeezy Boost 350 V2 Antlia (Reflective),YZB350V2-AR,"Sunday, June 13, 2021",1:13 PM EST,10,$523
adidas Yeezy Boost 350 V2 Antlia (Reflective),YZB350V2-AR,"Friday, June 11, 2021",10:06 PM EST,8,$574
adidas Yeezy Boost 350 V2 Antlia (Reflective),YZB350V2-AR,"Wednesday, June 9, 2021",2:50 AM EST,5.5,$680
adidas Yeezy Boost 350 V2 Antlia (Reflective),YZB350V2-AR,"Tuesday, June 8, 2021",5:26 AM EST,11.5,$361
adidas Yeezy Boost 350 V2 Antlia (Reflective),YZB350V2-AR,"Thursday, June 3, 2021",8:31 PM EST,11.5,$390
adidas Yeezy Boost 350 V2 Antlia (Reflective),YZB350V2-AR,"Tuesday, June 1, 2021",9:56 PM EST,9.5,$487
adidas Yeezy Boost 350 V2 Antlia (Reflective),YZB350V2-AR,"Sunday, May 30, 2021",10:30 AM EST,8.5,$483
adidas Yeezy Boost 350 V2 Antlia (Reflective),YZB350V2-AR,"Tuesday, May 25, 2021",12:40 PM EST,5.5,$607
adidas Yeezy Boost 350 V2 Antlia (Reflective),YZB350V2-AR,"Sunday, May 23, 2021",8:28 PM EST,8.5,$483
adidas Yeezy Boost 350 V2 Antlia (Reflective),YZB350V2-AR,"Saturday, May 22, 2021",6:33 AM EST,9,$486
adidas Yeezy Boost 350 V2 Antlia (Reflective),YZB350V2-AR,"Friday, May 21, 2021",3:14 AM EST,8.5,$489
adidas Yeezy Boost 350 V2 Antlia (Reflective),YZB350V2-AR,"Sunday, May 16, 2021",5:29 AM EST,5,$573
adidas Yeezy Boost 350 V2 Antlia (Reflective),YZB350V2-AR,"Sunday, May 16, 2021",4:29 AM EST,11,$452
adidas Yeezy Boost 350 V2 Antlia (Reflective),YZB350V2-AR,"Wednesday, May 12, 2021",5:51 AM EST,9,$484
adidas Yeezy Boost 350 V2 Antlia (Reflective),YZB350V2-AR,"Friday, May 7, 2021",4:39 PM EST,9.5,$483
adidas Yeezy Boost 350 V2 Antlia (Reflective),YZB350V2-AR,"Tuesday, May 4, 2021",3:24 PM EST,8.5,$582
adidas Yeezy Boost 350 V2 Antlia (Reflective),YZB350V2-AR,"Tuesday, May 4, 2021",7:09 AM EST,11,$518
adidas Yeezy Boost 350 V2 Antlia (Reflective),YZB350V2-AR,"Monday, May 3, 2021",10:54 PM EST,8.5,$475
adidas Yeezy Boost 350 V2 Antlia (Reflective),YZB350V2-AR,"Sunday, May 2, 2021",5:20 AM EST,6,$471
adidas Yeezy Boost 350 V2 Antlia (Reflective),YZB350V2-AR,"Thursday, April 29, 2021",8:35 AM EST,8.5,$482
