name,ticker,date,time,size,price
adidas Yeezy Boost 350 V2 Carbon,YZB350V2-CBN,"Tuesday, July 6, 2021",5:12 PM EST,8,$288
adidas Yeezy Boost 350 V2 Carbon,YZB350V2-CBN,"Tuesday, July 6, 2021",5:09 PM EST,9,$262
adidas Yeezy Boost 350 V2 Carbon,YZB350V2-CBN,"Tuesday, July 6, 2021",4:52 PM EST,9.5,$260
adidas Yeezy Boost 350 V2 Carbon,YZB350V2-CBN,"Tuesday, July 6, 2021",4:33 PM EST,10.5,$279
adidas Yeezy Boost 350 V2 Carbon,YZB350V2-CBN,"Tuesday, July 6, 2021",4:33 PM EST,6,$265
adidas Yeezy Boost 350 V2 Carbon,YZB350V2-CBN,"Tuesday, July 6, 2021",4:32 PM EST,10,$250
adidas Yeezy Boost 350 V2 Carbon,YZB350V2-CBN,"Tuesday, July 6, 2021",4:32 PM EST,10,$260
adidas Yeezy Boost 350 V2 Carbon,YZB350V2-CBN,"Tuesday, July 6, 2021",4:32 PM EST,10,$250
adidas Yeezy Boost 350 V2 Carbon,YZB350V2-CBN,"Tuesday, July 6, 2021",4:22 PM EST,6,$277
adidas Yeezy Boost 350 V2 Carbon,YZB350V2-CBN,"Tuesday, July 6, 2021",4:06 PM EST,16,$341
adidas Yeezy Boost 350 V2 Carbon,YZB350V2-CBN,"Tuesday, July 6, 2021",3:47 PM EST,12.5,$330
adidas Yeezy Boost 350 V2 Carbon,YZB350V2-CBN,"Tuesday, July 6, 2021",3:20 PM EST,13,$299
adidas Yeezy Boost 350 V2 Carbon,YZB350V2-CBN,"Tuesday, July 6, 2021",3:20 PM EST,6,$280
adidas Yeezy Boost 350 V2 Carbon,YZB350V2-CBN,"Tuesday, July 6, 2021",2:25 PM EST,9,$264
adidas Yeezy Boost 350 V2 Carbon,YZB350V2-CBN,"Tuesday, July 6, 2021",2:20 PM EST,10.5,$265
adidas Yeezy Boost 350 V2 Carbon,YZB350V2-CBN,"Tuesday, July 6, 2021",2:20 PM EST,10.5,$263
adidas Yeezy Boost 350 V2 Carbon,YZB350V2-CBN,"Tuesday, July 6, 2021",2:19 PM EST,9,$291
adidas Yeezy Boost 350 V2 Carbon,YZB350V2-CBN,"Tuesday, July 6, 2021",2:11 PM EST,8,$288
adidas Yeezy Boost 350 V2 Carbon,YZB350V2-CBN,"Tuesday, July 6, 2021",2:08 PM EST,10,$265
adidas Yeezy Boost 350 V2 Carbon,YZB350V2-CBN,"Tuesday, July 6, 2021",2:00 PM EST,9,$312
adidas Yeezy Boost 350 V2 Carbon,YZB350V2-CBN,"Tuesday, July 6, 2021",2:00 PM EST,8.5,$320
adidas Yeezy Boost 350 V2 Carbon,YZB350V2-CBN,"Tuesday, July 6, 2021",1:45 PM EST,12,$275
adidas Yeezy Boost 350 V2 Carbon,YZB350V2-CBN,"Tuesday, July 6, 2021",1:39 PM EST,12,$275
adidas Yeezy Boost 350 V2 Carbon,YZB350V2-CBN,"Tuesday, July 6, 2021",1:34 PM EST,7,$292
adidas Yeezy Boost 350 V2 Carbon,YZB350V2-CBN,"Tuesday, July 6, 2021",1:33 PM EST,9.5,$281
adidas Yeezy Boost 350 V2 Carbon,YZB350V2-CBN,"Tuesday, July 6, 2021",1:32 PM EST,13,$340
adidas Yeezy Boost 350 V2 Carbon,YZB350V2-CBN,"Tuesday, July 6, 2021",1:26 PM EST,8.5,$277
adidas Yeezy Boost 350 V2 Carbon,YZB350V2-CBN,"Tuesday, July 6, 2021",1:16 PM EST,11,$280
