name,ticker,date,time,size,price
adidas Yeezy Boost 350 V2 Carbon (Infants),YZB350V2-CBNI,"Friday, July 2, 2021",9:19 PM EST,7K,$375
adidas Yeezy Boost 350 V2 Carbon (Infants),YZB350V2-CBNI,"Tuesday, June 29, 2021",2:50 PM EST,10K,$245
adidas Yeezy Boost 350 V2 Carbon (Infants),YZB350V2-CBNI,"Monday, June 28, 2021",3:51 AM EST,10K,$225
adidas Yeezy Boost 350 V2 Carbon (Infants),YZB350V2-CBNI,"Sunday, June 27, 2021",12:47 PM EST,6.5K,$206
adidas Yeezy Boost 350 V2 Carbon (Infants),YZB350V2-CBNI,"Wednesday, June 23, 2021",2:21 PM EST,5K,$238
adidas Yeezy Boost 350 V2 Carbon (Infants),YZB350V2-CBNI,"Wednesday, June 23, 2021",2:06 AM EST,4K,$239
adidas Yeezy Boost 350 V2 Carbon (Infants),YZB350V2-CBNI,"Tuesday, June 22, 2021",6:21 AM EST,10K,$220
adidas Yeezy Boost 350 V2 Carbon (Infants),YZB350V2-CBNI,"Monday, June 21, 2021",6:42 PM EST,7K,$441
adidas Yeezy Boost 350 V2 Carbon (Infants),YZB350V2-CBNI,"Friday, June 18, 2021",6:04 PM EST,6K,$290
adidas Yeezy Boost 350 V2 Carbon (Infants),YZB350V2-CBNI,"Thursday, June 17, 2021",2:27 PM EST,4K,$287
adidas Yeezy Boost 350 V2 Carbon (Infants),YZB350V2-CBNI,"Monday, June 14, 2021",12:27 AM EST,6K,$235
adidas Yeezy Boost 350 V2 Carbon (Infants),YZB350V2-CBNI,"Thursday, June 10, 2021",11:54 PM EST,10K,$256
adidas Yeezy Boost 350 V2 Carbon (Infants),YZB350V2-CBNI,"Wednesday, June 9, 2021",2:08 PM EST,9.5K,$287
adidas Yeezy Boost 350 V2 Carbon (Infants),YZB350V2-CBNI,"Wednesday, May 26, 2021",7:59 PM EST,7K,$350
adidas Yeezy Boost 350 V2 Carbon (Infants),YZB350V2-CBNI,"Friday, May 21, 2021",7:33 AM EST,10K,$250
adidas Yeezy Boost 350 V2 Carbon (Infants),YZB350V2-CBNI,"Wednesday, May 19, 2021",11:09 AM EST,4K,$251
adidas Yeezy Boost 350 V2 Carbon (Infants),YZB350V2-CBNI,"Sunday, May 16, 2021",8:54 AM EST,9K,$276
adidas Yeezy Boost 350 V2 Carbon (Infants),YZB350V2-CBNI,"Tuesday, May 11, 2021",11:45 AM EST,10K,$285
adidas Yeezy Boost 350 V2 Carbon (Infants),YZB350V2-CBNI,"Thursday, May 6, 2021",3:21 PM EST,8K,$245
adidas Yeezy Boost 350 V2 Carbon (Infants),YZB350V2-CBNI,"Thursday, May 6, 2021",2:53 PM EST,4K,$241
adidas Yeezy Boost 350 V2 Carbon (Infants),YZB350V2-CBNI,"Wednesday, May 5, 2021",8:15 PM EST,7.5K,$268
adidas Yeezy Boost 350 V2 Carbon (Infants),YZB350V2-CBNI,"Wednesday, May 5, 2021",5:47 PM EST,10K,$200
adidas Yeezy Boost 350 V2 Carbon (Infants),YZB350V2-CBNI,"Wednesday, May 5, 2021",3:40 PM EST,10K,$240
adidas Yeezy Boost 350 V2 Carbon (Infants),YZB350V2-CBNI,"Monday, May 3, 2021",2:19 PM EST,9.5K,$262
adidas Yeezy Boost 350 V2 Carbon (Infants),YZB350V2-CBNI,"Thursday, April 29, 2021",3:20 PM EST,8K,$225
adidas Yeezy Boost 350 V2 Carbon (Infants),YZB350V2-CBNI,"Tuesday, April 27, 2021",6:30 PM EST,7K,$250
adidas Yeezy Boost 350 V2 Carbon (Infants),YZB350V2-CBNI,"Sunday, April 25, 2021",7:53 PM EST,5K,$249
adidas Yeezy Boost 350 V2 Carbon (Infants),YZB350V2-CBNI,"Thursday, April 22, 2021",2:23 PM EST,6.5K,$178
adidas Yeezy Boost 350 V2 Carbon (Infants),YZB350V2-CBNI,"Wednesday, April 21, 2021",7:54 PM EST,7K,$215
adidas Yeezy Boost 350 V2 Carbon (Infants),YZB350V2-CBNI,"Sunday, April 18, 2021",3:50 AM EST,10K,$259
adidas Yeezy Boost 350 V2 Carbon (Infants),YZB350V2-CBNI,"Saturday, April 17, 2021",2:59 AM EST,7K,$249
adidas Yeezy Boost 350 V2 Carbon (Infants),YZB350V2-CBNI,"Wednesday, April 14, 2021",2:03 PM EST,9K,$245
adidas Yeezy Boost 350 V2 Carbon (Infants),YZB350V2-CBNI,"Monday, April 12, 2021",10:40 PM EST,8.5K,$246
adidas Yeezy Boost 350 V2 Carbon (Infants),YZB350V2-CBNI,"Monday, April 12, 2021",11:19 AM EST,7K,$293
adidas Yeezy Boost 350 V2 Carbon (Infants),YZB350V2-CBNI,"Sunday, April 11, 2021",9:27 PM EST,10K,$255
adidas Yeezy Boost 350 V2 Carbon (Infants),YZB350V2-CBNI,"Sunday, April 11, 2021",8:14 PM EST,8K,$249
adidas Yeezy Boost 350 V2 Carbon (Infants),YZB350V2-CBNI,"Thursday, April 8, 2021",2:27 PM EST,8.5K,$240
adidas Yeezy Boost 350 V2 Carbon (Infants),YZB350V2-CBNI,"Tuesday, April 6, 2021",2:18 AM EST,10K,$247
adidas Yeezy Boost 350 V2 Carbon (Infants),YZB350V2-CBNI,"Monday, April 5, 2021",12:05 PM EST,9K,$259
adidas Yeezy Boost 350 V2 Carbon (Infants),YZB350V2-CBNI,"Sunday, April 4, 2021",9:12 PM EST,7K,$248
