name,ticker,date,time,size,price
adidas Yeezy Boost 350 V2 Carbon (Kids),YZB350V2-CBNK,"Tuesday, July 6, 2021",5:48 AM EST,11K,$300
adidas Yeezy Boost 350 V2 Carbon (Kids),YZB350V2-CBNK,"Sunday, July 4, 2021",12:53 PM EST,11K,$297
adidas Yeezy Boost 350 V2 Carbon (Kids),YZB350V2-CBNK,"Tuesday, June 29, 2021",5:04 AM EST,3Y,$412
adidas Yeezy Boost 350 V2 Carbon (Kids),YZB350V2-CBNK,"Monday, June 28, 2021",4:42 PM EST,3Y,$412
adidas Yeezy Boost 350 V2 Carbon (Kids),YZB350V2-CBNK,"Monday, June 28, 2021",9:37 AM EST,1Y,$344
adidas Yeezy Boost 350 V2 Carbon (Kids),YZB350V2-CBNK,"Sunday, June 27, 2021",4:32 AM EST,3Y,$411
adidas Yeezy Boost 350 V2 Carbon (Kids),YZB350V2-CBNK,"Saturday, June 26, 2021",8:59 PM EST,2.5Y,$400
adidas Yeezy Boost 350 V2 Carbon (Kids),YZB350V2-CBNK,"Friday, June 25, 2021",8:07 AM EST,1Y,$290
adidas Yeezy Boost 350 V2 Carbon (Kids),YZB350V2-CBNK,"Friday, June 25, 2021",3:30 AM EST,3Y,$410
adidas Yeezy Boost 350 V2 Carbon (Kids),YZB350V2-CBNK,"Thursday, June 24, 2021",11:15 AM EST,1Y,$340
adidas Yeezy Boost 350 V2 Carbon (Kids),YZB350V2-CBNK,"Tuesday, June 22, 2021",11:27 PM EST,3.5Y,$448
adidas Yeezy Boost 350 V2 Carbon (Kids),YZB350V2-CBNK,"Sunday, June 20, 2021",12:47 PM EST,11K,$305
adidas Yeezy Boost 350 V2 Carbon (Kids),YZB350V2-CBNK,"Friday, June 18, 2021",3:47 PM EST,11K,$310
adidas Yeezy Boost 350 V2 Carbon (Kids),YZB350V2-CBNK,"Friday, June 18, 2021",10:40 AM EST,1Y,$344
adidas Yeezy Boost 350 V2 Carbon (Kids),YZB350V2-CBNK,"Friday, June 18, 2021",6:36 AM EST,3Y,$411
adidas Yeezy Boost 350 V2 Carbon (Kids),YZB350V2-CBNK,"Thursday, June 17, 2021",11:59 AM EST,2Y,$369
adidas Yeezy Boost 350 V2 Carbon (Kids),YZB350V2-CBNK,"Wednesday, June 16, 2021",4:01 PM EST,11K,$300
adidas Yeezy Boost 350 V2 Carbon (Kids),YZB350V2-CBNK,"Wednesday, June 16, 2021",9:13 AM EST,3.5Y,$420
adidas Yeezy Boost 350 V2 Carbon (Kids),YZB350V2-CBNK,"Tuesday, June 15, 2021",1:38 PM EST,12K,$399
adidas Yeezy Boost 350 V2 Carbon (Kids),YZB350V2-CBNK,"Monday, June 14, 2021",8:31 PM EST,3Y,$434
adidas Yeezy Boost 350 V2 Carbon (Kids),YZB350V2-CBNK,"Monday, June 14, 2021",8:30 PM EST,3Y,$430
adidas Yeezy Boost 350 V2 Carbon (Kids),YZB350V2-CBNK,"Monday, June 14, 2021",7:25 PM EST,2.5Y,$405
adidas Yeezy Boost 350 V2 Carbon (Kids),YZB350V2-CBNK,"Saturday, June 5, 2021",2:04 PM EST,12.5K,$370
adidas Yeezy Boost 350 V2 Carbon (Kids),YZB350V2-CBNK,"Wednesday, June 2, 2021",11:07 AM EST,3Y,$405
adidas Yeezy Boost 350 V2 Carbon (Kids),YZB350V2-CBNK,"Tuesday, June 1, 2021",4:13 AM EST,2.5Y,$375
adidas Yeezy Boost 350 V2 Carbon (Kids),YZB350V2-CBNK,"Monday, May 31, 2021",8:52 AM EST,12K,$330
adidas Yeezy Boost 350 V2 Carbon (Kids),YZB350V2-CBNK,"Sunday, May 30, 2021",6:54 PM EST,3Y,$376
adidas Yeezy Boost 350 V2 Carbon (Kids),YZB350V2-CBNK,"Wednesday, May 12, 2021",7:06 PM EST,11K,$349
adidas Yeezy Boost 350 V2 Carbon (Kids),YZB350V2-CBNK,"Sunday, May 9, 2021",8:01 PM EST,1.5Y,$379
adidas Yeezy Boost 350 V2 Carbon (Kids),YZB350V2-CBNK,"Thursday, May 6, 2021",3:52 PM EST,2Y,$361
adidas Yeezy Boost 350 V2 Carbon (Kids),YZB350V2-CBNK,"Thursday, May 6, 2021",6:47 AM EST,1.5Y,$361
adidas Yeezy Boost 350 V2 Carbon (Kids),YZB350V2-CBNK,"Wednesday, May 5, 2021",9:32 PM EST,3Y,$375
adidas Yeezy Boost 350 V2 Carbon (Kids),YZB350V2-CBNK,"Tuesday, May 4, 2021",11:15 AM EST,3Y,$376
adidas Yeezy Boost 350 V2 Carbon (Kids),YZB350V2-CBNK,"Monday, May 3, 2021",8:08 PM EST,3Y,$300
adidas Yeezy Boost 350 V2 Carbon (Kids),YZB350V2-CBNK,"Sunday, May 2, 2021",10:19 AM EST,3.5Y,$398
adidas Yeezy Boost 350 V2 Carbon (Kids),YZB350V2-CBNK,"Friday, April 30, 2021",12:11 PM EST,11K,$320
adidas Yeezy Boost 350 V2 Carbon (Kids),YZB350V2-CBNK,"Thursday, April 29, 2021",2:01 PM EST,11K,$200
adidas Yeezy Boost 350 V2 Carbon (Kids),YZB350V2-CBNK,"Wednesday, April 28, 2021",9:48 PM EST,3Y,$350
adidas Yeezy Boost 350 V2 Carbon (Kids),YZB350V2-CBNK,"Tuesday, April 27, 2021",3:20 PM EST,1.5Y,$210
adidas Yeezy Boost 350 V2 Carbon (Kids),YZB350V2-CBNK,"Tuesday, April 27, 2021",8:28 AM EST,2Y,$372
adidas Yeezy Boost 350 V2 Carbon (Kids),YZB350V2-CBNK,"Tuesday, April 27, 2021",8:26 AM EST,13K,$356
adidas Yeezy Boost 350 V2 Carbon (Kids),YZB350V2-CBNK,"Sunday, April 25, 2021",5:03 PM EST,2Y,$338
adidas Yeezy Boost 350 V2 Carbon (Kids),YZB350V2-CBNK,"Sunday, April 25, 2021",4:00 PM EST,12.5K,$397
adidas Yeezy Boost 350 V2 Carbon (Kids),YZB350V2-CBNK,"Friday, April 23, 2021",10:57 PM EST,3Y,$371
adidas Yeezy Boost 350 V2 Carbon (Kids),YZB350V2-CBNK,"Wednesday, April 21, 2021",9:35 PM EST,13K,$350
adidas Yeezy Boost 350 V2 Carbon (Kids),YZB350V2-CBNK,"Wednesday, April 21, 2021",12:14 PM EST,3Y,$350
adidas Yeezy Boost 350 V2 Carbon (Kids),YZB350V2-CBNK,"Tuesday, April 20, 2021",8:24 AM EST,3Y,$350
adidas Yeezy Boost 350 V2 Carbon (Kids),YZB350V2-CBNK,"Sunday, April 18, 2021",6:35 PM EST,12.5K,$400
