name,ticker,date,time,size,price
adidas Yeezy Boost 350 V2 Clay,YZB350V2-CLY,"Tuesday, July 6, 2021",9:46 PM EST,9.5,$435
adidas Yeezy Boost 350 V2 Clay,YZB350V2-CLY,"Tuesday, July 6, 2021",6:55 PM EST,11,$423
adidas Yeezy Boost 350 V2 Clay,YZB350V2-CLY,"Tuesday, July 6, 2021",5:41 PM EST,14,$265
adidas Yeezy Boost 350 V2 Clay,YZB350V2-CLY,"Tuesday, July 6, 2021",10:30 AM EST,6.5,$702
adidas Yeezy Boost 350 V2 Clay,YZB350V2-CLY,"Tuesday, July 6, 2021",4:17 AM EST,6.5,$755
adidas Yeezy Boost 350 V2 Clay,YZB350V2-CLY,"Monday, July 5, 2021",11:02 PM EST,10.5,$420
adidas Yeezy Boost 350 V2 Clay,YZB350V2-CLY,"Monday, July 5, 2021",11:00 PM EST,5,$675
adidas Yeezy Boost 350 V2 Clay,YZB350V2-CLY,"Sunday, July 4, 2021",12:42 AM EST,9,$449
adidas Yeezy Boost 350 V2 Clay,YZB350V2-CLY,"Sunday, July 4, 2021",9:50 PM EST,5.5,$799
adidas Yeezy Boost 350 V2 Clay,YZB350V2-CLY,"Saturday, July 3, 2021",6:27 PM EST,10.5,$421
adidas Yeezy Boost 350 V2 Clay,YZB350V2-CLY,"Saturday, July 3, 2021",6:14 AM EST,14,$305
adidas Yeezy Boost 350 V2 Clay,YZB350V2-CLY,"Friday, July 2, 2021",9:00 PM EST,7.5,$675
adidas Yeezy Boost 350 V2 Clay,YZB350V2-CLY,"Friday, July 2, 2021",11:21 AM EST,11,$420
adidas Yeezy Boost 350 V2 Clay,YZB350V2-CLY,"Friday, July 2, 2021",7:59 AM EST,9,$420
adidas Yeezy Boost 350 V2 Clay,YZB350V2-CLY,"Friday, July 2, 2021",3:49 AM EST,8,$908
adidas Yeezy Boost 350 V2 Clay,YZB350V2-CLY,"Friday, July 2, 2021",3:02 AM EST,12,$410
adidas Yeezy Boost 350 V2 Clay,YZB350V2-CLY,"Thursday, July 1, 2021",9:47 PM EST,12,$415
adidas Yeezy Boost 350 V2 Clay,YZB350V2-CLY,"Thursday, July 1, 2021",7:01 PM EST,8.5,$483
adidas Yeezy Boost 350 V2 Clay,YZB350V2-CLY,"Thursday, July 1, 2021",4:36 PM EST,8,$610
adidas Yeezy Boost 350 V2 Clay,YZB350V2-CLY,"Thursday, July 1, 2021",8:53 AM EST,11,$475
adidas Yeezy Boost 350 V2 Clay,YZB350V2-CLY,"Thursday, July 1, 2021",2:26 AM EST,9,$419
adidas Yeezy Boost 350 V2 Clay,YZB350V2-CLY,"Wednesday, June 30, 2021",12:45 AM EST,12.5,$425
adidas Yeezy Boost 350 V2 Clay,YZB350V2-CLY,"Wednesday, June 30, 2021",11:17 PM EST,13,$360
adidas Yeezy Boost 350 V2 Clay,YZB350V2-CLY,"Wednesday, June 30, 2021",8:37 PM EST,7,$679
adidas Yeezy Boost 350 V2 Clay,YZB350V2-CLY,"Wednesday, June 30, 2021",5:00 PM EST,14,$304
adidas Yeezy Boost 350 V2 Clay,YZB350V2-CLY,"Wednesday, June 30, 2021",11:21 AM EST,11,$387
adidas Yeezy Boost 350 V2 Clay,YZB350V2-CLY,"Wednesday, June 30, 2021",9:20 AM EST,4,$567
adidas Yeezy Boost 350 V2 Clay,YZB350V2-CLY,"Wednesday, June 30, 2021",1:57 AM EST,5,$688
adidas Yeezy Boost 350 V2 Clay,YZB350V2-CLY,"Tuesday, June 29, 2021",8:36 PM EST,10,$390
adidas Yeezy Boost 350 V2 Clay,YZB350V2-CLY,"Tuesday, June 29, 2021",4:08 PM EST,4,$558
adidas Yeezy Boost 350 V2 Clay,YZB350V2-CLY,"Tuesday, June 29, 2021",2:45 PM EST,14,$300
adidas Yeezy Boost 350 V2 Clay,YZB350V2-CLY,"Monday, June 28, 2021",12:28 AM EST,8,$600
adidas Yeezy Boost 350 V2 Clay,YZB350V2-CLY,"Monday, June 28, 2021",12:20 AM EST,6,$775
adidas Yeezy Boost 350 V2 Clay,YZB350V2-CLY,"Monday, June 28, 2021",2:51 PM EST,7.5,$691
adidas Yeezy Boost 350 V2 Clay,YZB350V2-CLY,"Monday, June 28, 2021",1:48 PM EST,8.5,$568
adidas Yeezy Boost 350 V2 Clay,YZB350V2-CLY,"Sunday, June 27, 2021",10:45 PM EST,12,$360
adidas Yeezy Boost 350 V2 Clay,YZB350V2-CLY,"Sunday, June 27, 2021",5:13 PM EST,10.5,$440
adidas Yeezy Boost 350 V2 Clay,YZB350V2-CLY,"Sunday, June 27, 2021",4:58 PM EST,8,$598
adidas Yeezy Boost 350 V2 Clay,YZB350V2-CLY,"Sunday, June 27, 2021",4:55 PM EST,9,$420
adidas Yeezy Boost 350 V2 Clay,YZB350V2-CLY,"Sunday, June 27, 2021",3:08 AM EST,9,$415
adidas Yeezy Boost 350 V2 Clay,YZB350V2-CLY,"Sunday, June 27, 2021",2:57 AM EST,4,$525
adidas Yeezy Boost 350 V2 Clay,YZB350V2-CLY,"Saturday, June 26, 2021",9:38 PM EST,10,$415
adidas Yeezy Boost 350 V2 Clay,YZB350V2-CLY,"Saturday, June 26, 2021",4:06 PM EST,8.5,$520
adidas Yeezy Boost 350 V2 Clay,YZB350V2-CLY,"Saturday, June 26, 2021",3:35 PM EST,9,$410
adidas Yeezy Boost 350 V2 Clay,YZB350V2-CLY,"Saturday, June 26, 2021",2:12 PM EST,10.5,$371
adidas Yeezy Boost 350 V2 Clay,YZB350V2-CLY,"Friday, June 25, 2021",12:09 AM EST,11,$440
adidas Yeezy Boost 350 V2 Clay,YZB350V2-CLY,"Friday, June 25, 2021",10:44 PM EST,4,$516
adidas Yeezy Boost 350 V2 Clay,YZB350V2-CLY,"Friday, June 25, 2021",9:03 PM EST,5,$687
adidas Yeezy Boost 350 V2 Clay,YZB350V2-CLY,"Friday, June 25, 2021",7:51 PM EST,9.5,$447
adidas Yeezy Boost 350 V2 Clay,YZB350V2-CLY,"Friday, June 25, 2021",5:35 PM EST,10,$410
adidas Yeezy Boost 350 V2 Clay,YZB350V2-CLY,"Friday, June 25, 2021",4:24 PM EST,12.5,$455
adidas Yeezy Boost 350 V2 Clay,YZB350V2-CLY,"Friday, June 25, 2021",12:56 PM EST,12.5,$380
adidas Yeezy Boost 350 V2 Clay,YZB350V2-CLY,"Friday, June 25, 2021",5:22 AM EST,4,$516
adidas Yeezy Boost 350 V2 Clay,YZB350V2-CLY,"Thursday, June 24, 2021",11:42 PM EST,7,$750
adidas Yeezy Boost 350 V2 Clay,YZB350V2-CLY,"Thursday, June 24, 2021",11:39 PM EST,8.5,$510
adidas Yeezy Boost 350 V2 Clay,YZB350V2-CLY,"Thursday, June 24, 2021",5:56 PM EST,9.5,$446
adidas Yeezy Boost 350 V2 Clay,YZB350V2-CLY,"Thursday, June 24, 2021",3:17 PM EST,4.5,$613
adidas Yeezy Boost 350 V2 Clay,YZB350V2-CLY,"Thursday, June 24, 2021",12:27 PM EST,4,$515
adidas Yeezy Boost 350 V2 Clay,YZB350V2-CLY,"Thursday, June 24, 2021",9:55 AM EST,8,$598
adidas Yeezy Boost 350 V2 Clay,YZB350V2-CLY,"Wednesday, June 23, 2021",2:12 AM EST,11.5,$351
adidas Yeezy Boost 350 V2 Clay,YZB350V2-CLY,"Tuesday, June 22, 2021",7:02 PM EST,10,$428
adidas Yeezy Boost 350 V2 Clay,YZB350V2-CLY,"Tuesday, June 22, 2021",12:29 PM EST,7,$784
adidas Yeezy Boost 350 V2 Clay,YZB350V2-CLY,"Tuesday, June 22, 2021",5:07 AM EST,12.5,$484
adidas Yeezy Boost 350 V2 Clay,YZB350V2-CLY,"Monday, June 21, 2021",12:33 AM EST,8.5,$482
adidas Yeezy Boost 350 V2 Clay,YZB350V2-CLY,"Monday, June 21, 2021",12:10 AM EST,14,$325
adidas Yeezy Boost 350 V2 Clay,YZB350V2-CLY,"Monday, June 21, 2021",4:18 PM EST,13.5,$395
adidas Yeezy Boost 350 V2 Clay,YZB350V2-CLY,"Monday, June 21, 2021",8:36 AM EST,5,$682
adidas Yeezy Boost 350 V2 Clay,YZB350V2-CLY,"Sunday, June 20, 2021",8:57 PM EST,8.5,$524
adidas Yeezy Boost 350 V2 Clay,YZB350V2-CLY,"Sunday, June 20, 2021",5:36 PM EST,10,$428
adidas Yeezy Boost 350 V2 Clay,YZB350V2-CLY,"Sunday, June 20, 2021",5:33 PM EST,6,$760
adidas Yeezy Boost 350 V2 Clay,YZB350V2-CLY,"Saturday, June 19, 2021",4:46 PM EST,10.5,$453
adidas Yeezy Boost 350 V2 Clay,YZB350V2-CLY,"Saturday, June 19, 2021",4:30 PM EST,12,$430
adidas Yeezy Boost 350 V2 Clay,YZB350V2-CLY,"Saturday, June 19, 2021",2:55 PM EST,4,$494
adidas Yeezy Boost 350 V2 Clay,YZB350V2-CLY,"Saturday, June 19, 2021",2:54 PM EST,4.5,$508
adidas Yeezy Boost 350 V2 Clay,YZB350V2-CLY,"Saturday, June 19, 2021",11:33 AM EST,12,$375
adidas Yeezy Boost 350 V2 Clay,YZB350V2-CLY,"Saturday, June 19, 2021",5:23 AM EST,5,$685
adidas Yeezy Boost 350 V2 Clay,YZB350V2-CLY,"Friday, June 18, 2021",7:21 PM EST,11,$465
adidas Yeezy Boost 350 V2 Clay,YZB350V2-CLY,"Friday, June 18, 2021",4:21 PM EST,8,$598
adidas Yeezy Boost 350 V2 Clay,YZB350V2-CLY,"Friday, June 18, 2021",2:07 PM EST,8.5,$520
adidas Yeezy Boost 350 V2 Clay,YZB350V2-CLY,"Friday, June 18, 2021",1:28 PM EST,14,$319
adidas Yeezy Boost 350 V2 Clay,YZB350V2-CLY,"Friday, June 18, 2021",11:07 AM EST,11.5,$550
adidas Yeezy Boost 350 V2 Clay,YZB350V2-CLY,"Friday, June 18, 2021",10:08 AM EST,10,$400
adidas Yeezy Boost 350 V2 Clay,YZB350V2-CLY,"Thursday, June 17, 2021",7:55 PM EST,12,$429
adidas Yeezy Boost 350 V2 Clay,YZB350V2-CLY,"Thursday, June 17, 2021",5:10 PM EST,4,$493
adidas Yeezy Boost 350 V2 Clay,YZB350V2-CLY,"Thursday, June 17, 2021",2:09 PM EST,8,$598
adidas Yeezy Boost 350 V2 Clay,YZB350V2-CLY,"Thursday, June 17, 2021",10:11 AM EST,11,$464
adidas Yeezy Boost 350 V2 Clay,YZB350V2-CLY,"Thursday, June 17, 2021",8:46 AM EST,5.5,$648
adidas Yeezy Boost 350 V2 Clay,YZB350V2-CLY,"Wednesday, June 16, 2021",7:16 PM EST,10.5,$452
adidas Yeezy Boost 350 V2 Clay,YZB350V2-CLY,"Wednesday, June 16, 2021",5:05 PM EST,6,$694
adidas Yeezy Boost 350 V2 Clay,YZB350V2-CLY,"Wednesday, June 16, 2021",4:10 PM EST,14,$318
adidas Yeezy Boost 350 V2 Clay,YZB350V2-CLY,"Wednesday, June 16, 2021",4:53 AM EST,8,$598
adidas Yeezy Boost 350 V2 Clay,YZB350V2-CLY,"Wednesday, June 16, 2021",4:03 AM EST,9,$424
adidas Yeezy Boost 350 V2 Clay,YZB350V2-CLY,"Tuesday, June 15, 2021",9:04 PM EST,6,$750
adidas Yeezy Boost 350 V2 Clay,YZB350V2-CLY,"Tuesday, June 15, 2021",3:13 PM EST,9,$410
adidas Yeezy Boost 350 V2 Clay,YZB350V2-CLY,"Tuesday, June 15, 2021",1:31 PM EST,5,$688
adidas Yeezy Boost 350 V2 Clay,YZB350V2-CLY,"Tuesday, June 15, 2021",1:29 PM EST,8,$517
adidas Yeezy Boost 350 V2 Clay,YZB350V2-CLY,"Tuesday, June 15, 2021",1:28 PM EST,4,$493
adidas Yeezy Boost 350 V2 Clay,YZB350V2-CLY,"Tuesday, June 15, 2021",11:03 AM EST,9.5,$450
adidas Yeezy Boost 350 V2 Clay,YZB350V2-CLY,"Tuesday, June 15, 2021",10:36 AM EST,9.5,$448
adidas Yeezy Boost 350 V2 Clay,YZB350V2-CLY,"Tuesday, June 15, 2021",9:47 AM EST,6.5,$799
adidas Yeezy Boost 350 V2 Clay,YZB350V2-CLY,"Tuesday, June 15, 2021",9:41 AM EST,6,$711
adidas Yeezy Boost 350 V2 Clay,YZB350V2-CLY,"Tuesday, June 15, 2021",6:05 AM EST,12,$428
adidas Yeezy Boost 350 V2 Clay,YZB350V2-CLY,"Tuesday, June 15, 2021",3:11 AM EST,8.5,$518
adidas Yeezy Boost 350 V2 Clay,YZB350V2-CLY,"Monday, June 14, 2021",11:08 PM EST,13.5,$344
adidas Yeezy Boost 350 V2 Clay,YZB350V2-CLY,"Monday, June 14, 2021",11:39 AM EST,7,$700
adidas Yeezy Boost 350 V2 Clay,YZB350V2-CLY,"Monday, June 14, 2021",8:01 AM EST,11.5,$728
adidas Yeezy Boost 350 V2 Clay,YZB350V2-CLY,"Sunday, June 13, 2021",11:50 PM EST,11,$455
adidas Yeezy Boost 350 V2 Clay,YZB350V2-CLY,"Sunday, June 13, 2021",12:42 PM EST,5.5,$799
adidas Yeezy Boost 350 V2 Clay,YZB350V2-CLY,"Saturday, June 12, 2021",12:18 AM EST,10.5,$447
adidas Yeezy Boost 350 V2 Clay,YZB350V2-CLY,"Saturday, June 12, 2021",8:15 PM EST,4.5,$565
adidas Yeezy Boost 350 V2 Clay,YZB350V2-CLY,"Saturday, June 12, 2021",1:47 PM EST,11.5,$702
adidas Yeezy Boost 350 V2 Clay,YZB350V2-CLY,"Saturday, June 12, 2021",9:03 AM EST,9.5,$445
adidas Yeezy Boost 350 V2 Clay,YZB350V2-CLY,"Friday, June 11, 2021",12:42 AM EST,6.5,$739
adidas Yeezy Boost 350 V2 Clay,YZB350V2-CLY,"Friday, June 11, 2021",8:21 PM EST,10,$420
adidas Yeezy Boost 350 V2 Clay,YZB350V2-CLY,"Friday, June 11, 2021",3:25 PM EST,10,$420
adidas Yeezy Boost 350 V2 Clay,YZB350V2-CLY,"Thursday, June 10, 2021",11:43 PM EST,8.5,$515
adidas Yeezy Boost 350 V2 Clay,YZB350V2-CLY,"Thursday, June 10, 2021",10:39 PM EST,14,$300
adidas Yeezy Boost 350 V2 Clay,YZB350V2-CLY,"Thursday, June 10, 2021",8:08 PM EST,4,$487
adidas Yeezy Boost 350 V2 Clay,YZB350V2-CLY,"Thursday, June 10, 2021",5:54 PM EST,14,$290
adidas Yeezy Boost 350 V2 Clay,YZB350V2-CLY,"Thursday, June 10, 2021",2:07 PM EST,5.5,$795
