name,ticker,date,time,size,price
adidas Yeezy Boost 350 V2 Clay (Infant),YZB350V2-CLYTD,"Monday, July 5, 2021",4:21 AM EST,6K,$305
adidas Yeezy Boost 350 V2 Clay (Infant),YZB350V2-CLYTD,"Wednesday, June 16, 2021",5:10 PM EST,9K,$324
adidas Yeezy Boost 350 V2 Clay (Infant),YZB350V2-CLYTD,"Tuesday, June 15, 2021",3:31 PM EST,10K,$325
adidas Yeezy Boost 350 V2 Clay (Infant),YZB350V2-CLYTD,"Friday, May 28, 2021",5:11 PM EST,10K,$320
adidas Yeezy Boost 350 V2 Clay (Infant),YZB350V2-CLYTD,"Tuesday, May 25, 2021",4:07 AM EST,10K,$300
adidas Yeezy Boost 350 V2 Clay (Infant),YZB350V2-CLYTD,"Wednesday, May 19, 2021",1:21 AM EST,7K,$350
adidas Yeezy Boost 350 V2 Clay (Infant),YZB350V2-CLYTD,"Tuesday, May 18, 2021",9:32 PM EST,8K,$340
adidas Yeezy Boost 350 V2 Clay (Infant),YZB350V2-CLYTD,"Friday, May 14, 2021",1:26 AM EST,7K,$425
adidas Yeezy Boost 350 V2 Clay (Infant),YZB350V2-CLYTD,"Saturday, May 8, 2021",3:41 PM EST,8K,$349
adidas Yeezy Boost 350 V2 Clay (Infant),YZB350V2-CLYTD,"Wednesday, April 21, 2021",5:26 PM EST,10K,$298
adidas Yeezy Boost 350 V2 Clay (Infant),YZB350V2-CLYTD,"Wednesday, April 21, 2021",4:58 PM EST,9.5K,$271
adidas Yeezy Boost 350 V2 Clay (Infant),YZB350V2-CLYTD,"Monday, April 19, 2021",8:45 PM EST,9K,$290
adidas Yeezy Boost 350 V2 Clay (Infant),YZB350V2-CLYTD,"Saturday, April 17, 2021",8:42 AM EST,9K,$289
adidas Yeezy Boost 350 V2 Clay (Infant),YZB350V2-CLYTD,"Friday, April 16, 2021",6:07 PM EST,10K,$298
adidas Yeezy Boost 350 V2 Clay (Infant),YZB350V2-CLYTD,"Friday, April 16, 2021",5:37 PM EST,7K,$400
adidas Yeezy Boost 350 V2 Clay (Infant),YZB350V2-CLYTD,"Wednesday, April 14, 2021",1:20 AM EST,8K,$210
adidas Yeezy Boost 350 V2 Clay (Infant),YZB350V2-CLYTD,"Monday, April 12, 2021",1:07 PM EST,10K,$298
adidas Yeezy Boost 350 V2 Clay (Infant),YZB350V2-CLYTD,"Wednesday, March 24, 2021",8:22 PM EST,8K,$340
adidas Yeezy Boost 350 V2 Clay (Infant),YZB350V2-CLYTD,"Thursday, March 18, 2021",4:24 PM EST,9K,$250
adidas Yeezy Boost 350 V2 Clay (Infant),YZB350V2-CLYTD,"Thursday, March 18, 2021",7:06 AM EST,7.5K,$446
adidas Yeezy Boost 350 V2 Clay (Infant),YZB350V2-CLYTD,"Monday, March 15, 2021",11:45 AM EST,8K,$339
adidas Yeezy Boost 350 V2 Clay (Infant),YZB350V2-CLYTD,"Friday, March 12, 2021",7:08 PM EST,9K,$269
adidas Yeezy Boost 350 V2 Clay (Infant),YZB350V2-CLYTD,"Friday, March 12, 2021",11:00 AM EST,8K,$300
adidas Yeezy Boost 350 V2 Clay (Infant),YZB350V2-CLYTD,"Monday, March 8, 2021",1:48 PM EST,5K,$300
adidas Yeezy Boost 350 V2 Clay (Infant),YZB350V2-CLYTD,"Tuesday, March 2, 2021",9:30 PM EST,5K,$180
adidas Yeezy Boost 350 V2 Clay (Infant),YZB350V2-CLYTD,"Tuesday, February 16, 2021",8:10 AM EST,6K,$404
adidas Yeezy Boost 350 V2 Clay (Infant),YZB350V2-CLYTD,"Saturday, February 13, 2021",2:02 PM EST,7K,$243
adidas Yeezy Boost 350 V2 Clay (Infant),YZB350V2-CLYTD,"Friday, February 12, 2021",6:02 PM EST,9K,$285
adidas Yeezy Boost 350 V2 Clay (Infant),YZB350V2-CLYTD,"Thursday, February 11, 2021",5:29 PM EST,6K,$399
adidas Yeezy Boost 350 V2 Clay (Infant),YZB350V2-CLYTD,"Wednesday, February 10, 2021",11:44 AM EST,9K,$274
adidas Yeezy Boost 350 V2 Clay (Infant),YZB350V2-CLYTD,"Tuesday, February 9, 2021",3:47 AM EST,6K,$398
adidas Yeezy Boost 350 V2 Clay (Infant),YZB350V2-CLYTD,"Saturday, February 6, 2021",2:13 AM EST,6K,$408
adidas Yeezy Boost 350 V2 Clay (Infant),YZB350V2-CLYTD,"Friday, February 5, 2021",4:56 AM EST,5K,$700
adidas Yeezy Boost 350 V2 Clay (Infant),YZB350V2-CLYTD,"Friday, February 5, 2021",4:56 AM EST,5K,$400
adidas Yeezy Boost 350 V2 Clay (Infant),YZB350V2-CLYTD,"Friday, January 29, 2021",12:27 AM EST,8K,$350
adidas Yeezy Boost 350 V2 Clay (Infant),YZB350V2-CLYTD,"Thursday, January 21, 2021",11:39 PM EST,10K,$369
adidas Yeezy Boost 350 V2 Clay (Infant),YZB350V2-CLYTD,"Thursday, January 14, 2021",3:53 PM EST,9K,$175
adidas Yeezy Boost 350 V2 Clay (Infant),YZB350V2-CLYTD,"Wednesday, December 30, 2020",12:34 PM EST,7.5K,$340
adidas Yeezy Boost 350 V2 Clay (Infant),YZB350V2-CLYTD,"Monday, December 28, 2020",4:42 PM EST,6.5K,$359
