name,ticker,date,time,size,price
adidas Yeezy Boost 350 V2 Citrin (Non-Reflective),YZB350V2-CTRN,"Tuesday, July 6, 2021",5:52 PM EST,11,$270
adidas Yeezy Boost 350 V2 Citrin (Non-Reflective),YZB350V2-CTRN,"Tuesday, July 6, 2021",5:50 PM EST,4.5,$634
adidas Yeezy Boost 350 V2 Citrin (Non-Reflective),YZB350V2-CTRN,"Tuesday, July 6, 2021",5:08 PM EST,9.5,$349
adidas Yeezy Boost 350 V2 Citrin (Non-Reflective),YZB350V2-CTRN,"Tuesday, July 6, 2021",4:20 PM EST,11,$255
adidas Yeezy Boost 350 V2 Citrin (Non-Reflective),YZB350V2-CTRN,"Tuesday, July 6, 2021",4:17 PM EST,11,$270
adidas Yeezy Boost 350 V2 Citrin (Non-Reflective),YZB350V2-CTRN,"Tuesday, July 6, 2021",3:23 PM EST,8,$393
adidas Yeezy Boost 350 V2 Citrin (Non-Reflective),YZB350V2-CTRN,"Tuesday, July 6, 2021",3:08 PM EST,8.5,$382
adidas Yeezy Boost 350 V2 Citrin (Non-Reflective),YZB350V2-CTRN,"Tuesday, July 6, 2021",3:07 PM EST,11,$258
adidas Yeezy Boost 350 V2 Citrin (Non-Reflective),YZB350V2-CTRN,"Tuesday, July 6, 2021",2:33 PM EST,9.5,$324
adidas Yeezy Boost 350 V2 Citrin (Non-Reflective),YZB350V2-CTRN,"Tuesday, July 6, 2021",2:24 PM EST,14,$241
adidas Yeezy Boost 350 V2 Citrin (Non-Reflective),YZB350V2-CTRN,"Tuesday, July 6, 2021",1:50 PM EST,7.5,$470
adidas Yeezy Boost 350 V2 Citrin (Non-Reflective),YZB350V2-CTRN,"Tuesday, July 6, 2021",1:24 PM EST,9.5,$344
adidas Yeezy Boost 350 V2 Citrin (Non-Reflective),YZB350V2-CTRN,"Tuesday, July 6, 2021",1:24 PM EST,9.5,$345
adidas Yeezy Boost 350 V2 Citrin (Non-Reflective),YZB350V2-CTRN,"Tuesday, July 6, 2021",12:16 PM EST,8.5,$349
adidas Yeezy Boost 350 V2 Citrin (Non-Reflective),YZB350V2-CTRN,"Tuesday, July 6, 2021",10:37 AM EST,11,$262
adidas Yeezy Boost 350 V2 Citrin (Non-Reflective),YZB350V2-CTRN,"Tuesday, July 6, 2021",10:17 AM EST,12,$257
adidas Yeezy Boost 350 V2 Citrin (Non-Reflective),YZB350V2-CTRN,"Tuesday, July 6, 2021",8:25 AM EST,8,$375
adidas Yeezy Boost 350 V2 Citrin (Non-Reflective),YZB350V2-CTRN,"Tuesday, July 6, 2021",8:02 AM EST,11,$262
adidas Yeezy Boost 350 V2 Citrin (Non-Reflective),YZB350V2-CTRN,"Tuesday, July 6, 2021",7:32 AM EST,11,$296
adidas Yeezy Boost 350 V2 Citrin (Non-Reflective),YZB350V2-CTRN,"Tuesday, July 6, 2021",3:12 AM EST,10.5,$282
adidas Yeezy Boost 350 V2 Citrin (Non-Reflective),YZB350V2-CTRN,"Monday, July 5, 2021",12:12 AM EST,10.5,$281
adidas Yeezy Boost 350 V2 Citrin (Non-Reflective),YZB350V2-CTRN,"Monday, July 5, 2021",11:16 PM EST,10,$268
adidas Yeezy Boost 350 V2 Citrin (Non-Reflective),YZB350V2-CTRN,"Monday, July 5, 2021",10:33 PM EST,10,$270
adidas Yeezy Boost 350 V2 Citrin (Non-Reflective),YZB350V2-CTRN,"Monday, July 5, 2021",8:22 PM EST,11,$253
adidas Yeezy Boost 350 V2 Citrin (Non-Reflective),YZB350V2-CTRN,"Monday, July 5, 2021",6:38 PM EST,11,$261
adidas Yeezy Boost 350 V2 Citrin (Non-Reflective),YZB350V2-CTRN,"Monday, July 5, 2021",6:12 PM EST,10,$270
adidas Yeezy Boost 350 V2 Citrin (Non-Reflective),YZB350V2-CTRN,"Monday, July 5, 2021",5:38 PM EST,10,$280
adidas Yeezy Boost 350 V2 Citrin (Non-Reflective),YZB350V2-CTRN,"Monday, July 5, 2021",4:58 PM EST,9,$349
adidas Yeezy Boost 350 V2 Citrin (Non-Reflective),YZB350V2-CTRN,"Monday, July 5, 2021",4:57 PM EST,8,$400
adidas Yeezy Boost 350 V2 Citrin (Non-Reflective),YZB350V2-CTRN,"Monday, July 5, 2021",4:54 PM EST,11,$261
adidas Yeezy Boost 350 V2 Citrin (Non-Reflective),YZB350V2-CTRN,"Monday, July 5, 2021",4:18 PM EST,9.5,$349
adidas Yeezy Boost 350 V2 Citrin (Non-Reflective),YZB350V2-CTRN,"Monday, July 5, 2021",4:15 PM EST,9,$350
adidas Yeezy Boost 350 V2 Citrin (Non-Reflective),YZB350V2-CTRN,"Monday, July 5, 2021",4:12 PM EST,8.5,$381
adidas Yeezy Boost 350 V2 Citrin (Non-Reflective),YZB350V2-CTRN,"Monday, July 5, 2021",4:04 PM EST,10,$285
adidas Yeezy Boost 350 V2 Citrin (Non-Reflective),YZB350V2-CTRN,"Monday, July 5, 2021",4:02 PM EST,10,$283
adidas Yeezy Boost 350 V2 Citrin (Non-Reflective),YZB350V2-CTRN,"Monday, July 5, 2021",3:58 PM EST,8,$376
adidas Yeezy Boost 350 V2 Citrin (Non-Reflective),YZB350V2-CTRN,"Monday, July 5, 2021",3:58 PM EST,9,$349
adidas Yeezy Boost 350 V2 Citrin (Non-Reflective),YZB350V2-CTRN,"Monday, July 5, 2021",3:57 PM EST,12,$379
adidas Yeezy Boost 350 V2 Citrin (Non-Reflective),YZB350V2-CTRN,"Monday, July 5, 2021",3:43 PM EST,10,$280
adidas Yeezy Boost 350 V2 Citrin (Non-Reflective),YZB350V2-CTRN,"Monday, July 5, 2021",3:42 PM EST,12,$269
adidas Yeezy Boost 350 V2 Citrin (Non-Reflective),YZB350V2-CTRN,"Monday, July 5, 2021",3:05 PM EST,9.5,$343
adidas Yeezy Boost 350 V2 Citrin (Non-Reflective),YZB350V2-CTRN,"Monday, July 5, 2021",2:40 PM EST,6.5,$552
adidas Yeezy Boost 350 V2 Citrin (Non-Reflective),YZB350V2-CTRN,"Monday, July 5, 2021",2:19 PM EST,9.5,$349
adidas Yeezy Boost 350 V2 Citrin (Non-Reflective),YZB350V2-CTRN,"Monday, July 5, 2021",2:16 PM EST,9,$350
adidas Yeezy Boost 350 V2 Citrin (Non-Reflective),YZB350V2-CTRN,"Monday, July 5, 2021",2:12 PM EST,10,$281
adidas Yeezy Boost 350 V2 Citrin (Non-Reflective),YZB350V2-CTRN,"Monday, July 5, 2021",1:54 PM EST,14.5,$350
adidas Yeezy Boost 350 V2 Citrin (Non-Reflective),YZB350V2-CTRN,"Monday, July 5, 2021",1:24 PM EST,9,$349
adidas Yeezy Boost 350 V2 Citrin (Non-Reflective),YZB350V2-CTRN,"Monday, July 5, 2021",12:16 PM EST,7.5,$475
adidas Yeezy Boost 350 V2 Citrin (Non-Reflective),YZB350V2-CTRN,"Monday, July 5, 2021",10:14 AM EST,10,$270
adidas Yeezy Boost 350 V2 Citrin (Non-Reflective),YZB350V2-CTRN,"Monday, July 5, 2021",10:10 AM EST,9,$349
adidas Yeezy Boost 350 V2 Citrin (Non-Reflective),YZB350V2-CTRN,"Monday, July 5, 2021",9:41 AM EST,5,$674
adidas Yeezy Boost 350 V2 Citrin (Non-Reflective),YZB350V2-CTRN,"Monday, July 5, 2021",9:30 AM EST,11.5,$300
adidas Yeezy Boost 350 V2 Citrin (Non-Reflective),YZB350V2-CTRN,"Monday, July 5, 2021",9:27 AM EST,9.5,$349
adidas Yeezy Boost 350 V2 Citrin (Non-Reflective),YZB350V2-CTRN,"Monday, July 5, 2021",6:52 AM EST,9,$349
adidas Yeezy Boost 350 V2 Citrin (Non-Reflective),YZB350V2-CTRN,"Monday, July 5, 2021",6:51 AM EST,9.5,$348
adidas Yeezy Boost 350 V2 Citrin (Non-Reflective),YZB350V2-CTRN,"Monday, July 5, 2021",6:49 AM EST,8.5,$384
adidas Yeezy Boost 350 V2 Citrin (Non-Reflective),YZB350V2-CTRN,"Monday, July 5, 2021",3:53 AM EST,9,$349
adidas Yeezy Boost 350 V2 Citrin (Non-Reflective),YZB350V2-CTRN,"Sunday, July 4, 2021",12:31 AM EST,12,$260
adidas Yeezy Boost 350 V2 Citrin (Non-Reflective),YZB350V2-CTRN,"Sunday, July 4, 2021",11:05 PM EST,8,$398
adidas Yeezy Boost 350 V2 Citrin (Non-Reflective),YZB350V2-CTRN,"Sunday, July 4, 2021",9:16 PM EST,11.5,$300
adidas Yeezy Boost 350 V2 Citrin (Non-Reflective),YZB350V2-CTRN,"Sunday, July 4, 2021",8:28 PM EST,12,$269
adidas Yeezy Boost 350 V2 Citrin (Non-Reflective),YZB350V2-CTRN,"Sunday, July 4, 2021",6:54 PM EST,10.5,$280
adidas Yeezy Boost 350 V2 Citrin (Non-Reflective),YZB350V2-CTRN,"Sunday, July 4, 2021",4:03 PM EST,9,$347
adidas Yeezy Boost 350 V2 Citrin (Non-Reflective),YZB350V2-CTRN,"Sunday, July 4, 2021",3:32 PM EST,11,$260
adidas Yeezy Boost 350 V2 Citrin (Non-Reflective),YZB350V2-CTRN,"Sunday, July 4, 2021",2:51 PM EST,8.5,$375
adidas Yeezy Boost 350 V2 Citrin (Non-Reflective),YZB350V2-CTRN,"Sunday, July 4, 2021",2:35 PM EST,9,$346
