name,ticker,date,time,size,price
adidas Yeezy Boost 350 V2 Citrin (Reflective),YZB350V2-CTRNRF,"Tuesday, July 6, 2021",10:13 PM EST,11,$399
adidas Yeezy Boost 350 V2 Citrin (Reflective),YZB350V2-CTRNRF,"Tuesday, July 6, 2021",11:38 AM EST,13,$315
adidas Yeezy Boost 350 V2 Citrin (Reflective),YZB350V2-CTRNRF,"Monday, July 5, 2021",11:57 PM EST,12,$256
adidas Yeezy Boost 350 V2 Citrin (Reflective),YZB350V2-CTRNRF,"Monday, July 5, 2021",11:11 PM EST,12.5,$360
adidas Yeezy Boost 350 V2 Citrin (Reflective),YZB350V2-CTRNRF,"Sunday, July 4, 2021",10:57 AM EST,7,$648
adidas Yeezy Boost 350 V2 Citrin (Reflective),YZB350V2-CTRNRF,"Thursday, July 1, 2021",2:49 PM EST,9,$488
adidas Yeezy Boost 350 V2 Citrin (Reflective),YZB350V2-CTRNRF,"Tuesday, June 29, 2021",10:38 AM EST,13,$339
adidas Yeezy Boost 350 V2 Citrin (Reflective),YZB350V2-CTRNRF,"Monday, June 28, 2021",8:00 PM EST,9.5,$478
adidas Yeezy Boost 350 V2 Citrin (Reflective),YZB350V2-CTRNRF,"Monday, June 28, 2021",4:02 PM EST,9,$423
adidas Yeezy Boost 350 V2 Citrin (Reflective),YZB350V2-CTRNRF,"Sunday, June 27, 2021",2:35 PM EST,7,$664
adidas Yeezy Boost 350 V2 Citrin (Reflective),YZB350V2-CTRNRF,"Sunday, June 27, 2021",2:28 PM EST,11,$547
adidas Yeezy Boost 350 V2 Citrin (Reflective),YZB350V2-CTRNRF,"Saturday, June 26, 2021",7:05 PM EST,12.5,$340
adidas Yeezy Boost 350 V2 Citrin (Reflective),YZB350V2-CTRNRF,"Saturday, June 26, 2021",10:33 AM EST,10.5,$374
adidas Yeezy Boost 350 V2 Citrin (Reflective),YZB350V2-CTRNRF,"Tuesday, June 22, 2021",7:37 AM EST,14,$295
adidas Yeezy Boost 350 V2 Citrin (Reflective),YZB350V2-CTRNRF,"Monday, June 21, 2021",3:42 PM EST,8.5,$451
adidas Yeezy Boost 350 V2 Citrin (Reflective),YZB350V2-CTRNRF,"Monday, June 21, 2021",1:29 PM EST,5.5,$850
adidas Yeezy Boost 350 V2 Citrin (Reflective),YZB350V2-CTRNRF,"Saturday, June 19, 2021",1:07 AM EST,9.5,$482
adidas Yeezy Boost 350 V2 Citrin (Reflective),YZB350V2-CTRNRF,"Friday, June 18, 2021",1:25 PM EST,9.5,$450
adidas Yeezy Boost 350 V2 Citrin (Reflective),YZB350V2-CTRNRF,"Friday, June 18, 2021",6:58 AM EST,5,$821
adidas Yeezy Boost 350 V2 Citrin (Reflective),YZB350V2-CTRNRF,"Wednesday, June 16, 2021",9:21 PM EST,9,$472
adidas Yeezy Boost 350 V2 Citrin (Reflective),YZB350V2-CTRNRF,"Wednesday, June 16, 2021",4:40 PM EST,8.5,$481
adidas Yeezy Boost 350 V2 Citrin (Reflective),YZB350V2-CTRNRF,"Wednesday, June 16, 2021",1:34 AM EST,5,$875
adidas Yeezy Boost 350 V2 Citrin (Reflective),YZB350V2-CTRNRF,"Tuesday, June 15, 2021",5:09 PM EST,9,$472
adidas Yeezy Boost 350 V2 Citrin (Reflective),YZB350V2-CTRNRF,"Tuesday, June 15, 2021",3:08 PM EST,9,$480
adidas Yeezy Boost 350 V2 Citrin (Reflective),YZB350V2-CTRNRF,"Monday, June 14, 2021",3:16 PM EST,6,$799
adidas Yeezy Boost 350 V2 Citrin (Reflective),YZB350V2-CTRNRF,"Monday, June 14, 2021",2:24 PM EST,6,$742
adidas Yeezy Boost 350 V2 Citrin (Reflective),YZB350V2-CTRNRF,"Monday, June 14, 2021",2:23 PM EST,6,$744
