name,ticker,date,time,size,price
adidas Yeezy Boost 350 V2 Desert Sage (Infant),YZB350V2-DSI,"Sunday, July 4, 2021",1:27 PM EST,9K,$374
adidas Yeezy Boost 350 V2 Desert Sage (Infant),YZB350V2-DSI,"Tuesday, June 29, 2021",12:24 AM EST,8.5K,$179
adidas Yeezy Boost 350 V2 Desert Sage (Infant),YZB350V2-DSI,"Sunday, June 20, 2021",3:22 PM EST,6K,$269
adidas Yeezy Boost 350 V2 Desert Sage (Infant),YZB350V2-DSI,"Tuesday, June 15, 2021",7:23 PM EST,10K,$250
adidas Yeezy Boost 350 V2 Desert Sage (Infant),YZB350V2-DSI,"Saturday, June 12, 2021",10:41 AM EST,5K,$377
adidas Yeezy Boost 350 V2 Desert Sage (Infant),YZB350V2-DSI,"Tuesday, June 1, 2021",2:02 PM EST,8.5K,$331
adidas Yeezy Boost 350 V2 Desert Sage (Infant),YZB350V2-DSI,"Sunday, May 30, 2021",4:20 PM EST,7K,$270
adidas Yeezy Boost 350 V2 Desert Sage (Infant),YZB350V2-DSI,"Monday, May 24, 2021",3:55 PM EST,10K,$190
adidas Yeezy Boost 350 V2 Desert Sage (Infant),YZB350V2-DSI,"Sunday, May 23, 2021",3:57 AM EST,6K,$250
adidas Yeezy Boost 350 V2 Desert Sage (Infant),YZB350V2-DSI,"Thursday, May 20, 2021",11:50 PM EST,10K,$259
adidas Yeezy Boost 350 V2 Desert Sage (Infant),YZB350V2-DSI,"Saturday, May 15, 2021",9:58 AM EST,7.5K,$269
adidas Yeezy Boost 350 V2 Desert Sage (Infant),YZB350V2-DSI,"Friday, May 7, 2021",9:55 AM EST,7.5K,$307
adidas Yeezy Boost 350 V2 Desert Sage (Infant),YZB350V2-DSI,"Thursday, May 6, 2021",3:14 PM EST,6K,$190
adidas Yeezy Boost 350 V2 Desert Sage (Infant),YZB350V2-DSI,"Tuesday, May 4, 2021",1:40 PM EST,6.5K,$240
adidas Yeezy Boost 350 V2 Desert Sage (Infant),YZB350V2-DSI,"Monday, May 3, 2021",12:21 PM EST,4K,$335
adidas Yeezy Boost 350 V2 Desert Sage (Infant),YZB350V2-DSI,"Friday, April 30, 2021",9:41 AM EST,10K,$226
adidas Yeezy Boost 350 V2 Desert Sage (Infant),YZB350V2-DSI,"Thursday, April 29, 2021",3:27 PM EST,6.5K,$200
adidas Yeezy Boost 350 V2 Desert Sage (Infant),YZB350V2-DSI,"Wednesday, April 28, 2021",5:15 AM EST,4K,$228
adidas Yeezy Boost 350 V2 Desert Sage (Infant),YZB350V2-DSI,"Wednesday, April 28, 2021",5:10 AM EST,9K,$300
adidas Yeezy Boost 350 V2 Desert Sage (Infant),YZB350V2-DSI,"Monday, April 19, 2021",2:26 PM EST,4K,$301
adidas Yeezy Boost 350 V2 Desert Sage (Infant),YZB350V2-DSI,"Sunday, April 18, 2021",11:35 PM EST,5.5K,$208
adidas Yeezy Boost 350 V2 Desert Sage (Infant),YZB350V2-DSI,"Thursday, April 15, 2021",2:41 PM EST,10K,$210
adidas Yeezy Boost 350 V2 Desert Sage (Infant),YZB350V2-DSI,"Wednesday, April 14, 2021",3:18 PM EST,7.5K,$210
adidas Yeezy Boost 350 V2 Desert Sage (Infant),YZB350V2-DSI,"Sunday, April 11, 2021",8:45 PM EST,8.5K,$259
adidas Yeezy Boost 350 V2 Desert Sage (Infant),YZB350V2-DSI,"Saturday, April 10, 2021",11:19 PM EST,6.5K,$288
adidas Yeezy Boost 350 V2 Desert Sage (Infant),YZB350V2-DSI,"Friday, April 2, 2021",3:11 PM EST,10K,$226
adidas Yeezy Boost 350 V2 Desert Sage (Infant),YZB350V2-DSI,"Thursday, April 1, 2021",5:18 PM EST,7K,$275
