name,ticker,date,time,size,price
adidas Yeezy Boost 350 V2 Desert Sage (Kids),YZB350V2-DSK,"Sunday, July 4, 2021",3:02 PM EST,3.5Y,$400
adidas Yeezy Boost 350 V2 Desert Sage (Kids),YZB350V2-DSK,"Monday, June 28, 2021",4:02 PM EST,3Y,$390
adidas Yeezy Boost 350 V2 Desert Sage (Kids),YZB350V2-DSK,"Friday, June 11, 2021",8:16 AM EST,3Y,$385
adidas Yeezy Boost 350 V2 Desert Sage (Kids),YZB350V2-DSK,"Wednesday, June 9, 2021",7:28 PM EST,3.5Y,$400
adidas Yeezy Boost 350 V2 Desert Sage (Kids),YZB350V2-DSK,"Monday, May 31, 2021",2:59 PM EST,3Y,$390
adidas Yeezy Boost 350 V2 Desert Sage (Kids),YZB350V2-DSK,"Monday, May 31, 2021",12:56 PM EST,13.5K,$550
adidas Yeezy Boost 350 V2 Desert Sage (Kids),YZB350V2-DSK,"Monday, May 31, 2021",12:56 PM EST,3Y,$389
adidas Yeezy Boost 350 V2 Desert Sage (Kids),YZB350V2-DSK,"Friday, May 21, 2021",2:29 PM EST,1Y,$452
adidas Yeezy Boost 350 V2 Desert Sage (Kids),YZB350V2-DSK,"Sunday, May 2, 2021",10:55 AM EST,1.5Y,$160
adidas Yeezy Boost 350 V2 Desert Sage (Kids),YZB350V2-DSK,"Monday, April 26, 2021",8:54 AM EST,13K,$363
adidas Yeezy Boost 350 V2 Desert Sage (Kids),YZB350V2-DSK,"Sunday, April 25, 2021",11:41 PM EST,2.5Y,$220
adidas Yeezy Boost 350 V2 Desert Sage (Kids),YZB350V2-DSK,"Thursday, April 22, 2021",8:12 AM EST,1.5Y,$476
adidas Yeezy Boost 350 V2 Desert Sage (Kids),YZB350V2-DSK,"Sunday, April 18, 2021",11:47 PM EST,13K,$227
adidas Yeezy Boost 350 V2 Desert Sage (Kids),YZB350V2-DSK,"Thursday, April 15, 2021",5:38 PM EST,3.5Y,$380
adidas Yeezy Boost 350 V2 Desert Sage (Kids),YZB350V2-DSK,"Thursday, April 15, 2021",9:37 AM EST,3Y,$350
adidas Yeezy Boost 350 V2 Desert Sage (Kids),YZB350V2-DSK,"Thursday, April 15, 2021",8:37 AM EST,12.5K,$227
adidas Yeezy Boost 350 V2 Desert Sage (Kids),YZB350V2-DSK,"Monday, April 5, 2021",9:42 PM EST,3.5Y,$251
adidas Yeezy Boost 350 V2 Desert Sage (Kids),YZB350V2-DSK,"Wednesday, March 31, 2021",10:51 PM EST,13K,$358
adidas Yeezy Boost 350 V2 Desert Sage (Kids),YZB350V2-DSK,"Wednesday, March 31, 2021",3:32 PM EST,1.5Y,$355
adidas Yeezy Boost 350 V2 Desert Sage (Kids),YZB350V2-DSK,"Monday, March 29, 2021",11:55 PM EST,13.5K,$166
adidas Yeezy Boost 350 V2 Desert Sage (Kids),YZB350V2-DSK,"Sunday, March 28, 2021",1:52 PM EST,12K,$201
adidas Yeezy Boost 350 V2 Desert Sage (Kids),YZB350V2-DSK,"Saturday, March 27, 2021",1:03 PM EST,10.5K,$349
adidas Yeezy Boost 350 V2 Desert Sage (Kids),YZB350V2-DSK,"Thursday, March 25, 2021",4:21 PM EST,1.5Y,$335
adidas Yeezy Boost 350 V2 Desert Sage (Kids),YZB350V2-DSK,"Monday, March 22, 2021",7:09 PM EST,1Y,$283
adidas Yeezy Boost 350 V2 Desert Sage (Kids),YZB350V2-DSK,"Monday, March 22, 2021",5:01 PM EST,3.5Y,$225
