name,ticker,date,time,size,price
adidas Yeezy Boost 350 V2 Desert Sage,YZB350V2-DSSG,"Tuesday, July 6, 2021",8:05 PM EST,11,$300
adidas Yeezy Boost 350 V2 Desert Sage,YZB350V2-DSSG,"Tuesday, July 6, 2021",5:51 PM EST,11.5,$323
adidas Yeezy Boost 350 V2 Desert Sage,YZB350V2-DSSG,"Tuesday, July 6, 2021",4:12 PM EST,16,$310
adidas Yeezy Boost 350 V2 Desert Sage,YZB350V2-DSSG,"Tuesday, July 6, 2021",2:45 PM EST,5.5,$275
adidas Yeezy Boost 350 V2 Desert Sage,YZB350V2-DSSG,"Tuesday, July 6, 2021",2:26 PM EST,10.5,$276
adidas Yeezy Boost 350 V2 Desert Sage,YZB350V2-DSSG,"Tuesday, July 6, 2021",2:20 PM EST,8.5,$318
adidas Yeezy Boost 350 V2 Desert Sage,YZB350V2-DSSG,"Tuesday, July 6, 2021",2:15 PM EST,6,$326
adidas Yeezy Boost 350 V2 Desert Sage,YZB350V2-DSSG,"Tuesday, July 6, 2021",1:31 PM EST,12.5,$350
adidas Yeezy Boost 350 V2 Desert Sage,YZB350V2-DSSG,"Tuesday, July 6, 2021",1:23 PM EST,9.5,$316
adidas Yeezy Boost 350 V2 Desert Sage,YZB350V2-DSSG,"Tuesday, July 6, 2021",10:51 AM EST,12,$346
adidas Yeezy Boost 350 V2 Desert Sage,YZB350V2-DSSG,"Tuesday, July 6, 2021",10:27 AM EST,12,$345
adidas Yeezy Boost 350 V2 Desert Sage,YZB350V2-DSSG,"Tuesday, July 6, 2021",10:04 AM EST,5,$300
adidas Yeezy Boost 350 V2 Desert Sage,YZB350V2-DSSG,"Tuesday, July 6, 2021",9:17 AM EST,14,$246
adidas Yeezy Boost 350 V2 Desert Sage,YZB350V2-DSSG,"Tuesday, July 6, 2021",4:56 AM EST,10,$351
adidas Yeezy Boost 350 V2 Desert Sage,YZB350V2-DSSG,"Monday, July 5, 2021",11:10 PM EST,12.5,$325
adidas Yeezy Boost 350 V2 Desert Sage,YZB350V2-DSSG,"Monday, July 5, 2021",9:47 PM EST,10,$285
adidas Yeezy Boost 350 V2 Desert Sage,YZB350V2-DSSG,"Monday, July 5, 2021",8:50 PM EST,9,$275
adidas Yeezy Boost 350 V2 Desert Sage,YZB350V2-DSSG,"Monday, July 5, 2021",8:46 PM EST,13.5,$325
adidas Yeezy Boost 350 V2 Desert Sage,YZB350V2-DSSG,"Monday, July 5, 2021",8:23 PM EST,9,$275
adidas Yeezy Boost 350 V2 Desert Sage,YZB350V2-DSSG,"Monday, July 5, 2021",3:16 PM EST,9,$332
adidas Yeezy Boost 350 V2 Desert Sage,YZB350V2-DSSG,"Monday, July 5, 2021",2:41 PM EST,10.5,$309
adidas Yeezy Boost 350 V2 Desert Sage,YZB350V2-DSSG,"Monday, July 5, 2021",11:49 AM EST,10.5,$310
adidas Yeezy Boost 350 V2 Desert Sage,YZB350V2-DSSG,"Monday, July 5, 2021",9:42 AM EST,6,$339
adidas Yeezy Boost 350 V2 Desert Sage,YZB350V2-DSSG,"Monday, July 5, 2021",9:35 AM EST,8,$384
adidas Yeezy Boost 350 V2 Desert Sage,YZB350V2-DSSG,"Monday, July 5, 2021",5:21 AM EST,11.5,$320
adidas Yeezy Boost 350 V2 Desert Sage,YZB350V2-DSSG,"Monday, July 5, 2021",3:21 AM EST,9.5,$280
adidas Yeezy Boost 350 V2 Desert Sage,YZB350V2-DSSG,"Sunday, July 4, 2021",11:49 PM EST,11,$344
adidas Yeezy Boost 350 V2 Desert Sage,YZB350V2-DSSG,"Sunday, July 4, 2021",7:35 PM EST,10.5,$339
adidas Yeezy Boost 350 V2 Desert Sage,YZB350V2-DSSG,"Sunday, July 4, 2021",7:27 PM EST,10.5,$285
adidas Yeezy Boost 350 V2 Desert Sage,YZB350V2-DSSG,"Sunday, July 4, 2021",5:38 PM EST,10.5,$339
adidas Yeezy Boost 350 V2 Desert Sage,YZB350V2-DSSG,"Sunday, July 4, 2021",4:31 PM EST,11,$325
