name,ticker,date,time,size,price
adidas Yeezy Boost 350 V2 Sand Taupe,YZB350V2-ELDA,"Tuesday, July 6, 2021",5:56 PM EST,4.5,$321
adidas Yeezy Boost 350 V2 Sand Taupe,YZB350V2-ELDA,"Tuesday, July 6, 2021",5:39 PM EST,8,$300
adidas Yeezy Boost 350 V2 Sand Taupe,YZB350V2-ELDA,"Tuesday, July 6, 2021",5:03 PM EST,8,$300
adidas Yeezy Boost 350 V2 Sand Taupe,YZB350V2-ELDA,"Tuesday, July 6, 2021",4:49 PM EST,9.5,$280
adidas Yeezy Boost 350 V2 Sand Taupe,YZB350V2-ELDA,"Tuesday, July 6, 2021",4:24 PM EST,9,$269
adidas Yeezy Boost 350 V2 Sand Taupe,YZB350V2-ELDA,"Tuesday, July 6, 2021",4:19 PM EST,6.5,$321
adidas Yeezy Boost 350 V2 Sand Taupe,YZB350V2-ELDA,"Tuesday, July 6, 2021",4:06 PM EST,7,$360
adidas Yeezy Boost 350 V2 Sand Taupe,YZB350V2-ELDA,"Tuesday, July 6, 2021",3:34 PM EST,9.5,$326
adidas Yeezy Boost 350 V2 Sand Taupe,YZB350V2-ELDA,"Tuesday, July 6, 2021",3:28 PM EST,8.5,$297
adidas Yeezy Boost 350 V2 Sand Taupe,YZB350V2-ELDA,"Tuesday, July 6, 2021",3:09 PM EST,11.5,$240
adidas Yeezy Boost 350 V2 Sand Taupe,YZB350V2-ELDA,"Tuesday, July 6, 2021",2:58 PM EST,9.5,$298
adidas Yeezy Boost 350 V2 Sand Taupe,YZB350V2-ELDA,"Tuesday, July 6, 2021",2:58 PM EST,10,$241
adidas Yeezy Boost 350 V2 Sand Taupe,YZB350V2-ELDA,"Tuesday, July 6, 2021",1:38 PM EST,11,$245
adidas Yeezy Boost 350 V2 Sand Taupe,YZB350V2-ELDA,"Tuesday, July 6, 2021",1:20 PM EST,12,$249
adidas Yeezy Boost 350 V2 Sand Taupe,YZB350V2-ELDA,"Tuesday, July 6, 2021",1:15 PM EST,10.5,$241
adidas Yeezy Boost 350 V2 Sand Taupe,YZB350V2-ELDA,"Tuesday, July 6, 2021",12:22 PM EST,7.5,$326
adidas Yeezy Boost 350 V2 Sand Taupe,YZB350V2-ELDA,"Tuesday, July 6, 2021",12:20 PM EST,8,$288
adidas Yeezy Boost 350 V2 Sand Taupe,YZB350V2-ELDA,"Tuesday, July 6, 2021",11:44 AM EST,12,$247
adidas Yeezy Boost 350 V2 Sand Taupe,YZB350V2-ELDA,"Tuesday, July 6, 2021",10:50 AM EST,10,$258
adidas Yeezy Boost 350 V2 Sand Taupe,YZB350V2-ELDA,"Tuesday, July 6, 2021",10:37 AM EST,12,$248
adidas Yeezy Boost 350 V2 Sand Taupe,YZB350V2-ELDA,"Tuesday, July 6, 2021",10:35 AM EST,9,$269
adidas Yeezy Boost 350 V2 Sand Taupe,YZB350V2-ELDA,"Tuesday, July 6, 2021",10:24 AM EST,9.5,$265
adidas Yeezy Boost 350 V2 Sand Taupe,YZB350V2-ELDA,"Tuesday, July 6, 2021",10:23 AM EST,10,$259
adidas Yeezy Boost 350 V2 Sand Taupe,YZB350V2-ELDA,"Tuesday, July 6, 2021",10:10 AM EST,11,$295
adidas Yeezy Boost 350 V2 Sand Taupe,YZB350V2-ELDA,"Tuesday, July 6, 2021",10:00 AM EST,9.5,$266
adidas Yeezy Boost 350 V2 Sand Taupe,YZB350V2-ELDA,"Tuesday, July 6, 2021",9:48 AM EST,11.5,$230
adidas Yeezy Boost 350 V2 Sand Taupe,YZB350V2-ELDA,"Tuesday, July 6, 2021",8:20 AM EST,6.5,$355
adidas Yeezy Boost 350 V2 Sand Taupe,YZB350V2-ELDA,"Tuesday, July 6, 2021",6:54 AM EST,10,$258
adidas Yeezy Boost 350 V2 Sand Taupe,YZB350V2-ELDA,"Tuesday, July 6, 2021",6:36 AM EST,10.5,$249
