name,ticker,date,time,size,price
adidas Yeezy Boost 350 V2 Glow (Kids),YZB350V2-GLWPS,"Monday, June 14, 2021",7:36 AM EST,1.5,$424
adidas Yeezy Boost 350 V2 Glow (Kids),YZB350V2-GLWPS,"Thursday, June 10, 2021",3:14 PM EST,1,$555
adidas Yeezy Boost 350 V2 Glow (Kids),YZB350V2-GLWPS,"Thursday, April 29, 2021",8:56 AM EST,2,$750
adidas Yeezy Boost 350 V2 Glow (Kids),YZB350V2-GLWPS,"Wednesday, April 28, 2021",12:32 AM EST,1,$696
adidas Yeezy Boost 350 V2 Glow (Kids),YZB350V2-GLWPS,"Tuesday, April 27, 2021",2:44 PM EST,12.5K,$383
adidas Yeezy Boost 350 V2 Glow (Kids),YZB350V2-GLWPS,"Monday, April 26, 2021",8:39 AM EST,3,$520
adidas Yeezy Boost 350 V2 Glow (Kids),YZB350V2-GLWPS,"Saturday, April 24, 2021",4:20 AM EST,10.5K,$578
adidas Yeezy Boost 350 V2 Glow (Kids),YZB350V2-GLWPS,"Tuesday, March 30, 2021",6:31 AM EST,1,$681
adidas Yeezy Boost 350 V2 Glow (Kids),YZB350V2-GLWPS,"Sunday, March 21, 2021",3:22 PM EST,2.5,$502
adidas Yeezy Boost 350 V2 Glow (Kids),YZB350V2-GLWPS,"Wednesday, March 17, 2021",4:41 AM EST,2,$505
adidas Yeezy Boost 350 V2 Glow (Kids),YZB350V2-GLWPS,"Friday, January 22, 2021",11:15 PM EST,3,$550
adidas Yeezy Boost 350 V2 Glow (Kids),YZB350V2-GLWPS,"Tuesday, December 29, 2020",6:21 PM EST,12K,$330
adidas Yeezy Boost 350 V2 Glow (Kids),YZB350V2-GLWPS,"Thursday, December 24, 2020",12:20 PM EST,10.5K,$613
adidas Yeezy Boost 350 V2 Glow (Kids),YZB350V2-GLWPS,"Thursday, December 24, 2020",12:20 PM EST,13K,$559
adidas Yeezy Boost 350 V2 Glow (Kids),YZB350V2-GLWPS,"Sunday, December 13, 2020",9:02 AM EST,2.5,$500
adidas Yeezy Boost 350 V2 Glow (Kids),YZB350V2-GLWPS,"Tuesday, December 8, 2020",1:20 AM EST,1,$541
adidas Yeezy Boost 350 V2 Glow (Kids),YZB350V2-GLWPS,"Sunday, December 6, 2020",11:20 AM EST,2.5,$765
adidas Yeezy Boost 350 V2 Glow (Kids),YZB350V2-GLWPS,"Friday, November 27, 2020",9:48 AM EST,11.5K,$255
adidas Yeezy Boost 350 V2 Glow (Kids),YZB350V2-GLWPS,"Wednesday, November 25, 2020",12:40 AM EST,2.5,$350
adidas Yeezy Boost 350 V2 Glow (Kids),YZB350V2-GLWPS,"Friday, November 20, 2020",4:23 AM EST,12K,$819
adidas Yeezy Boost 350 V2 Glow (Kids),YZB350V2-GLWPS,"Tuesday, November 17, 2020",8:29 AM EST,13K,$950
adidas Yeezy Boost 350 V2 Glow (Kids),YZB350V2-GLWPS,"Wednesday, October 21, 2020",9:14 PM EST,3,$800
adidas Yeezy Boost 350 V2 Glow (Kids),YZB350V2-GLWPS,"Monday, October 19, 2020",10:59 AM EST,2.5,$350
adidas Yeezy Boost 350 V2 Glow (Kids),YZB350V2-GLWPS,"Tuesday, September 29, 2020",2:46 PM EST,2.5,$579
adidas Yeezy Boost 350 V2 Glow (Kids),YZB350V2-GLWPS,"Saturday, September 26, 2020",1:00 PM EST,11.5K,$418
adidas Yeezy Boost 350 V2 Glow (Kids),YZB350V2-GLWPS,"Wednesday, September 23, 2020",7:06 AM EST,10.5K,$410
adidas Yeezy Boost 350 V2 Glow (Kids),YZB350V2-GLWPS,"Saturday, September 19, 2020",2:08 PM EST,2.5,$512
adidas Yeezy Boost 350 V2 Glow (Kids),YZB350V2-GLWPS,"Thursday, September 10, 2020",11:02 AM EST,1,$410
adidas Yeezy Boost 350 V2 Glow (Kids),YZB350V2-GLWPS,"Tuesday, September 8, 2020",8:18 AM EST,13K,$413
adidas Yeezy Boost 350 V2 Glow (Kids),YZB350V2-GLWPS,"Thursday, September 3, 2020",4:45 PM EST,1,$414
adidas Yeezy Boost 350 V2 Glow (Kids),YZB350V2-GLWPS,"Wednesday, September 2, 2020",9:50 AM EST,1,$414
adidas Yeezy Boost 350 V2 Glow (Kids),YZB350V2-GLWPS,"Thursday, August 20, 2020",10:29 AM EST,1.5,$569
adidas Yeezy Boost 350 V2 Glow (Kids),YZB350V2-GLWPS,"Saturday, August 15, 2020",7:49 PM EST,3,$649
adidas Yeezy Boost 350 V2 Glow (Kids),YZB350V2-GLWPS,"Saturday, August 15, 2020",5:15 AM EST,2,$505
adidas Yeezy Boost 350 V2 Glow (Kids),YZB350V2-GLWPS,"Wednesday, August 12, 2020",10:21 AM EST,1,$414
adidas Yeezy Boost 350 V2 Glow (Kids),YZB350V2-GLWPS,"Tuesday, August 11, 2020",11:05 AM EST,11K,$451
adidas Yeezy Boost 350 V2 Glow (Kids),YZB350V2-GLWPS,"Monday, August 10, 2020",8:21 PM EST,3,$600
adidas Yeezy Boost 350 V2 Glow (Kids),YZB350V2-GLWPS,"Monday, August 3, 2020",9:43 AM EST,2,$765
adidas Yeezy Boost 350 V2 Glow (Kids),YZB350V2-GLWPS,"Thursday, July 23, 2020",9:23 PM EST,11K,$500
adidas Yeezy Boost 350 V2 Glow (Kids),YZB350V2-GLWPS,"Monday, July 6, 2020",3:38 PM EST,12K,$460
adidas Yeezy Boost 350 V2 Glow (Kids),YZB350V2-GLWPS,"Wednesday, July 1, 2020",10:15 PM EST,3,$491
adidas Yeezy Boost 350 V2 Glow (Kids),YZB350V2-GLWPS,"Tuesday, June 30, 2020",10:42 PM EST,11.5K,$502
adidas Yeezy Boost 350 V2 Glow (Kids),YZB350V2-GLWPS,"Tuesday, June 30, 2020",8:16 PM EST,13K,$401
adidas Yeezy Boost 350 V2 Glow (Kids),YZB350V2-GLWPS,"Friday, June 26, 2020",5:23 AM EST,13K,$395
adidas Yeezy Boost 350 V2 Glow (Kids),YZB350V2-GLWPS,"Tuesday, June 16, 2020",2:39 PM EST,1.5,$548
adidas Yeezy Boost 350 V2 Glow (Kids),YZB350V2-GLWPS,"Thursday, June 11, 2020",12:10 PM EST,11.5K,$275
adidas Yeezy Boost 350 V2 Glow (Kids),YZB350V2-GLWPS,"Saturday, June 6, 2020",10:03 PM EST,1.5,$377
adidas Yeezy Boost 350 V2 Glow (Kids),YZB350V2-GLWPS,"Wednesday, May 20, 2020",3:05 AM EST,1,$414
adidas Yeezy Boost 350 V2 Glow (Kids),YZB350V2-GLWPS,"Friday, May 15, 2020",11:47 AM EST,11.5K,$275
adidas Yeezy Boost 350 V2 Glow (Kids),YZB350V2-GLWPS,"Monday, May 11, 2020",8:42 AM EST,12.5K,$667
adidas Yeezy Boost 350 V2 Glow (Kids),YZB350V2-GLWPS,"Thursday, May 7, 2020",10:39 PM EST,2,$445
adidas Yeezy Boost 350 V2 Glow (Kids),YZB350V2-GLWPS,"Tuesday, May 5, 2020",4:42 AM EST,12K,$421
adidas Yeezy Boost 350 V2 Glow (Kids),YZB350V2-GLWPS,"Saturday, May 2, 2020",6:44 PM EST,3,$588
