name,ticker,date,time,size,price
adidas Yeezy Boost 350 V2 Hyperspace,YZB350V2-HS,"Wednesday, June 30, 2021",6:10 AM EST,7.5,$437
adidas Yeezy Boost 350 V2 Hyperspace,YZB350V2-HS,"Tuesday, June 29, 2021",9:00 PM EST,8.5,$438
adidas Yeezy Boost 350 V2 Hyperspace,YZB350V2-HS,"Tuesday, June 29, 2021",9:08 AM EST,12,$440
adidas Yeezy Boost 350 V2 Hyperspace,YZB350V2-HS,"Saturday, June 26, 2021",9:48 PM EST,12,$434
adidas Yeezy Boost 350 V2 Hyperspace,YZB350V2-HS,"Thursday, June 24, 2021",12:31 AM EST,9.5,$524
adidas Yeezy Boost 350 V2 Hyperspace,YZB350V2-HS,"Thursday, June 24, 2021",9:33 AM EST,8.5,$481
adidas Yeezy Boost 350 V2 Hyperspace,YZB350V2-HS,"Thursday, June 24, 2021",5:54 AM EST,8.5,$446
adidas Yeezy Boost 350 V2 Hyperspace,YZB350V2-HS,"Tuesday, June 22, 2021",10:03 PM EST,14,$402
adidas Yeezy Boost 350 V2 Hyperspace,YZB350V2-HS,"Saturday, June 19, 2021",3:20 PM EST,13,$400
adidas Yeezy Boost 350 V2 Hyperspace,YZB350V2-HS,"Saturday, June 19, 2021",11:17 AM EST,9,$443
adidas Yeezy Boost 350 V2 Hyperspace,YZB350V2-HS,"Saturday, June 19, 2021",2:22 AM EST,11.5,$491
adidas Yeezy Boost 350 V2 Hyperspace,YZB350V2-HS,"Monday, June 14, 2021",4:37 PM EST,14,$394
adidas Yeezy Boost 350 V2 Hyperspace,YZB350V2-HS,"Friday, June 11, 2021",8:56 AM EST,9.5,$482
adidas Yeezy Boost 350 V2 Hyperspace,YZB350V2-HS,"Wednesday, June 9, 2021",11:41 AM EST,8.5,$475
adidas Yeezy Boost 350 V2 Hyperspace,YZB350V2-HS,"Tuesday, June 8, 2021",1:22 PM EST,8.5,$420
adidas Yeezy Boost 350 V2 Hyperspace,YZB350V2-HS,"Saturday, June 5, 2021",8:50 PM EST,9.5,$524
adidas Yeezy Boost 350 V2 Hyperspace,YZB350V2-HS,"Saturday, June 5, 2021",11:34 AM EST,10.5,$666
adidas Yeezy Boost 350 V2 Hyperspace,YZB350V2-HS,"Saturday, June 5, 2021",11:08 AM EST,8,$481
adidas Yeezy Boost 350 V2 Hyperspace,YZB350V2-HS,"Friday, June 4, 2021",10:56 PM EST,13,$447
adidas Yeezy Boost 350 V2 Hyperspace,YZB350V2-HS,"Friday, June 4, 2021",10:13 PM EST,9,$402
adidas Yeezy Boost 350 V2 Hyperspace,YZB350V2-HS,"Monday, May 31, 2021",10:05 PM EST,9,$549
adidas Yeezy Boost 350 V2 Hyperspace,YZB350V2-HS,"Sunday, May 30, 2021",12:24 AM EST,10.5,$506
adidas Yeezy Boost 350 V2 Hyperspace,YZB350V2-HS,"Saturday, May 29, 2021",10:45 AM EST,13.5,$570
adidas Yeezy Boost 350 V2 Hyperspace,YZB350V2-HS,"Wednesday, May 26, 2021",2:20 PM EST,10,$450
adidas Yeezy Boost 350 V2 Hyperspace,YZB350V2-HS,"Wednesday, May 26, 2021",5:52 AM EST,4,$670
adidas Yeezy Boost 350 V2 Hyperspace,YZB350V2-HS,"Thursday, May 20, 2021",12:51 PM EST,13,$430
adidas Yeezy Boost 350 V2 Hyperspace,YZB350V2-HS,"Tuesday, May 18, 2021",3:41 AM EST,9,$480
adidas Yeezy Boost 350 V2 Hyperspace,YZB350V2-HS,"Sunday, May 16, 2021",1:00 PM EST,9.5,$513
adidas Yeezy Boost 350 V2 Hyperspace,YZB350V2-HS,"Saturday, May 15, 2021",6:53 AM EST,10,$479
adidas Yeezy Boost 350 V2 Hyperspace,YZB350V2-HS,"Saturday, May 15, 2021",3:20 AM EST,8,$545
adidas Yeezy Boost 350 V2 Hyperspace,YZB350V2-HS,"Friday, May 14, 2021",9:23 PM EST,13,$396
adidas Yeezy Boost 350 V2 Hyperspace,YZB350V2-HS,"Thursday, May 13, 2021",12:03 AM EST,11,$487
adidas Yeezy Boost 350 V2 Hyperspace,YZB350V2-HS,"Thursday, May 13, 2021",5:05 AM EST,10.5,$441
adidas Yeezy Boost 350 V2 Hyperspace,YZB350V2-HS,"Thursday, May 13, 2021",2:43 AM EST,9,$454
adidas Yeezy Boost 350 V2 Hyperspace,YZB350V2-HS,"Thursday, May 13, 2021",2:39 AM EST,9,$450
adidas Yeezy Boost 350 V2 Hyperspace,YZB350V2-HS,"Thursday, May 13, 2021",2:25 AM EST,9,$443
adidas Yeezy Boost 350 V2 Hyperspace,YZB350V2-HS,"Thursday, May 13, 2021",1:50 AM EST,8.5,$465
adidas Yeezy Boost 350 V2 Hyperspace,YZB350V2-HS,"Thursday, May 13, 2021",1:24 AM EST,8,$475
adidas Yeezy Boost 350 V2 Hyperspace,YZB350V2-HS,"Wednesday, May 12, 2021",9:07 PM EST,8.5,$463
