name,ticker,date,time,size,price
adidas Yeezy Boost 350 V2 Israfil,YZB350V2-ISRF,"Tuesday, July 6, 2021",6:37 PM EST,9.5,$286
adidas Yeezy Boost 350 V2 Israfil,YZB350V2-ISRF,"Tuesday, July 6, 2021",5:20 PM EST,6.5,$313
adidas Yeezy Boost 350 V2 Israfil,YZB350V2-ISRF,"Tuesday, July 6, 2021",5:07 PM EST,9.5,$278
adidas Yeezy Boost 350 V2 Israfil,YZB350V2-ISRF,"Tuesday, July 6, 2021",5:05 PM EST,9,$285
adidas Yeezy Boost 350 V2 Israfil,YZB350V2-ISRF,"Tuesday, July 6, 2021",4:57 PM EST,10,$270
adidas Yeezy Boost 350 V2 Israfil,YZB350V2-ISRF,"Tuesday, July 6, 2021",4:57 PM EST,10,$265
adidas Yeezy Boost 350 V2 Israfil,YZB350V2-ISRF,"Tuesday, July 6, 2021",4:36 PM EST,9,$305
adidas Yeezy Boost 350 V2 Israfil,YZB350V2-ISRF,"Tuesday, July 6, 2021",4:10 PM EST,10,$326
adidas Yeezy Boost 350 V2 Israfil,YZB350V2-ISRF,"Tuesday, July 6, 2021",3:15 PM EST,11,$290
adidas Yeezy Boost 350 V2 Israfil,YZB350V2-ISRF,"Tuesday, July 6, 2021",1:23 PM EST,11,$290
adidas Yeezy Boost 350 V2 Israfil,YZB350V2-ISRF,"Tuesday, July 6, 2021",1:01 PM EST,9.5,$291
adidas Yeezy Boost 350 V2 Israfil,YZB350V2-ISRF,"Tuesday, July 6, 2021",12:35 PM EST,10.5,$291
adidas Yeezy Boost 350 V2 Israfil,YZB350V2-ISRF,"Tuesday, July 6, 2021",12:35 PM EST,11,$289
adidas Yeezy Boost 350 V2 Israfil,YZB350V2-ISRF,"Tuesday, July 6, 2021",12:19 PM EST,10.5,$260
adidas Yeezy Boost 350 V2 Israfil,YZB350V2-ISRF,"Tuesday, July 6, 2021",11:14 AM EST,10.5,$291
adidas Yeezy Boost 350 V2 Israfil,YZB350V2-ISRF,"Tuesday, July 6, 2021",11:07 AM EST,7.5,$360
adidas Yeezy Boost 350 V2 Israfil,YZB350V2-ISRF,"Tuesday, July 6, 2021",9:47 AM EST,4,$320
adidas Yeezy Boost 350 V2 Israfil,YZB350V2-ISRF,"Tuesday, July 6, 2021",9:27 AM EST,8.5,$350
adidas Yeezy Boost 350 V2 Israfil,YZB350V2-ISRF,"Tuesday, July 6, 2021",7:07 AM EST,10.5,$291
adidas Yeezy Boost 350 V2 Israfil,YZB350V2-ISRF,"Tuesday, July 6, 2021",4:26 AM EST,13,$310
adidas Yeezy Boost 350 V2 Israfil,YZB350V2-ISRF,"Tuesday, July 6, 2021",3:37 AM EST,8.5,$344
adidas Yeezy Boost 350 V2 Israfil,YZB350V2-ISRF,"Tuesday, July 6, 2021",3:00 AM EST,10,$275
adidas Yeezy Boost 350 V2 Israfil,YZB350V2-ISRF,"Tuesday, July 6, 2021",1:41 AM EST,10,$271
adidas Yeezy Boost 350 V2 Israfil,YZB350V2-ISRF,"Monday, July 5, 2021",10:17 PM EST,8.5,$338
adidas Yeezy Boost 350 V2 Israfil,YZB350V2-ISRF,"Monday, July 5, 2021",10:04 PM EST,10.5,$291
adidas Yeezy Boost 350 V2 Israfil,YZB350V2-ISRF,"Monday, July 5, 2021",8:44 PM EST,10.5,$290
adidas Yeezy Boost 350 V2 Israfil,YZB350V2-ISRF,"Monday, July 5, 2021",8:14 PM EST,11.5,$315
adidas Yeezy Boost 350 V2 Israfil,YZB350V2-ISRF,"Monday, July 5, 2021",7:38 PM EST,11,$290
adidas Yeezy Boost 350 V2 Israfil,YZB350V2-ISRF,"Monday, July 5, 2021",5:24 PM EST,8,$330
adidas Yeezy Boost 350 V2 Israfil,YZB350V2-ISRF,"Monday, July 5, 2021",5:05 PM EST,10.5,$285
adidas Yeezy Boost 350 V2 Israfil,YZB350V2-ISRF,"Monday, July 5, 2021",2:00 PM EST,8,$315
adidas Yeezy Boost 350 V2 Israfil,YZB350V2-ISRF,"Monday, July 5, 2021",1:59 PM EST,12,$270
adidas Yeezy Boost 350 V2 Israfil,YZB350V2-ISRF,"Monday, July 5, 2021",12:36 PM EST,9.5,$319
adidas Yeezy Boost 350 V2 Israfil,YZB350V2-ISRF,"Monday, July 5, 2021",11:25 AM EST,10.5,$285
adidas Yeezy Boost 350 V2 Israfil,YZB350V2-ISRF,"Monday, July 5, 2021",10:44 AM EST,11,$290
adidas Yeezy Boost 350 V2 Israfil,YZB350V2-ISRF,"Monday, July 5, 2021",10:24 AM EST,10.5,$343
adidas Yeezy Boost 350 V2 Israfil,YZB350V2-ISRF,"Monday, July 5, 2021",9:29 AM EST,10,$294
adidas Yeezy Boost 350 V2 Israfil,YZB350V2-ISRF,"Monday, July 5, 2021",7:04 AM EST,10,$292
adidas Yeezy Boost 350 V2 Israfil,YZB350V2-ISRF,"Monday, July 5, 2021",5:41 AM EST,10.5,$288
adidas Yeezy Boost 350 V2 Israfil,YZB350V2-ISRF,"Monday, July 5, 2021",5:39 AM EST,9,$291
adidas Yeezy Boost 350 V2 Israfil,YZB350V2-ISRF,"Monday, July 5, 2021",5:05 AM EST,5.5,$329
adidas Yeezy Boost 350 V2 Israfil,YZB350V2-ISRF,"Monday, July 5, 2021",4:38 AM EST,8.5,$327
adidas Yeezy Boost 350 V2 Israfil,YZB350V2-ISRF,"Monday, July 5, 2021",4:38 AM EST,10,$330
adidas Yeezy Boost 350 V2 Israfil,YZB350V2-ISRF,"Monday, July 5, 2021",4:18 AM EST,11,$337
adidas Yeezy Boost 350 V2 Israfil,YZB350V2-ISRF,"Sunday, July 4, 2021",10:52 PM EST,10,$293
adidas Yeezy Boost 350 V2 Israfil,YZB350V2-ISRF,"Sunday, July 4, 2021",9:58 PM EST,12,$284
adidas Yeezy Boost 350 V2 Israfil,YZB350V2-ISRF,"Sunday, July 4, 2021",9:08 PM EST,11,$289
adidas Yeezy Boost 350 V2 Israfil,YZB350V2-ISRF,"Sunday, July 4, 2021",7:36 PM EST,11,$280
adidas Yeezy Boost 350 V2 Israfil,YZB350V2-ISRF,"Sunday, July 4, 2021",7:20 PM EST,8.5,$327
adidas Yeezy Boost 350 V2 Israfil,YZB350V2-ISRF,"Sunday, July 4, 2021",7:05 PM EST,6.5,$355
adidas Yeezy Boost 350 V2 Israfil,YZB350V2-ISRF,"Sunday, July 4, 2021",4:27 PM EST,9.5,$314
adidas Yeezy Boost 350 V2 Israfil,YZB350V2-ISRF,"Sunday, July 4, 2021",4:02 PM EST,9.5,$318
adidas Yeezy Boost 350 V2 Israfil,YZB350V2-ISRF,"Sunday, July 4, 2021",3:38 PM EST,9,$300
adidas Yeezy Boost 350 V2 Israfil,YZB350V2-ISRF,"Sunday, July 4, 2021",2:56 PM EST,13,$330
adidas Yeezy Boost 350 V2 Israfil,YZB350V2-ISRF,"Sunday, July 4, 2021",1:57 PM EST,10,$293
adidas Yeezy Boost 350 V2 Israfil,YZB350V2-ISRF,"Sunday, July 4, 2021",12:57 PM EST,11.5,$312
adidas Yeezy Boost 350 V2 Israfil,YZB350V2-ISRF,"Sunday, July 4, 2021",12:28 PM EST,9.5,$316
adidas Yeezy Boost 350 V2 Israfil,YZB350V2-ISRF,"Sunday, July 4, 2021",9:05 AM EST,14,$317
adidas Yeezy Boost 350 V2 Israfil,YZB350V2-ISRF,"Sunday, July 4, 2021",9:01 AM EST,11.5,$300
adidas Yeezy Boost 350 V2 Israfil,YZB350V2-ISRF,"Sunday, July 4, 2021",6:26 AM EST,4,$308
adidas Yeezy Boost 350 V2 Israfil,YZB350V2-ISRF,"Sunday, July 4, 2021",1:16 AM EST,12,$283
adidas Yeezy Boost 350 V2 Israfil,YZB350V2-ISRF,"Saturday, July 3, 2021",11:58 PM EST,10,$292
adidas Yeezy Boost 350 V2 Israfil,YZB350V2-ISRF,"Saturday, July 3, 2021",10:06 PM EST,10,$291
adidas Yeezy Boost 350 V2 Israfil,YZB350V2-ISRF,"Saturday, July 3, 2021",6:45 PM EST,7.5,$360
adidas Yeezy Boost 350 V2 Israfil,YZB350V2-ISRF,"Saturday, July 3, 2021",6:22 PM EST,7.5,$355
adidas Yeezy Boost 350 V2 Israfil,YZB350V2-ISRF,"Saturday, July 3, 2021",5:54 PM EST,8,$340
adidas Yeezy Boost 350 V2 Israfil,YZB350V2-ISRF,"Saturday, July 3, 2021",5:23 PM EST,12,$282
adidas Yeezy Boost 350 V2 Israfil,YZB350V2-ISRF,"Saturday, July 3, 2021",5:00 PM EST,11,$289
adidas Yeezy Boost 350 V2 Israfil,YZB350V2-ISRF,"Saturday, July 3, 2021",4:53 PM EST,11,$288
adidas Yeezy Boost 350 V2 Israfil,YZB350V2-ISRF,"Saturday, July 3, 2021",3:11 PM EST,7.5,$316
adidas Yeezy Boost 350 V2 Israfil,YZB350V2-ISRF,"Saturday, July 3, 2021",2:13 PM EST,10,$291
adidas Yeezy Boost 350 V2 Israfil,YZB350V2-ISRF,"Saturday, July 3, 2021",2:04 PM EST,10,$270
adidas Yeezy Boost 350 V2 Israfil,YZB350V2-ISRF,"Saturday, July 3, 2021",11:31 AM EST,10.5,$288
adidas Yeezy Boost 350 V2 Israfil,YZB350V2-ISRF,"Saturday, July 3, 2021",11:30 AM EST,10,$311
adidas Yeezy Boost 350 V2 Israfil,YZB350V2-ISRF,"Saturday, July 3, 2021",11:24 AM EST,8.5,$332
