name,ticker,date,time,size,price
adidas Yeezy Boost 350 V2 Israfil (Infant),YZB350V2-ISRFI,"Monday, June 21, 2021",6:46 PM EST,7K,$373
adidas Yeezy Boost 350 V2 Israfil (Infant),YZB350V2-ISRFI,"Saturday, June 19, 2021",9:14 PM EST,5K,$210
adidas Yeezy Boost 350 V2 Israfil (Infant),YZB350V2-ISRFI,"Wednesday, June 16, 2021",12:52 PM EST,6K,$190
adidas Yeezy Boost 350 V2 Israfil (Infant),YZB350V2-ISRFI,"Thursday, June 3, 2021",2:22 AM EST,6K,$378
adidas Yeezy Boost 350 V2 Israfil (Infant),YZB350V2-ISRFI,"Saturday, May 22, 2021",11:03 PM EST,10K,$351
adidas Yeezy Boost 350 V2 Israfil (Infant),YZB350V2-ISRFI,"Thursday, May 20, 2021",1:12 PM EST,10K,$300
adidas Yeezy Boost 350 V2 Israfil (Infant),YZB350V2-ISRFI,"Tuesday, May 18, 2021",4:57 PM EST,10K,$269
adidas Yeezy Boost 350 V2 Israfil (Infant),YZB350V2-ISRFI,"Monday, May 3, 2021",12:22 PM EST,4K,$350
adidas Yeezy Boost 350 V2 Israfil (Infant),YZB350V2-ISRFI,"Thursday, April 29, 2021",11:01 AM EST,6K,$246
adidas Yeezy Boost 350 V2 Israfil (Infant),YZB350V2-ISRFI,"Monday, April 26, 2021",8:31 PM EST,6K,$244
adidas Yeezy Boost 350 V2 Israfil (Infant),YZB350V2-ISRFI,"Tuesday, April 20, 2021",2:20 PM EST,9.5K,$150
adidas Yeezy Boost 350 V2 Israfil (Infant),YZB350V2-ISRFI,"Tuesday, April 6, 2021",5:05 PM EST,4K,$156
adidas Yeezy Boost 350 V2 Israfil (Infant),YZB350V2-ISRFI,"Wednesday, March 31, 2021",2:42 AM EST,9.5K,$321
adidas Yeezy Boost 350 V2 Israfil (Infant),YZB350V2-ISRFI,"Monday, March 29, 2021",10:32 AM EST,9K,$293
adidas Yeezy Boost 350 V2 Israfil (Infant),YZB350V2-ISRFI,"Monday, March 29, 2021",5:49 AM EST,6.5K,$261
adidas Yeezy Boost 350 V2 Israfil (Infant),YZB350V2-ISRFI,"Saturday, March 27, 2021",2:51 PM EST,8K,$299
adidas Yeezy Boost 350 V2 Israfil (Infant),YZB350V2-ISRFI,"Saturday, March 27, 2021",10:20 AM EST,10K,$275
adidas Yeezy Boost 350 V2 Israfil (Infant),YZB350V2-ISRFI,"Friday, March 26, 2021",5:14 AM EST,4K,$314
adidas Yeezy Boost 350 V2 Israfil (Infant),YZB350V2-ISRFI,"Wednesday, March 24, 2021",2:38 PM EST,7K,$338
adidas Yeezy Boost 350 V2 Israfil (Infant),YZB350V2-ISRFI,"Tuesday, March 23, 2021",7:49 PM EST,4K,$290
adidas Yeezy Boost 350 V2 Israfil (Infant),YZB350V2-ISRFI,"Monday, March 22, 2021",10:35 PM EST,8K,$298
