name,ticker,date,time,size,price
adidas Yeezy Boost 350 V2 Israfil (Kids),YZB350V2-ISRFK,"Tuesday, July 6, 2021",12:08 PM EST,3Y,$406
adidas Yeezy Boost 350 V2 Israfil (Kids),YZB350V2-ISRFK,"Saturday, July 3, 2021",3:29 AM EST,11K,$210
adidas Yeezy Boost 350 V2 Israfil (Kids),YZB350V2-ISRFK,"Tuesday, June 22, 2021",5:45 AM EST,13K,$280
adidas Yeezy Boost 350 V2 Israfil (Kids),YZB350V2-ISRFK,"Thursday, May 27, 2021",3:06 PM EST,3.5Y,$369
adidas Yeezy Boost 350 V2 Israfil (Kids),YZB350V2-ISRFK,"Monday, May 17, 2021",11:30 AM EST,1Y,$376
adidas Yeezy Boost 350 V2 Israfil (Kids),YZB350V2-ISRFK,"Thursday, May 6, 2021",3:23 PM EST,3Y,$321
adidas Yeezy Boost 350 V2 Israfil (Kids),YZB350V2-ISRFK,"Tuesday, May 4, 2021",12:41 PM EST,13.5K,$230
adidas Yeezy Boost 350 V2 Israfil (Kids),YZB350V2-ISRFK,"Wednesday, April 28, 2021",3:10 PM EST,12K,$206
adidas Yeezy Boost 350 V2 Israfil (Kids),YZB350V2-ISRFK,"Wednesday, April 28, 2021",1:26 PM EST,13K,$288
adidas Yeezy Boost 350 V2 Israfil (Kids),YZB350V2-ISRFK,"Wednesday, April 21, 2021",6:57 PM EST,3Y,$328
adidas Yeezy Boost 350 V2 Israfil (Kids),YZB350V2-ISRFK,"Saturday, April 10, 2021",3:27 AM EST,13.5K,$280
adidas Yeezy Boost 350 V2 Israfil (Kids),YZB350V2-ISRFK,"Monday, April 5, 2021",11:49 AM EST,2Y,$360
adidas Yeezy Boost 350 V2 Israfil (Kids),YZB350V2-ISRFK,"Thursday, April 1, 2021",10:03 PM EST,12K,$206
adidas Yeezy Boost 350 V2 Israfil (Kids),YZB350V2-ISRFK,"Thursday, March 25, 2021",12:06 PM EST,1Y,$340
adidas Yeezy Boost 350 V2 Israfil (Kids),YZB350V2-ISRFK,"Sunday, March 21, 2021",9:32 AM EST,3.5Y,$429
adidas Yeezy Boost 350 V2 Israfil (Kids),YZB350V2-ISRFK,"Saturday, March 20, 2021",4:22 PM EST,3.5Y,$429
adidas Yeezy Boost 350 V2 Israfil (Kids),YZB350V2-ISRFK,"Monday, March 15, 2021",8:05 AM EST,2.5Y,$300
adidas Yeezy Boost 350 V2 Israfil (Kids),YZB350V2-ISRFK,"Saturday, March 13, 2021",4:45 PM EST,1Y,$334
adidas Yeezy Boost 350 V2 Israfil (Kids),YZB350V2-ISRFK,"Wednesday, March 10, 2021",11:22 AM EST,13.5K,$348
adidas Yeezy Boost 350 V2 Israfil (Kids),YZB350V2-ISRFK,"Wednesday, March 10, 2021",2:08 AM EST,10.5K,$462
adidas Yeezy Boost 350 V2 Israfil (Kids),YZB350V2-ISRFK,"Friday, March 5, 2021",3:50 PM EST,1Y,$330
adidas Yeezy Boost 350 V2 Israfil (Kids),YZB350V2-ISRFK,"Wednesday, March 3, 2021",4:35 PM EST,1Y,$325
adidas Yeezy Boost 350 V2 Israfil (Kids),YZB350V2-ISRFK,"Saturday, February 27, 2021",12:12 AM EST,3Y,$420
adidas Yeezy Boost 350 V2 Israfil (Kids),YZB350V2-ISRFK,"Wednesday, February 17, 2021",12:15 PM EST,1.5Y,$324
adidas Yeezy Boost 350 V2 Israfil (Kids),YZB350V2-ISRFK,"Wednesday, February 17, 2021",12:14 PM EST,1Y,$325
adidas Yeezy Boost 350 V2 Israfil (Kids),YZB350V2-ISRFK,"Sunday, February 14, 2021",4:35 PM EST,11K,$291
adidas Yeezy Boost 350 V2 Israfil (Kids),YZB350V2-ISRFK,"Tuesday, February 2, 2021",4:53 PM EST,11K,$275
adidas Yeezy Boost 350 V2 Israfil (Kids),YZB350V2-ISRFK,"Monday, February 1, 2021",2:02 PM EST,12K,$351
adidas Yeezy Boost 350 V2 Israfil (Kids),YZB350V2-ISRFK,"Thursday, January 28, 2021",10:07 PM EST,12K,$350
adidas Yeezy Boost 350 V2 Israfil (Kids),YZB350V2-ISRFK,"Wednesday, January 27, 2021",2:49 PM EST,3Y,$445
adidas Yeezy Boost 350 V2 Israfil (Kids),YZB350V2-ISRFK,"Wednesday, January 27, 2021",3:14 AM EST,11.5K,$504
adidas Yeezy Boost 350 V2 Israfil (Kids),YZB350V2-ISRFK,"Monday, January 25, 2021",12:29 AM EST,3Y,$448
adidas Yeezy Boost 350 V2 Israfil (Kids),YZB350V2-ISRFK,"Sunday, January 24, 2021",6:07 AM EST,12K,$300
adidas Yeezy Boost 350 V2 Israfil (Kids),YZB350V2-ISRFK,"Thursday, January 21, 2021",9:35 AM EST,10.5K,$408
adidas Yeezy Boost 350 V2 Israfil (Kids),YZB350V2-ISRFK,"Thursday, January 21, 2021",9:34 AM EST,10.5K,$400
adidas Yeezy Boost 350 V2 Israfil (Kids),YZB350V2-ISRFK,"Tuesday, January 19, 2021",12:39 AM EST,1Y,$303
adidas Yeezy Boost 350 V2 Israfil (Kids),YZB350V2-ISRFK,"Friday, January 15, 2021",6:56 PM EST,2.5Y,$290
adidas Yeezy Boost 350 V2 Israfil (Kids),YZB350V2-ISRFK,"Wednesday, January 13, 2021",11:24 AM EST,11K,$300
adidas Yeezy Boost 350 V2 Israfil (Kids),YZB350V2-ISRFK,"Wednesday, January 13, 2021",5:34 AM EST,1.5Y,$433
adidas Yeezy Boost 350 V2 Israfil (Kids),YZB350V2-ISRFK,"Sunday, January 10, 2021",1:33 PM EST,11K,$299
adidas Yeezy Boost 350 V2 Israfil (Kids),YZB350V2-ISRFK,"Monday, January 4, 2021",11:51 PM EST,1Y,$260
adidas Yeezy Boost 350 V2 Israfil (Kids),YZB350V2-ISRFK,"Wednesday, December 30, 2020",5:50 PM EST,3.5Y,$379
adidas Yeezy Boost 350 V2 Israfil (Kids),YZB350V2-ISRFK,"Sunday, December 27, 2020",10:47 AM EST,12.5K,$266
adidas Yeezy Boost 350 V2 Israfil (Kids),YZB350V2-ISRFK,"Friday, December 25, 2020",3:21 AM EST,2Y,$297
adidas Yeezy Boost 350 V2 Israfil (Kids),YZB350V2-ISRFK,"Thursday, December 24, 2020",7:01 PM EST,12.5K,$265
adidas Yeezy Boost 350 V2 Israfil (Kids),YZB350V2-ISRFK,"Tuesday, December 22, 2020",1:28 PM EST,11.5K,$377
adidas Yeezy Boost 350 V2 Israfil (Kids),YZB350V2-ISRFK,"Tuesday, December 22, 2020",1:20 PM EST,1Y,$260
adidas Yeezy Boost 350 V2 Israfil (Kids),YZB350V2-ISRFK,"Tuesday, December 22, 2020",6:36 AM EST,1.5Y,$306
adidas Yeezy Boost 350 V2 Israfil (Kids),YZB350V2-ISRFK,"Monday, December 21, 2020",2:02 PM EST,13.5K,$260
adidas Yeezy Boost 350 V2 Israfil (Kids),YZB350V2-ISRFK,"Saturday, December 19, 2020",12:35 AM EST,1.5Y,$295
adidas Yeezy Boost 350 V2 Israfil (Kids),YZB350V2-ISRFK,"Tuesday, December 15, 2020",1:34 AM EST,12K,$260
adidas Yeezy Boost 350 V2 Israfil (Kids),YZB350V2-ISRFK,"Monday, December 14, 2020",7:57 PM EST,3Y,$452
adidas Yeezy Boost 350 V2 Israfil (Kids),YZB350V2-ISRFK,"Monday, December 14, 2020",11:18 AM EST,13K,$255
adidas Yeezy Boost 350 V2 Israfil (Kids),YZB350V2-ISRFK,"Sunday, December 13, 2020",2:01 PM EST,2Y,$289
adidas Yeezy Boost 350 V2 Israfil (Kids),YZB350V2-ISRFK,"Saturday, December 12, 2020",11:41 AM EST,2Y,$286
adidas Yeezy Boost 350 V2 Israfil (Kids),YZB350V2-ISRFK,"Friday, December 11, 2020",3:32 AM EST,3Y,$395
adidas Yeezy Boost 350 V2 Israfil (Kids),YZB350V2-ISRFK,"Thursday, December 10, 2020",8:05 AM EST,2Y,$287
adidas Yeezy Boost 350 V2 Israfil (Kids),YZB350V2-ISRFK,"Wednesday, December 9, 2020",7:11 PM EST,11.5K,$304
adidas Yeezy Boost 350 V2 Israfil (Kids),YZB350V2-ISRFK,"Wednesday, December 9, 2020",3:51 PM EST,13K,$254
adidas Yeezy Boost 350 V2 Israfil (Kids),YZB350V2-ISRFK,"Monday, December 7, 2020",5:17 PM EST,3.5Y,$400
adidas Yeezy Boost 350 V2 Israfil (Kids),YZB350V2-ISRFK,"Sunday, December 6, 2020",7:25 PM EST,2Y,$280
adidas Yeezy Boost 350 V2 Israfil (Kids),YZB350V2-ISRFK,"Friday, December 4, 2020",4:07 AM EST,2Y,$275
adidas Yeezy Boost 350 V2 Israfil (Kids),YZB350V2-ISRFK,"Thursday, December 3, 2020",3:53 PM EST,11.5K,$303
adidas Yeezy Boost 350 V2 Israfil (Kids),YZB350V2-ISRFK,"Wednesday, December 2, 2020",12:32 AM EST,11K,$305
adidas Yeezy Boost 350 V2 Israfil (Kids),YZB350V2-ISRFK,"Wednesday, December 2, 2020",10:52 PM EST,1.5Y,$280
adidas Yeezy Boost 350 V2 Israfil (Kids),YZB350V2-ISRFK,"Wednesday, December 2, 2020",4:12 PM EST,3Y,$374
adidas Yeezy Boost 350 V2 Israfil (Kids),YZB350V2-ISRFK,"Wednesday, December 2, 2020",12:52 PM EST,11K,$304
adidas Yeezy Boost 350 V2 Israfil (Kids),YZB350V2-ISRFK,"Tuesday, December 1, 2020",3:55 AM EST,13K,$247
adidas Yeezy Boost 350 V2 Israfil (Kids),YZB350V2-ISRFK,"Monday, November 30, 2020",10:53 PM EST,13K,$180
adidas Yeezy Boost 350 V2 Israfil (Kids),YZB350V2-ISRFK,"Monday, November 30, 2020",10:27 PM EST,3.5Y,$325
adidas Yeezy Boost 350 V2 Israfil (Kids),YZB350V2-ISRFK,"Monday, November 30, 2020",4:13 PM EST,11K,$303
adidas Yeezy Boost 350 V2 Israfil (Kids),YZB350V2-ISRFK,"Monday, November 30, 2020",2:22 PM EST,13.5K,$240
adidas Yeezy Boost 350 V2 Israfil (Kids),YZB350V2-ISRFK,"Monday, November 30, 2020",9:45 AM EST,13.5K,$328
adidas Yeezy Boost 350 V2 Israfil (Kids),YZB350V2-ISRFK,"Saturday, November 28, 2020",9:04 PM EST,13.5K,$220
adidas Yeezy Boost 350 V2 Israfil (Kids),YZB350V2-ISRFK,"Saturday, November 28, 2020",7:16 PM EST,2Y,$288
adidas Yeezy Boost 350 V2 Israfil (Kids),YZB350V2-ISRFK,"Saturday, November 28, 2020",12:24 PM EST,11.5K,$307
adidas Yeezy Boost 350 V2 Israfil (Kids),YZB350V2-ISRFK,"Thursday, November 26, 2020",11:31 AM EST,3.5Y,$397
adidas Yeezy Boost 350 V2 Israfil (Kids),YZB350V2-ISRFK,"Wednesday, November 25, 2020",9:25 AM EST,2Y,$285
adidas Yeezy Boost 350 V2 Israfil (Kids),YZB350V2-ISRFK,"Wednesday, November 25, 2020",6:57 AM EST,12.5K,$267
adidas Yeezy Boost 350 V2 Israfil (Kids),YZB350V2-ISRFK,"Tuesday, November 24, 2020",9:44 AM EST,13.5K,$238
adidas Yeezy Boost 350 V2 Israfil (Kids),YZB350V2-ISRFK,"Wednesday, November 18, 2020",4:27 AM EST,2Y,$282
adidas Yeezy Boost 350 V2 Israfil (Kids),YZB350V2-ISRFK,"Tuesday, November 17, 2020",10:32 PM EST,2Y,$270
adidas Yeezy Boost 350 V2 Israfil (Kids),YZB350V2-ISRFK,"Tuesday, November 17, 2020",8:36 PM EST,2.5Y,$250
adidas Yeezy Boost 350 V2 Israfil (Kids),YZB350V2-ISRFK,"Tuesday, November 17, 2020",3:01 PM EST,3Y,$330
adidas Yeezy Boost 350 V2 Israfil (Kids),YZB350V2-ISRFK,"Tuesday, November 17, 2020",2:23 PM EST,1Y,$180
adidas Yeezy Boost 350 V2 Israfil (Kids),YZB350V2-ISRFK,"Sunday, November 15, 2020",11:14 AM EST,3.5Y,$392
adidas Yeezy Boost 350 V2 Israfil (Kids),YZB350V2-ISRFK,"Saturday, November 14, 2020",2:06 PM EST,1.5Y,$290
adidas Yeezy Boost 350 V2 Israfil (Kids),YZB350V2-ISRFK,"Wednesday, November 11, 2020",6:17 PM EST,2.5Y,$290
adidas Yeezy Boost 350 V2 Israfil (Kids),YZB350V2-ISRFK,"Monday, November 9, 2020",5:04 PM EST,1Y,$217
adidas Yeezy Boost 350 V2 Israfil (Kids),YZB350V2-ISRFK,"Thursday, November 5, 2020",1:14 PM EST,3Y,$350
