name,ticker,date,time,size,price
adidas Yeezy Boost 350 V2 Black (Non-Reflective),YZB350V2-SB,"Tuesday, July 6, 2021",6:55 PM EST,7.5,$642
adidas Yeezy Boost 350 V2 Black (Non-Reflective),YZB350V2-SB,"Tuesday, July 6, 2021",5:40 PM EST,12,$594
adidas Yeezy Boost 350 V2 Black (Non-Reflective),YZB350V2-SB,"Tuesday, July 6, 2021",1:22 PM EST,9.5,$599
adidas Yeezy Boost 350 V2 Black (Non-Reflective),YZB350V2-SB,"Tuesday, July 6, 2021",9:08 AM EST,10,$570
adidas Yeezy Boost 350 V2 Black (Non-Reflective),YZB350V2-SB,"Tuesday, July 6, 2021",9:04 AM EST,4,$540
adidas Yeezy Boost 350 V2 Black (Non-Reflective),YZB350V2-SB,"Tuesday, July 6, 2021",4:14 AM EST,12.5,$677
adidas Yeezy Boost 350 V2 Black (Non-Reflective),YZB350V2-SB,"Tuesday, July 6, 2021",3:48 AM EST,9.5,$577
adidas Yeezy Boost 350 V2 Black (Non-Reflective),YZB350V2-SB,"Tuesday, July 6, 2021",3:16 AM EST,10.5,$555
adidas Yeezy Boost 350 V2 Black (Non-Reflective),YZB350V2-SB,"Monday, July 5, 2021",9:43 PM EST,9,$599
adidas Yeezy Boost 350 V2 Black (Non-Reflective),YZB350V2-SB,"Monday, July 5, 2021",8:08 PM EST,11.5,$597
adidas Yeezy Boost 350 V2 Black (Non-Reflective),YZB350V2-SB,"Monday, July 5, 2021",7:13 PM EST,11.5,$585
adidas Yeezy Boost 350 V2 Black (Non-Reflective),YZB350V2-SB,"Monday, July 5, 2021",6:13 PM EST,11,$565
adidas Yeezy Boost 350 V2 Black (Non-Reflective),YZB350V2-SB,"Monday, July 5, 2021",5:40 PM EST,11,$565
adidas Yeezy Boost 350 V2 Black (Non-Reflective),YZB350V2-SB,"Monday, July 5, 2021",5:18 PM EST,5,$598
adidas Yeezy Boost 350 V2 Black (Non-Reflective),YZB350V2-SB,"Monday, July 5, 2021",4:35 PM EST,12,$536
adidas Yeezy Boost 350 V2 Black (Non-Reflective),YZB350V2-SB,"Monday, July 5, 2021",3:39 PM EST,10,$570
adidas Yeezy Boost 350 V2 Black (Non-Reflective),YZB350V2-SB,"Monday, July 5, 2021",2:37 PM EST,9,$573
adidas Yeezy Boost 350 V2 Black (Non-Reflective),YZB350V2-SB,"Monday, July 5, 2021",1:14 PM EST,10.5,$516
adidas Yeezy Boost 350 V2 Black (Non-Reflective),YZB350V2-SB,"Monday, July 5, 2021",12:57 PM EST,10,$541
adidas Yeezy Boost 350 V2 Black (Non-Reflective),YZB350V2-SB,"Monday, July 5, 2021",12:12 PM EST,14.5,$410
adidas Yeezy Boost 350 V2 Black (Non-Reflective),YZB350V2-SB,"Monday, July 5, 2021",11:57 AM EST,11,$535
adidas Yeezy Boost 350 V2 Black (Non-Reflective),YZB350V2-SB,"Monday, July 5, 2021",8:29 AM EST,8.5,$621
adidas Yeezy Boost 350 V2 Black (Non-Reflective),YZB350V2-SB,"Sunday, July 4, 2021",12:41 AM EST,5,$565
adidas Yeezy Boost 350 V2 Black (Non-Reflective),YZB350V2-SB,"Sunday, July 4, 2021",11:16 PM EST,6,$704
adidas Yeezy Boost 350 V2 Black (Non-Reflective),YZB350V2-SB,"Sunday, July 4, 2021",9:58 PM EST,9.5,$599
adidas Yeezy Boost 350 V2 Black (Non-Reflective),YZB350V2-SB,"Sunday, July 4, 2021",8:25 PM EST,4.5,$547
adidas Yeezy Boost 350 V2 Black (Non-Reflective),YZB350V2-SB,"Sunday, July 4, 2021",12:46 PM EST,5.5,$590
adidas Yeezy Boost 350 V2 Black (Non-Reflective),YZB350V2-SB,"Sunday, July 4, 2021",12:21 PM EST,5,$571
adidas Yeezy Boost 350 V2 Black (Non-Reflective),YZB350V2-SB,"Sunday, July 4, 2021",12:17 PM EST,8,$642
adidas Yeezy Boost 350 V2 Black (Non-Reflective),YZB350V2-SB,"Sunday, July 4, 2021",5:26 AM EST,4.5,$591
adidas Yeezy Boost 350 V2 Black (Non-Reflective),YZB350V2-SB,"Sunday, July 4, 2021",5:08 AM EST,8.5,$665
adidas Yeezy Boost 350 V2 Black (Non-Reflective),YZB350V2-SB,"Sunday, July 4, 2021",3:54 AM EST,11.5,$575
adidas Yeezy Boost 350 V2 Black (Non-Reflective),YZB350V2-SB,"Saturday, July 3, 2021",11:21 PM EST,8.5,$665
adidas Yeezy Boost 350 V2 Black (Non-Reflective),YZB350V2-SB,"Saturday, July 3, 2021",10:59 PM EST,7,$689
adidas Yeezy Boost 350 V2 Black (Non-Reflective),YZB350V2-SB,"Saturday, July 3, 2021",9:21 PM EST,10,$570
adidas Yeezy Boost 350 V2 Black (Non-Reflective),YZB350V2-SB,"Saturday, July 3, 2021",6:54 PM EST,11,$553
adidas Yeezy Boost 350 V2 Black (Non-Reflective),YZB350V2-SB,"Saturday, July 3, 2021",4:26 PM EST,5,$572
adidas Yeezy Boost 350 V2 Black (Non-Reflective),YZB350V2-SB,"Saturday, July 3, 2021",3:04 PM EST,9,$554
adidas Yeezy Boost 350 V2 Black (Non-Reflective),YZB350V2-SB,"Saturday, July 3, 2021",2:48 PM EST,12,$548
adidas Yeezy Boost 350 V2 Black (Non-Reflective),YZB350V2-SB,"Saturday, July 3, 2021",11:38 AM EST,6,$588
adidas Yeezy Boost 350 V2 Black (Non-Reflective),YZB350V2-SB,"Saturday, July 3, 2021",11:31 AM EST,8,$655
adidas Yeezy Boost 350 V2 Black (Non-Reflective),YZB350V2-SB,"Saturday, July 3, 2021",10:25 AM EST,10.5,$560
adidas Yeezy Boost 350 V2 Black (Non-Reflective),YZB350V2-SB,"Saturday, July 3, 2021",9:18 AM EST,9.5,$598
adidas Yeezy Boost 350 V2 Black (Non-Reflective),YZB350V2-SB,"Saturday, July 3, 2021",9:15 AM EST,8,$681
adidas Yeezy Boost 350 V2 Black (Non-Reflective),YZB350V2-SB,"Saturday, July 3, 2021",9:06 AM EST,10,$569
adidas Yeezy Boost 350 V2 Black (Non-Reflective),YZB350V2-SB,"Saturday, July 3, 2021",7:15 AM EST,4.5,$547
adidas Yeezy Boost 350 V2 Black (Non-Reflective),YZB350V2-SB,"Saturday, July 3, 2021",7:11 AM EST,9,$600
adidas Yeezy Boost 350 V2 Black (Non-Reflective),YZB350V2-SB,"Saturday, July 3, 2021",6:08 AM EST,9,$600
adidas Yeezy Boost 350 V2 Black (Non-Reflective),YZB350V2-SB,"Saturday, July 3, 2021",1:16 AM EST,7.5,$684
adidas Yeezy Boost 350 V2 Black (Non-Reflective),YZB350V2-SB,"Friday, July 2, 2021",10:08 PM EST,11,$535
adidas Yeezy Boost 350 V2 Black (Non-Reflective),YZB350V2-SB,"Friday, July 2, 2021",9:47 PM EST,12,$550
adidas Yeezy Boost 350 V2 Black (Non-Reflective),YZB350V2-SB,"Friday, July 2, 2021",5:25 PM EST,13,$440
adidas Yeezy Boost 350 V2 Black (Non-Reflective),YZB350V2-SB,"Friday, July 2, 2021",12:03 PM EST,13,$599
adidas Yeezy Boost 350 V2 Black (Non-Reflective),YZB350V2-SB,"Friday, July 2, 2021",11:16 AM EST,5.5,$575
adidas Yeezy Boost 350 V2 Black (Non-Reflective),YZB350V2-SB,"Friday, July 2, 2021",10:56 AM EST,12,$550
adidas Yeezy Boost 350 V2 Black (Non-Reflective),YZB350V2-SB,"Friday, July 2, 2021",3:29 AM EST,6.5,$672
adidas Yeezy Boost 350 V2 Black (Non-Reflective),YZB350V2-SB,"Thursday, July 1, 2021",12:54 AM EST,10.5,$559
adidas Yeezy Boost 350 V2 Black (Non-Reflective),YZB350V2-SB,"Thursday, July 1, 2021",10:57 PM EST,9,$600
adidas Yeezy Boost 350 V2 Black (Non-Reflective),YZB350V2-SB,"Thursday, July 1, 2021",8:13 PM EST,7.5,$664
adidas Yeezy Boost 350 V2 Black (Non-Reflective),YZB350V2-SB,"Thursday, July 1, 2021",7:06 PM EST,10.5,$549
